,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,brake type,condition,electric assist,handlebar type,make / manufacturer,model name / number,suspension,serial number,part type,size / dimensions
3977,1.0,orangecounty,https://orangecounty.craigslist.org/bid/d/long-beach-250-new-built-bikes-hybrid/7472211453.html,2022-04-16 15:12,250+ NEW BUILT BIKES! HYBRID MTB ROAD FIXIE CRUISER CITY COMFORT KIDS!, other/unknown, other, All Sizes, other/unknown,7,"Plenty of Bikes 3301 E Hill St, Ste 404 Signal Hill, CA 90755 562-275-3732 http://www.plentyofbikes.com  *** BIKES, PARTS, ACCESSORIES, & SERVICE ***  Please check our website www.plentyofbikes.com for a complete list of bikes available and hours/directions.   Regularly stocking over 200 assembled bikes in store, as well as Thule, Yakima, Saris and Hollywood car racks, plus hundreds of parts/accessories!   Local pickup available in our store in Signal Hill, CA. Cash and all major credit cards (Visa, Mastercard, Discover, AMEX), Apple Pay and Android Pay accepted.  ---------------------------------------------------------------  We are an authorized bicycle dealer for over 20 brands including:  Fuji | SE | Breezer | Tuesday | Phat | KHS | Manhattan | Free Agent | EVO | 6KU | Aventon |Populo | ZF Bikes | Golden | Throne | Firmstrong | XDS | Micargi | Dahon | Montague | Raleigh | Redline | Diamondback | Frog | Del Sol | Haro | Reid | Retrospec | Brooklyn Bicycle Co | Seven Peaks | Batch | Marin | Elite BMX",, new,,, 20+ Brands!,,,,,
3978,179.0,orangecounty,https://orangecounty.craigslist.org/bik/d/huntington-beach-x-brand-new-folding/7472171396.html,2022-04-16 13:46,2 X BRAND NEW FOLDING BIKES w/6 Shimano speeds + Case,,,,,0,,,,,,,,,,,
3979,100.0,orangecounty,https://orangecounty.craigslist.org/bik/d/foothill-ranch-bikes/7472088879.html,2022-04-16 10:42,Bikes, other/unknown, track, .., other/unknown,2,2 bikes $100,,,,,,,,,,
3980,50.0,orangecounty,https://orangecounty.craigslist.org/spo/d/newport-beach-steadyrack-wall-mounts/7467861856.html,2022-04-16 10:40,2 SteadyRack wall mounts for bikes,,,,,2,"I have 2 of these for sale. Selling Both for $50. They retail for $75 each.  They are bike racks you screw into your wall, super easy to install and then just roll your bike right in.   https://www.walmart.com/ip/Steadyrack-Classic-Rack-Vertical-Bike-Storage-Rack/49550975?irgwc=1&sourceid=imp_y0gzMMTirxyIR5E2d%3A2cd0vRUkGVS9xWIymFS40&veh=aff&wmlspartner=imp_150372&clickid=y0gzMMTirxyIR5E2d%3A2cd0vRUkGVS9xWIymFS40&sharedid=&affiliates_ad_id=568861&campaign_id=9383",, good,,, SteadyRack,,,,,
3981,799.0,orangecounty,https://orangecounty.craigslist.org/mcd/d/temecula-dirt-bikes-50-off-all-dirt-bike/7472025049.html,2022-04-16 08:34,DIRT BIKES 50% OFF ALL DIRT BIKE,,,,,24,"CHECK OUT OUR WEBSITE FOR UPDATES ON OUR INVENTORY.  WWW.REBELRACINGMOTORSPORTS.COM  NEW DIRT BIKES ON SALE NOW, SEMI AUTO OR CLUTCH STARTING AT $799.99 PLUS FEES. WHILE SUPPLIES LAST. GRAPHICS ARE OPTIONAL. WE STOCK ALL PARTS, ASSEMBLED IN THE U.S.! TRAINING WHEELS AVAILABLE, WE ARE THE LARGEST WHOLESALER IN THE U.S. SINCE 1995.  70cc NO CLUTCH $1599.99 ON SALE $799.99 - IN STOCK  70cc AUTO (SAME SIZE AS 50cc) $1799.00 ON SALE $899.99 - IN STOCK  110cc NO CLUTCH $2199.99 ON SALE $1099.99 - IN STOCK  125cc NO CLUTCH $2399.99 ON SALE $1199.99 - IN STOCK  125cc W/ CLUTCH $2399.99 ON SALE $1199.99 - IN STOCK  125cc NEW FRAME FULL AUTO $2399.99 ON SALE $1199.99 - IN STOCK  125cc BIG WHEEL W/ CLUTCH $2599.99 ON SALE NOW 50% OFF - IN STOCK  140cc FULL SIZE W/ CLUTCH $3399.99 ON SALE $1699.99 IN STOCK   THIS IS AN INVENTORY BLOWOUT SALE, OFFER GOOD WHILE SUPPLIES LAST. MUST BUY FROM DEALER INVENTORY ALL COLORS IN STOCK. NO SPECIAL ORDERS  WE ARE LOCATED AT 28822 OLD TOWN FRONT ST. SUITE #201 TEMECULA, CA. 92590.FEEL FREE TO CALL TODAY! (951) 699.3110. WE ARE CLOSED SUNDAYS AND MONDAYS.  WE ACCEPT ALL MAJOR CREDIT CARDS!  WWW.REBELRACINGMOTORSPORTS.COM  CHECK US OUT ON FACEBOOK TOO! www.facebook.com/RebelRacingMotorsports/     Keywords, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike, pocketbikes, pocket bike, pocket bikes, Super Bike, Dirt Bike, dirtbike, superbike, xr, xr50, 50cc, 70cc, 90cc, 100cc, 110cc, 125cc, 150cc, Pit Bike, pitbikes, Honda, Yamaha, Go Cart, GoCart, GOPED, DIRT BIKE, DIRT BIKES, DIRT, MINI BIKE, MINI BIKES, POCKET BIKE, POCKET BIKES, YSR, GOKART, GOKARTS, GO-KARTS, 50, STUNT BIKE, STUNT BIKES, STUNT, SICK BIKE, SDG, BBR, ATV, crf50, crf, Chopper Mini, COOLSTER, TAOTAO tao motors , boulder, 125d,135d, Tforce, cheeta, bull, rhino, 110cc atv, 125cc atv, 135cc atv , 150cc atv, 250cc atv, 10cc dirt bike, 110cc atvs, 125cc atvs, 135cc atvs, 150cc atvs, 250cc atvs, 50cc dirt bikes, 50cc dirt bike, 110cc dirt bikes, 125cc dirt bikes, XR-125, M-125, QG-214,QG-214FC, QG-214S, ATV-3125C-2, 3125R, ATV-3150DX-4, ATV-3150CXC yz125, yz250, ttr, ttr230, ttr110, ttr50, pw50, suzuki, drz70, drz125, kids dirt bike, kx, crf50, crf110, crf125, crf150, crf230, crf250, klx110, klx140, yz85, pit bike, dirt bike, quad, atv, kids atv, kids atvs, dirt bike for kids, kids dirt bike, kids dirt bikes, full size dirt bike, mini bike, 50cc, 125cc, 110cc, 150cc, 200cc, 250cc, honda crf, kawasaki, yamaha, off road, chinese, cheap motorcycle, coolster, ssr, taotao, tao tao, db14, db17, pocket bike, Pit bike, dirt bike, 70cc, 50cc, 49cc, 80cc, 90cc, 110cc, 125cc, honda yamaha vespa kymco elite riva sym piaggio aprillia scarabeo moped scooter mini bike ssr coolster crf50 crf80 ssr, coolster, tao tao, 125cc, 110cc 90cc 70cc dirt bike pit bike bashan honda kawasaki mini bike, motorcycle, motorbike, kids dirt bike off road 250cc 200cc 190cc 150cc utv crf50 crf70 crf90 crf125 crf150 crf250 crf450 cr125 kx125 kx50 pw50 yamaha, quad, atv, kids quad, kids atv, off road, 125cc dirt bike, 125cc pit bike, 110cc dirt bike, 110cc pit bike, 70cc dirt bike, 70cc pit bike, 150cc dirt bike, 140cc pit bike, 200cc dirt bike, 250cc dirt bike, 90cc dirt bike Temecula, California, Menifee, Murrieta, wildomar, lake elsinore, perris, inland empire, riverside, san Bernardino, palm springs, desert , youth atv, youth quad, Apollo kids quad, apollo atv, apollo atv, apollo atvs, apollo quads, Apollo dirt bike, apollo pitbike, apollo kids dirt bike, apollo kids pitbike, apollo pocket bike, apollo kids pocket bike, tao tao dirt bike, tao tao kids dirt bikes, tao tao kids dirt bike, tao tao kids quad, tao tao kids atv, tao tao kids atvs, coolster dirt bike, coolster dirt bikes, coolster kids dirt bike, coolster kids dirt bikes, coolster atvs, coolster atv, coolster kids atv, coolster kids atvs, coolster kids quad, coolster kids quads. Are you looking for a discounted Scooter in *San Diego* *Redlands* *El Cajon* *Riverside* *San Bernardino* *Moreno Valley* *Mo val* * Mo-Val* *Corona* *Chino* Ontario* *Rancho* *Cucamonga* *Rancho Cucamonga* *Rialto* *Fontana* *Hemet* *Palm Springs* *Morongo Valley* *Yucca Valley* *Palm Desert* *Desert Hot Springs* *Apple Valley* *Coasta Mesa* *Pomona* *Anaheim* *Irvine* *Long Beach* *Torrance* *Los Angeles* *Santa Monica* *Pasadena* *Chula Vista* *Carlsbad* *Chula Vista* *Coronado* *Del Mar* *El Cajon* *Encinitas* *Escondido* *Imperial Beach* *La Mesa* *Lemon Grove* *National City* *Oceanside* *Poway* *San Diego* *San Marcos* *Santee* *Solana Beach* *Vista* Escondido* Carlsbad* our special deals on our scooters will save you from having to drive as far to get a great deal. Susanville, Sacramento, clovis, grass valley, OHIO, COLUMBUS, MARYSVILLE , Over land Park Kansas, St Louis MO, San Diego,Prescott, Arizona, Phoenix, Vespa, Moped, Motorcycle, Motor Scooter, Scooter, Scooters Motorized Bicycle, Pre-Owned Scooters, Piaggio Scooters, Genuine Scooters, Vespa Scooters, moped, vespa scooter, piaggio scooter, aprilia scooter, motoguzzi, bsa, Norton, royal enfield, triumph Bonneville, triumph thruxton, genuine buddy scooter, genuine stella scooter, genuine blur scooter, kymco like scooter, kymco super 8 scooter, kymco agility scooter, kymco people scooter, sym wolf 150, sym hd 200 hd200, sym fiddle scooter lance cali classic scooter, lance Havana scooter, lance pch scooter, lance cabo scooter, Honda ruckus scooter, Honda elite scooter, Honda grom scooter, Yamaha zuma scooter, Yamaha riva scooter, Yamaha vino scooter, café racer, royal enfield, Suzuki gsxr gsx r , Honda cbr, ysr, Honda rebel 250, 50cc scooter moped, 125cc scooter moped, 250cc scooter moped, tao tao scooter, tank scooter, bms scooter, flyscooter flyscooters, znen scooter, ssr motorsports, ssr scooter, Italian scooter, electric scooter, electric moped, trike, three wheel scooter, sprint scooter, vespa p200, stella scooter, mini bike, pit bike, dirt bike, endure bike, zero motorcycle, scooter Genuine Buddy, Stella, Vespa, Honda, Yamaha, Piagio, Vino, Ruckus 50 125 SYM, Vespa, Buddy, Scooter, Scooter repair, Classic, 250, 150,Genuine Scooter service LX PX Rally, Lambretta, Motorcycle, Scooter, Training, Lessons, Classes, Course, Instruction, School, Los Angeles, M1, DMV, Honda, Rebel, Nighthawk, CB, 250, CB250, 300, CB300, 350, CB350, Suzuki, GS, GN, 125, GS250, GN125, GN250, Kawasaki, Ninja, Eliminator, Vulcan, 500, EN500, Yamaha, Star, Sym, Vespa, Piaggio, Kymco, Aprilia, Buddy, PCX, Metropolitan, Benelli, Peugeot, Hyosung, Zuma, Majesty, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike pocketbikes pocket bike pocket bikes Super Bike Dirt Bike dirtbike superbike xr xr50 50cc 70cc 90cc 100cc 110cc 125cc 150cc Pit Bike pitbikes Honda Yamaha Go Cart GoCart GOPED ,DIRT BIKE,DIRT, MINI BIKE, POCKET BIKE, YSR, GOKART, 50, STUNT BIKE, STUNT, SICK BIKE, SDG,BBR ATV crf50 crf Chopper Mini",,,,,,,,,,
3982,199.0,orangecounty,https://orangecounty.craigslist.org/bik/d/los-alamitos-mountain-bikes-26-inch/7468932735.html,2022-04-16 01:14,"Mountain Bikes 26 inch Wheel 21 Speed Shimano Mountain Bike with Suspension,Alum", aluminum, mountain,,,13,"New in box. Warehouse sale! Birthday Gift  * 		More Travel, More Control: Unlike other bikes, OBSOO mountain bicycle features genuine Shimano 21-speed shifters that give enough choice to help you crest any hill with ease; The trigger shifters are smooth and offer precise shifts by moving your finger * 		Durable and Stable Frame: Strength and durability steel frame keeps you in control and comfortable over rugged terrain, mud, dirt and mountain trails; The front suspension will help to take the pressure off your hands and arms even on the toughest trails; Suggested rider height: 5' 8"" to 6' 2"" and weight up to 330 pounds * 		Comfortable Design: 27.5"" large Wheels roll over rugged terrain with balance and stability, giving you the momentum to tackle technical climbs and the confidence to fly on fast, rugged singletrack descents; Saddle and seat post can easily be adjusted to suit different heights * 		Easy to Assemble: 85% pre-assembled, user manual offers specific videos and images, and assembly tools will help install the mountain bike at home in less than 30 minutes, you just need to install the front wheel, handlebar, pedals and seat *  Mountain bike 21 Speed bike 3 spoke wheel",, new,,,,,,,,
3983,199.0,orangecounty,https://orangecounty.craigslist.org/bik/d/los-alamitos-mountain-bikes-26-inch-21/7468932397.html,2022-04-16 01:14,Mountain Bikes 26 inch 21 Speed Shimano Aluminum Alloy Steel Frame Mountain Bike, aluminum, mountain,,,14,"New in box. Warehouse wholesale  *  * 		UNIQUE DESIGN:26 inch folding mountain bike adopts lightweight but durable steel luminous frame,scratch-resistant and wear-resistant,nice paint with luminous design,suitable for night riding. * 		EASILY FOLD UP:21 speed mountian bike adopts foldable design,you can fold it up in seconds,smaller size, more convenient transportation and storage,suitable for outdoor riding,transport to work,doing exercise ect. * 		STEADY AND RELAXING RIDING:City cruiser mountain bike adopts full suspension,sturdy frame,double alloy rim,quality knotty rubber chaoyang tire,great shock absorber,Effectively avoid bumps and tilts, easily tear off the off-road track and enjoy riding. * 		GREAT RIDING PERFERMANCE:Foldable mountain bike with 21 speed professional shimano gearbox,front 3 gears and rear 7 gears help you easily conquer various road conditions,front and rear dual disc brake will help you control and stop your bike as will. * 		PROFESSIONAL SERVICE TEAM:AOA mountain bike is 85 percent pre-assembled,quality d,if you have any questions,please contact us feel free,and we will solve it with professional rely,providing you with better purchase. * 		Wheel size: 26.0 inches Mountain bike  21 speed Folding Mountain Bike Mountain Bikes 26 inch 21 Speed Shimano Aluminum Alloy Steel Frame Mountain Bike with Suspension Fork,Dual Disc Brake Hybrid Cruiser Bicycles", disc (mechanical), new,,,,,,,,
3984,60.0,orangecounty,https://orangecounty.craigslist.org/bik/d/placentia-hollywood-bike-rack-4-bikes/7467940337.html,2022-04-15 15:27,Hollywood Bike Rack 3-4 Bikes Will Fit Any Car Truck Van SUV Sedan Cou, alloy, other,,,3,Will fit 3-4 bikes,,,,,,,,,,
3985,475.0,orangecounty,https://orangecounty.craigslist.org/bik/d/fountain-valley-folding-bikes/7471812417.html,2022-04-15 15:26,Folding e bikes, aluminum, folding, Folding, 14 in,0,Only have 5 miles and 12 miles on these Swagway electric folding bikes! Like new. I have 2 for sale. Model is EB 7 elite,,,,, Swagway, Eb7 elite, other/unknown,,,
3986,150.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-adult-diamondback-edgewood/7471720226.html,2022-04-15 12:02,Adult Diamondback Edgewood, alloy, hybrid/comfort," L/19""", 700C,0,"Two year old seldom used Diamondback Edgewood for sale. Light blue color. Single owner. Has rear rack(not shown) installed. BRAKE TYPE: Alloy Linear Brakes SHIFTER: Shimano EF-51 Easyfire Shifter Featuring 3x7 Gearings (21speed) SADDLE: DB Deluxe Hybrid Double-Density Base RIMS: 32h SSW700 Alloy Double Wall with 14-gauge Steel Spokes TIRES: Kenda Cross, 700x40c  Diamondback has specifically designed the Edgewood Hybrid for casual riders that want notable performance and ease of use. The designers at Diamondback combined a relaxed seating position, most often attributed to comfort bikes with the higher quality components and the smooth-rolling wheels of a traditional road bike. The result is a bike with a fantastic ride and a bit of road moxie.  The Diamondback Edgewood Hybrid also shines as a user-friendly model for our older riders. The low standover height of the frame makes for easy on and off. The upright riding position inspires rider confidence and makes for more attentive biking, which makes it a safe bike to ride.", cantilever, like new, none, cruiser, Diamondback Bikes, Edgewood, suspension fork (hardtail), 00020002,,
3987,400.0,orangecounty,https://orangecounty.craigslist.org/bik/d/brea-volume-cutter-fixed-gear-bike/7471602967.html,2022-04-15 08:25,Volume Cutter Fixed Gear Bike, steel, track, 58 cm, 700C,6,Volume Cutter V1 Fixed Gear Bike  58cm V1 Volume Cutter frame and fork. Full heat treated 4130 frame and fork with track like geometry. Integrated head tube and euro bb. Just had her tuned up and rides like new!   Frame: Volume 4130 heat treated crmo Fork: Volume 4130 heat treated crmo Cranks: 165 Aluminum Drivetrain: 48tx16t fixed (flip flop w/ Shimano freewheel) Seat: Velo  Stem: Salsa Handlebar: Aluminum drop bar w/ new cork tape  Tires: Continental Top Contact 700x28 Wheels: High flange 3/8 hubs w/ double walled rims, none, excellent, none, drop, Volume Bikes, Cutter V1, none (rigid),,,
3988,25.0,orangecounty,https://orangecounty.craigslist.org/bop/d/tustin-bike-rack-add-on-bikes/7464219990.html,2022-04-14 18:42,Bike Rack add on 2 bikes,,,,,3,Please Call 7one4 8three2 77three5  Bike Rack add on 2 bikes Good Condition $25.00 obo./ Please Call 7one4 8three2 77three5,,,,,,,,,,
3989,100.0,orangecounty,https://orangecounty.craigslist.org/bop/d/irvine-saris-bones-rs-bikes-trunk-rack/7471362337.html,2022-04-14 14:21,SARIS BONES RS 3 BIKES TRUNK RACK,,,,,0,"SARIS BONES RS 3 BIKES TRUNK RACK, FIT MOST CAR AND HATCH BACK, MADE IN USA, GREAT SHAPE, COME WITH LOCK KEY",,,,,,,,,,
3990,1399.0,orangecounty,https://orangecounty.craigslist.org/bik/d/costa-mesa-electric-scooter-fat-tire/7471150527.html,2022-04-14 07:27,Electric Scooter Fat Tire Electric Scooter,,,,,0,,,,,,,,,,,
