,Price,Location,URL,Date,Title,num image,text,bicycle frame material,bicycle type,frame size,wheel size,condition,brake type,electric assist,handlebar type,suspension,make / manufacturer,model name / number,part type,serial number,size / dimensions,year manufactured,length overall (LOA),propulsion type,engine hours (total)
28518,2295.0,charlotte,https://charlotte.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468092521.html,2022-04-07 09:18,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,, new,,,,, Cyberbike,,,,,,,,
28519,1499.0,charlotte,https://charlotte.craigslist.org/snd/d/charlotte-kids-wolf-go-kart-dirt-bikes/7467040422.html,2022-04-04 18:07,Kids Wolf GO KART DIRT BIKES @turbopowersports,24,"Holidays Our Around the corner We are your 1 Stop shop for Kids Atvs, Dirt Bikes, Go Karts, Scooters, UTVS, Parts, Service, Financing, Layaway TURBOPOWERSPORTS located 1463 HWY 411 NE, Suite (B) Cartersville , GA 30121 Come on down and view our showroom! Summer is coming and what better way to experience Brand New 200cc Kids Go Karts.714-888-5114 toll free https://www.turbopowersports.com/collections/buggy-go-karts/products/highper-wolf-200cc-fully-automatic-buggy  Affordable FUN The new 200 Wolf kid's go-kart with a 196cc powerplant. The 200 Wolf comes standard with an automatic CVT tranny with reverse so it's easy to maneuver in tight spots. The Wolf go kart sits on an independent front suspension with a a swing-arm rear setup and big 16 inch all-terrain tires with hydraulic rear disc brakes for excellent handling on rough, rugged trails. This mini sized go-kart is specifically designed for kids and features high-back seats, over-the-shoulder safety harnesses, a padded brush guard cage and fully enclosed floor pan to keep little ones safe and secure while riding. The driver's seat is adjustable to ensure a proper fit for kids of all sizes. Plus, a keyed ignition and built-in speed governor make it easy for parents to control when the kids ride and how fast they go! And finally, high-mounted overhead front facing lights help maximize visibility for optimum safety.  SPECIFICATIONS Model: WOLF 200 Engine: Four-stroke, Single-cylinder, Forced Air-cooled OHV Displacement: 196cc Compression Ratio 8.5:1 Power: 4.0kw Bore/ Stroke φ68*54mm Start Type: Keyed Electric Start Ignition: CDI Transmission: Automatic w/ Reverse Final Drive: Chain Battery: 12V 4Ah Fuel Capacity: 0.48 gal. Max Speed: 35 MPH Brakes (front/rear): Hydraulic Disc / Hydraulic Disc Tires (front/rear): 145/70-6 /16 x 8-7 Wheels: Steel Suspension (front/rear): Independent with coil-over shocks / Swing arm with dual coil-over shocks Dry Weight: 287 lbs. Gross Weight: 360 lbs. Max Loading: 330 lbs. Distance to Pedals: 31.5 - 34 inches (seat adjustable) Height to Seat: 9 inches Ground Clearance: 6.3 inches Wheelbase: 49 inches Dimensions (LxWxH): 67x44x47 inches Shipping Carton Dimensions (LxWxH): 69x45x25 inches EPA Certified - NOT CARB LEGAL Features: Engine Kill Switch, Headlights, Tool Kit, Dual safety harnesses, Integrated side rails and padded top brush guard cage, Enclosed floorpan, Emergency Brake and Canopy. Configurations And Specifications Subject To Change Without Notice. 90 day warranty. 470-315-4678 GA WE OFFER FIANCING 90 DAYS SAME AS CASH , NO CREDIT CHECK. WE OFFER 3-5 YEARS ON OUR UTVS, BUGGIES, STRET BIKES, ATVS, SEE YOU SOON.  Average delivery time for most of the nation: 2-4 business days after ordering. Have questions before you decide? Call us at 714.888.5114 or text 714.888.5114 ... licensed dealer offering local pickup or shipping nation wide.  Affordable FUN the full-size XTR 250 Dirt Bike comes with all the same great features found on more expensive Japanese bikes at less than half the price! Comparable to the Suzuki DR-Z, Kawasaki KLX, Yamaha XT or TT-R, and Honda CRF motorcycles, the XTR 250 comes standard with electric and kick start, front and rear disc brakes, and enhanced suspension. Built over a heavy-duty steel twin-spar frame, boasts big 54mm inverted forks up front and an adjustable mono shock in the rear along with a full-size 21 inch front wheel that provides excellent ground clearance and makes navigating obstacles and off-road trails a breeze. Make no mistake, with a 36.6 inch tall seat, this is a serious dirt bike! And it's got a serious 250cc 4-stroke engine and manual 5-speed tranny for a power combination best suited to experienced riders. Just feather the clutch, twist the throttle and put the power on the ground! Heavy-duty spoke rims wrapped in aggressive knobby tires are perfect for climbing over rocks and downed trees, clawing through muddy terrain and scrambling up hills. You won't find a more capable motorcycle for exciting off-road trail riding action for the price! CARB Approved. Comes in NEW colors: blue, green, red, blue and classic black.  OFF-ROAD LEGAL in all 50 STATES CA Legal . CA Green Sticker 9 CA Green Sticker Bikes Left . next container will be Red Sticker  Financing OAC programs 90 days same as cash. only $40.00 Down .  turbopowersports.com Dirt bikes and ATVs for all ages, Dirt Bikes, colors and type of dirt bikes and ATVS . Affordable Fun Need gifts for your kids? we have the 49cc 70cc 110cc  Vespa, Moped, Motorcycle, Motor Scooter, Scooter, Scooters Motorized Bicycle, Pre-Owned Scooters, Piaggio Scooters, Genuine Scooters, Vespa Scooters, moped, vespa scooter, piaggio scooter, aprilia scooter, motoguzzi, bsa, Norton, royal enfield, triumph Bonneville, triumph thruxton, genuine buddy scooter, genuine stella scooter, genuine blur scooter, kymco like scooter, kymco super 8 scooter, kymco agility scooter, kymco people scooter, sym wolf 150, sym hd 200 hd200, sym fiddle scooter lance cali classic scooter, lance Havana scooter, lance pch scooter, lance cabo scooter, Honda ruckus scooter, Honda elite scooter, Honda grom scooter, Yamaha zuma scooter, Yamaha riva scooter, Yamaha vino scooter, café racer, royal enfield, Suzuki gsxr gsx r , Honda cbr, ysr, Honda rebel 250, 50cc scooter moped, 125cc scooter moped, 250cc scooter moped, tao tao scooter, tank scooter, bms scooter, flyscooter flyscooters, znen scooter, ssr motorsports, ssr scooter, Italian scooter, electric scooter, electric moped, trike, three wheel scooter, sprint scooter, vespa p200, stella scooter, mini bike, pit bike, dirt bike, endure bike, zero motorcycle, scooter Genuine Buddy, Stella, Vespa, Honda, Yamaha, Piagio, Vino, Ruckus 50 125 SYM, Vespa, Buddy, Scooter, Scooter repair, Classic, 250, 150,Genuine Scooter service LX PX Rally, Lambretta, Motorcycle, Scooter, Training, Lessons, Classes, Course, Instruction, School, Los Angeles, M1, DMV, Honda, Rebel, Nighthawk, CB, 250, CB250, 300, CB300, 350, CB350, Suzuki, GS, GN, 125, GS250, GN125, GN250, Kawasaki, Ninja, Eliminator, Vulcan, 500, EN500, Yamaha, Star, Sym, Vespa, Piaggio, Kymco, Aprilia, Buddy, PCX, Metropolitan, Benelli, Peugeot, Hyosung, Zuma, Majesty, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike pocketbikes pocket bike pocket bikes Super Bike Dirt Bike dirtbike superbike xr xr50 50cc 70cc 90cc 100cc 110cc 125cc 150cc Pit Bike pitbikes Honda Yamaha Go Cart GoCart GOPED ,DIRT BIKE,DIRT, MINI BIKE, POCKET BIKE, YSR, GOKART, 50, STUNT BIKE, STUNT, SICK BIKE, SDG,BBR ATV crf50 crf Chopper Min",,,,,,,,,,,,,,,,,,
28520,40.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-little-girls-bikes/7466633073.html,2022-04-03 19:35,Little girls bikes,3,2 little girls bicycles $20 each obo, other/unknown, kids, Small, 12 in,,,,,,,,,,,,,,
28521,8.0,charlotte,https://charlotte.craigslist.org/mpo/d/salisbury-msr-clutch-brake-levers-dirt/7465854793.html,2022-04-01 19:24,"MSR Clutch/Brake Levers Dirt Bikes ATV ""new""",6,"These are new MSR clutch or brake levers and one O'Neal lever set. Here is the inventory that I have: Qty- Part Number- Price 1- 34-1744- $8.00 2- 34-1746- $10.00 each 2- 34-1748- $12.00 each 1- 34-1749- $12.00 2- 34-1750- $10.00 each 1- 34-1752- $10.00 2- 34-1782- $10.00 each 2- 34-1783- $8.00 each 2- 34-1785- $12.00 each 1- 34-1786- $12.00 1- 34-1789- $10.00 2- 34-1790- $10.00 each 1- 34-1791- $8.00 1- O'Neal lever set- stock #3150-310-000- $10.00  See pictures for the part numbers and I also provided application charts in the pictures so you can see what would fit your machine. If you want to purchase, please provide me with the part number only, not your machine. Will update post as they sell. Thank you",,,,,,,,,,,,,,,,,,
28522,80.0,charlotte,https://charlotte.craigslist.org/bop/d/salisbury-bike-rack/7464399351.html,2022-03-29 12:11,Bike Rack,3,Saris Trunk Mount Bike Rack for 2 Bikes For more info go to Amazon.com and look for Saris Bones 805 2 Bike Trunk Mount.   About$192.00 out the door on Amazon,,,,, excellent,,,,, Saris, 2 bikes, other,,,,,,
28523,75.0,charlotte,https://charlotte.craigslist.org/bik/d/concord-exercise-bikes/7463976348.html,2022-03-28 12:21,Exercise Bikes,2,"Exercise ""Spin"" Bikes .. I have 2 Gym Quality Bikes.", steel, other, Large, 18 in, good, disc (mechanical), none, other/unknown, none (rigid), Reebok, Tamahawk,, Freestyle,,,,,
28524,30.0,charlotte,https://charlotte.craigslist.org/spo/d/mooresville-bike-rack-bikes/7463529541.html,2022-03-27 09:59,Bike Rack. 2 bikes,3,Allen Trunk Bike Rack  Holds 2 bikes  All straps included  Like-new  $30 or best offer,,,,, like new,,,,, Allen, 2 bike,,,,,,,
28525,15.0,charlotte,https://charlotte.craigslist.org/bik/d/salisbury-girls-bikes/7463201149.html,2022-03-26 12:21,2 GIRLS BIKES,3,2 used girls bikes. $15 each obo, steel, kids, Medium, 20 in, good,,,,,,,,,,,,,
28526,250.0,charlotte,https://charlotte.craigslist.org/wan/d/mooresville-wanted-old-vintage-bmx/7462600527.html,2022-03-24 22:19,Wanted Old Vintage BMX Bikes Bicycles,4,"I pay cash for older BMX bicycles. New or rusty, it doesn't matter. Please contact me via my cell phone, I am ready to buy",,,,,,,,,,,,,,,,,,
28527,100.0,charlotte,https://charlotte.craigslist.org/bik/d/huntersville-nishiki-mountain-bikes/7460993168.html,2022-03-21 10:41,2 NISHIKI MOUNTAIN BIKES,0,I have two nishiki mountain bikes in excellent condition for sale. These are about a year old and been VERY well taken care of.Ridden maybe 10 times if that . They normally go for $299 at Dick's sporting goods. I'm asking $100 each. I have a red one and a blue one. If interested text me at  show contact info . I'm located in Huntersville., alloy, mountain, 17.5, 26 in,,,,,,,,,,,,,,
28528,200.0,charlotte,https://charlotte.craigslist.org/bik/d/harrisburg-bicycle-trek-adult-owner/7467209666.html,2022-04-18 20:59,Bicycle Trek - adult owner like new,4,"No issues, like new, adult owner rode twice down Virginia Creeper Trail.", aluminum, bmx, 2 bikes, 20 in, like new,,,,,,,,,,,,,
28529,40.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-angry-birds-bicycle/7472956913.html,2022-04-18 19:04,Angry Birds Bicycle,7,"Angry Birds Bicycle  Frame/Fork: Steel monocoque frame with steel fork Wheels/Tires: 16"" pneumatic tires Drivetrain: Single speed Brakes/Cockpit: Rear coaster brake and rear hand brake, padded handlebar Extras: Training wheels, faceplate Get ready for adventure with the Angry Birds 16"" bicycle! It has a steel frame, a easy to use rear coaster brake plus rear handbrake, chain guard for safety, training wheels for learning, and a Angry Birds faceplate and pad for style. It also has a quick release seat for ""no tools"" seat adjustment. Street Flyers makes the bikes your kids love to ride. Featuring charaters from the Avengers, to Angry Birds, Lala Loopsy, and Irom-Man. The coolest little bikes on the sidewalk.", other/unknown, kids, Kids bike, 16 in,,,,,, Rovio,,,,,,,,
28530,750.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-khs-grit-55-road-gravel-bike/7472941415.html,2022-04-18 18:26,KHS Grit 55 Road/Gravel bike,0,"Bought bike during pandemic, barely rode it. Upgraded the pedals, comes with air pump and lock.  https://khsbicycles.com/bikes/2020-khs-models/grit-55-20/", alloy, road, M/55, 29 in, like new, disc (mechanical), none, drop, none (rigid), KHS, Grit 55,, ??,,,,,
28531,1400.0,charlotte,https://charlotte.craigslist.org/bop/d/huntersville-2022-aventon-ebike/7472772673.html,2022-04-18 13:12,2022 Aventon eBike electric bike Level Cruser,4,"As shown in the pictures, the front shock forks and front wheel became damaged after a tumble.  Also, the LCD display was damaged. I have decided to stop riding pedal/eBike bikes and would like to sell my Aventon Level.  The bike was purchased for $2100 three weeks ago and has only 50 miles on it.  The frame from above the forks including the handlebars and triple clamp, all the way to the back to rear tire assembly is still brand new.  The battery, charger, keys, manual, and entire rear wheel cassette and derailleur are also brand new and working.  The hydraulic brakes (hoses, reservoir, calipers and rotors) are all if perfect brand new working order.  All these good parts add up to $1800 as priced by Aventon.com site.  If interested in the entire working bike or just extra parts, please feel free to contact me by email as I am willing to part it out or sell it as a whole.  Thank you for reading and your consideration. J",,,,, like new,,,,, Aventon, Level Cruiser,,, M/L,,,,
28532,100.0,charlotte,https://charlotte.craigslist.org/bik/d/fort-mill-24-granite-peak-mountain-bike/7464454828.html,2022-04-18 12:50,"24"" GRANITE PEAK MOUNTAIN BIKE ( SERVICED )",9,"24"" GRANITE PEAK MOUNTAIN BIKE - LIKE NEW AND SERVICED - 18 SPEED - FRONT SUSPENSION - 15"" STEEL FRAME - WITH KICKSTAND - READY TO RIDE NOW !  - ( NOTE: I HAVE ANOTHER 24"" MOUNTAIN 21 SPEED IRONHORSE MAVERICK BIKE FOR $100.00 ALSO - ( NOTE: I ALSO HAVE OTHER BIKES FOR SALE , ALL SERVICED AND READY TO RIDE NOW ! -  SEE PIC )   - FORT MILL - PHONE:  show contact info  -- $100.00 EACH", steel, mountain," 15"" STEEL FRAME", 24 in, like new,,,, suspension fork (hardtail)," ROADMASTER 24"" MOUNTAIN BIKE"," GRANITE PEAK 24""",,,,,,,
28533,100.0,charlotte,https://charlotte.craigslist.org/bik/d/fort-mill-bicycles-for-sale-all/7468248493.html,2022-04-18 12:50,"5 ) BICYCLES FOR SALE ,ALL SERVICED AND READY TO RIDE",7,"5 ) BICYCLES FOR SALE - SEE PIC  -  ALL SERVICED AND READY TO RIDE NOW ! - ALSO A 18"" GIRLS HELLO KITTY BIKE FOR $45.00 - ALSO 18"" PEACE GIRLS BIKE FOR $30.00 -  20"" 7 SPEED DUAL SUSPENSION MOUNTAIN BIKE FOR $70.00 - 2 ) 24"" LADIES OR GIRLS 18 SPEED MOUNTAIN BIKES FOR $100.00 EACH -  ( NOTE: I ALSO HAVE OTHER BIKES FOR SALE , ALL SERVICED AND READY TO RIDE NOW ! ) - SEE PIC - 1 MILE OFF EXT 88 FROM 77 FORT MILL - PHONE:  show contact info  -- THANKS FOR LOOKING !", steel, mountain," 24"" TIRES", 24 in, like new,,,, suspension fork (hardtail), NEXT/HELLO KITTY/,,,,,,,,
28534,45.0,charlotte,https://charlotte.craigslist.org/bik/d/fort-mill-18-girls-hello-kitty-bike/7468204976.html,2022-04-18 12:50,"18"" GIRLS HELLO KITTY BIKE - LIKE NEW !",17,"GIRLS 18"" HELLO KITTY BIKE - FRONT AND REAR HANDLE BAR AND PEDAL BRAKES - CARRY BASKET - WHITE WALL HELLO KITTY TIRES - WITH KICKSTAND - ( NOTE: I ALSO HAVE OTHER BIKES FOR SALE , ALL SERVICED AND READY TO RIDE NOW ! - SEE PICS - ) - - FORT MILL - PHONE:  show contact info  -- $45.00", steel, kids," 18"" WHEELS", 18 in, like new,,,,," HELLO KITTY 18"" GIRLS BIKE",,,,,,,,
28535,30.0,charlotte,https://charlotte.craigslist.org/bik/d/fort-mill-18-girl-peace-bike/7468215937.html,2022-04-18 12:48,"18"" GIRL PEACE BIKE",18,"18"" GIRLS PEACE BIKE - FRONT AND REAR HANDLE BAR AND PEDAL BRAKES - ( NOTE: I HAVE 8 OTHER BIKES FOR SALE , ALL SERVICED AND READY TO RIDE NOW ! SEE PICS ) - FORT MILL - PHONE:  show contact info  -- $30.00", steel, cruiser," 18"" WHEELS", 18 in, excellent,,,,, KENT," PEACE 18"" GIRLS BIKE",,,,,,,
28536,8.0,charlotte,https://charlotte.craigslist.org/bop/d/fort-mill-two-bike-helments-800-each/7472005769.html,2022-04-18 12:45,TWO BIKE HELMENTS $8.00 EACH,8,"TWO BIKE HELMENTS FRO $8.00 EACH - FREE IF YOU BUY A BIKE FROM ME - ( 2- 24"" 18 SPEED MOUNTAIN  / 2 )  20"" 7 SPEED MOUNTAIN BIKES  / 18"" HELLO KITTY / 18"" PEACE -  SEE PICS - FORT MILL - PHONE:  show contact info  - $8.00 EACH",,,,, like new,,,,,,,,,,,,,
28537,25.0,charlotte,https://charlotte.craigslist.org/ele/d/statesville-32in-flat-screen-tv-funai/7468858768.html,2022-04-18 09:52,32in flat screen tv funai cheap,0,"32 inch funai flat screen works great just got a bigger one. cheap and great for the kids to watch or play games on. not out alot of money if they break it. if interested text or call ill send pictures if interested thanks jim.  show contact info . I also got kids toys, walkers for kids, 2 20 ich bikes one new 1 used cheap.",,,,, good,,,,,,,,,,,,,
28538,20.0,charlotte,https://charlotte.craigslist.org/for/d/monroe-schwinn-girls-12-inch-balance/7463675130.html,2022-04-18 09:44,Schwinn girls 12 inch Balance Bike,0,Reduced and in very good working condition condition. This is the one that is pink and for girls and has adjustable seat and real tires with spoke rims and a place to put the child's feet! you will not find this on other balance bikes.  20 dollars is my price and at Amazon it is $74 and everywhere else $75 to $80. Text me for the pictures. Looks great and rolls perfect.  show contact info . Balance bikes are high and for good reason. They prepare a child to learn early how to ride a bike. Call  show contact info .,,,,, excellent,,,,, Chillafish,,,,,,,,
28539,250.0,charlotte,https://charlotte.craigslist.org/mpo/d/charlotte-new-pitbull-trailer-restraint/7470232292.html,2022-04-18 08:02,New Pitbull Trailer Restraint,0,,,,,,,,,,,,,,,,,,,
28540,1700.0,charlotte,https://charlotte.craigslist.org/tro/d/kill-devil-hills-1995-motorcycle-trailer/7472561095.html,2022-04-17 20:53,1995 motorcycle trailer,5,1995 motorcycle trailer holds 2 full dize roaf bikes. Stands up for garage wall storage. New tires and wheel bearings packed.,,,,,,,,,, Mc,,,,,,,,
28541,1.0,charlotte,https://charlotte.craigslist.org/bik/d/kannapolis-all-pro-bicycles/7462823031.html,2022-04-17 17:26,2 all pro bicycles,0,,,,,,,,,,,,,,,,,,,
28542,25.0,charlotte,https://charlotte.craigslist.org/bop/d/davidson-ursus-jumbo-double-leg/7472414467.html,2022-04-17 12:59,Ursus jumbo double leg kickstand,6,"Ursus Jumbo 80 Kickstand features a double legged center-mount design that's strong enough to stabilize your bike up to 100kg. Ursus Jumbo kickstand is ideal for electric bikes as well as overloaded touring or commuter bikes. . If you ride with a children's seat on your bicycle, URSUS Jumbo Kickstand is a must-have item to keep your bicycle from tipping over when you stop at the park or the ice cream parlor with your child. 300mm length.  Weighs 1180 grams. Made in Italy.  Material: Alloy Length: 300mm Weight: 1180 grams (41.6 oz) Load Capacity: 100 kg capacity Tire width compatibility depends on the position of the stand.  Not designed for fat tires",,,,,,,,,,,,,,,,,,
28543,1.0,charlotte,https://charlotte.craigslist.org/for/d/statesville-trade-for/7469400233.html,2022-04-17 11:01,Trade For???,3,"Looking to trade, please make sure values are close. No bikes please  I have a 2012 Cherokee fifth wheel RV made by Forest River that has only been used two times. It has been covered since however it did have one small leak, nothing major but wanted to disclose to be honest. This is a very rare model with a bunk bed on top and instead of the bottom bunk being setup like traditional bunk beds, it is in its own separate room with closet and door for privacy. Perfect for kids and well worth the money. I paid over $30k for it brand new off of the lot, I am the only owner. I have a clear title in hand. Now low ball offers, this is a steal.",,,,,,,,,,,,,,,,,,
28544,40.0,charlotte,https://charlotte.craigslist.org/mpo/d/used-front-street-tires-120-dunlop-only/7462949697.html,2022-04-17 09:31,USED front street tires 120 Dunlop ONLY 2 LEFT!,2,"2-used - Dunlop 120/70-17 GP-A Pro 7455 medium compound  Pics are of actual tires.  $40/each  I won't have any more of these until April 2022.   They fit on a lot of mini moto bikes with 17"" wheels front and back.  Please consult your manual to see if this is the right size for your bike. I do not keep specifications for bikes.   Check out my other links for other bike stuff.  I am near Rocky River Road and can meet you at either of these places:  Gate gas station 9625 Rocky River Road, Charlotte, NC 28215  Advance Auto Parts 2142 Rocky River Rd, Charlotte, NC 28213",,,,,,,,,, Dunlop,,,, 120 70 17,,,,
28545,140.0,charlotte,https://charlotte.craigslist.org/bik/d/charlotte-thule-bike-rack/7460828229.html,2022-04-17 08:00,Thule Bike Rack,3,THULE Pro 2 Bike Rack.  Secure fit with integrated anti-sway cradles  with 7 “ of spacing between the bikes to prevent contact-  bikes easily secure to the rack using the ratcheting cradle strap design with Rack arms independently adjust and can fold down when not in use. Thule Rack folds up flat for convenient storage.  Selling for 1/2 price at $140.00!, steel, other, Any car fit, other/unknown,,,,,,,,,,,,,,
28546,80.0,charlotte,https://charlotte.craigslist.org/bik/d/fort-mill-schwinn-sidewinder-girls-24/7470022968.html,2022-04-17 07:45,"Schwinn Sidewinder Girls 24"" Bike - Used",15,"Used Schwinn Sidewinder front suspension MTB style bicycle in very good condition. 3x7 Shimano gearing for 21 speeds. Good seat, frame, and full tread on tires. New chain and cables for smooth operation. Tektro brakes and X-Rims.  This bike would be a good fit for an experienced rider 7-10 years old who has outgrown her single speed 20 inch bike and looking for something more advanced but not too much bigger.  Good frame, good seat, and full tread on 24 inch tires. 12 1/2 inch small frame suitable for riders approximately 4'3"" to 5'3"" tall. Cleaned, lubed, and tuned by experienced bike mechanic. Rides, shifts, and stops as it should. Prefer phone calls from local buyers to check it out. If you want it, call me to determine if this is the right bike for you. NO TEXTS SEEKING MY GOOGLE VOICE PASSCODE. Cash and carry only. No shipping. See my other posts for other good used bikes.", steel, kids, Small 12.5 inches, 24 in, good, cantilever, none, other/unknown, suspension fork (hardtail), Schwinn/ Currie, Sidewinder,,,,,,,
