,price,location,url,date,title,numimage,text,condition,makemanufacturer,modelnamenumber,bicycleframematerial,bicycletype,braketype,electricassist,framesize,handlebartype,suspension,wheelsize,sizedimensions,serialnumber,paintcolor,yearmanufactured,days
11,150.0,auburn,https://atlanta.craigslist.org/nat/bik/d/roswell-special-his-hers-huffy-luna/7468956997.html,2022-04-17 18:25,special!! 2 His / hers Huffy luna Bikes!!,11.0,7 speed Front/ seat suspension Shifting beautifully Excellent puncture tek tires Rear kickstand Twist shift Comfort tek Hybrid Gravel/ road/ trails Gold color Great for couple looking to exercise together affordably!!!  ** dropping price today only!!! No brainer deal,4,1.0,1.0,unknown,hybrid/comfort,special,0.0,2,special,1.0,26,0,0,0,0,8
12,125.0,auburn,https://atlanta.craigslist.org/atl/bik/d/snellville-diamondback-wildwood-casual/7472516647.html,2022-04-17 18:04,Diamondback Wildwood Casual Bikes,2.0,"Have 2 Diamondback Wildwood Aluminum frame bikes suitable for casual riding Shimano Tourney and RevoShift components 18"" Medium frames 26 x 2.1"" tires on alloy rims with QD hubs  In the garage for awhile, but actually very little use. $149 each",3,1.0,0.0,aluminum,cruiser,unknown,0.0,2,unknown,0.0,26,0,0,0,0,8
13,30.0,auburn,https://atlanta.craigslist.org/nat/bik/d/buford-kids-12-balance-bikes/7467896294.html,2022-04-17 17:54,"Kids 12"" Balance Bikes",6.0,"Red joystar 12"" ready to tide $30 , Red radio flyer ready to ride $30 text is the best way to reach me",unknown,1.0,0.0,steel,kids,unknown,0.0,1,unknown,0.0,12,0,0,0,0,8
14,30.0,auburn,https://atlanta.craigslist.org/nat/bik/d/buford-girls-12-balance-bikes/7461182358.html,2022-04-17 14:54,"Girls 12"" Balance Bikes",3.0,"Pink and white critical cub 12"" ready to tide $30  text is the best way to reach me",unknown,1.0,1.0,steel,kids,unknown,0.0,1,unknown,0.0,12,0,0,0,0,9
15,30.0,auburn,https://atlanta.craigslist.org/nat/bik/d/buford-girls-12-bikes/7469629033.html,2022-04-17 14:54,"Girls 12"" Bikes",4.0,"Green dora the explorer with training wheels ready to ride $30 , Pink hello kitty with training wheels ready to ride $30 text is the best way to reach me",unknown,1.0,0.0,steel,kids,unknown,0.0,1,unknown,0.0,12,0,0,0,0,9
16,525.0,auburn,https://atlanta.craigslist.org/atl/bik/d/atlanta-2017-se-bikes-so-cal-flyer/7472440178.html,2022-04-17 14:12,2017 SE Bikes So Cal Flyer,6.0,"2017 SE Bikes So Cal Flyer  24” wheels, 3pc cranks, wider aftermarket bars (original bars included as well).  Some normal wear and tear from being ridden. A small tear on the seat, back tire has some wear as well, but both front and back hold air well and function fine. Overall the bike is in great functional shape and rides well.  Cash, PayPal, or Venmo accepted.",4,1.0,1.0,aluminum,bmx,special,0.0,3,special,0.0,24,0,0,0,0,9
17,99.0,auburn,https://atlanta.craigslist.org/atl/bop/d/grayson-saris-grand-slam-bicycle-car/7472368985.html,2022-04-17 10:48,Saris Grand Slam Bicycle Car Carrier 4 Bikes 1 1/4” Hitch,5.0,Saris Grand Slam 4 Bike Carrier for 1 1/4” hitch.  This carrier is in good used condition. It shows a little wear and tear.   An Adapter can be purchased separately so that this carrier can fit a 2 inch hitch.  CASH ONLY  LOCAL PICK UP ONLY  No Returns  No Warranty,3,1.0,1.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,1,0,0,0,9
18,35.0,auburn,https://atlanta.craigslist.org/eat/bik/d/lithonia-top-tube-adapter-for-womens/7470460024.html,2022-04-16 09:08,Top Tube Adapter for Women's Bikes and Full Suspension Bikes,6.0,"Saris - $35 each - I have only 1 of these left Yakima - $40 each - I have only 1 of these left Thule - no longer available  These allow step-thru ladies bike frames, or any bike with a low top tube, like a full suspension bike, or kids bike, to be mounted on a bike rack. The adapter gives the bike a horizontal top tube so that the bike hangs on the rack properly. Non-standard frames are a real pain to strap onto a rack, often ending up hanging crooked and not too secure.  These are very secure. Easy to get on and off. One end of it clips on the handlebar stem under the bars and the other end clips under the seat.  The adapter telescopes longer or shorter to fit the bike.  The adapter becomes the bike's top tube that gets strapped into the rack.  I don't believe bike shops have these currently because of the shortages.   Can meet in a public place. Firm price.    dog",unknown,0.0,0.0,aluminum,road,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,10
19,150.0,auburn,https://atlanta.craigslist.org/atl/bik/d/peachtree-corners-bikes-his-hers/7468568792.html,2022-04-16 08:46,2 Bikes His & Hers,9.0,"1- Vintage Girl's Huffy 314 bike. 24"" wheel in like new condition.  2- Royce Union, 700 Series, 21 speed all Shimano, 26"" wheel, size  medium.  Bikes have been kept inside and are in excellent condition.  They can be purchased seperatly.",4,1.0,1.0,aluminum,hybrid/comfort,special,0.0,3,unknown,0.0,26,0,0,0,0,10
20,500.0,auburn,https://atlanta.craigslist.org/nat/mpo/d/gainesville-wanted-non-running-dirt/7464711696.html,2022-04-16 07:01,Wanted non-running dirt bikes and street bikes,0.0,Looking for bikes that do not run. Dirt or Street. I don't buy anything from China. Text me with pictures and prices.  show contact info,unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,10
21,50.0,auburn,https://atlanta.craigslist.org/nat/bik/d/acworth-pair-of-bikes-good-shape-50-each/7471746691.html,2022-04-15 15:56,"Pair of bikes, good shape, $50 each",4.0,"Asking $50 for one or $100 for both. Both in pretty good shape. They should both ride beautifully once they're tuned up at a bike shop.  Red is 24"", blue is 26""  Must pick up in Acworth.",unknown,0.0,0.0,unknown,mountain,unknown,0.0,2,unknown,0.0,26,0,0,0,0,10
22,50.0,auburn,https://atlanta.craigslist.org/nat/bik/d/cumming-kids-bikes-20-boys-girls-bmx/7464725140.html,2022-04-14 15:35,"2 Kids Bikes 20""; Boys, Girls; BMX, Mountain, Bicycle, Kent",10.0,"1. 20"" Kent 2 Cool BMX Girls Bike (Compare to $98 at Walmart); Used less than an hour like new condition: $40  Any girl would love riding this 2 Cool Bike out with her friends because it's an awesome mix of style and fun. This girls' bike features a durable steel frame with a drop bar to make mounting and dismounting the bike a breeze. It has both a rear foot brake plus dual hand brakes to give the rider improved control over her bike. This 20-inch girls' bike includes single-speed gearing and plastic pedals that will provide her with plenty of power to ride on flat surfaces and small hills. Steel BMX handlebars provide exceptional steering capability. This fun girl's bike comes with a colorful padded seat that will provide a comfortable place to sit while she rides.  Kent 20 In. 2 Cool BMX Girl's Bike, Satin Purple:  Durable steel frame with a drop bar Single speed bike Rear foot brake plus dual hand brakes Wheels/tires: 20"" wheels and tires Steel BMX handlebars Colorful padded seat Kent BMX bike includes a kickstand Dimensions: 55""L x 26""W x 36""H Recommended Age: 8 to 12 Years  2. 20"" Hyper Bike Boys Shocker Mountain Bike (Compare to $138 to Walmart) good condition; $40  Ride off the pavement in the Hyper Bicycles 20"" Boys Shocker Mountain Bike in Black. This kids mountain bike features a lightweight aluminum frame that lets users ride harder for longer. The Shocker includes both rear suspension for a smooth ride on any surface and alloy rims with front and rear linear pull breaks for the ability to stop and go as you please. It features 7 speeds, ensuring versatility in the ride. The bike has comfortable twist shifters with a rear derailleur, allowing riders to change the gears quickly and smoothly. Designed with your comfort in mind, it features a deluxe padded seat, gripped handlebars, and resin platform pedals. This mountain bike has a sleek, black design with blue accents that provides a modern look. The bike can be ridden on a variety of surfaces, allowing for flexibility in where you go with it. Perfect for your off road adventure or weekend leisurely rides, the Hyper Shocker Mountain Bike will help make your rides more enjoyable.  Hyper Bicycles 20"" Boys Shocker Mountain Bike, Kids, Black  Frame: Steel full-suspension with front suspension forks Speed: 7 speed bike has consistent twist shifters with rear derailleur Brakes: Front and rear linear pull brakes Wheels: 20"" spoked Rider Height: 4'2"" - 5'0"" Max Rider Weight: 135 lbs",4,1.0,0.0,aluminum,bmx,unknown,0.0,2,unknown,0.0,20,0,0,0,0,12
23,115.0,auburn,https://atlanta.craigslist.org/nat/bik/d/cleveland-autobike-bicycle-automatic/7460217963.html,2022-04-14 09:43,Autobike Bicycle Automatic Shifting bike bikes rare,0.0,"I have an original AUTOBIKE AUTOMATIC Shift SHIFTING BIKE,$115. It is in Great shape.  Were in CLEVELAND NEXT TO HELEN GA.",unknown,0.0,0.0,steel,cruiser,unknown,0.0,2,unknown,0.0,26,0,0,0,0,12
24,90.0,auburn,https://atlanta.craigslist.org/nat/bik/d/marietta-bike-rack-for-four-bikes/7470398508.html,2022-04-12 14:08,Bike Rack for four bikes,0.0,Fits two inch receiver hitch. Heavy duty. Made by Thule.,3,1.0,1.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,27,0,0,0,0,14
25,1400.0,auburn,https://atlanta.craigslist.org/atl/bik/d/atlanta-2trek-road-bikes-56cm-105/7470342870.html,2022-04-12 12:30,2trek Road bikes 56cm 105 component/,3.0,Two Trek Road bike 56cm Full shimano 105 components! 1400 for both. Or 800 a Peace call or text kevin  show contact info  ASAP !!! Making room for a New Bike,4,0.0,0.0,carbon fiber,road,special,0.0,3,special,0.0,29,0,0,0,0,14
26,140.0,auburn,https://atlanta.craigslist.org/sat/bik/d/newnan-haro-bikes/7468080538.html,2022-04-07 08:42,Haro Bikes,7.0,"Haro Bikes Nyquist new tires, 4130 tube frame.",unknown,0.0,0.0,unknown,bmx,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,19
27,150.0,auburn,https://atlanta.craigslist.org/eat/bop/d/clarkston-two-vintage-bikes-great/7467642361.html,2022-04-06 08:54,Two Vintage Bikes Great Condition,4.0,"Two nice and well-maintained bikes for you and yours. Price is firm, cash only, and please serious inquiries only.",4,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,20
28,118.0,auburn,https://atlanta.craigslist.org/atl/bik/d/atlanta-multiple-bikes-for-sale/7467199720.html,2022-04-05 08:38,Multiple bikes for sale,3.0,"multiple bikes for sale -  cannondale R600 (60cm) - $300 (good condition -probably need new tires) adult cruiser - schwinn $35 (needs tires) 2 kids bikes - novara pixie, nishiki $20 each (needs brakes fixed)",unknown,0.0,0.0,aluminum,road,unknown,0.0,3,unknown,0.0,29,0,0,0,0,21
29,1234.0,auburn,https://atlanta.craigslist.org/nat/mcy/d/dallas-low-mileage-vintage-bikes/7466408144.html,2022-04-03 10:29,LOW MILEAGE VINTAGE BIKES,14.0,"1. 1985 Suzuki Cavalcade 1400 with 52K miles. Cleaned and ploshed, new battery, rear airshocks rides like a dream all stock clear title.  $2355.00  2  1978 Honda GL1000 Goldwing with 62K miles.  New battery, new electronic ignition, new front and rear tires, new front brake master cylinder, polished wheels and motor, new plugs, new oil and filter. Beautiful bike bill of sale.  SOLD  3.  1975 Honda GL1000 Goldwing with 20K miles. New battery, new front brake master cylinder, new OEM seat, new exhaust, new front and rear brakes, rebuilt rear brake master cylinder, polished chrome and aluminum, rebuilt and synced carbs. Bike sounds awesome, clear title.  SOLD  4, 1980 Honda CB650 Custom with 17K miles. New battery, new front brake master cylinder, new seat cover, beautiful instrument cluster, new front and tear tires, new oil and filter, polished motor, 4 into one exhaust, rebuilt and synced carbs. Bike is a little loud...can not get the carbs right.  Bill of sale.  $1585.00",unknown,0.0,0.0,aluminum,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,23
30,20.0,auburn,https://atlanta.craigslist.org/nat/bop/d/atlanta-new-bikemate-computers-in/7464767806.html,2022-04-02 11:25,2 New Bikemate Computers in Clamshell works on all bikes!,3.0,"I got these for my wife and I and then ended up not using them. They work on Road bikes, mountain bikes, and hybrids.  show contact info",unknown,0.0,0.0,unknown,mountain,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,24
31,150.0,auburn,https://atlanta.craigslist.org/nat/bik/d/marietta-cool-retro-bikes/7453188313.html,2022-04-01 09:32,COOL Retro bikes,0.0,I have 3 pair of his/hers retro bicycles plus a few other very cool bikes that I refurbish(not restore) for fun. call Glenn for more information or test ride...770-565-610six.  Schwinns...Raleighs...Nishikis...1 Fuji....etc...from $150 to $350  Over 30 bikes to choose from...all sizes...cruisers and drop bars..a few mtb bikes too.,unknown,1.0,0.0,steel,cruiser,unknown,0.0,unknown,unknown,0.0,27,0,0,0,0,25
32,325.0,auburn,https://bham.craigslist.org/bik/d/pelham-hybrid-bikes/7464789998.html,2022-03-30 10:19,Hybrid Bikes (2),3.0,"Good condition, bought and maintained by Cahaba Cycle, Oak Mountain location Always garaged, between Rails-to-Trails trips   Vintage Giant Iguana, Hybrid, (2000) - Hard tail, rigid forks, spring seat tube - Shimano components, 21-gear - 26 X 2.00 wheels; new, low mileage Bondrager 2” tires/tubes - Seat tube length: 16” (frame), chromo - Rear package carrier, with included trip bag, Bell  Vintage, Specialized Hard Rock, Hybrid (2003) - Hard tail, rigid forks - Shimano components, 21-gear, recent chain - 26 X 2.00 wheels; new, low mileage Bondrager 2” tires/tubes - Seat tube length: 16” (frame), chromo",3,0.0,0.0,alloy,mountain,unknown,0.0,2,unknown,0.0,26,0,0,0,0,27
33,275.0,auburn,https://atlanta.craigslist.org/nat/bik/d/cumming-ns-bikes-holy/7464473067.html,2022-03-29 14:29,NS Bikes Holy,0.0,Like new condition. It may have a single mile of use on it. Great trials bike!,4,1.0,1.0,unknown,unknown,unknown,0.0,2,unknown,0.0,unknown,0,0,0,0,28
34,175.0,auburn,https://atlanta.craigslist.org/nat/atq/d/winder-antique-bikes/7452044726.html,2022-03-28 11:14,Antique Bikes,7.0,2 vintage/ Antique Bikes. $175 each or will trade for small utility trailer or possibly woodworking tools. Complete (hard to find) restorable condition. No dents! Rims are straight! Has some rust (mostly surface) but not heavy rust!,3,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,29
35,250.0,auburn,https://atlanta.craigslist.org/atl/bik/d/atlanta-nearly-new-kids-bikes/7463737252.html,2022-03-27 18:16,2 Nearly New Kids Bikes,2.0,"This is a rare bike. A real road bike for kids. As light and well-equipped as a starter racing bike for adults, the Ace 24 is perfect for the little speed demon in your family.  What the bike does have is 14 speeds, quality wheels and brakes and cool styling. The Ace 24 will work pretty well for most kids in the 8 to 12 year age range.  With 24″ wheel, reduced length cranks, a narrow handlebar, and small-size brake levers, this bike will fit just right. With an another Atlanta summer coming up, you can make some great use out of these bikes. $250 each or $400 for both, the blue one is a bit bigger, but both are in great condition.",4,1.0,1.0,unknown,kids,unknown,0.0,unknown,unknown,0.0,24,0,1,0,0,29
36,25.0,auburn,https://atlanta.craigslist.org/nat/bik/d/peachtree-corners-bell-bike-carrier-for/7463641286.html,2022-03-27 14:28,Bell bike carrier for two bikes,0.0,"Only used a few times - excellent condition.  Honest, reliable seller!",4,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,30
37,1499.0,auburn,https://atlanta.craigslist.org/nat/hab/d/buford-expresso-go-bikes/7463407473.html,2022-03-26 20:16,expresso GO bikes,2.0,MSRP $4299 Sale $1499  Commercial grade   Better than peloton   Interactive   6 month warranty,unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,30
38,200.0,auburn,https://dothan.craigslist.org/mpo/d/dothan-want-to-buy-scooters-dirt-bikes/7462076225.html,2022-03-23 16:19,WANT TO BUY SCOOTERS & DIRT BIKES,4.0,Im looking to buy old or newer scooters (& dirt bikes) that run or do not run . Parts scooters or complete scooters (AND DIRT BIKES) that just need work or restoring.. will to pay fair prices depnding on what or how many you have .. if you have something please call/text me at the number in the picture .,unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,33
39,300.0,auburn,https://columbusga.craigslist.org/bik/d/phenix-city-bikes/7461605554.html,2022-03-22 15:50,4 bikes,0.0,I have 4 bikes 2 are cruisers 2 are regular bikes I can post pictures if message me,unknown,0.0,0.0,unknown,cruiser,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,34
40,200.0,auburn,https://dothan.craigslist.org/bik/d/marianna-bikes/7461266160.html,2022-03-21 18:33,3 bikes,0.0,Three mountain bikes needs a little work $200 obo,unknown,0.0,0.0,alloy,mountain,unknown,0.0,unknown,unknown,0.0,25,0,0,0,0,35
41,950.0,auburn,https://atlanta.craigslist.org/atl/mpo/d/atlanta-2009-yamaha-vino/7472979295.html,2022-04-18 20:04,2009 Yamaha Vino,6.0,Real Yamaha Vino Classic. THIS IS NOT A CHEAP JAPANESE BIKE...THIS IS A COLLECTOR BIKE. This bike typically goes for $1400 but I'm selling it for ONLY $950. I sale bikes. This is the last one! DON'T MISS OUT! PHONE CALLS ONLY. IF YOU ARE NOT SERIOUS DO NOT CALL,3,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,7
42,245.0,auburn,https://atlanta.craigslist.org/eat/bik/d/lithonia-ladies-schwinn-hybrid-full/7472876128.html,2022-04-18 16:08,Ladies Schwinn Hybrid full refurb Fits 5ft5 to 6ft,22.0,"2015 Schwinn Clear Creek hybrid road bike in very pretty condition.  The bike was completely disassembled, deep cleaned, and rebuilt, piece by piece. It has new stainless steel cables, new cable housings, and new internal ball bearings. Everything works perfectly. And it rides nice and smooth.... Better than new, as mass assembled bikes don't get a mechanic's touch during build-out, often needing grease around the bearings and adjustments to most components. This one also had cheap galvanized cables on it that would rust. Those have all been replaced.  The bike has a 15 inch frame measured from the bottom bracket to the top of the seat tube. I would call this a medium size bike. A rider around 5ft5 to around 6'0 should fit fine.  The bike was completely disassembled. All the components and the drivetrain were removed, deep-cleaned, and adjusted. The front shock was removed and the headset bearings were replaced, greased, and the headset was adjusted. The wheelhub bearings were all replaced, greased, and adjusted. The internal cups and cones where all these bearings travel were all deep-cleaned to provide the cleanest and smoothest surface possible. The wheelhubs are now buttery smooth. The bottom bracket was rebuilt with new ball bearings and fresh grease, and tightened correctly. The wheels were trued, the rims and spokes were individually cleaned. The frame was cleaned and polished. The brake calipers and levers, shifters, derailleurs, cranks and chainrings, and drivetrain were all disassembled and rebuilt. There's not a nut or bolt on the bike I haven't touched.  This is a 21-speed comfort road bike with a step thru frame. The bike has street tires(700c). It has a front shock. The bike has Shimano Tourney derailleurs. It has a Shimano grip shifters. The bike has a shock absorbing seat post and matching seat and grips. The wheels have lightweight alloy rims and hubs, and have nice tires with excellent tread. The bike also has an alloy stem, alloy handlebar, and alloy seatpost to keep things light-ish. The frame is very pretty and is in like new condition.  Due to the vast amount of spam, please put the word DOG into your email and I will reply.   Use the ""more ads by this user"" link to see my other bikes. Link is located on the right side of the ad.    Old grease, combined with dirt, will harden and damage the operation of the bearings. This will cause internal damage, and can make your bike dangerous(especially with the headset bearings which allow you to steer). If you're looking to buy any used bike, find out when the last time the bearings were overhauled (not just a ""tune-up""). If it has not been done in 5 yrs, I strongly recommend having it done.",3,0.0,0.0,aluminum,road,unknown,0.0,1,unknown,0.0,29,0,0,0,0,7
43,375.0,auburn,https://atlanta.craigslist.org/eat/bik/d/lithonia-trek-madone-carbon-frame-fork/7471962812.html,2022-04-18 14:18,Trek Madone Carbon Frame & Fork w Headset & Bottom Bracket & Stem,22.0,"2006 Trek Madone 5.5 frame, OCLV 120 carbon aero. 130mm dropout spacing. Bontrager Race X Lite fork, carbon; 260mm steerer tube length; 100mm hub spacing  Cane Creek S-3 headset w/cartridge bearings, sealed. Original equipment. Shimano Dura Ace SM-FC7800 bottom bracket. Original equipment.  Bontager RL 70mm stem w/ 31.8 clamp; With stem top cap(headset cap) & bolt. Carbon fiber spacers. 1 x 20mm, 1 x 10mm, 2 x 5mm. Original equipment.  The frame is 60cm, measured from the center of the bottom bracket to the top of the seat tube. The top tube length(EFF) measures 58.2cm from center to center.  This frame was a warranty repair done by Trek to fix a defective derailleur hanger.  The frame was originally red.  archive.trekbikes.com/us/en/2006/trek/madone55#/us/en/2006/trek/madone55/details When the repair was done Trek would not restore the original paint scheme or original decals to it. The owner was asked what color he preferred. Trek repainted it, and applied the decals and clear coat.   I have disassembled the frame, fork, and components. They were cleaned, regreased where needed, and reassembled.  The headset and bottom bracket are both very smooth. The frame and fork are in very pretty condition. There are some very small scuffs and scratches to the paint.  Due to the vast amount of spam, please put the word DOG into your email and I will reply.   Use the ""more ads by this user"" link to see my other bikes. The link is located on the right side of this ad",3,0.0,0.0,carbon fiber,road,unknown,0.0,3,unknown,0.0,29,0,0,0,0,8
44,35.0,auburn,https://atlanta.craigslist.org/atl/for/d/atlanta-reliable-allen-trunk-mount-bike/7472755933.html,2022-04-18 12:30,reliable Allen trunk mount bike rack,2.0,"two bike, trunk mountable, Allen bike rack. used, but in good condition. This bike rack has never let me down.. super easy to mount onto my hatchback car and is still sturdy with two bikes on there.",4,1.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
45,100.0,auburn,https://atlanta.craigslist.org/nat/bop/d/jasper-thule-expressway-bike-rack/7472750085.html,2022-04-18 12:20,Thule 995/996 Expressway Bike Rack,0.0,"Must have a 2"" trailer hitch. Holds 4 bikes Have all pieces (straps, lock, wrenches) Made in Sweden",unknown,0.0,0.0,unknown,unknown,unknown,0.0,unknown,unknown,0.0,unknown,0,0,0,0,8
