,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,text,serial number,part type,size / dimensions
5061,300.0,ventura,https://ventura.craigslist.org/app/d/westlake-village-bikes/7462162947.html,2022-03-23 18:15,bikes,3,,,, fair,,,,,,,,three bikes - (1) raleigh SC30. (1) tourster (1)Deuce,,,
5062,100.0,ventura,https://ventura.craigslist.org/bik/d/oxnard-bikes-for-sale/7461515593.html,2022-03-22 09:59,Bikes for sale,9, other/unknown, other,,,, Unknown,,,,, other/unknown,I am selling 2 bikes in great working condition   100 each,,,
5063,70.0,ventura,https://ventura.craigslist.org/bik/d/moorpark-new-kids-huffy-bikes/7460882248.html,2022-03-20 19:56,New Kid’s Huffy Bikes,0,,,,,,,,,,,,,,,
5064,799.0,ventura,https://ventura.craigslist.org/bik/d/ventura-20-fat-tire-electric-folding/7471671160.html,2022-04-18 18:12,"20"" Fat tire Electric folding 500w new bike like Sondors",10, aluminum, hybrid/comfort, disc (mechanical), new, throttle, Medium, flat, Aostirmotor, A20, suspension fork (hardtail), 20 in,"I have a couple of New Aostirmotor A20 electric bikes for sale that can be used with throttle or pedal assist. Wholesale pricing that come in either professionally assembled for $849 or new in the box for $799 each out the door. Price is firm and the best deal you will ever find!  500W Motor and Removable Lithium Battery: 500W motor which has Strong driving force suitable for long range riding. Bike is designed with removable 36V, 13 Ah Lithium Battery with a charging time of 4-6 hours and supports 28 mph speed.  6061 Aluminum Alloy Frame: The line design is full and the appearance is stylish.  Easy to Assemble and High Quality: 90% Pre-assembled, AOSTIRMOTOR Fat Tire folding electric bike using light and strong 6061 aluminum alloy frame. It’s equipped with 866 LCD, front light, optional rear shelf, F/R disc brake, SHIMANO Outer 7 speed.  Adapt to Complex Topography: AOSTIRMOTOR folding electric bike is using 20×4.0 inch fat tires, providing great traction, you’ll have no problem cruising over beach, snow, gravel, rain, dirt, sand even ice and enjoying the ultimate electric biking adventure.  Three Working Modes: AOSTIRMOTOR A20 folding electric bike Features three Working Modes including Ebike, Pedal Assist & Normal Pedal Modes.  Specifications: Battery: 36V, 13 Ah lithium battery Motor: 500W motor Controller: 36V, 22A Sener: PAS intelligent pedal assistant system Charge Time: 4-6 hours Max Speed: 28 mph Range Distance: 30-45 miles Brake: F/R disc brake Brake Light: With front light Display: 866-LCD Frame: 6061 aluminum alloy Fork: Al alloy rigid fork Throttle: With Saddle: City type SR Tire: 20×4.0 tire Derailleur: Outer 7 speed Rear suspension: No  Delivery - possible.",,,
5065,13500.0,ventura,https://ventura.craigslist.org/grd/d/simi-valley-beautiful-rocky-mountain/7462943625.html,2022-04-18 16:40,BEAUTIFUL ROCKY MOUNTAIN HORSE FOR SALE,3,,,, excellent,,,,,,,,"Birdie is a beautiful, sweet, gaited Rocky Mountain mare for sale and for lease.  She has a chill temperament and is always easy to handle.  She has nice smooth gaits and has been in professional training for over 9 months.  She is ridden on the trail by herself in out local park full of people, bikes, kids, dogs, you name it.  She walks down the street and is okay with cars and bikes whizzing by, not spooky. She is a big girl with a lot of love to give.  She moves out nicely and likes to go.  No vices!  No pulling back, rear, buck, or bolting.   She walks right into a trailer and has been ridden all over Kentucky.  She stands quietly to be saddled, lunges, fly spray ok, good for farrier etc.  I am selling her because I think my riding days are over... I spend so much time watching my daughter ride, and just got a boat.  She is a very nice horse. She also comes with a breeding to a top rated Rocky Mountain Stallion.  She is 11 years old and 15.2 H.  She is currently boarded in Moorpark with 2 lighted arenas and tons of beautiful trails in Happy Camp. 1/2 lease would be $315 per month, full lease would be $630 per month. See her videos on YouTube:  https://youtu.be/MW8I-owKTZE https://youtu.be/ubEfvwy3kpU https://youtu.be/weK4FSAmorI",,,
5066,250.0,ventura,https://ventura.craigslist.org/bik/d/camarillo-cannondale-full-suspension/7472952961.html,2022-04-18 15:54,"Cannondale Full Suspension, Fox Shox, Trade 4 Electric Guitar",0,,,,,,,,,,,,,,,
5067,10.0,ventura,https://ventura.craigslist.org/bik/d/ojai-child-balance-bike-banana-pink/7472851082.html,2022-04-18 12:20,"Child Balance Bike: Banana, pink",0,,,,,,,,,,,,,,,
5068,1195.0,ventura,https://ventura.craigslist.org/spo/d/simi-valley-schwinn-carbon-blue-spin/7463458880.html,2022-04-18 11:26,Schwinn CARBON BLUE Spin Bike CARDIO Indoor Cycling EXERCISE BIKE Spin,5,,,,,,,,,,,,"INDOOR CYCLING EXERCISE BIKE SPIN BIKE SPINNING  PRICE DROP FROM $1495!!  EXCELLENT CONDITION  - COMES WITH ECHELON 2 CONSOLE w/ POWER UPGRADE ($600 upgrade)! - TRIPLE LINK PEDALS (SPD; Look Delta; Toe Cages) ($180 upgrade). - BODY BARS (4 AND 6LB) + RACK ($200 upgrade)  There are limited number of bikes available.  It's a GREAT BIKE!!  DELIVERY AVAILABLE.  You know this bike, which is why you're looking at this. You know all the specs then, most likely. If you need detail, I'll get it to you.  The ride is as you would expect and just a great bike. So, here's an opportunity to have a Carbon Blue in your home for 1/2 of the price of purchasing a new one.",,,
5069,775.0,ventura,https://ventura.craigslist.org/spo/d/thousand-oaks-schwinn-carbon-blue-spin/7471804712.html,2022-04-18 11:20,Schwinn Carbon Blue Spin Bike SPINNING Indoor Cycle Exercise Bike,16,,,, excellent,,,, Schwinn, AC Performance Carbon Blue,,,"Awesome spin bike! Top commercial grade. GREAT DEAL!!!!!!!!  INCLUDES: - Echelon2 console + power upgrade!! - Triple Link Pedals (w/ toe cages)  ATTN: Studio owners / managers -- IF you're looking for multiple bikes for your studio -- I have over 30 of these!!!  Used, in excellent condition! It works great and no issues.  And, it looks good!!!  Of course, its' used, so hold expectations accurately -- there are signs of usage (i.e. stabilizer covers have marks from people stepping on it with clip shoes; there may be a small scratch here or ther; or, some touch-up paint in small areas; etc.). Nothing that would be unexpected.    THE BIKE WORKS PERFECT!!!  If you are OK with some cosmetic imperfections (and, I'm ONLY saying this so you know going into it... but, also -- I HAVE VERY HIGH STANDARDS.  So, what I may note, may not mean anything to you).  Pictures of actual bikes!  THEY ARE CLEAN!!  AND, THEY LOOK GREAT!!  INCLUDES:  - Echelon2 console + power upgrade!!  - Triple Link Pedals (w/ toe cages)  Delivery is also available (charge, TBD)",,,
5070,2000.0,ventura,https://ventura.craigslist.org/bik/d/camarillo-70-miles-ebike/7460447920.html,2022-03-19 15:36,70+ miles EBIKE,4, steel, other,,,, Medium  5'4-6'0,, juiced Bikes, Rip Current S,, other/unknown,"I have a Juiced Ebike Rip Current S     You can look up the bike on there website 28 Mph 70+ mile range of battery 52v 19.2Ah also have an added suspension on the seat also has suspension on the front end I have had the bike for 1 year 3065 miles New back tire and tube  Range 70+ Miles Speed 28 MPH Bike Weight 76lbs (65lbs w/o battery) Suspension Front Air Suspension Tires 26""x4""  Classification Up to Class 3 Weight Capacity 275 lbs Transmission 9-Speed Cassette  Pedal Assist Cadence & Upgraded Torque Sensors Max Load 300lbs Extras Rack & Fenders",,,
5071,200.0,ventura,https://ventura.craigslist.org/bop/d/camarillo-thule-raceway-bike-rack/7472775137.html,2022-04-18 10:04,Thule Raceway 2 Bike Rack,0,,,,,,,,,,,,"LIKE NEW- Strong, secure, and easy-to-use premium hanging-style trunk bike rack (for 2 bikes). Maximum security and quick vechicle install with Sure-Tight ratcheting cables Quick and easy install on the vehicle thanks to the smart FitDial system Bike-to-bike contact prevented by no-sway cages Soft cradles secure the bikes to the rack and absorbs road shock and vibrations Locks the bikes to the bike rack and the bike rack to the car (locks included) Bike rack arms can be narrowed to easily fit a variety of bike frame shapes Bike rack arms can fold down when not in use Folds up flat for convenient storage TECHNICAL SPECIFICATIONS Max number of bikes	2 Load capacity	70 lb Max bike weight	35 lb Dimensions	23 x 24 x 33 in Folded dimensions	23 x 24 x 21 in Weight	22.4 lb One Key System compatible	 Y Lockable bike-to-rack	 Y Lockable rack-to-vehicle  Y",," lights, computers, accessories",
5072,1950.0,ventura,https://ventura.craigslist.org/fuo/d/simi-valley-foot-golden-west-pool/7472773904.html,2022-04-18 10:02,"8 foot golden west POOL TABLE,accessories too",0,,,, like new,,,,,,,,"8 foot golden west POOL TABLE,accessories too  - condition like new - 3 piece slate - complete with accessories - new felt top  delivery/setup INCLUDED $1,950 calls only please: 21three__5four5__604one                              Price is Firm # I have 2 of these bikes just alike training wheels - handle bar pad coaster brake quick release adjustable seat - chain guard Chain guard ready 2 ride trade ins welcome have other bikes we repair bikes credit cards welcome 5% extra Poinciana FL 34758 Vintage coffee table by Gordon’s Inc. Designed in the chinoiserie style, this table is constructed of solid wood and features floral brass bracket accents on the upper corners of the legs. Table top has 4 beveled glass inserts.  Dark mahogany color 38” square, 16” H  Does have some wear around the top edges and some knicks/scratches to the top, but this table is sturdy and has lots of life left! Nine piece chili set from The Main Ingredients. In excellent condition. Includes four bowls, salt and pepper shakers, condiment tray and large serving bowl with top. Microwave and dishwasher safe. BENCHMADE LIMITED EDITION CPM-S30V BLUE CLASS...GRIZZLY RIDGE VERY NICE... KNIFE KNIVES $200.00 FIRM   delivery/setup INCLUDED $2,850 calls only please: 9/5/1/6/6/five/eight/seven/1/8     Price is Firm # I have 2 of these bikes just alike training wheels - handle bar pad coaster brake quick release adjustable seat - chain guard Chain guard ready 2 ride trade ins welcome have other bikes we repair bikes credit cards welcome 5% extra Poinciana FL 34758 Vintage coffee table by Gordon’s Inc. Designed in the chinoiserie style, this table is constructed of solid wood and features floral brass bracket accents on the upper corners of the legs. Table top has 4 beveled glass inserts.  Dark mahogany color 38” square, 16” H  Does have some wear around the top edges and some knicks/scratches to the top, but this table is sturdy and has lots of life left! Nine piece chili set from The Main Ingredients. In excellent condition. Includes four bowls, salt and pepper shakers, condiment tray and large serving bowl with top. Microwave and dishwasher safe. BENCHMADE LIMITED EDITION CPM-S30V BLUE CLASS...GRIZZLY RIDGE VERY NICE... KNIFE KNIVES $200.00 FIRM",,,
5073,4200.0,ventura,https://ventura.craigslist.org/fuo/d/camarillo-foot-custom-design-pool/7463093169.html,2022-04-18 10:01,"8 foot custom design POOL TABLE,accessories too",2,,,, like new,,,,,,,,"8 foot custom design POOL TABLE,accessories too  - condition like new - 3 piece slate - complete with accessories - new felt top  delivery/setup INCLUDED $4,200 calls only please: 21three__5four5__604one                                   Price is Firm # I have 2 of these bikes just alike training wheels - handle bar pad coaster brake quick release adjustable seat - chain guard Chain guard ready 2 ride trade ins welcome have other bikes we repair bikes credit cards welcome 5% extra Poinciana FL 34758 Vintage coffee table by Gordon’s Inc. Designed in the chinoiserie style, this table is constructed of solid wood and features floral brass bracket accents on the upper corners of the legs. Table top has 4 beveled glass inserts.  Dark mahogany color 38” square, 16” H  Does have some wear around the top edges and some knicks/scratches to the top, but this table is sturdy and has lots of life left! Nine piece chili set from The Main Ingredients. In excellent condition. Includes four bowls, salt and pepper shakers, condiment tray and large serving bowl with top. Microwave and dishwasher safe. BENCHMADE LIMITED EDITION CPM-S30V BLUE CLASS...GRIZZLY RIDGE VERY NICE... KNIFE KNIVES $200.00 FIRM   delivery/setup INCLUDED $2,850 calls only please: 9/5/1/6/6/five/eight/seven/1/8     Price is Firm # I have 2 of these bikes just alike training wheels - handle bar pad coaster brake quick release adjustable seat - chain guard Chain guard ready 2 ride trade ins welcome have other bikes we repair bikes credit cards welcome 5% extra Poinciana FL 34758 Vintage coffee table by Gordon’s Inc. Designed in the chinoiserie style, this table is constructed of solid wood and features floral brass bracket accents on the upper corners of the legs. Table top has 4 beveled glass inserts.  Dark mahogany color 38” square, 16” H  Does have some wear around the top edges and some knicks/scratches to the top, but this table is sturdy and has lots of life left! Nine piece chili set from The Main Ingredients. In excellent condition. Includes four bowls, salt and pepper shakers, condiment tray and large serving bowl with top. Microwave and dishwasher safe. BENCHMADE LIMITED EDITION CPM-S30V BLUE CLASS...GRIZZLY RIDGE VERY NICE... KNIFE KNIVES $200.00 FIRM",,,
5074,550.0,ventura,https://ventura.craigslist.org/for/d/oxnard-50cc-dirt-bike/7463076245.html,2022-04-17 16:56,50cc dirt bike,2,,,, new,,,,,,,,"Brand new dirtbikes available, delivery included to you and assembly included on the bike.  Gas powered 2 stroke 50cc dirt bikes!  Brand new 50cc 2 stroke gas powered dirt bikes available!  We finance! $0 Down! 4 months Zero interest! some cases $50 down.  We have different sizes for the entire family !",,,
5075,150.0,ventura,https://ventura.craigslist.org/bik/d/ojai-kids-public-sprout-16/7472533504.html,2022-04-17 16:04,"Kids PUBLIC Sprout 16""",0, other/unknown, kids,, like new,," Kids 16""",,,,, 16 in,"We got this last summer for my daughter, she outgrew it super fast so it's in really good condition...  Even the white tires look almost new! We kept in garage so it's clean too.  https://publicbikes.com/collections/kids-bikes/products/sprout-c-16",,,
