,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,brake type,make / manufacturer,suspension,electric assist,handlebar type,model name / number,serial number
8340,1300.0,orlando,https://orlando.craigslist.org/mcy/d/orlando-125cc-dirt-bike-out-the-door/7469944988.html,2022-04-11 14:06,125cc DIRT BIKE | $1200-1500 out the door Dirt Bikes | Adult & Kid,,,,,17,"⭐ Brand new year 2022 Dirt Bike ⭐ 125cc! The adult Dirt Bikes are $1100-$1500 out the door! 352-877-1679 call or text  WHOLESALE PRICING Many options & color selections. Adult Full size or Teenager sizes. Speed of 60+ mph, reliable 4-stroke engines. Will also come with a tool set, goggles and gloves. Small kids bikes also available. Small size ATV 125cc $1,500. 2 sets of key. Many other styles available just ask for photos.  Call or text anytime: ☎  352 | 877 | 1679 FREE same day DELIVERY         _____________________________________ TAGS:  motorcross bikes, dirt bike, motorcycle, Pit bike, pitbike, dirtbike, dirtbikes, dirt bikes, dirt, bike, bikes, minibike, mini bike, mini-bikes, minibikes, kids pitbike, kid pit bike, gas mini bike, motorcycles, motorcross bike, motocross bike, motocross bikes, electric bike, electric pit bike, electric minibike, coolster dirt bike, kids dirt bike, adult pitbike, adult dirt bikes, kids dirtbikes, Coolster dirtbikes, ATV, ATV's, ATVs 4x4, 4x4 four-wheelers, 4x4 atv, 4wheeler, 49cc, 50cc, 110cc, 90cc, 125cc, 150cc, 200cc, 250cc, 259cc, 300cc, 450cc, 400cc, parts, honda dirt bike, suzuki rm, suzuki rm250, suzuki rm125cc, dirt bike parts, atv parts, tao tao, taotao dirt bike, taotao pitbike, apollo dirt bike, apollo dirtbikes, Coolster dirt bike, coolster dirtbikes, honda dirt bikes, yamaha dirt bikes, yamaha dirt bike, 4 Wheeler, 2 stroke dirt bike, 4 stroke dirt bike, 2 stroke, 4stroke, 4 stroke, 2-strokes, 4-stroke dirt bike, Motorcycle, Dirt Bike, Club Cart, Side by Side, KTM 250, Yamaha YZ125, Honda CRF450, KTM 150 SX, Husqvarna TC 250, Kawasaki KLX 300, taotao ATVs, apollo atvs, apollo atv, coolster atv, coolster atvs, Kawasaki atv, kawasaki ATVs, honda atv, honda atvs, honda dirt bike, honda dirtbikes, honda dirtbikes, honda dirt bikes, yamaha dirtbike, suzuki atv, Suzuki ATVs, Suzuki dirtbike, Suzuki dirt bike, Suzuki dirt bikes, KTM dirt bikes, KTM, fastest dirt bike, club cart, mopeds, gas scooters, trailers, gas scooter, electric scooters, electric moped, gas powered atv, gas powered scooter, gas powered dirt bike, kids gas powered dirt bike, honda 250, kawasaki 250, yamaha 250, suzuki 250, KTM 250, honda 250cc, kawasaki 250cc, yamaha 250cc, suzuki 250cc, KTM 250cc, honda 125, kawasaki 125, yamaha 125, suzuki 125, KTM 125, honda 125cc, kawasaki 125cc, yamaha 125cc, suzuki 125cc, KTM 125cc, apollo 125, apollo 125cc, coolster 125, coolster 125cc, apollo 250, apollo 250cc, xpro, x pro, x-pro, x pro dirt bike, x pro atv, xpro dirtbikes, xpro dirt bikes, x-pro dirtbikes, titan dirt bike, x18 dirt bike, z20 dirt bike, z20 max dirt bike, z20, x4, x9, x14, db14, db36, rx, pitster pro, pitster dirt bike, pitster dirtbike, pitster dirtbikes, pitster dirt bikes, SSR dirt bike, SSR dirtbikes, SSR 125cc, SSR 110cc, SSR 250cc, ssr 125cc dirt bike, SSR pitster, SSR pit bike, SSR 125cc, ssr 125cc dirt dike, ssr 150 dirt bike, can am dirt bike, can am bike, canam atv, can am atv, can-am dirt bike, Can-am atvs, Can-am atv, Can-am ryker, harley davidson, kawasaki ninja, banshee atv  Ocala, Orlando, Clermont, The Villages, Silver Springs Shores, Palatka, Gainesville, Jacksonville, Tampa, Marion County, Flagler Beach, St. Augustine, Wilton Manors, Alachua, Pinellas Park, Midway, Lake Worth, Jacksonville Beach, Blountstown, South Miami, Mount Dora, Miami Springs, Altha, Sebring, Graceville, Center Hill, Leon, Carrabelle, Miami, Gulf, Kenneth City, Pasco, Fort Myers Beach, Biscayne Park, Hastings, Longwood, Homestead, Marion Oaks, Silver Springs Shores, Gainesville, Crystal River, Clearwater, Indian Harbour Beach, Quincy, Marineland, Gulf Stream, Deland, Okeechobee, Port Orange, Aventura, Marco Island, Longboat Key, Inglis, Callaway, North Palm Beach, Sneads, Boca Raton, Belleair Beach, Manatee, Bonifay, Stuart, Redington Shores, Branford, Atlantic Beach, Calhoun, Oldsmar, Fanning Springs, Lantana, Windermere, Doral, Coral Springs, Union, Safety Harbor, LaCrosse, Caryville, Noma, Bunnell, Cross City, DeSoto, Everglades City, Deltona, Jasper, Kissimmee, Walton, Fruitland Park, Cocoa Beach, Tarpon Springs, Osceola, Beverly Beach, Broward, Palm Beach, Haverhill, Bradford, Clermont, Orchid, Chiefland, Marion, Bristol, San Antonio, Glen Ridge, Fernandina Beach, Indian Rocks Beach, Waldo, Montverde, South Pasadena, Madison, Parker, Orange Park, St. Marks, Welaka, Melbourne, Winter Haven, Parkland, Dixie, Lake Park, Okeechobee, Apopka, Pompano Beach, Wauchula, Trenton, Columbia, Keystone Heights, Eatonville, Jefferson, Highland Beach, Sanford, Micanopy, Crestview, Tamarac, Titusville, Indialantic, Coconut Creek, Pembroke Pines, Bradenton Beach, West Palm Beach, Oviedo, Freeport, El Portal, Boynton Beach, Daytona Beach, Bradenton, Edgewood, Sarasota, Ponce Inlet, Green Cove Springs, Largo,",,,,,,,,
8341,1300.0,orlando,https://orlando.craigslist.org/mcy/d/orlando-100cc-250cc-dirt-bike-cheap/7469781323.html,2022-04-11 09:05,100cc-250cc DIRT BIKE | cheap $1200-1500 Dirt Bikes | Adult & Kid ATV,,,,,12,"⭐ Brand new year 2022 Dirt Bike ⭐ 125cc!  WHOLESALE PRICES Many options & color selections. Adult Full size or Teenager sizes. Teen and Adult Dirt Bikes are $1100-$1500 out the door! . Speed of 61+ mph, reliable 4-stroke engines. Will also come with a tool set, goggles and gloves. Small kids bikes also available. Small size ATV 125cc $1,500. 2 sets of key. Many other styles available just ask for photos.    Call / text anytime: ☎   352  | 877  |  1679  FREE same day delivery         _____________________________________ TAGS:  motorcross bikes, dirt bike, motorcycle, Pit bike, pitbike, dirtbike, dirtbikes, dirt bikes, dirt, bike, bikes, minibike, mini bike, mini-bikes, minibikes, kids pitbike, kid pit bike, gas mini bike, motorcycles, motorcross bike, motocross bike, motocross bikes, electric bike, electric pit bike, electric minibike, coolster dirt bike, kids dirt bike, adult pitbike, adult dirt bikes, kids dirtbikes, Coolster dirtbikes, ATV, ATV's, ATVs 4x4, 4x4 four-wheelers, 4x4 atv, 4wheeler, 49cc, 50cc, 110cc, 90cc, 125cc, 150cc, 200cc, 250cc, 259cc, 300cc, 450cc, 400cc, parts, honda dirt bike, suzuki rm, suzuki rm250, suzuki rm125cc, dirt bike parts, atv parts, tao tao, taotao dirt bike, taotao pitbike, apollo dirt bike, apollo dirtbikes, Coolster dirt bike, coolster dirtbikes, honda dirt bikes, yamaha dirt bikes, yamaha dirt bike, 4 Wheeler, 2 stroke dirt bike, 4 stroke dirt bike, 2 stroke, 4stroke, 4 stroke, 2-strokes, 4-stroke dirt bike, Motorcycle, Dirt Bike, Club Cart, Side by Side, KTM 250, Yamaha YZ125, Honda CRF450, KTM 150 SX, Husqvarna TC 250, Kawasaki KLX 300,  taotao ATVs, apollo atvs, apollo atv, coolster atv, coolster atvs, Kawasaki atv, kawasaki ATVs, honda atv, honda atvs, honda dirt bike, honda dirtbikes, honda dirtbikes, honda dirt bikes, yamaha dirtbike, suzuki atv, Suzuki ATVs, Suzuki dirtbike, Suzuki dirt bike, Suzuki dirt bikes, KTM dirt bikes, KTM, fastest dirt bike, club cart, mopeds, gas scooters, trailers, gas scooter, electric scooters, electric moped, gas powered atv, gas powered scooter, gas powered dirt bike, kids gas powered dirt bike, honda 250, kawasaki 250, yamaha 250, suzuki 250, KTM 250, honda 250cc, kawasaki 250cc, yamaha 250cc, suzuki 250cc, KTM 250cc, honda 125, kawasaki 125, yamaha 125, suzuki 125, KTM 125, honda 125cc, kawasaki 125cc, yamaha 125cc, suzuki 125cc, KTM 125cc, apollo 125, apollo 125cc, coolster 125, coolster 125cc, apollo 250, apollo 250cc, xpro, x pro, x-pro, x pro dirt bike, x pro atv, xpro dirtbikes, xpro dirt bikes, x-pro dirtbikes, titan dirt bike, x18 dirt bike, z20 dirt bike, z20 max dirt bike, z20, x4, x9, x14, db14, db36, rx, pitster pro, pitster dirt bike, pitster dirtbike, pitster dirtbikes, pitster dirt bikes, SSR dirt bike, SSR dirtbikes, SSR 125cc, SSR 110cc, SSR 250cc, ssr 125cc dirt bike, SSR pitster, SSR pit bike, SSR 125cc, ssr 125cc dirt dike, ssr 150 dirt bike, can am dirt bike, can am bike, canam atv, can am atv, can-am dirt bike, Can-am atvs, Can-am atv, Can-am ryker, harley davidson, kawasaki ninja, banshee atv   Ocala, Orlando, Clermont, The Villages, Silver Springs Shores, Palatka, Gainesville, Jacksonville, Tampa, Marion County, Flagler Beach, St. Augustine,  Wilton Manors, Alachua, Pinellas Park, Midway, Lake Worth, Jacksonville Beach, Blountstown, South Miami, Mount Dora, Miami Springs, Altha, Sebring, Graceville, Center Hill, Leon, Carrabelle, Miami, Gulf, Kenneth City, Pasco, Fort Myers Beach, Biscayne Park, Hastings, Longwood, Homestead, Marion Oaks, Silver Springs Shores, Gainesville, Crystal River, Clearwater, Indian Harbour Beach, Quincy, Marineland, Gulf Stream, Deland, Okeechobee, Port Orange, Aventura, Marco Island, Longboat Key, Inglis, Callaway, North Palm Beach, Sneads, Boca Raton, Belleair Beach, Manatee, Bonifay, Stuart, Redington Shores, Branford, Atlantic Beach, Calhoun, Oldsmar, Fanning Springs, Lantana, Windermere, Doral, Coral Springs, Union, Safety Harbor, LaCrosse, Caryville, Noma, Bunnell, Cross City, DeSoto, Everglades City, Deltona, Jasper, Kissimmee, Walton, Fruitland Park, Cocoa Beach, Tarpon Springs, Osceola, Beverly Beach, Broward, Palm Beach, Haverhill, Bradford, Clermont, Orchid, Chiefland, Marion, Bristol, San Antonio, Glen Ridge, Fernandina Beach, Indian Rocks Beach, Waldo, Montverde, South Pasadena, Madison, Parker, Orange Park, St. Marks, Welaka, Melbourne, Winter Haven, Parkland, Dixie, Lake Park, Okeechobee, Apopka, Pompano Beach, Wauchula, Trenton, Columbia, Keystone Heights, Eatonville, Jefferson, Highland Beach, Sanford, Micanopy, Crestview, Tamarac, Titusville, Indialantic, Coconut Creek, Pembroke Pines, Bradenton Beach, West Palm Beach, Oviedo, Freeport, El Portal, Boynton Beach, Daytona Beach, Bradenton, Edgewood, Sarasota, Ponce Inlet, Green Cove Springs, Largo,",,,,,,,,
8342,40.0,orlando,https://orlando.craigslist.org/bik/d/winter-park-bikes-and-scooters/7469525119.html,2022-04-10 14:31,Bikes and scooters, aluminum, kids, Who knows, 16 in,0,Selling a bike a a bunch of scooters. All have been outside and need some work.  $30 for all,,,,,,,,
8343,100.0,orlando,https://orlando.craigslist.org/bik/d/orlando-three-24-inch-bikes/7469146963.html,2022-04-09 14:34,three 24 inch bikes, other/unknown, other, 0, 24 in,4,Three 24 inch bikes for sale One brand new road master from Walmart never ridden Orange one is a mongoose Third older road master needs some work Must take all!! All have started to show rust since sitting outside in weather Located near south orange avenue and McCoy 32809, good, other/unknown, mongoose and road master,, none, other/unknown,,
8344,150.0,orlando,https://orlando.craigslist.org/bik/d/orlando-police-bikes-orlando-pics-on/7468661549.html,2022-04-08 13:19,"Police bikes Orlando, pics on grass.", other/unknown, other, Medium, other/unknown,0,"Police bikes posted in orlando, pics on grass, all police confiscated bikes.  He's a rip off artist preying on your turn 365.  He's an older man, Poincianna kissimmee posts also.  They're older men rip off artists.  Call them, visit them, watch they're posts...you'll see.  Just look at them all, they're bent in ripping you off, daily.  They post day and night.  Add up the sums they're after.",,,,,,,,
8345,20.0,orlando,https://orlando.craigslist.org/bik/d/orlando-young-boys-bikes/7468160477.html,2022-04-07 11:45,2 young boys bikes, alloy, bmx, small, 12 in,9,both barely used but going on 5 years old now.  20$ for both. my boys have outgrown,, coaster, huffy and schwin, none (rigid),, bmx,,
8346,25.0,orlando,https://orlando.craigslist.org/bik/d/deltona-kids-bikes-boys-and-girls/7467344515.html,2022-04-05 13:37,kids bikes - boys and girls, other/unknown, bmx, 18 inches, 18 in,6,Girls’ 18” - $25 Boys’ 16” - $25  $40 for both bikes,,,,,,,,
8347,80.0,orlando,https://orlando.craigslist.org/fuo/d/kissimmee-children-bikes/7466647068.html,2022-04-03 20:21,Children bikes,,,,,2,"2 Frozen children bikes. (12 in) Very good condition, children did not ride bikes often.", excellent,,,,,,,
8348,95.0,orlando,https://orlando.craigslist.org/bop/d/clermont-saris-bone-bikes-rack/7464470166.html,2022-03-29 14:23,Saris Bone 2 bikes Rack,,,,,6,Saris Bones 2 Bike Trunk Mount -Adjustable Rack.,,, Saris,,,,,
8349,1699.0,orlando,https://orlando.craigslist.org/bik/d/apopka-750w-kracken-punisher-fat-tire/7461136881.html,2022-03-29 08:09,750w Kracken Punisher Fat Tire 48V 21A Power Max Dual Suspension, composite, folding," Large 19""", 20 in,10,"Local e-bike manufacture based in Apopka. Free local set up and delivery. All bikes come with 1 year warranty.   NEW DESIGN  Introducing the new Fat Tire Folding Punisher bike. This bike comes loaded with great features such as dual suspension, large premium battery and cell phone holder that charges your phone while you ride.   750 Powerful Rear Hub Motor   You can now conquer the sills faster, get up to speed quicker, and experience a consistently stronger ride - even at lower speeds.    Color Over-clockable LCD allows 30+ Mph when unlocked  Track your stats in real-time with bright, bold LCD display. This device makes it easier to unlock new speed. When ready, contact us and we can give you the power to unlock a hidden speed setting.   Massive 48v 21a Samsun Power Max Battery  This powerful battery is designed to keep you moving. Built for power and torque you need a powerful battery. This battery is designed to help larger riders conquer ruff terrain and steep hills. Riders can expect 50-60 mile rides.   Puncture Resistant Tires  The Punisher comes standard with premium puncture resistant tires. Durably constructed, making it ideal for riding in almost any environment.   KEY FEATURES  * Puncture resident off road tires  4"" x 20"" * Concealed removable battery * Twist throttle grip * Bright 5 speed display * LED headlights * 7 speed Shimano derailleur * Front and rear disc breaks * 750 watt high torque motor * Rear cargo rack included * Daul Suspension  Max Speed : 30+ Mph Range : Up to 50 miles Motor : 750 Watt Hub Motor Breaks : Tektro Disc Breaks  Gears : 7-Speed Shimano Battery : 48v 21a Samsung Premium Battery Brakes : Front and Rear Disc Wheels : 20"" x 4"" Fat Tire Folded : 38"" x 22"" x 28"" Unfolded : 65"" x 22.5"" x 48"" Product Weight : 65 Lbs Weight Limit : 300 Lbs Wheel Base : 42"" front to rear axle Cross Bar Height (step over) : 29 inches Warranty : 1 year limited  We proudly serve the following communities Orlando, Longwood, Lake Mary, Deland, Debary, Daytona Beach, Clermont, Altamonte Springs, Maitland, Mount Dora, Leesburg, Kissimmee, New Smyrna Beach, Melbourne.", new, disc (mechanical), Kracken Adventure Bikes, frame and fork (full suspension), throttle,, Punisher,
8350,150.0,orlando,https://orlando.craigslist.org/bik/d/orlando-police-bikes-rip-off-artist/7464297441.html,2022-03-29 07:52,Police bikes rip off artist Orlando, other/unknown, other, Medium, other/unknown,0,"See the almost countless posts in orlando? Bikes on grass, bikes in driveway, racks on grass.  This is a rip off artist who plots to rip off your town 365.  Call him ask him where he gets the bikes.  He's a lazy bum bs artist out to rip you off daily.  Go see a bike, ask him where the hundreds of bikes are.  He'll lie through his teeth, that's what he does best.",,,,,,,,
8351,2400.0,orlando,https://orlando.craigslist.org/mcy/d/longwood-2002-yamaha-r6-600-with-parts/7463266637.html,2022-03-26 14:17,2002 yamaha r6 600 with parts bike and extras two bikes,,,,,0,,,,,,,,,
8352,99.0,orlando,https://orlando.craigslist.org/bik/d/orlando-policeman-sells-bikes-orlando/7460311107.html,2022-03-22 09:05,Policeman sells bikes Orlando, other/unknown, other, Medium, other/unknown,0,"CAUTION: policeman selling police confiscated bikes, hundreds of them.  Look at all his posts, it's a huge business.  So, he gets hundreds of bikes for free from your police station, them makes tens of thousands in cash, tax free on tax payers goods.  The bikes should go to struggling families, kids(!), Instead he is stuffing his pockets with tens of thousands tax free on top of his police salary/pension, for years now! Call him and ask him where he gets hundreds of bikes.",,,,,,,,
8353,1.0,orlando,https://orlando.craigslist.org/atq/d/oviedo-estate-sale-on-lake-charm-in/7463130296.html,2022-04-18 18:50,Estate Sale on Lake Charm in Oviedo,,,,,0,"Estate Sale on Lake Charm in Oviedo:  Also, I sell my own label of homemade guava jelly for $2.50, $4, $6, $7 & $8(pint) a jar. ----------------------------- Call Tom   show contact info  PLEASE call first, before driving over....  For your GPS: Address 6035 Lake Charm Circle Oviedo,  FL -------------------------------------------- List of estate items: 12 foot Oak Dinning Room table, w/ sleeves(folding) Hardwood table  Piko German HO gauge electric train track ONLY -  $1300 in track, switches, crossings, straights($4),       curves($5)....various lengths from $1 to $5 each.....ALL NEW in original boxes. Russian Straw & Wooden Dolls - NEW/NIB vintage 1985 Hardware items - brackets, hooks etc.... Aquarium supplies box  - $15 Bicycle car carrier bar - carries 2 bikes Yard - 1960's weed tool - lazy lad $3  Pyrex pie plate & bowls Lamps (6) Ladies Purses & handbags(5) from $1 to $6 Coffee mugs Medical supplies-all kinds of bandages, entire closet full, etc..75% off, rolled guaze $0.50 cents a pak. Vintage NEW lead crystal(2) - NEW/NIB Office Supplies  UF Gator souvenirs,  blotters, key chains, logo cloth Old Country Music CD's - Music DVD Movies - Popular hits Women's clothes - Size Medium:  $1, $2 & $3(Coats) A variety of Vintage Baskets - all types GUAVA(Red) TREE SEEDLINGs - $3 TABABULIA TREE SEEDLINGs - $3 Yellow Fountain Grass - Golden - $1 to $4, different sizes (I will dig up for you-bring bucket)  Make Offer....no reasonable offer refused CASH ONLY  Call Tom  show contact info ;  6035 Lake Charm Circle  Oviedo, FL  for your GPS CALL FIRST before coming by.",,,,,,,,
8354,11999.0,orlando,https://orlando.craigslist.org/mcd/d/orlando-2010-honda-gold-wing-audio/7472851450.html,2022-04-18 15:17,2010 Honda Gold Wing Audio Comfort,,,,,24,"iMotorsports is an online motorcycle dealer located in Orlando with over 700 new and used motorcycles in stock. We have new Indians and Vanderhall Autocycles! We are a premier dealer for Indian Motorcycle offering all available motorcycles, parts, accessories, apparel and service.   Call (407) 890-7886 Use this stock number: OU1684  Motorcycle Link:   http://www.clickpowersports.com/r/?id=479710780236&d=7886&t=1     (copy and paste link) Motorcycle Financing:   http://www.clickpowersports.com/r/?id=479710780236&d=7886&t=2    (copy and paste link)  Why Choose iMotorsports of Orlando? iMotorsports of Orlando is a member of the iMotorsports Sales Group and is one of the largest motorcycle dealers in Florida and a top-rated seller on eBay. We are number one because our sales process is simple, safe and reliable. We take trade-ins, purchase motorcycles, and have over 700 motorcycles for sale, all at excellent prices! Through out the south east we are known for giving top value on trade-ins, an excellent free delivery policy and quality warranty and repair work on all makes and models.  Top quality, fully inspected used motorcycles FREE nationwide delivery on all bikes over $5,000 24 hour full money back guarantee Lots of finance options and layaway available Extended warranties nationwide Remember - even if you don't buy our bike we will buy yours! We will quickly appraise your motorcycle and make you a cash offer good for 5 days.  This 2010 Honda Gold Wing Audio Comfort comes loaded with the following features:    Call us at ☎ (407) 890-7886 for more information. Visit www.imotorsportsorlando.com for a financing application or browse our online showroom of 700+ motorcycles! Or stop by the store, walk around the back showroom and spend some time just looking at all the bikes.  This 2010 Honda Gold Wing Audio Comfort is for sale at: iMotorsports Orlando46 N Orange Blossom TrailOrlando, FL 32805  Store Hours - EST  Monday thru Friday 9-6 Saturday 9-5 Closed Sundays  Check out these other similar priced models we have in stock: 2009 Harley-Davidson FLHTC - Electra Glide Classic, 2013 Suzuki GSX-R1000 1 Million Commemorative Edition, 2015 Harley-Davidson FXDF - Dyna Fat Bob, 2016 Honda CBR1000RR, 2016 Yamaha YZF-R6  **To take advantage of our Free Delivery policy, for all new Indian Motorcycle vehicles, customer must complete sales transaction in-person in the dealership where the vehicle is physically located prior to making shipping arrangements. New Indian Motorcycle vehicles are not eligible for international shipment.  2010 Honda Gold Wing Audio Comfort || 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 || Classic Motorcycles || Harley Heritage Softail || Cheap Used Motorcycles || Used Motorcycle Sale || iMotorsports Orlando || Vintage Motorcycle || Tampa Motorcycle Sale || Tampa Used Motorcycle || Florida Used Motorcycle || Orlando Used Motorcycle || Cheap Sarasota Motorcycle || Cheap Lakeland Motorcycle || GoldWingAudioComfort || Gold Wing Audio Comfort || 479710780236 Powered by REV Digital | www.REVdigital.com",,,,,,,,
8355,4999.0,orlando,https://orlando.craigslist.org/mcd/d/orlando-2008-yamaha-fjr-1300a/7472842796.html,2022-04-18 15:01,2008 Yamaha FJR 1300A,,,,,24,"iMotorsports is an online motorcycle dealer located in Orlando with over 700 new and used motorcycles in stock. We have new Indians and Vanderhall Autocycles! We are a premier dealer for Indian Motorcycle offering all available motorcycles, parts, accessories, apparel and service.   Call (407) 890-7886 Use this stock number: OU1697  Motorcycle Link:   http://www.clickpowersports.com/r/?id=479710809514&d=7886&t=1     (copy and paste link) Motorcycle Financing:   http://www.clickpowersports.com/r/?id=479710809514&d=7886&t=2    (copy and paste link)  Why Choose iMotorsports of Orlando? iMotorsports of Orlando is a member of the iMotorsports Sales Group and is one of the largest motorcycle dealers in Florida and a top-rated seller on eBay. We are number one because our sales process is simple, safe and reliable. We take trade-ins, purchase motorcycles, and have over 700 motorcycles for sale, all at excellent prices! Through out the south east we are known for giving top value on trade-ins, an excellent free delivery policy and quality warranty and repair work on all makes and models.  Top quality, fully inspected used motorcycles FREE nationwide delivery on all bikes over $5,000 24 hour full money back guarantee Lots of finance options and layaway available Extended warranties nationwide Remember - even if you don't buy our bike we will buy yours! We will quickly appraise your motorcycle and make you a cash offer good for 5 days.  This 2008 Yamaha FJR 1300A comes loaded with the following features:    Call us at ☎ (407) 890-7886 for more information. Visit www.imotorsportsorlando.com for a financing application or browse our online showroom of 700+ motorcycles! Or stop by the store, walk around the back showroom and spend some time just looking at all the bikes.  This 2008 Yamaha FJR 1300A is for sale at: iMotorsports Orlando46 N Orange Blossom TrailOrlando, FL 32805  Store Hours - EST  Monday thru Friday 9-6 Saturday 9-5 Closed Sundays  Check out these other similar priced models we have in stock: 2004 Honda VTX 1300, 2009 Yamaha FZ 6, 2011 Kawasaki Versys, 2009 Kawasaki Vulcan 900 Classic, 2006 Triumph Speed Triple, 2020 Suzuki Burgman 200 ABS  **To take advantage of our Free Delivery policy, for all new Indian Motorcycle vehicles, customer must complete sales transaction in-person in the dealership where the vehicle is physically located prior to making shipping arrangements. New Indian Motorcycle vehicles are not eligible for international shipment.  2008 Yamaha FJR 1300A || 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019 || Classic Motorcycles || Harley Heritage Softail || Cheap Used Motorcycles || Used Motorcycle Sale || iMotorsports Orlando || Vintage Motorcycle || Tampa Motorcycle Sale || Tampa Used Motorcycle || Florida Used Motorcycle || Orlando Used Motorcycle || Cheap Sarasota Motorcycle || Cheap Lakeland Motorcycle || FJR1300A || FJR 1300 A || 479710809514 Powered by REV Digital | www.REVdigital.com",,,,,,,,
