,index,Price,Neighborhood,URL,Date,num image,text,bicycle frame material,bicycle type,frame size,wheel size,condition,make / manufacturer,model name / number,part type,size / dimensions,brake type,electric assist,handlebar type,suspension,serial number
10,12,50.0, (queens),https://newyork.craigslist.org/que/bik/d/howard-beach-mountain-bike-and-vintage/7463497583.html,2022-04-13 08:39,3,$50 each call  show contact info, steel, mountain, 1, 26 in,,,,,,,,,,
11,13,180.0, (Eastchester),https://newyork.craigslist.org/wch/bik/d/eastchester-bikes-galore/7469754763.html,2022-04-13 07:25,24,"Riad bikes,mountain bikes, we have them all. Prices start at $140 . Look at pictures, if you need a certain type of bike let me know. We have every type of bike. BMX, three wheeled, racing,road,…. show contact info", aluminum, hybrid/comfort, All, 27 in, good," Trek,Cannondale,GT",,,, u-brakes, none, flat, suspension fork (hardtail),
12,14,200.0, (Brooklyn),https://newyork.craigslist.org/brk/bik/d/brooklyn-bmx-bikes-for-sale-gt-haro/7466689729.html,2022-04-13 00:32,24,"Various Vintage & Modern Bikes Bmx Dyno VFR GT Vertigo SE Peugeot HARO etc. some Bikes in Great Ready to ride Condition , some need Work , in original condition. sold as is. Price list below :  have individual photos. Please request   1980s scooters   General Sidekick 12.5” $125 Strada variflex 12.5”  $100 Dyno zoot scoot blue 12.5” $125 kent scooter $80  80s Monti T 219 Trialsin $$$ TBA 80s Peugeot black /yelw bmx $200 80s Peugeot blk/ red bmx $180 80s Mountain height $300 80s Raleigh R10 Skyway mags/kkt pedals $450 96 Dyno VFR green  $280 90s GT vertigo red splash  $450 GT vertigo $300 80s Colorado trail cruiser $350 90s Columbia PAD AM $100 90s dimondback viper mini $100 90s Magna Flip400 chrome $300 90s Diamondback Venom $180 90s Raleigh MXR $100 98 Mongoose Hoop-D team $150 1998 Standard STA  $900 Haro Grp1 Fusion $200 Mongoose Ace $125  GT compe $125 ( not vintage )  GT Wise Signature $350 GT Slammer gold $200 HARO Blue $150 SE BRONCO crome $280 SE racing black $250 SE wildman $250 Rhino pro txr $150 Stln “Stolen brand” blue $300 GT gold $225   Location for pick up  no shipping. no holds  Rockland county NY  one individual bike can be brought to williamsburg brooklyn NY on weekends. please inquire  917-Three Zero Six - 6 0 0 0", other/unknown, bmx, 20”, 20 in, good, Haro GT Dyno Mongoose SE,,,, gyro/bmx, none, bmx, none (rigid),
13,15,200.0, (Brooklyn),https://newyork.craigslist.org/brk/bik/d/brooklyn-bikes-for-kids-24-trek-giant/7465152007.html,2022-04-13 00:32,24,24” bikes for kids boys girls age 6-10 yo apprx .  all high end good brands  professionally tuned. refurbished ready to ride - one bike for Williamsburg Brkln by request   90s Gary Fisher joshua 24 21spd - $350 Trek Precaliber red  8speed  - $380 Trek precaliber white 7speed  -$380 Trek MT220 Black red blue 21spd  $325 Trek MT220 Black pink white 21spd  $325 Trek Mt220 all Black 21 speed $350 Giant 225 blue  21 spd $225 sold  Giant Revel white 7spd  $280 Giant XTC disk Orange 21spd $350  Schwinn Thrasher Chrome 7spd $300 Diamondback Octane blk 21 speed $225  90s Mongoose Stormer Green 21 spd $150  all professionally tuned. ready to ride.  pick up Rockland County NY 10956 no holds., aluminum, kids, 24”, 24 in, like new, trek giant diamondback,,,, other/unknown, none, flat, other/unknown,
14,16,250.0, (Brooklyn),https://newyork.craigslist.org/brk/snw/d/brooklyn-bike-sale-this-weekend-road/7469537646.html,2022-04-13 00:29,8,bicycles today only - all professionally tuned.  ready to ride !  saturday april 16 9am to 3pm   sunday april 17 10am to 4pm   in Williamsburg Brooklyn   228 N 12 st  brooklyn NY 11211 on Driggs ave ￼  all sizes 46cm 50cm 54cm 56cm 58cm 60cm 64cm road bikes ￼  hybrids XS S M L XL,,,,,,,,,,,,,,
15,17,250.0, (New York),https://newyork.craigslist.org/brk/bik/d/new-york-bicycles-for-sale-saturday-16/7465597069.html,2022-04-13 00:29,7,"Bike Sale *  bikes for sale  See list below ! adding more styles and sizes 20 each day   Saturday, April 16        9am  to 3pm   Sunday, April 17        10am to 4pm    all bikes are tuned and ready to ride / all sizes women’s men’s road hybrid mountain bikes.  ** see list of bikes below  **   **Williamsburg Brooklyn**  Address for GPS : 400 Driggs ave have  Brooklyn, NY 11211  (100 ft from corner of N 12 st/Driggs ave ) across from McCarren. Across from Dog Run park  More info please text or call :  917-306-6 thousand   - Price range $250-$450 plus  few exceptions$$$ cash preferred   ROAD BIKES :  more bikes added ! Schwinn pink stepthrough 44cm  Schwinn Le tour blue 54cm  Univega Maxima sport 58cm  Schwinn Temp Gold 64cm  Raleigh Grand prix Upright 56cm Raleigh Grand Prix 64cm  Raleigh marathon 60cm  single speed 52cm   HYBRIDS  Specialized Crossroads 15” Sm Raleigh C40 20” M / L  Trek Multitrack Stepthroug 17 S/M  Mongoose Stepthrough 17” M  Schwinn 18”/19” M / L  Ross Pocono 18”  Roma Verso 3spd Fenders rack 18” Motiv Smoothie Alum 18” Specialized Crossroads 22” XL  Diamondback Wildwood 23” XL   Please note: some bikes are new or like new Most are Used, Vintage bicycles , all in great condition, professionally tuned / refurbished by a Bike mechanic and ready to ride!  you can test ride the bikes right on the spot and make your own decision. thank you", other/unknown, road, all sizes, other/unknown, excellent, trek schwinn raleigh giant,,,, other/unknown, none, other/unknown, other/unknown,
16,18,200.0, (Little Neck/Douglaston),https://newyork.craigslist.org/que/bab/d/little-neck-two-trek-kids-bikes-16/7458551218.html,2022-04-12 19:12,0,"TWO new Trek kids bikes for sale.  16"" wheels.  Training wheels available if needed. Originally bought for $220 each for my twin boys.  Barely used as they preferred to play soccer.   Can sell both for $200.   Colors:  red and orange.  Pick up from Little Neck 11362.",,,,, like new, TREK, Matte Trek Black/Blazin' Orange,," 16""",,,,,
17,19,200.0, (Rockaway Beach),https://newyork.craigslist.org/que/bab/d/far-rockaway-two-trek-kids-bikes-16/7458551545.html,2022-04-12 19:12,0,"TWO new Trek kids bikes for sale.  16"" wheels.  Training wheels available if needed. Originally bought for $220 each for my twin boys.  Barely used as they preferred to play soccer.   Can sell both for $200.   Colors:  red and orange.  Pick up from Rockaway Beach, NY 11693.",,,,, like new, TREK, Matte Trek Black/Blazin' Orange,," 16""",,,,,
18,20,150.0, (Battery Park),https://newyork.craigslist.org/mnh/bik/d/new-york-zizzo-via-20-foldable/7470530451.html,2022-04-12 18:37,6,"Like new - Zizzo Via 20"" Folding Bikes-Lightweight Aluminum Frame Genuine Shimano 7-Speed 26lbs. Colors are black with red. Bike has only been used a few times, we are moving overseas and need to part with them. All it needs is some air in tires and should be good to hit the road/bike paths! Pick up in NYC (battery park).  The VIA folds down into the following dimensions: (H-27"" L-31"" W-12.5). Folding is easy and with experience, you can fold the bike within 30 seconds or less. When folded the seat post is lowered and used as a tripod with the two wheels to keep it stable in the upright position.  • Lightweight Aluminum frame; Folds in seconds and is easy to carry so you never need to leave it outside • Genuine Shimano components with 7 speeds and grip style shifter • Easy single folding aluminum alloy stem • Folding pedals for easier storage • 20"" Aluminum rims, with black anodized 28H spokes • Strong Magnetic Frame Catch keeps the bike secure when folded • Resin Folding pedals, Wider Comfortable Saddle and Magnet Catcher to hold folded frame securely together. • Folded size: H-27"" L-31"" W-12.5. Weight: 26.5 lb (Lightweight) • Recommended for riders 16-75 years of age (but my 14 year old son rode it quite easily) • serial numbers are XD200110285 and XD200110880", aluminum, folding," 20""", 20 in, like new, Zizzo, Via,,,, none,, none (rigid), see description
19,21,50.0, (BROOKLYN),https://newyork.craigslist.org/brk/bop/d/brooklyn-bicycle-car-carrier-brand-new/7467751129.html,2022-04-12 18:31,0,Pick up in Brooklyn 11229 show contact info  No emails,,,,, like new,,,,,,,,,
20,22,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale-250-each/7467643010.html,2022-04-12 18:27,4,"2 red mountain bikes, 1 single speed,  1 red 7 speed road bike. Robert  show contact info", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
21,23,2800.0, (Brooklyn),https://newyork.craigslist.org/brk/bik/d/brooklyn-squid-foj-275-hardtail/7469184617.html,2022-04-12 17:36,9,"Built this up as a perfect urban hardtail. Ride it on the streets to the trails, ride the trails, and ride it home. Bike is super fast, and responsive. Perfect for east coast trails.  Would hold onto this, but honestly prefer riding vintage 26er MTBs more.   2020 Squid Fuck Off Johnny (FOJ) Size Large (18.5” Seat Tube, 25.8” Top Tube) 27.5+  Build Specs: *RockShox Recon Silver RL Suspension Fork - 27.5"", 120 mm, 15 x 100 mm, 42 mm Offset, Black, D1  *Hand Built 27.5” Wheelset (Bitex BX211R Boost - Rear Disc Hub (6 Bolt), Bitex MTF10/12 Front Disc Hub (6 Bolt), Kinlin TL-23R Disc Rims (Asymmetrical)  *Continental Cross King - Performance 27.5 x 2.6 Fold ShieldWall TR +  *Shimano XT RD-M8000 Rear Derailleur,  Shimano XT M8000 Shifter  *RaceFace Atlas Cinch Crankset, RaceFace Cinch Chain Ring  *White Industries T47 bottom bracket  *Chris King Tapered NoThreadSet™ EC34|EC44 (1-1/8"" to 1-1/4"" tapered steerer)  *Thomson Elite 31.8mm X4 50mm 0* Stem  *Thomson Elite Seatpost (30.9, Setback)  *WTB Silverado Saddle  *TRP Spyre Mechanical Disc Brake Caliper - Post Mount   *FSA / Origin8 180mm Rotors   *Paul Components Short Pull Levers  *Soma Dream Bars (31.8 mm, Width: 780 mm, Rise: 50mm, Sweep: 25 degrees)  *Oury Grips  *Interloc Racing Design Karbonite MTB Platform Pedals  Frame Specs: * MSRP: $1,550 * Handmade In USA * 6061 Aluminum * 73mm PF30 BB Shell (T47 Upgrade available) * Designed around 120mm (51mm Offset) Fork * 12x148 BOOST Rear Spacing * Tapered 34/44 Headtube", aluminum, mountain,,, excellent,,,,, disc (mechanical),,,,
22,24,139.0, (East Village),https://newyork.craigslist.org/mnh/bik/d/new-york-2lady-bikestuned-classical/7470435341.html,2022-04-12 15:15,14,"CLEANING OUR GARAGE ( SELLING OUR HOUSE )  SO AS THOSE BIKES THE BIKES GOT TUNED UP LATELY  OLD SCHOOL RALEIGH   BUT BIKE IS NOT OLD  STILL RIDING QUITE ALL RIGHT   19"" GOOD FOR RIDER OVER 53"" TO 5'8"" 3 SPEED FOOT BRAKE AND HAND BRAKE NEW TIRES $139 ALSO A MODERN JAPAN MADE NISHIKI HYBRID 21 SP,     LIKE NEW CONDITION LIKE NEW TIRES.      19"" FRAME  GOOD FOR 5'2"" TO 5'8""                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           SHINING   $170", alloy, cruiser," 19""", 26 in,,,,,,,,,,
23,25,750.0, (Midtown East),https://newyork.craigslist.org/mnh/bik/d/new-york-se-bikes-pk-ripper-fat-bmx-26/7468519953.html,2022-04-12 11:21,22,"See Photos. Used, adult owned and in nice clean condition rides well. Very comfortable. Aluminum frame & forks. I believe that this is a PK Ripper from 2018? Pick up only will not ship. No trades.", alloy, bmx, 36cm  - 14 inches, 26 in, good, SE, Fat,,, disc (mechanical),, bmx, none (rigid),
24,26,500.0, (Inwood / Wash Hts),https://newyork.craigslist.org/mnh/bop/d/new-york-saris-stretch-rack-10-bikes/7465611841.html,2022-04-12 10:53,5,"The stretch rack provides the most dense bike parking solution. The two tier design minimizes footprint, and the space saving vertical stagger further maximizes bike density.   Available in locking and non-locking options, the stretch rack is a versatile, modular indoor solution for long term parking needs and will accommodate up to a 2.35” tire.  Product Details  Modular construction allows for easy expansion, side by side or back to back Staggered bike position saves space and eases clearance between bikes Can be combined with vertical racks for full bike room layout Does not require anchoring (to wall or floor) 8 ft ceiling clearance required   Spacing Units can be combined in a row Can be freestanding or mounted into wall",,,,, new, Saris, Stretch Rack," racks, fenders, bags", 72x63,,,,,
25,27,300.0, (Fairfield CT),https://newyork.craigslist.org/fct/bik/d/fairfield-searching-for-80s-90s-bmx/7465602093.html,2022-04-12 10:16,9,"Hello I am on the hunt for 80s and 90s mongoose bmx bikes.  Supergoose Patterson Expert Pro Class Hutch Redline Diamond Back GT SkyWay Webco Moto mags Team Decades Californian  Anything you got, email me pictures and I will respond immediately with a quote, thanks!", steel, bmx, 19, 20 in,, Mongoose, Hutch,,,,,,,
26,28,190.0, (BROOKLYN),https://newyork.craigslist.org/brk/bik/d/brooklyn-se-bikes-fixie-bicycle-free/7457690603.html,2022-04-12 09:53,0,Pick up in Brooklyn 11229 show contact info  No emails   SE bikes fixie bicycle free wheel single speed fixed bike $190, other/unknown, track, 54, other/unknown,,,,,,,,,,
27,29,190.0, (BROOKLYN),https://newyork.craigslist.org/brk/bik/d/brooklyn-se-bikes-fixie-bicycle-free/7459512735.html,2022-04-12 09:51,0,Pick up in Brooklyn 11229 show contact info  No emails   SE bikes fixie bicycle free wheel single speed fixed bike $190  21.5 inch or 54  см, titanium, track, 54, other/unknown,,,,,,,,,,
28,30,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7464729911.html,2022-04-12 05:40,7,"Large Specialized Hybrid.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  White Track bike, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And more.  Robert  show contact info", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
29,31,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7468978813.html,2022-04-12 05:40,14,"Please read the bottom.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  Black single speed $275.  Large Specialized Hybrid.  Almost brand new.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  White single speed, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And much more..  Robert  show contact info .  All bikes come with FREE SERVICE for life - I was a mechanic - that's like getting your bike for free", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
30,32,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7465980654.html,2022-04-12 05:40,14,"Please read the bottom.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  Black single speed $275.  Large Specialized Hybrid.  Almost brand new.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  White single speed, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And much more..  Robert  show contact info .  All bikes come with FREE SERVICE for life - I was a mechanic - that's like getting your bike for free", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
31,33,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-red-mountain-bikes/7465575510.html,2022-04-12 05:40,0,"Good for riders 5' 6"" to 6' 2. Robert  show contact info .  All purchases come with FREE bike service for life.", steel, mountain, Medium, 26 in,,,,,,,,,,
32,34,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7462660678.html,2022-04-12 05:40,7,"Large Specialized Hybrid.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  White Track bike, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And more.  Robert  show contact info", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
33,35,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-quality-bikes-for-sale/7463538308.html,2022-04-12 05:40,11,"Large Specialized Hybrid.  Almost brand new. Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  White Track bike, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  All others are $250 too.  Robert  show contact info", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
34,36,150.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-starting-at-150/7461451409.html,2022-04-12 05:40,6,Please read the bottom.  All bikes are tuned and ready to roll.  Blue Schwinn cruiser is $150.  Black mountain bike is $150.  Raleigh 3 sped is $150. - come with brand new tires and tubes. Black medium singlespeed bike with rack is $250.  Almost new Aluminum Schwinn folding bike is $350.  That's $200. Off list price.  Large red Univega 24 speed mountain bike is 275.  Large high-end black 7 speed is $500.      All bikes come with FREE SERVICE for life - l used to be a mechanic.  I sell bikes to help raise money to rescue cats and dogs. Check the pet section and see the illegal mess.  Robert  show contact info .  Let me know if you'd like to adopt!  Call or text anytime.  Happy Spring!, other/unknown, other, Medium, other/unknown,,,,,,,,,,
35,37,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7464873117.html,2022-04-12 05:40,7,"Large Specialized Hybrid.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  White Track bike, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And more.  Robert  show contact info", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
36,38,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7464554056.html,2022-04-12 05:40,14,"Please read the bottom.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  Black single speed $275.  Large Specialized Hybrid.  Almost brand new.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  White single speed, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And much more..  Robert  show contact info .  All bikes come with FREE SERVICE for life - I was a mechanic - that's like getting your bike for free", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
37,39,250.0, (West Village),https://newyork.craigslist.org/mnh/bik/d/new-york-bikes-for-sale/7464643458.html,2022-04-12 05:39,14,"Please read the bottom.  Blue Trek ATB with aluminum wheels and components.  Good for riders 5' 5"" to 6'.  $250.  Black single speed $275.  Large Specialized Hybrid.  Almost brand new.  Full suspension, puncture resistant tires, triple crankset, adjustable handlebar stem, and much more.  Good for riders 5' 9"" - 6' 4"".  $275.  White single speed, fully tuned up. Puncture resistant tires.  Good for riders 5' 9 to 5 11"". $250.  And much more..  Robert  show contact info .  All bikes come with FREE SERVICE for life - I was a mechanic - that's like getting your bike for free", steel, other, Medium, 700C,,,,,,,,, frame and fork (full suspension),
38,40,250.0, (Brooklyn),https://newyork.craigslist.org/brk/bik/d/brooklyn-bicycles-for-sale-saturday/7469305382.html,2022-04-12 01:33,19,"Bike Sale * Actual bikes for sale  See list below ! plus adding more   SATURDAY, April 16 9am to 3pm   SUNDAY, April 17 10am to 4pm   all bikes are tuned and ready to ride / all sizes women’s men’s road hybrid mountain bikes.  ** see list of bikes below  **   **Williamsburg Brooklyn**  Address for GPS : 228 N 12 st  Brooklyn, NY 11211 cross street Driggs ave   (100 ft from corner of N 12 st/Driggs ave ) across from McCarren. Across from Dog Run park  More info please text or call :  917-306-6 thousand   - Price range $250-$450 plus  few exceptions$$$ cash preferred  ROAD BIKES :  more bikes added ! puegeot yellow mixtie 54cm  Ross 58cm  fuji 58cm  Panasonic Sport 500 44cm  raleigh 56cm  Schwinn Le tour blue 54cm  Shogun 400 56cm  Saint Tropes La Riviera 58cm  Fuji Absolute 64cm   HYBRIDS  Specialized Crossroads 15” Sm specialized XL  24”  Giant Cypress M 17”  Trek Multitrack 700 Sm 15” Trek Multitrack Stepthroug 17 S/M  Mongoose Stepthrough 17” M  Ross Pocono 18”  Roma Verso 3spd Fende rack 18” Specialized Crossroads 22” XL  Trek 3500 Large 21” Raleigh 18” M  you can test ride the bikes right on the spot and make your own decision. thank you", other/unknown, road, all sizes, other/unknown, excellent, trek giant fuji schwinn raleigh,,,, other/unknown, none, other/unknown, other/unknown,
39,41,250.0, (Brooklyn),https://newyork.craigslist.org/brk/bik/d/brooklyn-kids-bikes-24-trek-giant/7469339483.html,2022-04-12 01:16,15,bikes for kids boys girls age 6-10 yo apprx .  all high end good brands  professionally tuned. refurbished ready to ride   Gary Fisher joshua 24 21spd - $350 Trek Precaliber red  8speed  - $380 Trek precaliber white 7speed  -$380 Trek MT220 Black red blue 21spd  $325 Trek MT220 Black pink white 21spd  $325 Trek Mt220 all Black 21 speed $350 Giant Revel white 7spd  $280 Giant XTC disk Orange 21spd $350  Schwinn Thrasher Chrome 7spd $300 Diamondback Octane blk 21 speed $225  Mongoose Stormer Green 21 spd $180  all professionally tuned. ready to ride.  pick up Rockland County NY 10956 no holds.  can request one to be delivered to Williamsburg Brooklyn on Weekends by serious request for purchase, other/unknown, kids, 24”, 24 in, excellent, trek giant diamondback,,,, other/unknown, none, other/unknown, other/unknown,
40,42,160.0, (stamford),https://newyork.craigslist.org/fct/bik/d/greenwich-sports-mountain-bikes/7466790286.html,2022-04-11 23:39,4,"3 bikes up for sale, in good condition, Huffy; Schwin, 10 speed, 26” wheels and Roadmaster. All in working conditions, may need some tuning and adjustments.", aluminum, road, 17”, 26 in, good," schwin, Huffy",,,, u-brakes, none, other/unknown, none (rigid),
41,43,30.0, (Greenpoint/Williamsburg Border),https://newyork.craigslist.org/brk/bop/d/brooklyn-weinmann-165-bicycle-wheel-rim/7470100117.html,2022-04-11 19:23,4,"Front Wheel, 16.5"" Bicycle Wheel Rim with Quick Release Hub, Never Used, BRAND NEW, has rubber liner for sprocket protection.  Use on a kids bike or on an adult folding bicycle. Wheel with tire is probably a 20"" wheel.  WEINMANN M 519 Aluminum Alloy, 20"" X 1.5, 1.95 ETRTO, 406 X 19  You pick up!",,,,,,,,,,,,,,
42,44,30.0, (MINEOLA),https://newyork.craigslist.org/lgi/bik/d/mineola-kids-bikes-ages-to-10/7458918086.html,2022-04-11 19:17,8,2 kids bikes. Good condition., other/unknown, kids, 20 inches, 16 in,,,,,,,,,,
43,45,100.0, (Brooklyn),https://newyork.craigslist.org/brk/bik/d/brooklyn-bike-bikes-bicycles/7464725112.html,2022-04-11 17:59,4,"Red Door and Rad Wheels Spring clearance sale   I have 25 bikes already tuned up and ready to ride away.   Price range $200 and up  Huffy Granite $100 Schwinn Cross Fit Hybrid $180 Schwinn Cris cross $280 Schwinn Tourist $250 Diamondback tall MTB $200 TREK 820 18"" $200 Electra Aluminum Dutch Bike $250 Gitane Road Bike 58cm $250 Nishiki Manitoba 17"" 2020 $350 Lotus Road bike 52cm $350 Specialized Hardrock 15"" $300 GT Avalanche 1x9 Sram xo shifter and derailer, Hookworms, Hydro disk brakes $700 Specialized Sequoia 2019 61cm $1000     ￼", steel, gravel, 56cm, 26 in,,,,,,,,,,
44,46,1199.0, (Stanten Island),https://newyork.craigslist.org/stn/bid/d/staten-island-electric-bike-fully/7469975990.html,2022-04-11 15:00,15,"We are a paddleboard shop but some electric bikes for sale  they are great for the beach or just cruising around  Brand new in the box  Has great front shocks and off-road tires  Comes with a strong led light  Super soft seat  Has 3 modes for speed  we clocked it at 25MPH  it has pedal-assist or fully electric with the throttle or you can pedal like a regular bike  it comes with a battery and charger  big wheel bikes for 1200  FIRM PRICE  PRICED TO SELL  THESE BIKES GO FOR OVER $2,000 EACH  FIRST COME FIRST SERVE", steel, cruiser,,, new,,,,, disc (mechanical),,,,
