,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,num image,text,bicycle frame material,bicycle type,frame size,suspension,wheel size,brake type,electric assist,handlebar type,part type,size / dimensions
38274,2295.0,houston,https://houston.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468116651.html,2022-04-07 09:15,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!, new, Cyberbike,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,,,,,,,
38275,15.0,houston,https://houston.craigslist.org/tag/d/sugar-land-bikes-scooter-and-helmets/7467597146.html,2022-04-06 01:02,"bikes , Scooter and Helmets",,,,5,Bike $15 Scooter $15 Helmet 5 Each,,,,,,,,,,
38276,150.0,houston,https://houston.craigslist.org/bik/d/richmond-schwinn-sidewinder-mountain/7467369529.html,2022-04-05 13:23,Schwinn Sidewinder Mountain bikes,,,,2,"For sale are two Schwinn Sidewinder Entry-level mountain bikes, Excellent and Like new condition. $150 each  Details here:  https://www.walmart.com/ip/Schwinn-Sidewinder-Mountain-Bike-26-inch-wheels-black-green/857861835  (Only one is pictured.  The other is the same model.)", steel, mountain, Adult,, 26 in,,,,,
38277,200.0,houston,https://houston.craigslist.org/spo/d/barker-schwinn-road-bikes/7466273410.html,2022-04-02 18:43,2 Schwinn Road Bikes, good, Schwinn," brochures ""receipts"" included",5,"50$ each. Vintage well kept and ridable already, older models with all paperwork. New rubber on each.",,,,,,,,,,
38278,2500.0,houston,https://houston.craigslist.org/mcy/d/friendswood-race-bikes-and-parts-for/7465247383.html,2022-03-31 11:37,Race Bikes and Parts FOR SALE,,,,4,"TWO BIKES - Together or Separate, BOGO  2007 Yamaha R6 race bike $2000.00  •	Full safety wired, PCIII, GPR dampener, down 1 up 2, 520 chain, slipper clutch mod, braided front brake lines, GP shift, aftermarket bars, spare wheels, and a box of spares. Currently not running. Dropped a cylinder @ MSRH June 2011. No metal banging like internal damage, just not firing on 1 cylinder. Could be the PCIII, spark plug or coil. Did not repair, just moved into garage. Got busy with work and let sit.   1987 Honda VFR 700 $500.00  •	Used as a ""track day"" bike until I upgraded. Currently not running.  Was in the process of getting it ready to put back on the street full time. Same thing…got busy with work and just put it in the garage and let sit.   •	These bikes are “race bikes”. They are not street legal. They could be “parted out” for more money or would make good project bikes if interested.  •	Clear titles in hand for both bikes  *** CASH ONLY ***",,,,,,,,,,
38279,949.0,houston,https://houston.craigslist.org/snd/d/arlington-new-atvs-dirt-bikes-go-karts/7463180003.html,2022-03-26 10:37,New ATVs | Dirt Bikes |Go-Karts Golf Carts Scooters & More Sale !!!!!!,,,,18,"FREE SHIPPING! Only at 360Powersports.com  CALL NOW 469-217-7070  SHOP OUR IN-STOCK ITEMS TODAY!   https://www.360powersports.com/in-stock/  360 Powersports is your one-stop-shop Atvs, dirt bikes, go-karts, scooters, utvs, side by side.  TAKING CARE OF BUSINESS ONE CUSTOMER AT A TIME!     Use this code at check out to save $25 Buy1Save25     HUGE SALE ON ALL PRODUCTS!!  Free shipping right to you!   Fast & Financing With Flexible Monthly Payments!     WE ALSO OFFER FULLY ASSEMBLED AND TESTED SERVICE AT A ADDITIONAL COST. WE HIGHLY RECOMMEND YOU GET IT FULLY ASSEMBLED AND TESTED SO WHEN YOU RECEIVE YOUR UNIT YOU JUST GAS & GO.      ATVS 110cc Beginner ATVs - $949 125cc Kids Mid-Size ATVs - $1299 Adult ATVs - starting at $1999  Dirt Bikes Kids Dirt Bikes starting at $399.95  Mid size Dirt Bikes starting at $929 Full-Size Dirt Bikes - starting at $1309  Go-Karts & UTVs Kids Go-Kart - starting at $1379 Adult GoKarts & UTVs starting at $2649  Golf carts (Gas)  Gas Powered Golf Carts starting at $6250     Golf carts (Electric)   Electric golf Carts starting at $7950  360 Powersports is one of the nation’s largest power sports dealers across the USA. We are the HIGHEST RATED online dealer on Google and many other rating platforms! We are NOT the lowest dirt cheap price on the internet and nor do we strive to be. When purchasing a vehicle with us you will get value and customer service including our 360 Care, Tech Support, assigned Rep, fast delivery, and more! We carry all parts and all products come with industry-leading warranties! Most of our products come with speed governors, remote kill switches, factory-tested & heat-cycled engines, and much more!   **Fast 5-10 Day Shipping Right To You Free shipping!      Shop Now At www.360Powersports.com To Receive The Best Customer Service At The Lowest Prices  OR Call Us At 469-217-7070 To Place Your Order!     Keywords: MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc go-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris SCOOTER, SCOOTERS, MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc go-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris, cazador, electric golf carts , enforcer golf carts",,,,,,,,,,
38280,299.0,houston,https://houston.craigslist.org/bik/d/folding-bikes-folding-bicycles-bike/7462733334.html,2022-03-25 10:06,FOLDING BIKES FOLDING BICYCLES BIKE BICYCLE FOLDING,,,,4,"20"" Alloy FOLDING BIKES - $299 cash price  THESE ARE  OPEN BOX BIKES   ABOUT 5 LEFT RIGHT NOW.   NEW IN BOX ALSO AVAILABLE - ONLY: $399   20"" - 7-SPEEDS Shimano Shifters - ALLOY LIGHTWEIGHT MODEL   CALL TO SET UP TIME TO PICK SOME UP AT WAREHOUSE IN sw houston.   BETWEEN 9-2 MONDAY-SATURDAY.  NEW ONES AVAILABLE - ONLY $499  THANKS  GREENZONEBIKES.COM  ALAN show contact info   BIKE, BIKES, BICYCLE, BICYCLES, FOLDING BIKES, FOLDING BIKE, FOLDING BICYCLES, FOLDING BICYCLE, electric bikes, electric bike kits", alloy, folding," 20""",, 20 in,,,,,
38281,1299.0,houston,https://houston.craigslist.org/snd/d/adkins-march-madness-sales-dirt-bikes/7462534011.html,2022-03-24 17:43,"March Madness SALES!!!  Dirt Bikes, Trikes, ATVs & UTVs!!!",,,,24,"March Madness SALES!!!  We’ve got alllllll kinds of great stuff going on at How We Roll and we just want to share some of it with you guys!!! We’ve just put a ton of stuff on sale!!! Anything from dirt bikes and ATVs to motor trikes and UTVs!!! That’s right!!! A little something for EVERYONE!!!  1.) X9 125cc Dirt Bikes were $1499, NOW ONLY $1299!!! 2.) 125cc Tao Tao ATVs were $1999, NOW ONLY $1599!!! 3.) Massimo 200cc Spider Trike was $4999, NOW ONLY $4599!!! 4.) Massimo TBoss 410 was $8999, NOW ONLY $8499!!!!  Everything is brand new and comes with a warranty!! And, AS ALWAYS, How We Roll Motorsports services EVERYTHING that we sell so there’s no need to worry in the future!!! We’ve got your back!!!  Financing options ARE available!!! Prices do not include taxes. Vehicle discounts cannot be combined. Vehicles cannot be held on layaway.  Vehicles can be found at any of our three locations but it’s always best to call and make sure!!!  ADKINS: 11310 Highway 87 East, Adkins TX 78101. 210.649.1537 - Ask For Courtney!! HELOTES: 18593 Bandera Road, Helotes TX 78023. 210.957.0110 - Ask For Mandy!!! SAN ANTONIO: 30 Essex Street, San Antonio TX 78210. 210.988.2157 - Ask For Jimmy or Nick!!!  Come take advantage of these AWESOME SALES while they last!!!   #HowWeRollMotorsports #Adkins #Helotes #SanAntonio #CustomerServicePriority #MarchMadness #MarchMadnessSales #Massimo #MassimoDirtBikes #MassimoGoCarts #MassimoGKM200 #GKM200 #MassimoGKA200 #GKA200 #MassimoUTVs #MassimoTBoss410 #TaoTao #TaoTao125 #Warranty #ServiceCenter",,,,,,,,,,
38282,40.0,houston,https://houston.craigslist.org/bik/d/richmond-used-kids-bikes/7462419838.html,2022-03-24 13:35,Used kids bikes,,,,2,"$40 per bike, both bikes $80 2 kids bikes, one for ages 6 to 10 broken chain other for ages 10 to 13 with a broken seat", other/unknown, kids, Small,, other/unknown,,,,,
38283,799.0,houston,https://houston.craigslist.org/snd/d/humble-spring-sale-on-4wheelers-go/7461974843.html,2022-03-23 12:50,Spring Sale on 4Wheelers Go Karts and Dirt Bikes,,,,17,"🌻SPRING SALE!🌼 BOR has fully stocked showroom with units starting at $799 BUMPER TO BUMPER + 6MO WARRANTY available on all units!  We are Houston leading dealer for affordable 4 Wheelers, Go Carts and Dirt Bikes. 16 years in business and over a million sales and repairs under our belts. Come check out us out and find out why! BOR has something for everyone! Kids and adult models in stock.  WE ALSO PRICE MATCH local competitors! Ask sales associate for details! (832)766-5651 Tues-Friday 10am-5pm Saturday 10am-4pm     Atv, go kart, 4 wheeler, go cart, GoKart, gocart, four wheeler, dirt bikes, ATV, atv's, kids 4 wheeler, fourwheeler, atv, go kart, atvs, go-kart, power wheels",,,,,,,,,,
38284,35.0,houston,https://houston.craigslist.org/bik/d/bellaire-two-16-kids-bicycles-bikes/7461105688.html,2022-03-21 13:01,Two (2) 16” kids bicycles bikes Royalbaby,, Royalbaby,,3,"Two 16” Royalbaby kids bikes in great condition, includes training wheels and baskets.    The bikes are Blue and Pink. $35 each or $65 for both.   Retails for $125 each from Amazon:   RoyalBaby Girls Kids Bike Stargirl 16 Inch Bicycle 3-9 Years Old Basket Training Wheels Kickstand Pink Blue Child's Cycle   https://www.amazon.com/dp/B00H5FJKIG/ref=cm_sw_r_cp_api_glt_fabc_GFWJVN4YDABWMYGKA469?psc=1", steel, kids, Kids 16”,, 16 in,,,,,
38285,880.0,houston,https://houston.craigslist.org/bik/d/lake-jackson-vintage-flying-otasco/7472971898.html,2022-04-18 18:43,Vintage Flying-O Otasco Scorpion,,,,7,The bike definitely needs new tires and tubes. This bike has endured many years of storage. It is time for a new home and a new makeover. These bikes run upwards of $1k to $4k when fixed up.  Must meet in Lake Jackson., steel, kids, Kids bike,, other/unknown,,,,,
38286,220.0,houston,https://houston.craigslist.org/bik/d/houston-bianchi-bike/7472883243.html,2022-04-18 15:22,Bianchi Bike,, Bianchi,,6,Bianchi 21 speed bike. Equipped with Shimano brakes and derailleurs. Recently serviced. Bikes shift and brake well. New 700c tires and presta tubes. Bike will work for someone 5’ 5”to 5’ 11”.  Ready to ride and enjoy.   Price is $220 cash, alloy, hybrid/comfort, Medium,, 700C, caliper,,,,
38287,50.0,houston,https://houston.craigslist.org/bop/d/spring-unisky-bike-trainer/7464963009.html,2022-04-18 14:04,unisky Bike Trainer, excellent, unisky,,13,"Selling used unisky Bike Trainer, as I am upgrading to a stationary bike for my home gym.  Listing details:  * QUICK RELEASE: The handle at the stationary bike trainer not only can release the bike off the trainer quickly by lifting up, but also can lock the bike to the trainer quickly by pressing down. Very simple and convenient, the indoor bike trainer is easy for everyone to handle. * 6 SPEED RESISTANCE: With a remote controller of 6-level speed by a wire, you can change resistance to comply with the cycling conditions you want and enjoy different riding experiences. After quick installation, you can begin to ride. 1-2 speed offer less resistance when comparing with the 5 or 6 spped. * STEADY, STABLE AND FIRM: The indoor exercise bike trainer is designed with dual-support structure. The wide frame and front wheel riser block included in the package keep it away from wobbling and reach unshakable balance. The steady base and adjustable anti-slip rubber feet fits for uneven floor in different conditions, preventing movement for stability on any surface. * SMOOTH IN SPIN: When riding a bike at home, a smooth bike exercise trainer is definitely necessary. Bike trainer with noise reduction resistance wheel makes your cycling virtually silent. BTW, if noise is loud, it has a lot to do with the materials and tread of bike tires, we sincerely suggest you to use a slick tire. * COMPATIBLE WITH BIKES: The Unisky indoor riding bicycle training stand fits bikes with a 26-28"" or 700c wheel, most road or mountain bikes . There is no need to buy a new one if you have a road or mountain bike of normal size. Bring your bike inside and begin indoor cycling workout. After exercise, take the bike off the trainer, fold the bike trainer and put it at any corner.  Load capacity 300lb",,,,,,,,, other,
38288,7250.0,houston,https://houston.craigslist.org/mcy/d/fulshear-2015-hd-sportster-1200-custom/7472739083.html,2022-04-18 10:59,2015 HD Sportster 1200 Custom (REDUCED),,,,9,"Selling my awesome low mileage 2015 HD Sportster 1200 Custom with rare Amber Whiskey paint.   This 2015 is priced to sell $700. below average sales price on KBB. Price is firm based on comparable bikes listed on Craigslist.  The bike is stock with the exception of a Mustang 2-up seat ($500.00) and recently added Kuryakyn ISO hand groups ($90.00). Handlebar- mounted electronic speedometer with odometer, time of day clock, dual tripmeter, low fuel warning lite, low oil pressure lite, RPM (tach) read out and gear indicator.   The Sportster is now a much smoother bike to ride than the older versions in the mid 2000's. Fast and a lot of fun!  Call now to see this bike! I DO NOT TEXT.  Serious inquiries only as I do not have time for tire kickers, low ballers or scammers.",,,,,,,,,,
