,Price,Location,URL,Date,Title,num image,text,bicycle frame material,bicycle type,frame size,make / manufacturer,wheel size,brake type,condition,electric assist,model name / number,suspension,handlebar type,size / dimensions,length overall (LOA),propulsion type,year manufactured,part type,serial number,engine hours (total),paint color
1318,80.0,mohave,https://mohave.craigslist.org/bik/d/bullhead-city-two-18-speed-mountain/7461768983.html,2022-03-22 20:48,Two 18 Speed  Mountain Bikes,2,Two 18 Speed Mountain Bikes. Both bikes have suspension front and back. Need room in garage.  $80.00 is for both., aluminum, mountain, 26 inches,, 26 in,,,,,,,,,,,,,,
1319,200.0,mohave,https://mohave.craigslist.org/bop/d/kingman-thule-swingaway-hitch-mount/7469352500.html,2022-04-17 13:10,Thule SwingAway 4 hitch-mount bike/bicycle rack/carrier,10,"Excellent condition. Carries up to four bikes, has an integrated locking system with a key, and also has the add-on bike frame stabilizers! Fits a 2” hitch receiver. On two of the optional, add-on frame stabilizers, the rubber strap is missing. I just checked and you can get a pack of eight rubber straps for $15 on Ebay. They are the same straps as the ones that hold the bike on the rack/carrier. Originally, this rack was nearly $500. A great price on a really nice, easily-used bicycle rack/carrier. This model is particularly nice because it swings away from the back of the car/trunk to get out of the way and gain access to the trunk without removing the bikes and the bike rack—this makes it Super convenient.  I’M DRIVING TO LAS VEGAS/HENDERSON ON THIS FRIDAY THE 22nd OF APRIL.",,,, Thule,,, excellent,, SwingAway 4,,,,,,,,,,
1320,49.0,mohave,https://mohave.craigslist.org/mpo/d/lake-havasu-city-hot-cams-valve-shim/7472381440.html,2022-04-17 08:25,Hot Cams Valve Shim Kit 7.48 mm,4,"Hot Cams valve shim kit, 7.48 mm, used in many 250 and under Japanese offroad bikes and 750 and below Japanese street bikes, asking only $49. Ready for pickup in Lake Havasu City, Az, 86404.",,,, Hot Cams,,, like new,, 7.48 mm,,, 7.48 mm,,,,,,,
1321,12999.0,mohave,https://mohave.craigslist.org/snd/d/lake-havasu-city-1500-sniper-efi-seat/7472166650.html,2022-04-16 13:18,1500 Sniper EFI 2 SEAT  108 HP 75 MPH AT TURBOPOWERSPORTS,23,"New 1500cc EFI 2 SEAT BUGGY YELLOW/BLACK WAS $14,999 NOW $12,999 WE HAVE 1 LEFT 108 HP 75 MPH 5 SPEED. WE OFFER FIANCING OAC . LAKE HAVASU OFF ROAD SPORTS .     Turbopowersports.com Georgia Store: 1463 HWY 411 NE Suite (B) CARTERSVILLE, GA, 30121  Store Hours - GEORGIA:470-315-4678 Mon–Fri: 10am - 5pm Saturday: 9am - 2pm Closed Sunday   Phone: 714-888-5114 (EST) $13,999 with PDI ship tax $14,500, total    FIANACING ON APPROVED CREDIT.  turbopowersports com 24/7 in stock now.  ORDER NOW AT 714-888-5114 ORDER, Financing OAC AS LOW 3.9 APR     turbopowersports.com Dirt bikes and ATVs for all ages, Dirt Bikes, colors and type of dirt bikes and ATVS . Affordable Fun Need gifts for your kids? we have the 49cc 70cc 110cc Vespa, Moped, Motorcycle, Motor Scooter, Scooter, Scooters Motorized Bicycle, Pre-Owned Scooters, Piaggio Scooters, Genuine Scooters, Vespa Scooters, moped, vespa scooter, piaggio scooter, aprilia scooter, motoguzzi, bsa, Norton, royal enfield, triumph Bonneville, triumph thruxton, genuine buddy scooter, genuine stella scooter, genuine blur scooter, kymco like scooter, kymco super 8 scooter, kymco agility scooter, kymco people scooter, sym wolf 150, sym hd 200 hd200, sym fiddle scooter lance cali classic scooter, lance Havana scooter, lance pch scooter, lance cabo scooter, Honda ruckus scooter, Honda elite scooter, Honda grom scooter, Yamaha zuma scooter, Yamaha riva scooter, Yamaha vino scooter, café racer, royal enfield, Suzuki gsxr gsx r , Honda cbr, ysr, Honda rebel 250, 50cc scooter moped, 125cc scooter moped, 250cc scooter moped, tao tao scooter, tank scooter, bms scooter, flyscooter flyscooters, znen scooter, ssr motorsports, ssr scooter, Italian scooter, electric scooter, electric moped, trike, three wheel scooter, sprint scooter, vespa p200, stella scooter, mini bike, pit bike, dirt bike, endure bike, zero motorcycle, scooter Genuine Buddy, Stella, Vespa, Honda, Yamaha, Piagio, Vino, Ruckus 50 125 SYM, Vespa, Buddy, Scooter, Scooter repair, Classic, 250, 150,Genuine Scooter service LX PX Rally, Lambretta, Motorcycle, Scooter, Training, Lessons, Classes, Course, Instruction, School, Los Angeles, M1, DMV, Honda, Rebel, Nighthawk, CB, 250, CB250, 300, CB300, 350, CB350, Suzuki, GS, GN, 125, GS250, GN125, GN250, Kawasaki, Ninja, Eliminator, Vulcan, 500, EN500, Yamaha, Star, Sym, Vespa, Piaggio, Kymco, Aprilia, Buddy, PCX, Metropolitan, Benelli, Peugeot, Hyosung, Zuma, Majesty, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike pocketbikes pocket bike pocket bikes Super Bike Dirt Bike dirtbike superbike xr xr50 50cc 70cc 90cc 100cc 110cc 125cc 150cc Pit Bike pitbikes Honda Yamaha Go Cart GoCart GOPED ,DIRT BIKE,DIRT, MINI BIKE, POCKET BIKE, YSR, GOKART, 50, STUNT BIKE, STUNT, SICK BIKE, SDG,BBR ATV crf50 crf Chopper Min  Are you looking for a discounted Scooter in *San Diego* *Redlands* *El Cajon* *Riverside* *San Bernardino* *Moreno Valley* *Corona* *Chino* Ontario* *Rancho* *Cucamongo* *Rialto* *Fontana* *Hemet* *Palm Springs* *Morongo Valley* *Yucca Valley* *Palm Desert* *Desert Hot Springs* *Apple Valley* *Coasta Mesa* *Pomona* *Anaheim* *Irvine* *Long Beach* *Torrance* *Los Angeles* *Santa Monica* *Pasadena* *Chula Vista* *Carlsbad* *Chula Vista* *Coronado* *Del Mar* *El Cajon* *Encinitas* *Escondido* *Imperial Beach* *La Mesa* *Lemon Grove* *National City* *Oceanside* *Poway* *San Diego* *San Marcos* *Santee* *Solana Beach* *Vista* Escondido* Carlsbad* our special deals on our scooters will save you from having to drive as far to get a great deal. Susanville, Sacramento, clovis, grass valley,Stockton, Plattsburg, Pittsburgh, Overton Nevada,  SCOOTERS, DIRT BIKES, GO KARTS, STREET BIKES, BUGGIES, BMS KANDI COOLSTER APOLLO, TGB, CFMOTO, HISUN, ODES, UTVS, ATVS, KIDS ATVS, SERVICE, PARTS, Brighton Michigan, Livingston County, Michigan, Ellen wood GA 30294 ZIP CODE 54904 Little Rock AR 72201 Stockton 95202 Fort Collins 80524 Spring field MO 65721 Order Online at turbopowersports it's ok to contact this poster with services or other commercial interests Sedalia 65301, 65340, Marshall 86406 86405 86404 86403",,,,,,,,,,,,,,,,,,,
1322,59.0,mohave,https://mohave.craigslist.org/mpo/d/lake-havasu-city-prox-complete-valve/7471992247.html,2022-04-16 07:30,ProX Complete Valve Shim Kits Even and Odd 9.48 mm,0,,,,,,,,,,,,,,,,,,,,
1323,60.0,mohave,https://mohave.craigslist.org/bop/d/kingman-mtn-bike-tool-kit/7471978872.html,2022-04-16 06:56,Mtn bike tool kit,3,"Basic mtn bike tool set, good stuff like park tool and rock shox.   Air shock pump 300psi Spoke tool Multiple bottom bracket tools chain tools Cassette tools Crank tool Hydraulic brake tools for avid and Shimano Ect   I used to do a fair amount of work on mountain bikes, not so much anymore. Here's what I have left. Hopefully there's someone who can put these to use. Contact me with any questions. 100 obo. Selling all together comes in an old ride pack",,,,,,,,,,,,,,,,,,,
1324,17995.0,mohave,https://mohave.craigslist.org/rvs/d/golden-valley-reduced-moving-2013/7471464288.html,2022-04-14 19:33,REDUCED Moving 2013 Windjammer travel trailer,23,"2013 Windjammer with 2 slide, 1 in the bedroom and a huge one in the living room and kitchen area. fully self contained, Air Conditioning, hot water, shower, toilet. Just add your favorite furniture and move in, the furniture it had was a bit outdated so I put the furniture from my house in it and when I bought my toy hauler I transferred the furniture to the toy hauler the small amount I had left after selling my house.  This is the trailer I lived in while in Golden Valley, it belonged to a friend who bought a house so I bought his trailer. IT HAS A SMALL TEAR IN THE LINOLEUM, and the colors are a little dark, good for day sleeper like me, napper!   The window shades need attention. Lots of new stuff inside, Kitchen high life faucet, new microwave, water pump, new toilet, new battery Dec 2021.  Really a nice trailer, have been in it since November 2021, I like it just needed a different floor plan to haul my bikes in so I bought a toy hauler. brand new tires that only have less than 200 miles on them, new microwave. TAKE A LOOK, I AM MOVING OUT OF THE KINGMAN AREA SHORTLY.  ALL MUST BE SOLD.",,,,,,,,,,,,,,,,,,,
1325,29500.0,mohave,https://mohave.craigslist.org/tro/d/lake-havasu-city-2022-mirage-xtreme/7464748395.html,2022-04-13 18:10,2022 Mirage Xtreme Highmark 8.5x26 enclosed snowmobile trailer,7,"2022 Mirage Xtreme Highmark 8.5x26 black enclosed snowmobile trailer  2022 Mirage Xtreme Sport Highmark 8.5x26 enclosed snowmobile trailer. Tandem 5,000 pound axles with aluminum wheels, 7' interior height, front and rear ramp door, RV style side door with step, finished interior, 2 propane 7 gal tanks for forced air heater, boot dryers, stereo system, fuel tank with pump, 35 gallons -spare tire and more!   brand new and only used to move 500 miles  clear title  tires new 2 5/16 ball towing   at my house - used to bring down my motorcycles - never used for snowmobiles  great heated trailer for camping and riding bikes  9 two eight 733-0 7 five six",,,,,,,,,,,,,,,,,,,
1326,25900.0,mohave,https://mohave.craigslist.org/cto/d/lake-havasu-city-moto-van/7470631312.html,2022-04-12 21:59,Moto van,0,2016 dodge pro master 2500 Moto van Very clean runs great hauls three dirt bikes in garage  Just put new shocks struts brakes rotors and re-tinted the windows Has two ACs nice sound system DVD player air compressor air horn and a bench seat in the middle it turns into a bed,,,,,,,,,,,,,,,,,,,
1327,700.0,mohave,https://mohave.craigslist.org/boa/d/saint-david-1979-wet-bike/7467852513.html,2022-04-12 19:15,1979 Wet Bike,8,"READ everything below. If you see the post, then I have the machine. I delete my posts once sold. Firm on this price. Transferable AZ registration in hand. NO TRADES (other than older off road MX bikes that would be delivered). Contact NineSevenZero, TwoZeroEight, FiveZeroFiveTwo because no one seems to be getting my craigs email replies.  1979 WetBike. Made from 78 to I think 92. This is the Suzuki 723cc 50hp model. Plenty of vid's on Youtube. Everything works on this machine. I removed and cleaned the carbs. Bilge pump works. Exhaust fan works. No cracks in the ski's. No cracks in the body. Aluminum impeller is in great shape. Very clean inside engine compartment. May need a bit of ""tuning"" again. Was last used back in 1997. Previous owner died but his grandson told me that it was a low hour machine that was only used on the Patagonia Lake back before they closed down the personal watercraft usage on that water. Afterwards, this Wetbike sat in the back yard for the rest of its life.  Cosmetically it needs a few things. I have found a few sources for nearly almost every part you would need to get this classic looking good again and will turn the buyer onto these sources to save you time. Decals, grips, seat foam & cover. Dolly has new tires as of last month. This could be ready to go in short order. I have come to realize that I am not going to drive 3-4 hours (or more) to put this in water and enjoy it especially with these Biden fuel prices. Just not gonna happen. Buyers in Phoenix or Lake Havasu area can more enjoy this machine.  Located in Saint David, AZ. If you don't know where that is...Google it. Send a legit message through Craigs first so I can determine if your a serious buyer. If I even remotely think your a scammer, you will be blocked with no response.",,,, Ultranautics,,, good,, Wetbike,,,, 8, power, 1979,,,,
1328,300.0,mohave,https://mohave.craigslist.org/bik/d/lake-havasu-city-fuji-folding-bike-4130/7469203816.html,2022-04-12 14:07,Fuji Folding Bike 4130 Cro-Mo Marlboro Unlimited,6,"Fuji Folding Bike 4130 Cro-Mo Marlboro Unlimited.  Also have the Fuji folding bike in black.  15 speed folding bikes.  New tires on both.  Great for Motor Homes, Trailers, put in a car trunk or SUV.  $350.00 for the Red Marlboro or $300.00 for the Black.  Better deal if you buy both.  Pick-up in Lake Havasu Only.", other/unknown, folding, Medium, Fuji, 26 in,,,,,,,,,,,,,,
1329,50.0,mohave,https://mohave.craigslist.org/bop/d/lake-havasu-city-bike-rack/7464927285.html,2022-04-12 06:18,Bike Rack,3,"Receiver hitch mount (2"")  Up to 4 bikes",,,, Hollywood,,, good,, Receiver,,,,,,," racks, fenders, bags",,,
1330,6000.0,mohave,https://mohave.craigslist.org/snw/d/earp-klx-110/7470026511.html,2022-04-11 13:38,Klx 110,2,2022 KLX 110R  Mini worxs triple clamp  BBR seat  BBR throttle tube BBR extended throttle cable  BBR extended brake cable  BBR shifter  BBR damping rods (L height) BBR heavy duty springs  BBR skid plate BBR shorty brake lever Elka stage 2 rear shock (L height) Pro taper KLX pitbike bars Pro taper neon grips  1 oil change kawi synthetic  Build it for girlfriend  She’s not into it maybe 3 hrs on it All parts brand new  professionally installed  The OTD price is not 2699 for these bikes.   9o7  419 336o       Crf 110 klx 110 ttr 110 KLX mini moto pit bike dirt bike,,,,,,,,,,,,,,,,,,,
