,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,brake type,electric assist,handlebar type,model name / number,suspension,size / dimensions,serial number,part type
9517,1699.0,atlanta,https://atlanta.craigslist.org/atl/snd/d/lebanon-kids-dirt-bikes-and-go-karts-at/7470781238.html,2022-04-13 12:24,Kids Dirt Bikes and Go karts at Woodstock ACE Hardware store,,,,,15,"Welcome to ACE HARDWARE in Woodstock come on down to see our new line of dirt bikes and go karts . We have been serving our customers for 25 years! We Offer Financing from 5 Years to 90 Days same as cash.  Not Only have we developed our own brand, WE HAVE PARTS. We spent the Last 4 Years Developing our Dirt Bike Line. From 70cc 110cc 125cc 250cc  Affordable FUN XTR 110 MINI PIT BIKE is an awesome, fully automatic dirt bike perfect for kids and youth! With no clutch to wrestle, little ones can start building riding skills without having to shift! This Mini Pit Bike is powered by a low-maintenance, 4-stroke 110cc engine that produces over 8 horsepower and is capable of moving loads of over 132 pounds.  A smaller frame and low 25 inch seat height keep this motorcycle small enough for kids to maneuver easily while the off-road knobby tires and full suspension mean it can easily handle rugged terrain on the trails. Front and rear disc brakes provide supreme control and excellent stopping power. Electric start. Choice of several colors    Store Hours -  The Helpful Place Daniel Ace Hardware 115 Colony Center Dr Woodstock, GA 30188 Come visit us online @ http://www.acehardware.com/mystore/index.jsp?store=03885&cid=localstore03885  Accepted Payment Methods: Debit Card Sunday	 	11:00 AM	 – 	5:30 PM Monday	 	8:00 AM	 – 	6:00 PM Tuesday	 	8:00 AM	 – 	6:00 PM Wednesday	 	8:00 AM	 – 	6:00 PM Thursday	 	8:00 AM	 – 	6:00 PM Friday	 	8:00 AM	 – 	6:00 PM Saturday	 	8:00 AM	 – 	6:00 PM    Affordable FUN XTR 110 MINI PIT BIKE is an awesome, fully automatic dirt bike perfect for kids and youth! With no clutch to wrestle, little ones can start building riding skills without having to shift! This Mini Pit Bike is powered by a low-maintenance, 4-stroke 110cc engine that produces over 8 horsepower and is capable of moving loads of over 132 pounds. A smaller frame and low 25 inch seat height keep this motorcycle small enough for kids to maneuver easily while the off-road knobby tires and full suspension mean it can easily handle rugged terrain on the trails. Front and rear disc brakes provide supreme control and excellent stopping power. Electric start. Choice of several colors  Wheelbase 41.33 inches Dirt Bike Dimensions L60 x W29 x H38 inches Height to seat 32 inches Min ground clearance 9 inches Carton Dimensions L53 x W15 x H26 inches  NOT FOR SALE IN STATE OF CALIFORNIA - NOT CARB APPROVED  Average delivery time for most of the nation: 7-10 business days after ordering. Have questions before you decide? Call us at 714.888.5114 or text 714.888.5114 ... licensed dealer offering local pickup or shipping nation wide.     FIANACING ON APPROVED CREDIT.  turbopowersports com 24/7 in stock now.  ORDER NOW AT 714-888-5114 ORDER, Financing OAC AS LOW 3.9 APR  California Number 1 on line dealer turbopowersports.com Dirt bikes and ATVs for all ages. We're the largest Chinese brand dealer in California selections of colors and type of dirt bikes and ATVS . Affordable Fun Need gifts for your kids? we have the 49cc 70cc 110cc Vespa, Moped, Motorcycle, Motor Scooter, Scooter, Scooters Motorized Bicycle, Pre-Owned Scooters, Piaggio Scooters, Genuine Scooters, Vespa Scooters, moped, vespa scooter, piaggio scooter, aprilia scooter, motoguzzi, bsa, Norton, royal enfield, triumph Bonneville, triumph thruxton, genuine buddy scooter, genuine stella scooter, genuine blur scooter, kymco like scooter, kymco super 8 scooter, kymco agility scooter, kymco people scooter, sym wolf 150, sym hd 200 hd200, sym fiddle scooter lance cali classic scooter, lance Havana scooter, lance pch scooter, lance cabo scooter, Honda ruckus scooter, Honda elite scooter, Honda grom scooter, Yamaha zuma scooter, Yamaha riva scooter, Yamaha vino scooter, café racer, royal enfield, Suzuki gsxr gsx r , Honda cbr, ysr, Honda rebel 250, 50cc scooter moped, 125cc scooter moped, 250cc scooter moped, tao tao scooter, tank scooter, bms scooter, flyscooter flyscooters, znen scooter, ssr motorsports, ssr scooter, Italian scooter, electric scooter, electric moped, trike, three wheel scooter, sprint scooter, vespa p200, stella scooter, mini bike, pit bike, dirt bike, endure bike, zero motorcycle, scooter Genuine Buddy, Stella, Vespa, Honda, Yamaha, Piagio, Vino, Ruckus 50 125 SYM, Vespa, Buddy, Scooter, Scooter repair, Classic, 250, 150,Genuine Scooter service LX PX Rally, Lambretta, Motorcycle, Scooter, Training, Lessons, Classes, Course, Instruction, School, Los Angeles, M1, DMV, Honda, Rebel, Nighthawk, CB, 250, CB250, 300, CB300, 350, CB350, Suzuki, GS, GN, 125, GS250, GN125, GN250, Kawasaki, Ninja, Eliminator, Vulcan, 500, EN500, Yamaha, Star, Sym, Vespa, Piaggio, Kymco, Aprilia, Buddy, PCX, Metropolitan, Benelli, Peugeot, Hyosung, Zuma, Majesty, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike pocketbikes pocket bike pocket bikes Super Bike Dirt Bike dirtbike superbike xr xr50 50cc 70cc 90cc 100cc 110cc 125cc 150cc Pit Bike pitbikes Honda Yamaha Go Cart GoCart GOPED ,DIRT BIKE,DIRT, MINI BIKE, POCKET BIKE, YSR, GOKART, 50, STUNT BIKE, STUNT, SICK BIKE, SDG,BBR ATV crf50 crf Chopper Min  Are you looking for a discounted Scooter in *San Diego* *Redlands* *El Cajon* *Riverside* *San Bernardino* *Moreno Valley* *Corona* *Chino* Ontario* *Rancho* *Cucamongo* *Rialto* *Fontana* *Hemet* *Palm Springs* *Morongo Valley* *Yucca Valley* *Palm Desert* *Desert Hot Springs* *Apple Valley* *Coasta Mesa* *Pomona* *Anaheim* *Irvine* *Long Beach* *Torrance* *Los Angeles* *Santa Monica* *Pasadena* *Chula Vista* *Carlsbad* *Chula Vista* *Coronado* *Del Mar* *El Cajon* *Encinitas* *Escondido* *Imperial Beach* *La Mesa* *Lemon Grove* *National City* *Oceanside* *Poway* *San Diego* *San Marcos* *Santee* *Solana Beach* *Vista* Escondido* Carlsbad* our special deals on our scooters will save you from having to drive as far to get a great deal. Susanville, Sacramento, clovis, grass valley,Stockton, Plattsburg, Pittsburgh, Overton Nevada,",,,,,,,,,,
9518,90.0,atlanta,https://atlanta.craigslist.org/nat/bik/d/marietta-bike-rack-for-four-bikes/7470398508.html,2022-04-12 14:08,Bike Rack for four bikes, other/unknown, other, any, 27 in,0,Fits two inch receiver hitch. Heavy duty. Made by Thule., good, Thule, none, none, other/unknown, Four Bike, none (rigid),,,
9519,1400.0,atlanta,https://atlanta.craigslist.org/atl/bik/d/atlanta-2trek-road-bikes-56cm-105/7470342870.html,2022-04-12 12:30,2trek Road bikes 56cm 105 component/, carbon fiber, road, 56cm, 700C,3,Two Trek Road bike 56cm Full shimano 105 components! 1400 for both. Or 800 a Peace call or text kevin  show contact info  ASAP !!! Making room for a New Bike, excellent,, caliper, none, drop,, none (rigid),,,
9520,140.0,atlanta,https://atlanta.craigslist.org/sat/bik/d/newnan-haro-bikes/7468080538.html,2022-04-07 08:42,Haro Bikes, other/unknown, bmx,,,7,"Haro Bikes Nyquist new tires, 4130 tube frame.",,,,,,,,,,
9521,2295.0,atlanta,https://atlanta.craigslist.org/nat/sgd/d/electric-the-mid-drive-ebike-that/7468080330.html,2022-04-07 08:37,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,,,,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.", new, Cyberbike,,,,,,,,
9522,150.0,atlanta,https://atlanta.craigslist.org/eat/bop/d/clarkston-two-vintage-bikes-great/7467642361.html,2022-04-06 08:54,Two Vintage Bikes Great Condition,,,,,4,"Two nice and well-maintained bikes for you and yours. Price is firm, cash only, and please serious inquiries only.", excellent,,,,,,,,,
9523,1.0,atlanta,https://atlanta.craigslist.org/atl/bik/d/atlanta-multiple-bikes-for-sale/7467199720.html,2022-04-05 08:38,Multiple bikes for sale, aluminum, road, 60cm, 700C,3,"multiple bikes for sale -  cannondale R600 (60cm) - $300 (good condition -probably need new tires) adult cruiser - schwinn $35 (needs tires) 2 kids bikes - novara pixie, nishiki $20 each (needs brakes fixed)",,,,,,,,,,
9524,1299.0,atlanta,https://atlanta.craigslist.org/atl/snd/d/lebanon-kids-dirt-bikes-and-go-karts-at/7467041280.html,2022-04-04 18:10,Kids Dirt Bikes and Go karts at Woodstock ACE Hardware store,,,,,24,"Welcome to ACE HARDWARE in Woodstock come on down to see our new line of dirt bikes and go karts . We have been serving our customers for 25 years! We Offer Financing from 5 Years to 90 Days same as cash.  Not Only have we developed our own brand, WE HAVE PARTS. We spent the Last 4 Years Developing our Dirt Bike Line. From 70cc 110cc 125cc 250cc  Affordable FUN XTR 110 MINI PIT BIKE is an awesome, fully automatic dirt bike perfect for kids and youth! With no clutch to wrestle, little ones can start building riding skills without having to shift! This Mini Pit Bike is powered by a low-maintenance, 4-stroke 110cc engine that produces over 8 horsepower and is capable of moving loads of over 132 pounds.  A smaller frame and low 25 inch seat height keep this motorcycle small enough for kids to maneuver easily while the off-road knobby tires and full suspension mean it can easily handle rugged terrain on the trails. Front and rear disc brakes provide supreme control and excellent stopping power. Electric start. Choice of several colors    Store Hours -  The Helpful Place Daniel Ace Hardware 115 Colony Center Dr Woodstock, GA 30188 Come visit us online @ http://www.acehardware.com/mystore/index.jsp?store=03885&cid=localstore03885  Accepted Payment Methods: Debit Card Sunday	 	11:00 AM	 – 	5:30 PM Monday	 	8:00 AM	 – 	6:00 PM Tuesday	 	8:00 AM	 – 	6:00 PM Wednesday	 	8:00 AM	 – 	6:00 PM Thursday	 	8:00 AM	 – 	6:00 PM Friday	 	8:00 AM	 – 	6:00 PM Saturday	 	8:00 AM	 – 	6:00 PM    Affordable FUN XTR 110 MINI PIT BIKE is an awesome, fully automatic dirt bike perfect for kids and youth! With no clutch to wrestle, little ones can start building riding skills without having to shift! This Mini Pit Bike is powered by a low-maintenance, 4-stroke 110cc engine that produces over 8 horsepower and is capable of moving loads of over 132 pounds. A smaller frame and low 25 inch seat height keep this motorcycle small enough for kids to maneuver easily while the off-road knobby tires and full suspension mean it can easily handle rugged terrain on the trails. Front and rear disc brakes provide supreme control and excellent stopping power. Electric start. Choice of several colors  Wheelbase 41.33 inches Dirt Bike Dimensions L60 x W29 x H38 inches Height to seat 32 inches Min ground clearance 9 inches Carton Dimensions L53 x W15 x H26 inches  NOT FOR SALE IN STATE OF CALIFORNIA - NOT CARB APPROVED  Average delivery time for most of the nation: 7-10 business days after ordering. Have questions before you decide? Call us at 714.888.5114 or text 714.888.5114 ... licensed dealer offering local pickup or shipping nation wide.     FIANACING ON APPROVED CREDIT.  turbopowersports com 24/7 in stock now.  ORDER NOW AT 714-888-5114 ORDER, Financing OAC AS LOW 3.9 APR  California Number 1 on line dealer turbopowersports.com Dirt bikes and ATVs for all ages. We're the largest Chinese brand dealer in California selections of colors and type of dirt bikes and ATVS . Affordable Fun Need gifts for your kids? we have the 49cc 70cc 110cc Vespa, Moped, Motorcycle, Motor Scooter, Scooter, Scooters Motorized Bicycle, Pre-Owned Scooters, Piaggio Scooters, Genuine Scooters, Vespa Scooters, moped, vespa scooter, piaggio scooter, aprilia scooter, motoguzzi, bsa, Norton, royal enfield, triumph Bonneville, triumph thruxton, genuine buddy scooter, genuine stella scooter, genuine blur scooter, kymco like scooter, kymco super 8 scooter, kymco agility scooter, kymco people scooter, sym wolf 150, sym hd 200 hd200, sym fiddle scooter lance cali classic scooter, lance Havana scooter, lance pch scooter, lance cabo scooter, Honda ruckus scooter, Honda elite scooter, Honda grom scooter, Yamaha zuma scooter, Yamaha riva scooter, Yamaha vino scooter, café racer, royal enfield, Suzuki gsxr gsx r , Honda cbr, ysr, Honda rebel 250, 50cc scooter moped, 125cc scooter moped, 250cc scooter moped, tao tao scooter, tank scooter, bms scooter, flyscooter flyscooters, znen scooter, ssr motorsports, ssr scooter, Italian scooter, electric scooter, electric moped, trike, three wheel scooter, sprint scooter, vespa p200, stella scooter, mini bike, pit bike, dirt bike, endure bike, zero motorcycle, scooter Genuine Buddy, Stella, Vespa, Honda, Yamaha, Piagio, Vino, Ruckus 50 125 SYM, Vespa, Buddy, Scooter, Scooter repair, Classic, 250, 150,Genuine Scooter service LX PX Rally, Lambretta, Motorcycle, Scooter, Training, Lessons, Classes, Course, Instruction, School, Los Angeles, M1, DMV, Honda, Rebel, Nighthawk, CB, 250, CB250, 300, CB300, 350, CB350, Suzuki, GS, GN, 125, GS250, GN125, GN250, Kawasaki, Ninja, Eliminator, Vulcan, 500, EN500, Yamaha, Star, Sym, Vespa, Piaggio, Kymco, Aprilia, Buddy, PCX, Metropolitan, Benelli, Peugeot, Hyosung, Zuma, Majesty, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike pocketbikes pocket bike pocket bikes Super Bike Dirt Bike dirtbike superbike xr xr50 50cc 70cc 90cc 100cc 110cc 125cc 150cc Pit Bike pitbikes Honda Yamaha Go Cart GoCart GOPED ,DIRT BIKE,DIRT, MINI BIKE, POCKET BIKE, YSR, GOKART, 50, STUNT BIKE, STUNT, SICK BIKE, SDG,BBR ATV crf50 crf Chopper Min  Are you looking for a discounted Scooter in *San Diego* *Redlands* *El Cajon* *Riverside* *San Bernardino* *Moreno Valley* *Corona* *Chino* Ontario* *Rancho* *Cucamongo* *Rialto* *Fontana* *Hemet* *Palm Springs* *Morongo Valley* *Yucca Valley* *Palm Desert* *Desert Hot Springs* *Apple Valley* *Coasta Mesa* *Pomona* *Anaheim* *Irvine* *Long Beach* *Torrance* *Los Angeles* *Santa Monica* *Pasadena* *Chula Vista* *Carlsbad* *Chula Vista* *Coronado* *Del Mar* *El Cajon* *Encinitas* *Escondido* *Imperial Beach* *La Mesa* *Lemon Grove* *National City* *Oceanside* *Poway* *San Diego* *San Marcos* *Santee* *Solana Beach* *Vista* Escondido* Carlsbad* our special deals on our scooters will save you from having to drive as far to get a great deal. Susanville, Sacramento, clovis, grass valley,Stockton, Plattsburg, Pittsburgh, Overton Nevada,",,,,,,,,,,
9525,1234.0,atlanta,https://atlanta.craigslist.org/nat/mcy/d/dallas-low-mileage-vintage-bikes/7466408144.html,2022-04-03 10:29,LOW MILEAGE VINTAGE BIKES,,,,,14,"1. 1985 Suzuki Cavalcade 1400 with 52K miles. Cleaned and ploshed, new battery, rear airshocks rides like a dream all stock clear title.  $2355.00  2  1978 Honda GL1000 Goldwing with 62K miles.  New battery, new electronic ignition, new front and rear tires, new front brake master cylinder, polished wheels and motor, new plugs, new oil and filter. Beautiful bike bill of sale.  SOLD  3.  1975 Honda GL1000 Goldwing with 20K miles. New battery, new front brake master cylinder, new OEM seat, new exhaust, new front and rear brakes, rebuilt rear brake master cylinder, polished chrome and aluminum, rebuilt and synced carbs. Bike sounds awesome, clear title.  SOLD  4, 1980 Honda CB650 Custom with 17K miles. New battery, new front brake master cylinder, new seat cover, beautiful instrument cluster, new front and tear tires, new oil and filter, polished motor, 4 into one exhaust, rebuilt and synced carbs. Bike is a little loud...can not get the carbs right.  Bill of sale.  $1585.00",,,,,,,,,,
9526,20.0,atlanta,https://atlanta.craigslist.org/nat/bop/d/atlanta-new-bikemate-computers-in/7464767806.html,2022-04-02 11:25,2 New Bikemate Computers in Clamshell works on all bikes!,,,,,3,"I got these for my wife and I and then ended up not using them. They work on Road bikes, mountain bikes, and hybrids.  show contact info",,,,,,,,,,
9527,1600.0,atlanta,https://atlanta.craigslist.org/atl/mcd/d/atlanta-dirt-bikes-125cc-17-tires/7465778109.html,2022-04-01 16:19,"Dirt Bikes 125CC  17"" Tires",,,,,12,"Hitech  MotorSports  is proud to offer  125CC Dirt bikes with  14"" Rear  &  17"" front tires. This dirtbikes are manual clutch  .This are excellent for young adults . This bikes are fully assembled and ready to ride. Come and visit our fully equipped Showroom and see many other bikes from 60CC  to 250CC.  We area full service Dealership with New equipment / Parts Department/ Service Department/ and towing service available for our customers at reasonable rates.   We sell SCOOTERS /DIRT BIKES / ATVS /MOTORCYCLES Visit our fully equipped Showroom at 839  Beecher St SW We are across from WESTEND MARTA   We are open 10am -  6pm  Monday-Satday",,,,,,,,,,
9528,1095.0,atlanta,https://atlanta.craigslist.org/atl/snd/d/norcross-atv-go-karts-wheelers-dirt/7465638820.html,2022-04-01 11:45,"ATV , Go Karts, 4 Wheelers, Dirt bikes, Dune Buggy, Scooters , Toys",,,,,0,"Yes Yes we have 110cc ATV in-stock . Mostly all colors   We are true importer and Wholeseller of ATV, 4 wheelers , Gokarts, Dirt bikes, side by sides, scooters  , Electric Bikes and Kids Ride on cars .  Here is the price list Electric Ride one starting $299 Electric bike/scooter street legal $995 110cc Gas ATV/ 4 wheelers $1095 125 Gas ATV / 4 wheelers $ 1299 125 Gas ATV / 4 wheelers 8” tires $1399 125 ATV JET SPORTS ATV $1499 125 Premium Jasacol ATV $1599 110cc Kids GOKART $1499 125 Kids GOKART $1899 125cc Midsize GOKART $2599 150cc GOKART $2799 200cc GOKART Batman $3599 200cc GOKART SPIDER FULL SIZE $3795 200cc UTILITY ATV $2495 200cc Sports ATV $2495 50cc Scooters starting from $995 60cc dirtbike $885 70cc dirtbike $995 110cc 14” dirtbike starting $1095  125cc 14” dirtbike starting $1295    We have huge varieties of Powersports inventory.  DEALERS WELCOME  Please stop by at  Tiger Powersports 6155 Jimmy Carter Blvd Suite F Norcross GA 30071",,,,,,,,,,
9529,150.0,atlanta,https://atlanta.craigslist.org/nat/bik/d/marietta-cool-retro-bikes/7453188313.html,2022-04-01 09:32,COOL Retro bikes, steel, other, All sizes, 27 in,0,I have 3 pair of his/hers retro bicycles plus a few other very cool bikes that I refurbish(not restore) for fun. call Glenn for more information or test ride...770-565-610six.  Schwinns...Raleighs...Nishikis...1 Fuji....etc...from $150 to $350  Over 30 bikes to choose from...all sizes...cruisers and drop bars..a few mtb bikes too.,, all makes,,,,,,,,
9530,275.0,atlanta,https://atlanta.craigslist.org/nat/bik/d/cumming-ns-bikes-holy/7464472791.html,2022-03-29 14:29,NS Bikes Holy, other/unknown, other, Medium, other/unknown,0,Like new condition. Tires need air. It may have a single mile of use on it. Great trials bike!,, NS Bikes,,,, Holy,,,,
9531,175.0,atlanta,https://atlanta.craigslist.org/nat/atq/d/winder-antique-bikes/7452044726.html,2022-03-28 11:14,Antique Bikes,,,,,7,2 vintage/ Antique Bikes. $175 each or will trade for small utility trailer or possibly woodworking tools. Complete (hard to find) restorable condition. No dents! Rims are straight! Has some rust (mostly surface) but not heavy rust!, good,,,,,,,,,
9532,250.0,atlanta,https://atlanta.craigslist.org/atl/bik/d/atlanta-nearly-new-kids-bikes/7463737252.html,2022-03-27 18:16,2 Nearly New Kids Bikes, other/unknown, kids, unknown, 24 in,2,"This is a rare bike. A real road bike for kids. As light and well-equipped as a starter racing bike for adults, the Ace 24 is perfect for the little speed demon in your family.  What the bike does have is 14 speeds, quality wheels and brakes and cool styling. The Ace 24 will work pretty well for most kids in the 8 to 12 year age range.  With 24″ wheel, reduced length cranks, a narrow handlebar, and small-size brake levers, this bike will fit just right. With an another Atlanta summer coming up, you can make some great use out of these bikes. $250 each or $400 for both, the blue one is a bit bigger, but both are in great condition.", like new, Fuji,,, other/unknown, Ace 24, none (rigid),, F1068892,
9533,25.0,atlanta,https://atlanta.craigslist.org/nat/bik/d/peachtree-corners-bell-bike-carrier-for/7463641286.html,2022-03-27 14:28,Bell bike carrier for two bikes, other/unknown, other, N/A, other/unknown,0,"Only used a few times - excellent condition.  Honest, reliable seller!",,,,,,,,,,
9534,1499.0,atlanta,https://atlanta.craigslist.org/nat/hab/d/buford-expresso-go-bikes/7463407473.html,2022-03-26 20:16,expresso GO bikes,,,,,2,MSRP $4299 Sale $1499  Commercial grade   Better than peloton   Interactive   6 month warranty,,,,,,,,,,
9535,300.0,atlanta,https://atlanta.craigslist.org/nat/bik/d/cumming-bikes/7451751190.html,2022-03-26 11:38,2 Bikes, aluminum, road,,,4,1 Cannondale racing bike $300  2 Trek racing  bike $300  Or both for $500  Posted for a friend call him at  show contact info  no text or message calls only please I will not answer emails with out a phone number., good,, disc (mechanical),,,,,,,
9536,950.0,atlanta,https://atlanta.craigslist.org/atl/mpo/d/atlanta-2009-yamaha-vino/7472979295.html,2022-04-18 20:04,2009 Yamaha Vino,,,,,6,Real Yamaha Vino Classic. THIS IS NOT A CHEAP JAPANESE BIKE...THIS IS A COLLECTOR BIKE. This bike typically goes for $1400 but I'm selling it for ONLY $950. I sale bikes. This is the last one! DON'T MISS OUT! PHONE CALLS ONLY. IF YOU ARE NOT SERIOUS DO NOT CALL, good,,,,,,,,,
9537,245.0,atlanta,https://atlanta.craigslist.org/eat/bik/d/lithonia-ladies-schwinn-hybrid-full/7472876128.html,2022-04-18 16:08,Ladies Schwinn Hybrid full refurb Fits 5ft5 to 6ft, aluminum, road, 15 inch, 700C,22,"2015 Schwinn Clear Creek hybrid road bike in very pretty condition.  The bike was completely disassembled, deep cleaned, and rebuilt, piece by piece. It has new stainless steel cables, new cable housings, and new internal ball bearings. Everything works perfectly. And it rides nice and smooth.... Better than new, as mass assembled bikes don't get a mechanic's touch during build-out, often needing grease around the bearings and adjustments to most components. This one also had cheap galvanized cables on it that would rust. Those have all been replaced.  The bike has a 15 inch frame measured from the bottom bracket to the top of the seat tube. I would call this a medium size bike. A rider around 5ft5 to around 6'0 should fit fine.  The bike was completely disassembled. All the components and the drivetrain were removed, deep-cleaned, and adjusted. The front shock was removed and the headset bearings were replaced, greased, and the headset was adjusted. The wheelhub bearings were all replaced, greased, and adjusted. The internal cups and cones where all these bearings travel were all deep-cleaned to provide the cleanest and smoothest surface possible. The wheelhubs are now buttery smooth. The bottom bracket was rebuilt with new ball bearings and fresh grease, and tightened correctly. The wheels were trued, the rims and spokes were individually cleaned. The frame was cleaned and polished. The brake calipers and levers, shifters, derailleurs, cranks and chainrings, and drivetrain were all disassembled and rebuilt. There's not a nut or bolt on the bike I haven't touched.  This is a 21-speed comfort road bike with a step thru frame. The bike has street tires(700c). It has a front shock. The bike has Shimano Tourney derailleurs. It has a Shimano grip shifters. The bike has a shock absorbing seat post and matching seat and grips. The wheels have lightweight alloy rims and hubs, and have nice tires with excellent tread. The bike also has an alloy stem, alloy handlebar, and alloy seatpost to keep things light-ish. The frame is very pretty and is in like new condition.  Due to the vast amount of spam, please put the word DOG into your email and I will reply.   Use the ""more ads by this user"" link to see my other bikes. Link is located on the right side of the ad.    Old grease, combined with dirt, will harden and damage the operation of the bearings. This will cause internal damage, and can make your bike dangerous(especially with the headset bearings which allow you to steer). If you're looking to buy any used bike, find out when the last time the bearings were overhauled (not just a ""tune-up""). If it has not been done in 5 yrs, I strongly recommend having it done.",,,,,,,,,,
9538,375.0,atlanta,https://atlanta.craigslist.org/eat/bik/d/lithonia-trek-madone-carbon-frame-fork/7471962812.html,2022-04-18 14:18,Trek Madone Carbon Frame & Fork w Headset & Bottom Bracket & Stem, carbon fiber, road, 60 cm, 700C,22,"2006 Trek Madone 5.5 frame, OCLV 120 carbon aero. 130mm dropout spacing. Bontrager Race X Lite fork, carbon; 260mm steerer tube length; 100mm hub spacing  Cane Creek S-3 headset w/cartridge bearings, sealed. Original equipment. Shimano Dura Ace SM-FC7800 bottom bracket. Original equipment.  Bontager RL 70mm stem w/ 31.8 clamp; With stem top cap(headset cap) & bolt. Carbon fiber spacers. 1 x 20mm, 1 x 10mm, 2 x 5mm. Original equipment.  The frame is 60cm, measured from the center of the bottom bracket to the top of the seat tube. The top tube length(EFF) measures 58.2cm from center to center.  This frame was a warranty repair done by Trek to fix a defective derailleur hanger.  The frame was originally red.  archive.trekbikes.com/us/en/2006/trek/madone55#/us/en/2006/trek/madone55/details When the repair was done Trek would not restore the original paint scheme or original decals to it. The owner was asked what color he preferred. Trek repainted it, and applied the decals and clear coat.   I have disassembled the frame, fork, and components. They were cleaned, regreased where needed, and reassembled.  The headset and bottom bracket are both very smooth. The frame and fork are in very pretty condition. There are some very small scuffs and scratches to the paint.  Due to the vast amount of spam, please put the word DOG into your email and I will reply.   Use the ""more ads by this user"" link to see my other bikes. The link is located on the right side of this ad",,,,,,,,,,
9539,475.0,atlanta,https://atlanta.craigslist.org/eat/bik/d/lithonia-54cm-vintage-raleigh-tri-lite/7472816437.html,2022-04-18 14:18,54cm Vintage Raleigh Tri-Lite Scott Tinley w Campy Components,,,,,0,,,,,,,,,,,
9540,35.0,atlanta,https://atlanta.craigslist.org/atl/for/d/atlanta-reliable-allen-trunk-mount-bike/7472755933.html,2022-04-18 12:30,reliable Allen trunk mount bike rack,,,,,2,"two bike, trunk mountable, Allen bike rack. used, but in good condition. This bike rack has never let me down.. super easy to mount onto my hatchback car and is still sturdy with two bikes on there.", excellent, Allen,,,,,,,,
9541,100.0,atlanta,https://atlanta.craigslist.org/nat/bop/d/jasper-thule-expressway-bike-rack/7472750085.html,2022-04-18 12:20,Thule 995/996 Expressway Bike Rack,,,,,0,"Must have a 2"" trailer hitch. Holds 4 bikes Have all pieces (straps, lock, wrenches) Made in Sweden",,,,,,,,,,
9542,490.0,atlanta,https://atlanta.craigslist.org/wat/clt/d/douglasville-scarce-24-harley-davidson/7463806876.html,2022-04-18 10:05,Scarce 1/24 Harley Davidson Franklin mint,,,,,0,,,,,,,,,,,
