,Price,Location,URL,Date,Title,num image,condition,text,make / manufacturer,model name / number,part type,bicycle frame material,bicycle type,frame size,wheel size,brake type,electric assist,handlebar type,suspension,size / dimensions,paint color,year manufactured,serial number
1896,20.0,tucson,https://tucson.craigslist.org/tag/d/tucson-new-in-box-kids-boys-girls/7464350815.html,2022-04-16 06:52,new in box kids boys girls balance bikes,2,,new in box kids boys girls balance bikes Fivetwozerofourzerosixninesixnineone,,,,,,,,,,,,,,,
1897,50.0,tucson,https://tucson.craigslist.org/bop/d/cortaro-yakima-bike-rack/7459385852.html,2022-04-15 13:58,Yakima Bike Rack 2,0,,,,,,,,,,,,,,,,,
1898,1199.0,tucson,https://tucson.craigslist.org/bid/d/tucson-bikes-new-bafang-and-new-52-volt/7471494194.html,2022-04-14 23:00,E-bikes NEW BAFANG  AND NEW 52 VOLT BATTERY ELECTRIC BIKE e bikes,8,,"NEW BBS02 750W. Or bbshd COMPLETE KIT WITH 44 TOOTH SPROCKET, THROTTLE, DISPLAY, WIRING, SPEED SENSOR. COMPLETE KIT WITH A  NEW UNIT PACK POWER 52 VOLT 13AH BATTERY AND CHARGER add 200.00 for bbshd  OPTIONS 79.00 ALUMINUM SPROCKET FOR MOTOR, BETTER THEN STOCK STAMPED STEEL 50.00 SHIFT SENSOR 50.00 500C COLOR DISPLAY 100.00 adaptor for press fit bearing bottom bracket 30.00 KMC NO STRRETCH CHAIN 35.00 BLACK ROCK BROS PEDALS COMPOSITE 12.00 BAFANG HEADLIGHT 75.00 TO PROGRAM TO 1300W.  ALL PARTS IN STOCK, CELL 949 205-5362 CALL OR TEXT BRING IN THE MORNING PICK IT UP AT NIGHT MANY E BIKES COMPLETE READY TO RIDE FOR SALE",,,, other/unknown, other, ANY, other/unknown,,,,,,,,
1899,1999.0,tucson,https://tucson.craigslist.org/bid/d/tucson-new-polygon-bafang-mid-drive/7471493698.html,2022-04-14 22:55,New polygon  bafang mid drive electric bike e bikes,9, new,New 27.5 large polygon.. Shamino 9 speed tektro hyd disk brakes.   New bafang 750w or 1300 w mid drive with custom controller. New 52 volt 13ah battery w charger. Color display. 45 pounds complete. 40 mph. Aluminum sprocket and mount. cell 949 2055362, Polygon, e bike,, alloy, mountain, LARGE 19', 27.5 in, disc (hydraulic), pedal assist, riser, suspension fork (hardtail),,,,
1900,1.0,tucson,https://tucson.craigslist.org/bid/d/tucson-custom-built-bikes-electric/7471492035.html,2022-04-14 22:36,CUSTOM BUILT E-BIKES. ELECTRIC BIKES AS FAST AS YOU WANT,20,,"I BUILD CUSTOM E BIKES, I CAN BUILD YOUR BIKE OR HELP FIND YOU THE BIKE YOU WANT, I CAN BUILD THEM TO MAKE 1300 WATTS TO 3000 WATTS, CAN BUILD SOME CARBON FIBER AND ALL OF ANY OTHER TYPE, FULL SUSPENSION HARDTAILS STREET BIKES 3 WHEEL 4 WHEEL ANY BIKE YOU WANT. I BUILD WITH BAFANG MID DRIVES ONLY NO HUB MOTORS. CALL TEXT OR EMAIL FOR A QUOTE. NEED TO KNOW ABOUT BIKE AND WHAT YOU WANT TO GIVE QUOTE, BIKES PICTURED ARE BIKES I BUILT FOR CUSTOMER. MY CELL IS EASIEST TO REACH ME VERY BUSY CELL 949 205-5362  NOW BUILDING HUB MOTOR E BIKES. PRICES VARY FROM QUALITY OF MOTOR", ANY, ANY,, other/unknown, other, ANY, other/unknown,,,,,,,,
1901,2999.0,tucson,https://tucson.craigslist.org/bid/d/tucson-giant-anthem-bikes-2500w-mid/7471491908.html,2022-04-14 22:35,Giant anthem E-bikes 2500w mid drive electric bikes,6, excellent,29er medium. 2500w ludicrious mid drive. Fast. 52 volt 10ah battery color display. 45 mph pedal assist and throttle. Fox suspension. Sram hyd disks. Shamino xt derailier, Giant anthem, E BIKE,, alloy, mountain, MEDIUM 18, 29 in, disc (hydraulic), throttle, riser, frame and fork (full suspension),,,,
1902,1999.0,tucson,https://tucson.craigslist.org/bid/d/tucson-orbea-wild-bikes-bosch-mid-drive/7471491784.html,2022-04-14 22:34,Orbea wild e bikes bosch mid drive electric bikes,8, like new,27.5 medium. Bosch mid drive with speed box. 30 mph. Bosch 500wh battery. New radium 34 120mm forks. New 27.5 2.8 tires and wheels. New shamino deore w clutch 11 speed drivetrain. New kmc chain. Race face cranks. cell 949 205 5362 custom mini display with orginal display. Battery is purfect fully charges with charger, Orbea, Wild,, alloy, mountain, 18 MEDIUM, 27.5 in, disc (hydraulic), pedal assist, riser, suspension fork (hardtail),,,,
1903,1999.0,tucson,https://tucson.craigslist.org/bid/d/tucson-2021-trek-roscoe-e-bikes-new/7471491370.html,2022-04-14 22:30,2021 trek roscoe 7 e bikes new bafang mid drive electric bikes,9, new,Medium 27.5 2.8 tires shamino deore w clutch. Tektro hyd disks. Rock bros pedals lock on grips. Rockshox forks. New 1300w bafang mid drive. 35 mph. New 52volt 13ah battery charger 60 miles charge. One  year warranty.. color display shift sensor.. kmc chain.. custom aluminum sprocket pedal assist and throttle cell 949 205 5362, Trek, Roscoe ebike,, alloy, mountain, 17.5, 27.5 in, disc (hydraulic), pedal assist, riser, suspension fork (hardtail),,,,
1904,1999.0,tucson,https://tucson.craigslist.org/bid/d/tucson-diamondback-fast-electric-bikes/7471491120.html,2022-04-14 22:28,Diamondback fast electric bikes 1300w mid drive e bikes,8, like new,Cannondale 27.5 large. 2.8 tires. Boost wheels. Rockshox Judy. Sram nx. Sram hyd disks. Dropper. New 1300w mid drive. 35 to 40 mph. New 48v 15ah battery 60 miles to charge. One year warranty. Pedal assist and throttle. Color display shift sensor more, Cannondale, E bike,, alloy, mountain, LARGE 19', 27.5 in, disc (hydraulic), pedal assist, riser, suspension fork (hardtail),,,,
1905,3000.0,tucson,https://tucson.craigslist.org/bik/d/vail-mercury-bikes/7471298257.html,2022-04-14 12:06,2 Mercury bikes,4, good,"Men's Mercury Galaxy bicycle and lady's Mercury Sabre Flite bicycle. Mercury bikes were made only from 1946 to 1958. These are in good condition, new tires, clean. Mercury bikes are very hard to find and usually priced at $3000 each, or more. Asking $3000 for both.  May trade. phone calls only, please  show contact info", Mercury,,, steel, other, 26 inch, 26 in, coaster, none,,,,,,
1906,150.0,tucson,https://tucson.craigslist.org/bik/d/catalina-mongoose-mountain-bikes/7468812391.html,2022-04-13 14:50,Mongoose Mountain Bikes,2, good,I have to mongoose mountain bikes for sale. Both are men's and one is a black aluminum 21-speed disc brake and the other is a red Steel 18 speed index shifting power climber. Both are in used condition but have been well taken care of except the Red Steel bike needs a new seat replacement and a front tire tube. I'm asking $150 firm for both. Please call Marilyn at  show contact info . Thank you and texts will not be replied to., Mongoose Mountain Bikes,,, steel, mountain, unknown, 26 in, cantilever,, other/unknown,,,,,
1907,99.0,tucson,https://tucson.craigslist.org/spo/d/tucson-yakima-and-thule-racks-for-bikes/7464282121.html,2022-04-13 12:01,"Yakima and Thule Racks for Bikes, Boards, Skis, Kayaks, and Canoes",0,,,,,,,,,,,,,,,,,
1908,650.0,tucson,https://tucson.craigslist.org/bop/d/catalina-kuat-nv-20-bike-rack-holds/7470535160.html,2022-04-12 15:49,Kuat NV 2.0 bike rack (holds 2 bikes) + add on 2 more bikes available,0,,,,,,,,,,,,,,,,,
1909,100.0,tucson,https://tucson.craigslist.org/for/d/tucson-mini-portable-air-compressor/7457285922.html,2022-04-09 06:56,MINI portable air compressor tires bikes projects 50' hose attachments,5,,"Pick it up at Campbell and River for 80 - nice air compressor used for light projects. nice 50' long cord and some different attachments for blowing dust, areas, leaves, airing up tires, bike, etc289-0505",,,,,,,,,,,,,,,
1910,75.0,tucson,https://tucson.craigslist.org/bik/d/tucson-youth-bikes/7468905283.html,2022-04-08 19:49,Youth bikes,2,,"Youth Bikes,  Girls mountain bike $75 - 20 inch wheels Boys Mountain Bike $125 (like new) -  24 inch wheels",,,, steel, mountain, Youth, 20 in,,,, suspension fork (hardtail),,,,
1911,10.0,tucson,https://tucson.craigslist.org/bik/d/tucson-old-mens-huffy-and-small-girls/7468416816.html,2022-04-07 17:46,Old men's huffy and small girls mountain bikes,2,,"Men's huffy mountain bike  and girls mountain bike 10.00 for both, they both probably need tires",,,, other/unknown, mountain, -, other/unknown,,,,,,,,
1912,1950.0,tucson,https://tucson.craigslist.org/bik/d/sierra-vista-crosscurrent-e-bike-medium/7468308972.html,2022-04-07 13:20,CrossCurrent S e-bike medium frame,14, good,"Juiced Bikes brand, CrossCurrent S model The medium size frame (16.5”) it should fit people between the heights of 5’4” & 6’  This particular model is no longer being manufactured. The closest equivalent is the CrossCurrent X, which also has a rack for panniers and fenders. This bike had an upgrade of a frame with ""brushed aluminum"" finish, whereby only the frames with the highest quality welds and craftsmanship were selected, since the metal was given a clear finish.  It also has an upgraded 17.4 amp hour battery pack, which at 48 Volts can provide 835 Watt hours. Check out the photos and look for a chart showing your potential riding range based on your speed and this particular battery pack (Super Extended). I have primarily used the electric assist with a torque sensor, rather than cadence. This makes my peddling feel rather natural.  The harder you pedal, the more power it gives to the motor. If you pedal lighter, less power goes to the motor. It has different levels of electrical assist. The lowest level (Eco) is designed to just overcome the extra weight of the bike. Levels 1, 2 & 3 provide increasing assist up to 28 mph. Level S which stands for “Sport” continues to provide assist without any upper speed limit.  The weight of the bike is significant. Maybe about 54 pounds or a little more since I have the extended range battery. You must take that into account when braking. The bike is designed to support the extra weight with extra heavy duty spokes, frame, and hydraulic brakes. I like the idea that the battery pack is on the front down tube and not on the back wheel. This means that one can haul some loads with the bike rack — rated for 50 pounds. The total payload limit is 350 pounds.  I believe you will find the bike is very well thought out and designed and the craftsmanship is excellent. Customer support is pretty good as well. There was a little bit of assembly required when I received the bike. The headlamp/light they sent had some glue in one of the receptacles. The company quickly sent me a replacement. I also had a time or two when a fault signal appeared on the charging unit. Technical support readily resolved the issue by walking me through some simple steps.  I have an electronic copy of the instruction manual.  There are a few scratches on it when is the bike tipped over. All damage seems to be cosmetic. I had a slow leak in the rear tire and had a local bike shop replace the tube. It was a bit of a challenge for them to get the wheel off, but they managed.", Juiced Bikes, CrossCurrent S,, aluminum, hybrid/comfort," 16.5"" Medium", 27.5 in, disc (hydraulic), pedal assist, flat, suspension fork (hardtail),,,,
1913,1150.0,tucson,https://tucson.craigslist.org/bik/d/catalina-vtuvia-bikes/7467699189.html,2022-04-06 08:05,Vtuvia E Bikes,0,,,,,,,,,,,,,,,,,
1914,150.0,tucson,https://tucson.craigslist.org/bik/d/tucson-schwinn-vintage-1970s-speed/7465083081.html,2022-04-04 20:02,Schwinn Vintage 1970's 5 Speed Touring Bikes - Great Condition,4, good,"Schwinn Vintage 1970's 5 Speed Touring Bikes - Great Condition  Schwinn Collegiate (green) - Ladies 19"" Frame  Schwinn Suburban (blue) - Mens 22""Frame  $150 each  These are sold ""as is"", and will need new tires  Beautiful bikes . . enjoy the comfort of these Schwinn originals from the golden era of cycling", Schwinn, Collegiate Suburban,, steel, road, Medium, 26 in,,,,,,,,
1915,3495.0,tucson,https://tucson.craigslist.org/bik/d/tucson-electric-bikes/7455735065.html,2022-04-03 13:06,Electric (E) Bikes,5, like new,"These two Pedego trail tracker bikes are in like new condition.  I’m asking $3350 for each bike.  One is a step through, great for women or men.  The other has the traditional bar.  See pics.  For questions, please look at the link   Pedego trail trackers are unique because they have PEDAL ASSIST as well as a THROTTLE  Link to Pedego Trail Tracker  https://pedegoelectricbikes.com/product/trail-tracker-electric-fat-tire-bike/", Pedago, Trail Tracker,, alloy, cruiser, 54 cm Medium, 26 in, disc (hydraulic), pedal assist, flat, none (rigid),,,,
1916,1.0,tucson,https://tucson.craigslist.org/bop/d/tucson-schwinn-bikes-and-parts/7457254857.html,2022-04-02 11:07,Schwinn bikes and parts,7,,Lot's of schwinn bikes and parts. Call or text Michael @  show contact info .,,,,,,,,,,,,,,,
1917,75.0,tucson,https://tucson.craigslist.org/bik/d/tucson-kids-bikes-new/7465775488.html,2022-04-01 13:20,kids bikes new,6, new,New Kids Bicycles.  1. Paw Patrol ready for action 2  Blue Schwinn Flywheel 3. Schwinn Deelite  $75.00 each., schwinn,,, other/unknown, kids, 3, other/unknown, other/unknown,, other/unknown, other/unknown,,,,
1918,120.0,tucson,https://tucson.craigslist.org/mpo/d/tucson-2017-newer-harley-milwaukee/7465196363.html,2022-03-31 08:03,2017-Newer Harley Milwaukee 8 Catalytic Delete Pipe,2, new,"Catalytic Converter Delete Pipe for 2017 and newer Milwaukee 8 Harley-Davidson Touring Bikes, Street Glide, Road Glide, Road King, Ultra Classic, etc. Converter professionally and cleanly removed from new factory header pipe.  Your bike will run cooler, perform better, sound much better, attain increased fuel economy and produce more torque than with the stock unmodified pipe.  Aftermarket headers can be $600, these will perform nearly as well.  Also have Dyna Switchback delete pipe.  $120 and your stock pipe in exchange. East side.  471-4539", Harley-Davidson," All touring bikes, trike.",,,,,,,,,,,,,
1919,200.0,tucson,https://tucson.craigslist.org/bik/d/tucson-selling-two-bikes-for-200/7464670610.html,2022-03-29 20:37,Selling two bikes for $200,0,,Selling a green mountain and red hybrid bike both for $200. Practically giving away the green bike for free and the red bike is $200. Mountain bike back tire will need replacing. The hybrid bike is in great shape. It has a new front tire and both tire tubes were recently replaced. Baskets included. Near UA. se habla español,,,, other/unknown, other, unknown, other/unknown,,,,,,,,
1920,20.0,tucson,https://tucson.craigslist.org/bik/d/tucson-bikes/7463368571.html,2022-03-26 15:04,Bikes,0,,"I only have the black and orange bike left. Its a 20"" bike that I would like to sell it needs a bit of work most likely new intertube and the missing wheel. I haven't tested the tube or anything yet Missing one wheel And the brake cable came undone I'm asking $20 or best offer for everything Call or text 520 487627five",,,, other/unknown, bmx, Medium, 20 in,,,,,,,,
1921,20.0,tucson,https://tucson.craigslist.org/tag/d/tucson-tucson-only-new-in-box-kids/7449790399.html,2022-03-25 06:50,tucson only New in box kids balance bikes boys girls,7, new,New in box kids balance bikes boys girls Call text fivetwozerofourzerosixninesixnine1,,,,,,,,,,,,,,,
1922,2999.0,tucson,https://tucson.craigslist.org/bid/d/higley-shark-gray-pro-kick-ass-1000w/7462326334.html,2022-03-24 08:37,🦈SHARK GRAY PRO⚡️ KICK ASS 1000W SOUL FAST ELECTRIC BIKE ⚡,0,,,,,,,,,,,,,,,,,
1923,1999.0,tucson,https://tucson.craigslist.org/bid/d/higley-best-value-ebikes-1000w-soul/7462326852.html,2022-03-24 08:38,BEST VALUE EBIKES ⚡️ 1000W SOUL FAST SONIC SABER ELECTRIC BIKE ⚡,0,,,,,,,,,,,,,,,,,
1924,595.0,tucson,https://tucson.craigslist.org/bik/d/tucson-two-bikes/7462287913.html,2022-03-24 07:22,Two Bikes,0, excellent,"Two bikes for sale. Trek Alpha 2.3 size 56, with clipless pedals ($675) and an extra front rim with tube and tire. Lake shoes for same also available. Also, another extra tire and tube, frame pump, rear rack, and front touring bag.  Univega Gran Turismo size 52, with toe straps. Low mileage, good tires, good starter bike. ($100) Rear rack also available ($25).",,,, aluminum, road, 56, 700C,,,,,,,,
1925,3600.0,tucson,https://tucson.craigslist.org/bik/d/tucson-his-her-pedego-bikes-car-carrier/7462086522.html,2022-03-23 14:42,His & Her PEDEGO E-Bikes & car carrier,0, excellent,A set of his and her City Commuter Pedego bicycles and the requisite Thule  heavy duty car carrier($900new} all in excellent shape for less than half the price of new ones.Big battery on both Discounted price for all three $3600. Call or email John  for details Tucson East side., Pedego, City Commuter,, steel, road," 28&26""", 26 in, disc (mechanical), pedal assist, cruiser, other/unknown,,,,
1926,20.0,tucson,https://tucson.craigslist.org/bik/d/tucson-new-in-box-kids-balance-bikes/7449789438.html,2022-03-23 11:16,New in box kids balance bikes boys girls Tucson only,6, new,New in box kids balance bikes boys girls Call text  show contact info,,,, steel, kids, little kids, other/unknown, other/unknown, none, other/unknown, other/unknown,,,,
1927,150.0,tucson,https://tucson.craigslist.org/pts/d/tucson-athletico-tailgate-pad-for-bikes/7455591418.html,2022-03-22 09:34,Athletico Tailgate Pad for Bikes-Truck Tailgate Cover,2, new,"NEW, never used Holds up to 6 bikes Retail: $199 Selling: $140", Athletico,,,,,,,,,,," 62""wide",,,
1928,153.0,tucson,https://tucson.craigslist.org/bik/d/tucson-schwinn-koen-18youth-bmx-bikes/7453929720.html,2022-03-22 09:29,"Schwinn Koen 18""Youth BMX Bikes-NEW",0,,,,,,,,,,,,,,,,,
1929,20.0,tucson,https://tucson.craigslist.org/tag/d/tucson-new-in-box-kids-balance-bikes/7449604015.html,2022-03-22 05:12,NEW IN BOX KIDS BALANCE BIKES BOYS GIRLS,2, new,NEW IN BOX KIDS BALANCE BIKES BOYS GIRLS.  ASSEMBLY REQUIRED show contact info,,,,,,,,,,,,,,,
1930,1999.0,tucson,https://tucson.craigslist.org/bid/d/tucson-diamondback-fast-electric-bikes/7461372030.html,2022-03-22 03:29,Diamondback  fast electric bikes 1300w mid drive e bikes,0,,,,,,,,,,,,,,,,,
1931,1.0,tucson,https://tucson.craigslist.org/bid/d/tucson-custom-built-bikes-electric/7461371763.html,2022-03-22 03:26,CUSTOM BUILT E -BIKES. ELECTRIC BIKES AS FAST AS YOU WANT,0,,,,,,,,,,,,,,,,,
1932,1199.0,tucson,https://tucson.craigslist.org/bid/d/tucson-installed-bikes-new-bafang-and/7461360405.html,2022-03-22 00:27,INSTALLED e-bikes NEW BAFANG  AND NEW 52 VOLT BATTERY ELECTRIC BIKE,0,,,,,,,,,,,,,,,,,
