,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,make / manufacturer,model name / number,wheel size,text,brake type,condition,handlebar type,suspension,electric assist,serial number,size / dimensions,part type,year manufactured,paint color
4465,300.0,slo,https://slo.craigslist.org/bik/d/san-luis-obispo-new-city-bike-ellison/7461360204.html,2022-04-10 09:42,New City Bike - Ellison Deluxe,2, steel, cruiser, Medium, State Bikes, Ellison, 27.5 in,Selling a barely ridden State Bike Ellison Deluxe in excellent condition.   Was originally $600+ new. Selling for $300 to find a new home where someone will enjoy riding it.   Size Medium - 3 Speed  +added adjustable seat lever for ease of adjustability  If interested in picking up please text Garrett at phone number listed under contact to arrange a time., coaster, like new,, none (rigid),,,,,,
4466,899.0,slo,https://slo.craigslist.org/bik/d/pismo-beach-electric-bikes/7465534323.html,2022-04-10 01:18,Electric Bikes,12, aluminum, mountain, Assorted, Motion Madness, Assorted, 26 in,"Fat tire 20 “ and 26” bikes , mid drive, hub motor as well as electric trikes, beach cruisers and mountain e bikes as well. fully assembled with extended local labor warranty in all styles new and used $899 and up.  CALL or TEXT for further assistance in Pismo Beach   Brand new quality Electric Bikes in all styles and sizes available as shown in pictures from $899 and up", disc (mechanical), new, riser, suspension fork (hardtail), pedal assist, Assorted,,,,
4467,600.0,slo,https://slo.craigslist.org/bik/d/pismo-beach-cruiser-7d-bikes/7458352164.html,2022-04-04 20:29,Cruiser 7D Bikes,0,,,,,,,,,,,,,,,,,
4468,250.0,slo,https://slo.craigslist.org/snw/d/san-miguel-pit-bikes/7455180546.html,2022-04-03 10:28,Pit bikes,3,,,,,,,"Two pit bikes, $250 each or $400  for the pair. These were both running, but they are projects. So if you need to hear them run, don’t waste my time. Dan  show contact info    Mini bikes, motor bikes, motorcycles, Honda, Yamaha, Kawasaki. Suzuki. Go kart, small engine,",,,,,,,,,,
4469,300.0,slo,https://slo.craigslist.org/bik/d/paso-robles-vintage-folding-bikes/7466284423.html,2022-04-02 17:20,Vintage Folding Bikes,4, aluminum, other, Medium,,, 16 in,Vintage Victoria folding bikes for sale! These are in beautiful condition great for RV camping or to put in your trunk as a fun bike! Call or text only! No emails!,,,,,,,,,,
4470,100.0,slo,https://slo.craigslist.org/bik/d/atascadero-bikes-two/7464598315.html,2022-03-29 16:07,Bikes - two,0,,,,,,,,,,,,,,,,,
4471,1.0,slo,https://slo.craigslist.org/mpo/d/atascadero-ducati-sport-classic2-bikes/7463333934.html,2022-03-26 13:38,"DUCATI Sport Classic..2 bikes and NOS Tanks ,Parts",0,,,, Ducati, SE 900ss,,"I have a group of  Ducati's Sport classic  bikes and parts,   Italian  Twin shock retro bike  If you loved the 900ss    You will really love the  This 1,000cc Fuel Injected power band, Light weight trellis framed. -Factory WET Clutch- easy to work on air cooled modern retro motorcycle   I have (2) project Bikes and a ton of Parts I have collected for them including multi- body/tank sets -Some sets are NOS or Pro resealed Tanks, Forks- Gauge sets- pipes -seats----  complete Black SE tank and body set-- lots of goodies Both bikes ran when last played with will need work repair , been sitting  The price will be reasonable.- I will sell any combo or whole collection   I only respond to PHONE CALLs --NO Text- NO email Serious with cash can CALL  (805) 296-766FIVE-- NO Text/Email",,,,,,,,,,
4472,300.0,slo,https://slo.craigslist.org/bop/d/san-luis-obispo-yakima-dr-tray-bike-rack/7472959971.html,2022-04-18 16:11,Yakima Dr Tray bike rack,0,,,,,,,,,,,,,,,,,
4473,1900.0,slo,https://slo.craigslist.org/for/d/paso-robles-kayak-bike-rack-with-kayaks/7472803323.html,2022-04-18 10:54,Kayak/Bike Rack with 2 Kayaks RV Rated,4,,,, Yakups,,,This Yakups Kayak rack holds 2 kayaks (included) as well as 2 bikes (NOT included) and is rated for use on a 5th wheel trailer.  It was custom built to fit into a hitch receiver on the back of a 5th wheel trailer.  2 Single person Malibu Kayaks are included.  Bikes fit upright in between kayaks.  Kayaks get bungee straps and the bikes are held on with a hook and several straps.,, excellent,,,,,,,,
4474,125.0,slo,https://slo.craigslist.org/mpo/d/los-osos-harley-davidson-flhtkl-low/7462900692.html,2022-04-18 10:25,Harley-Davidson FLHTKL low  touring model shocks,0,,,, Harley-Davidson, 54000082,,"Low adjustable touring shocks for Harley-Davidson baggers.  Stock on StreetGlide and Limited FLHTKL(low) touring model bikes.  Replaced with taller shocks.  As new, less than 1000 miles when removed from 2016 FLHTKL.  Will fit all touring model Harleys 2014 to present.  May also fit older models. $125.00",, like new,,,,, 12”,,,
4475,15.0,slo,https://slo.craigslist.org/bik/d/san-luis-obispo-bike-huffy-children-kids/7465110544.html,2022-04-18 09:07,Bike Huffy Children Kids,0,,,,,,,,,,,,,,,,,
4476,50.0,slo,https://slo.craigslist.org/bik/d/arroyo-grande-kids-co-pilot-bike-trailer/7465841941.html,2022-04-18 08:14,Kids Co-Pilot Bike Trailer,3, other/unknown, kids, Small,,, other/unknown,"Perfect for spring/summer family bike rides!!! Never once used, tiny rust spots just because all our bikes are left outside. Still have instructions and safety flag and all the bolts to attach it. $50 obo",,,,,,,,,,
4477,3700.0,slo,https://slo.craigslist.org/mcy/d/san-luis-obispo-bmw-r1100gs-abs-3700-obo/7472605723.html,2022-04-17 22:11,BMW R1100GS w/ABS 3700 OBO,5,,,,,,,"1995 BMW R1100GS with ABS $3700 OBO.   Renewed Reg May 2023 Photos taken 04/20/2022.  Bike starts and runs, doesnt smoke under hard acceleration and makes decent power. Compression is fine. Can do a wheelie if you want and go 120mph, but realize it weighs 600lbs. She's a road warrior, not a BMX bike.   No tire kickers and garage princess folks. She's my little Rocinante Panzer Princess. Hopefully you are a person that understands why the BMW community loves this bike so much. I even got the Lenny Rocket Sprockets if you wanna install them in the future.  If you read everything below, this price is a steal (ill even say I sold it to you for $100).  If you know your way around a bike, especially BMW maintenance, you'll realize why this is a gem of a buy for you. Turnkey ready, mechanically sound, new fluids, pads, filters, fuses, solid tires, bright LEDs, new clutch, new upgraded metal head gaskets and new valve cover seals, new fuel injectors, heads recently serviced and timing set. You literally don't need to do anything but ride it. I'm forthcoming about anything on it, so just ask.   Bikes require regular maintenance, and usually only BMW mechanics will work on BMW bikes. So you either give them your arm and leg, or you do it all yourself. If you read below, I've shown you how easy it is to do yourself with detailed resources/videos/manuals/guides/schematics with detailed part numbers and more.  Please be a serious buyer and communicate with me to set a date to see it. I'm in the AG/Grover/Pismo area. Too many flakey people lately.    259 (R 850 GS, R 1100 GS) BMW R 1100 GS. Type Code: 0409 Produced 05/1994  This is all the info you will ever need for parts on this bike Ebay, Amazon, wherever. Schematics for all the parts and part numbers here: RealOEM.com. They have detailed photographs sectioned out for each part of the bike with part numbers as well as their compatibility with parts on newer models. My PDF manual, type a keyword and find the maintenance piece you need broken down in elaborate detail.   I love this bike immensely. Can carry a lot of stuff, great on mileage, handles beautifully. She’s like the hot girlfriend everyone can’t stop staring at. Loud guttural poppy engine, not meant for hauling ass like on a sport bike but great for all around travel (yes she can do a wheelie, but shes also like 500-600lbs). Regular compliments and stoke from enthusiasts all around. She is truly a tough and beautiful panzer. I am sad to see her go, but I need the money and have a truck already. I just hope you enjoy it as much as I have and give her the love I wish I could. Clean title in hand.  Mechanic owned, regular maintenance done and can provide you the mileage/photos/receipts of when it was all done so you can keep track too. She's got some paint flakes, scratches, etc, but she's Rocinante, total work horse.  Lot's of amazing spare parts, bolts, tools, and other useful stuff included below. I am going to be super thorough in here because I like selling things better than when I found them. Brake fluid, brake pads, and oil serviced less than 1k miles ago. All the mission critical stuff on it is pretty new so you don't have to do much other than oil changes.  $3700 OBO, cash-in-hand to ride. Read the whole listing here because there's a lot of awesome stuff I'm giving ya. Know this bike down to every nut and bolt, been riding BMW's for 10 years now.   Valid license and/or M1 License required (usually I'll take a photo of your license and you can have a friend with you stay with me while you ride it), I have a spare helmet and jacket if needed. If you drop it, you buy it although it has caging around the valve covers so it wouldn't be much of a big deal. I can ride to you or you can meet me somewhere in the area.   Perks  • Lots of key maintenance done and an entirely new clutch, she is looking for new adventures, still room for other fun projects. • Paper manual with photos and easily searchable pdf manual with drawn schematics included. • Tags recently renewed in CA. Good til May 2022. Insurance is $15 a month, it is amazing. Clean title in hand  • Nice adjustable windscreen • Digital Oil Temp, Gear Position, and Fuel Level Readouts • ABS system for safe breaking • Super Bright White LED lights • Cell phone mount for GPS • Passenger Seat Included • PIAA Fog Lights (helps a lot when you are out in the country) • Side/Back Carrying Cases with locks and keys with black reflector tape. You can fit an amazing amount of things in the cases and back of the bike with ropes/bunjee chords. Just did a big sur run with like 300lbs on it.  • Engine cage oilpan/protector and highway footrests • I have Lennie’s Rocket Sprockets but have not installed them yet ($250 shipped from AUS). Supposed to help with torque all around. Also helps with the slow torque response at higher speeds/RPM’s and gears. • SPARE set of cleaned cylinder heads/pushrods/rockers/valves/springs/camshafts/new valve stem seals, etc. I bought an extra pair off Ebay because a bolt broke.   • Spare functional stock fuel injectors, airbox rubber boots/grommets • Spare new PIAA Fog Light wiring harnesses/relay switch/fuse (they sent me two for some reason)  Key Maintenance/Parts/Upgrades • 53K: New rear main seal, new clutch kit from Bosch, all fluids flushed (drives, brake fluid, oil, etc), new rear brake pads, new AGM battery • 62K: New iridium single electrode spark plugs (Densos) • 62K: New continental alternator belt • 62K: New metal head and rubber gaskets/o rings etc from Athena, new valve stem seals and collets, piston and compression chambers thoroughly cleaned of all carbon deposits, valve timing set, oil changed • 62K: New upgraded Bosch V14 fuel injectors (4 pintels instead of one) used on newer R1200 models. • 62K: New Air Filter • 63K: 600mile valve maintenance follow up. Slackened head bolts retightened, valve timing readjusted (new oil and oil filter 20W50 motorcycle oil), throttle bodies resynched. • 63K: New ABS mirrors, new PIAA fog light relay/fuse/wiring • 63K: New starter • 64k front brake pads replaced and fluids flushed   Other stuff that is helpful • Most of the bolts are 3,4, 6, 8, 10mm with a pitch of 1.25 if you need a handful ever from a hardware store • Euromotoelectrics.com have most if not all the parts you ever need and can ship to you within two days easily. They are amazing people through and through. Way cheaper than BMW, quality service, quality parts, BMW Tigard sucks miserably so do not go there. • Beamerboneyard.com • RealOEM.com if you need to cross reference parts or need schematics of anything on the bike • Youtube: Chris Harris. This guy is amazing, if you need any video guides on how to do pretty much any thing on the bike this guy has you covered. • Forums and communities of enthusiasts for guides and help on anything you need: Advrider.com, BMWspourttouring.com, UKgser.com, Prelicanparts.com  Anyways, if you have any other questions just ask. Best, Joseph  BMW, Touring, Dual-Sport, Adventure, Funduro, Enduro, Oilhead, Boxer, Classic, Shaft Drive, Paralever, Flat-Twin, Motorrad",,,,,,,,,,
4478,1.0,slo,https://slo.craigslist.org/bop/d/paso-robles-launch-ramps/7472515256.html,2022-04-17 14:59,Launch ramps,0,,,,,,,"Two 5 foot""5 launch ramps and 1 4 foot launch ramp. Fair condition can be used as is. I used them for my mountain bikes. They are really fun, smooth kickers. I'm relocating and can't take them with.",,,,,,,,,,
4479,175.0,slo,https://slo.craigslist.org/bik/d/san-luis-obispo-road-commuter-paperboy/7451545271.html,2022-03-19 09:06,Road/Commuter/Paperboy Bikes,8, steel, road, 15” - 63cm,,, 700C,"Road and shopping bikes built up to spec: please provide your height, expected cycling distances, and budget to help me determine what may suit you well.  Over thirty years’ experience.",,,,,,,,,,
4480,1.0,slo,https://slo.craigslist.org/for/d/paso-robles-huge-parking-lot-sale-and/7472296434.html,2022-04-16 21:17,Huge parking lot sale and BBQ,0,,,,,,,,,,,,,,,,,
4481,5250.0,slo,https://slo.craigslist.org/cto/d/arroyo-grande-1994-ford-250/7472228509.html,2022-04-16 16:02,1994 Ford F-250,0,,,,,,,,,,,,,,,,,
4482,160.0,slo,https://slo.craigslist.org/bik/d/grover-beach-16-boy-girl-raleigh-rowdy/7472225150.html,2022-04-16 15:57,16” boy/girl Raleigh Rowdy mountain style bike,0,,,,,,,,,,,,,,,,,
4483,20099.0,slo,https://slo.craigslist.org/snd/d/paso-robles-2022-honda-pioneer-1000/7472155086.html,2022-04-16 12:53,2022 Honda Pioneer 1000 Trail SxS: Pioneer 1000,11,,,,,,,"calcustompaso.com2022 Honda Pioneer 1000 Trail SxS: Pioneer 1000 - $20,099 + FeesCOMFORT3-PERSON CONTOURED BENCH SEAT: Tough, durable and built to enhance every driving experience — yes, we’re talking about the seat. Contoured for three passengers, the center seat is positioned up and forward to maximize space and comfort, and the covering is designed to resist both the elements and heavy use.LCD INSTRUMENT DISPLAY: Completely redesigned for 2022, the instrument display is much easier to read, with big, bright new graphics. The display now includes a clutch indicator and a battery-voltage readout too, in addition to speed, fuel level, RPM, transmission mode, water temperature, trip information and more.REAR-VIEW MIRROR: All our new 2022 Pioneer 1000 models feature an integral rear-view mirror mounting bracket on the rollover protection structure. The mirror itself is standard equipment on the Pioneer 1000 Trail, and an available accessory on all other trims.SOPHISTICATED CHASSIS: Some of the most impressive Pioneer 1000 features are those you’ll never see. In addition to the suspension and ground clearance, we rubber-mounted the engine and exhaust system to insulate the cabin against excessive vibration. So while you may not see this feature, it’s one you will definitely notice.TILT WHEEL: With a tilt steering wheel redesigned for 2022 to make getting in and out easier than ever, you’re ensured an even more comfortable driving experience. We’ve given the wheel a wide range of adjustments for optimum customization and a new spring-loaded damper that makes tilting it a snap.COOLER CABIN: Our engineers have given the whole Pioneer 1000 lineup some big improvements when it comes to managing cabin heat. You’ll ride cooler and be more comfortable in warm-weather conditions.ENGINEERINGi-4WD: The Pioneer 1000 Trail showcase our exclusive i-4WD system. Think “I” for “Intelligent,” because that’s exactly what it is. An industry-first brake-traction control system for side-by-sides, it simplifies operation, increases drivability and optimizes traction. Using proven, advanced technology from the Honda automotive division, you get the benefits associated with a locked front differential with none of the downsides. That means it maintains front-wheel traction even if one wheel wants to spin on ice or mud or if it’s in a hole. But at the same time, you get the lighter steering, better tracking at high speeds, tighter turning radius, and reduced kickback associated with unlocked front differentials.ADVANCED TRANSMISSION LOGIC: The brain of the DCT, Advanced Transmission Logic, senses how you drive and adapts. Relaxed drivers get earlier shifts for a quieter ride at lower engine speeds. Sportier drivers will hold each gear longer for higher RPM shifts. And when going downhill, you get true engine braking. Now that’s a smart transmission.REDESIGNED PARKING INTERLOCK: Even something like the parking brake is better on the 2022 Pioneer 1000. We’ve taken the old three-cable design and replaced it with one push/pull cable that makes adjusting easier and cuts down on servicing.HANDLINGCHASSIS AND SUSPENSION: Prepare to go further than ever before. Our refined chassis enables you to tackle terrain others would shy away from, with larger tires, long-travel independent front and rear suspension and huge ground clearance. The rubber mounted engine and exhaust system insulates against excessive vibration.OTR DIRT MASTER: All our Pioneer 1000 models for 2022 feature high-performance OTR Dirt Master tires for excellent off-road traction and superior wear.THREE DIFFERENT WHEEL CHOICES: Our four Pioneer 1000 models come with three different wheel choices. The Pioneer 1000 Trail Edition gets 14-inch black aluminum wheels with contrast-cut highlights.EPS SYSTEM: This is something we’re really proud of. Honda pioneered (no pun intended) electric power steering on our side by sides, and now we’re making it better. Every 2022 Pioneer 1000 gets a new EPS system with a new, brushless motor integrated with the ECU. The return-to-center function makes it more intuitiv on straight trails, and the whole system feels more linear.INDEPENDENT FRONT AND REAR SUSPENSION: Dual A-arm suspension gives you 10.5 inches of travel in the front, and 10-inches of travel in the rear. Pair that with stellar ground clearance, and you maximize available traction and superior comfort maneuvering over terrain other side-by-sides would shy away from.PADDLE SHIFTING: Steering column-mounted paddle shifters add a serious dose of performance in every drive. In Manual mode, they let you shift without ever taking your hands off the wheel, and in Automatic mode, they let you override the current gear with a quick up or downshift, holding that gear for several seconds before returning to Automatic mode.TURF/2WD/4WD/DIFF LOCK: Don’t tear up sensitive surfaces. Select Turf Mode. Want to access as much traction as possible? Put it in 4WD. Need maximum power at all four wheels? Lock the front and rear differentials. And the best part is, you can do it all with a shift of a single lever.PERFORMANCEMORE POWERFUL 999cc TWIN-CYLINDER ENGINE: We’ve boosted the engine power in our entire Pioneer 1000 lineup, especially in the midrange and top end. The improved acceleration and overall performance is noticeable, magnified by this year’s new lower gear ratios. Using the same Unicam® cylinder head design found in our motocross bikes, the class-leading 999cc liquid-cooled inline twin is more compact, and it still delivers the kind of horsepower and torque you’d expect from a flagship model.2500-POUND TOWING CAPACITY: Have a big load to haul? Great news for 2022—we've increased the Pioneer 1000's towing capacity to 2500 pounds. So now instead of hopping on the tractor or taking out the truck, you can stay right in your side-by-side and tackle those bigger jobs with relative ease.BUILT IN THE U.S.A.: The Pioneer 1000 is purpose-built for the American market, right in America. Domestically and globally sourced parts are all assembled at our plant in Timmonsville, South Carolina, and once these side-by-sides roll off the line, they’re ready to explore every corner of the country.FULLY-AUTOMATIC SIX-SPEED DCT TRANSMISSION: Drive the way you want, with the industry’s first and only all gear six-speed Dual Clutch Transmission. Choose between manual mode or fully automatic. Plus, the addition of Sport Mode increases the fun, shifting at higher RPM for a spirited, full-performance driving experience.HIGH/LOW SUBTRANSMISSION: With a full 42-percent gear reduction between High and Low, you get the torque you need in all six gears. It comes in handy when driving over difficult terrain, scaling steep hills or towing heavy loads.GEAR RATIOS: For 2022, all Pioneer 1000 models get new gear ratios in the transmission, subtransmission, and final drive. They help improve your Pioneer’s versatility under all driving conditions.SAFETYSAFETY NETS: We’ve upgraded the safety nets on all our Pioneer 1000 models to connect and disconnect more easily, just like on our Talon sport SxS models. We’ve changed the mesh pattern too.DRIVER/PASSENGER PROTECTION: The Occupant Protection Structure uses large-diameter tubing, and meets ISO’s rollover protection standard. The hard doors and roll-up side nets help keep debris from entering the cabin, and auto-style three-point seatbelts are equipped with an emergency locking retractor mechanism, to help optimize passenger security. When you put this much safety first, fun is sure to follow.FOUR-WHEEL DISC BRAKES: The Pioneer’s uncompromising power helps take you further than ever before. The reliable disc brakes help you stop on a dime. Built to the same standard as you’d find in our autos, the four-wheel disc brakes minimize debris from building up, ensuring consistent performance, and giving you confidence on the trail.VERSATILITYNEW FOREST AND TRAIL MODELS: New for 2022, we’re happy to announce two new Pioneer 1000 models: our Trail and Forest versions. They’re loaded with factory-installed accessories and extras, like Warn winches, special wheels, cabin lighting, special paint and graphics, and much more.1000-POUND-CAPACITY TILT BED: There are a ton of reasons to buy a Pioneer 1000. Among them: the half-ton hauling capacity*. And when it comes to dumping, we’ve made it easier than ever, with a hydraulic assist tilt bed lever that can be accessed from outside the vehicle, or right from the driver’s seat. *600-pound bed capacity for CA modelsMORE UNDERSEAT STORAGE: The Pioneer 1000’s underseat storage area is much improved for 2022. We’ve made the opening larger, which makes getting objects in and out a lot easier.BIGGER CUPHOLDERS: You asked, we listened. The primary dash-mounted cupholders in our 2022 Pioneer 1000 models are upsized this year, and big enough to hold the most popular insulated tumblers. Plus, all Pioneer 1000 models also feature cup holders in every door. Designed to hold your water bottles securely, it’s a convenient touch everyone will appreciate.UNDER-DASH STORAGE: Standard equipment on the Pioneer 1000 Trail, and as an available accessory on the Pioneer 1000, this practical under-dash shelf keeps frequently used items right up front in the cab.WARN VRX 45 WINCH: This is a huge upgrade and standard equipment on our Pioneer 1000 Trail models. The winch is installed at the factory, and is built right into the Pioneer’s chassis, not added on as an accessory. With a 4500-pound capacity and spooled with steel cable, you’ll be ready to pull your buddy out when he gets stuck!ACCESSORY SWITCH PANEL: Standard equipment on the 2022 Pioneer 1000 Trail, the switch panel has room for seven switches, letting you control things like a winch, accessory lights, and more. A fully integrated design, it sits in the center of the dashboard, underneath the other switches and controls.12-VOLT ACCESSORY SOCKET: The Pioneer 1000 Trail all feature a standard 12-volt power socket in the bed. Using a common “cigarette-lighter” style of outlet, it’s perfect for powering things like a spotlight, work light, sprayer, air compressor, 110-volt inverter and more.INTERIOR LIGHT: Our new 2022 Pioneer 1000 Trail come with an interior light that lights up the floor area of the cabin., It’s convenient, and a big help illuminating the under-dash storage area so you can find your items in low-light conditions.ENGINE AIR INTAKE: To get the most out of your engine, you need the best air going into it. That’s why we positioned the air intake up high under the hood. It helps ensure a clean air supply, even at deeper fording depths, and with a viscous air filter element, you get increased performance and longer service intervals.Call California Custom Trailers & Powersports at (805) 227-4665 2340 PROSPECT AVE, STE 105, PASO ROBLES, CA 93446   Or online at www.calcustompaso.com (MSRP = Manufacture Suggested Retail Price and does not Include   Factory Freight, Documentation, DMV, Ca Tire Recycling, and Sales   Tax) Current Financing available with little to no down payment OAC. Honda Pioneer, pioneer, 4x4, sxs, side by side, utility",,,,,,,,,,
4484,1359.0,slo,https://slo.craigslist.org/mcd/d/paso-robles-2021-ssr-motorsports-sr125/7472154917.html,2022-04-16 12:52,2021 SSR Motorsports SR125 Semi Pit Bike: 125 cc,2,,,,,,,"calcustompaso.com2021 SSR Motorsports SR125 Semi Pit Bike: 125 cc - $1,359 + FeesCall California Custom Trailers & Powersports at (805) 227-4665 2340 PROSPECT AVE, STE 105, PASO ROBLES, CA 93446   Or online at www.calcustompaso.com (MSRP = Manufacture Suggested Retail Price and does not Include   Factory Freight, Documentation, DMV, Ca Tire Recycling, and Sales   Tax)Current Financing available with little to no down payment OAC.ssr, kids, pit bike, pit bikes",,,,,,,,,,
4485,959.0,slo,https://slo.craigslist.org/mcd/d/paso-robles-2021-ssr-motorsports-sr70/7472154875.html,2022-04-16 12:52,2021 SSR Motorsports SR70 Auto Pit Bike: 70 cc,2,,,,,,,"calcustompaso.com2021 SSR Motorsports SR70 Auto Pit Bike: 70 cc - $959 + FeesCall California Custom Trailers & Powersports at (805) 227-4665 2340 PROSPECT AVE, STE 105, PASO ROBLES, CA 93446   Or online at www.calcustompaso.com (MSRP = Manufacture Suggested Retail Price and does not Include   Factory Freight, Documentation, DMV, Ca Tire Recycling, and Sales   Tax) Current Financing available with little to no down payment OAC.ssr, pit bikes, pit bike, kids",,,,,,,,,,
4486,1900.0,slo,https://slo.craigslist.org/bik/d/nipomo-specialized-w-orks-venge-2013/7471843176.html,2022-04-15 16:48,Specialized S-W orks Venge 2013,0, carbon fiber, road,,,,,Specialized S-Works Venge with Size 56 and if you're looking at this bike you already know the bikes pedigree.  I won't bore you with the specs as the pics tell the story. I'm selling the S-work due to complete lack of use this bike has spent most of its life in the house being looked at as an ornament. I reckon it's only done 500miles it's still on original tyres as you can tell.its pretty much as new.  Bad points tyres are starting to crack.i will leave the dura ace pedals on and zipp carbon bottle holders. Obviously it's a considered purchase so I would expect potential buyers. It's a great buy., disc (hydraulic), like new,,,,,,,,
4487,3300.0,slo,https://slo.craigslist.org/mcy/d/san-luis-obispo-1988-xr600r-street/7471391266.html,2022-04-14 15:29,1988 XR600R Street Legal Dual Sport,4,,,,,,,"1988 XR600R, Second owner, low hours, all original. Has Baja designs street legal conversion kit and trip computer/speedometer. One of the funnest bikes I have ever owned, but got something newer so she needs a new home. I have owned it since 2015, and have only worn out 1 back tire. I just threw a brand new one on, so you are good to go. Rare find in this good of condition. Tags are current and pink slip is in hand. What are you waiting for, come buy this thing!",,,,,,,,,,
