,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,size / dimensions,num image,text,bicycle frame material,bicycle type,frame size,suspension,wheel size,brake type,electric assist,handlebar type,year manufactured,part type,serial number
27171,10000.0,longisland,https://longisland.craigslist.org/wan/d/saint-james-buying-all-atvs-dirtbikes/7458965291.html,2022-04-14 14:35,Buying all atvs dirtbikes street bikes and jetskis,,,,,0,"Buying all dirt bikes quads and atvs in any condition, I also buy jetskis!  Not running/crashed/sitting in backyard for years is fine by me! let me know what you have and lets make a deal  I pay very fair prices and come with cash and a truck, no BS   Mainly interested in these   Cr500 cr250 cr125 cr85 cr80 kx500 kx250 kdx200 kdx220 rm250 rm125 rm80 crf50 crf70 crf110 crf125 crf250 crf450 crf450r crf450x dr350 Xt350 xt600 klx650 klr650 ktm400 ktm450 exc klx650 klx250 klx250sf klx300 klx450 dr350 dr250 dr650 drz400 drz400sm 400ex trx450r trx250r 300ex trx gsxr gsxr600 gsxr750 gsxr1000 Cbr929 cbr929rr cbr954 cbr954rr cbr600 dirtbike dirt bike quad 600rr f4i cbr600rr cbr1000 cbr1000rr r1 r6 r7 r3 cbr zx6r 636 ninja xr600 xr650r xr400 lt250r lt500r lt500 banshee blaster 400ex trx700 trx700xx 300ex 250ex lt230 lt250 tecate lakota mojave kfx400 kfx450 ltz250 ltz400 lt450r trx450 yfz450 yfz450r quadzilla fatcat bw200 bw350 Sxr800 , X2 , 750sx , 750sxi , js550 , 550sx 650sx, js440, waveblaster , superjet , sxr , Fx1 any standup wave blaster waverunner jetski gp1200r gp1300r ultra 150 xlt1200 xlt800 gp1200 gp800r 750zxi 1100zxi 900zxi sc650 sport cruiser 500 380 350 300 250 220 200 125 110 100 80 85 5",,,,,,,,,,,
27172,50.0,longisland,https://longisland.craigslist.org/bik/d/saint-james-bikes-schwinn-huffy/7471107963.html,2022-04-14 08:27,Bikes Schwinn Huffy,, schwinn,,,4,Bikes Vintage Schwinn 10 Speed 27 inch         40  Huffy 21 Speed 26 inch       40, other/unknown, cruiser, 27 inches,, 27 in,,,,,,
27173,100.0,longisland,https://longisland.craigslist.org/bik/d/mount-sinai-vintage-fuji-his-hers-10/7459274020.html,2022-04-13 20:46,Vintage Fuji His & Hers 10 Speed Road Bikes, good, Fuji, Berkeley & Absolute,,8,"I will not reply without a phone number! I delete all emails without a phone number! If you're seeing this listing - IT'S AVAILABLE!  Vintage His & Hers 10 Speed Fuji Road Bikes Winter project - get ready for Spring! Both need work, front wheels, both show surface rust and will need tune-ups. Otherwise in decent shape. Men's Berkeley, 21"" Frame, 27"" wheel - $ 65 Women's Absolute 20"" Frame, 27"" wheel $ 65", steel, road, 21, none (rigid), 27 in, cantilever,, drop,,,
27174,500.0,longisland,https://longisland.craigslist.org/tro/d/blue-point-motorcycle-trailer-bikes/7470904605.html,2022-04-13 16:18,Motorcycle Trailer 3 bikes, excellent, Loadstar,,,3,Motorcycle trailer for 3 dirt bikes or one full-size cruiser like a Harley Davidson Road Glide. Comes with attached tool box and spare tire. Clean title. Email me and I will call you back.,,,,,,,,, 2001,,
27175,150.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned-trek/7458623224.html,2022-04-13 09:36,2-MINT RECONDITIONED TREK MYSTIC GIRLS STARTER BIKES,,,,,11,2-MINT RECONDITIONED TREK MYSTIC GIRLS STARTER BIKES  $ 150 EACH  LARRY  516 680-172 FOUR  I CAN SERVICE AND FIX ALL BIKES I SELL AND ANY ONES YOU CURRENTLY OWN  FULL SERVICE SHOP  SPRING TUNE UPS   $ 60, alloy, kids, SMALL,, 20 in,,,,,,
27176,1.0,longisland,https://longisland.craigslist.org/mcy/d/smithtown-2022-rz-72v-50-55cc-45/7470425340.html,2022-04-12 14:52,2022 RZ 72v 50-55cc 45-50miles Acid Battery  ALL ELECTRIC MOTORCYCLES,,,,,6,Hi craigslist I am a fabricator and direct distributor for RZ 72v 50-55cc 45-50miles Acid Battery  electric bikes eco-friendly come with a charger on one charge you get 24 hours of riding time I have a few colors red green blue and dark green please see pictures you can drive them on residential streets without registration or a license but not on the highway they are the coolest things out right now they are the hottest item get yourself one before the price goes up starting at 3200  price neg,,,,,,,,,,,
27177,1.0,longisland,https://longisland.craigslist.org/bik/d/shoreham-bmx-bikes/7470346025.html,2022-04-12 12:36,"bmx bikes 29"" 26"" 20"" 16""", excellent, stolen brand/eastern,,,2,"2021 stolen zeke 26"", full chromoly bike, really well built! Very little use. $500  2016 eastern element 20"", full chromoly bike, another well built solid bike. $275", steel, bmx, bmx, none (rigid), 26 in, u-brakes, none, bmx,,,
27178,1.0,longisland,https://longisland.craigslist.org/bop/d/point-lookout-bmx-bikes-mongoose/7463979631.html,2022-04-11 19:10,"2 bmx bikes ,mongoose stranger things,mcs styler both mint read info",,,,,10,"2 bmx bikes for sale Yellow is a stranger things edition bike rare and mint 675$ neg Lindenhurst ny 11757  Other is a mcs styler rare bike mint could use a cleaning 1,600$ neg",,,,,,,,,,,
27179,150.0,longisland,https://longisland.craigslist.org/bik/d/east-meadow-new-bikes-for-sale/7460980474.html,2022-04-10 17:39,New bikes for sale, new,, Huffy,,3,Pink one used 1 time.  Added used training wheels to the red one but never ridden., other/unknown, other, 12-18, other/unknown, 18 in,,,,,,
27180,100.0,longisland,https://longisland.craigslist.org/bik/d/hicksville-all-bikes-100-and-up/7469394213.html,2022-04-10 09:18,All bikes $100 and up!,,,,,0,,,,,,,,,,,,
27181,100.0,longisland,https://longisland.craigslist.org/bik/d/hicksville-all-bikes-100-and-up/7463705028.html,2022-04-10 09:12,All bikes $100 and Up!,,,,,7,Selling 6 bikes-all $100 and up!  Call/text Bob:  show contact info   Kids Malibu Spygirl bike: $100 Or Best Offer Pink Mongoose bike: $120 Or Best Offer Green Next bike: $120 Or Best Offer Green and White 24 bike: $120 Or Best Offer White Raleigh Vintage Bike: $150 firm. Blue Schwinn bike: $150 Or Best Offer, aluminum, mountain, Decent,, 26 in,,,,,,
27182,1.0,longisland,https://longisland.craigslist.org/bab/d/east-northport-bikes-wagon-and-jeep/7468673343.html,2022-04-08 13:39,"Bikes , wagon and Jeep", good,,,,4,"Kids bikes , red wagon and battery Jeep. Open to offers.",,,,,,,,,,,
27183,25.0,longisland,https://longisland.craigslist.org/bik/d/valley-stream-kids-bikes-20/7456403702.html,2022-04-06 12:50,"kids bikes 20""",,,,,0,,,,,,,,,,,,
27184,150.0,longisland,https://longisland.craigslist.org/wan/d/ronkonkoma-looking-for-unwanted-go/7467650653.html,2022-04-06 09:19,"Looking for unwanted go karts, quads, dirt bikes or anything with a mo",,,,,10,"I will pay cash for your broken or unwanted go karts, quads, dirtbikes or anything else with a motor. Email me what you have with a picture and I will email you a cash buyout amount that I will bring upon pickup. I can pick up the same day. Quick hassle free cash sale. If you want to sell your items but don't want to be lowballed or have to deal with 100's of questions or 100's of different people then send me an email and I'll get back to you right away with a cash amount for your items. Thank you very much",,,,,,,,,,,
27185,200.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-bikes-for-sale/7467032481.html,2022-04-04 17:53,3 bikes for sale,,,,,3,3 bikes. Need a little TLC.  Some rusty nuts and chains but all working end of season. First $200 516 695 6 nine six three, other/unknown, mountain, Unknown,, other/unknown,,,,,,
27186,1234.0,longisland,https://longisland.craigslist.org/bik/d/bethpage-bikes-for-sale-schwinn-europa/7466821906.html,2022-04-04 11:25,"Bikes for sale schwinn, Europa, Ross",,,,,4,"I have 3 bikes for sale, all need some tlc, and possibly tires  Vintage Ross Vintage Europa  schwinn one of the tires does hold air More pictures to come Make an offer for any or all", other/unknown, other, 1,, other/unknown,,,,,,
27187,125.0,longisland,https://longisland.craigslist.org/bik/d/melville-boys-and-girls-24-mountain/7466536420.html,2022-04-03 15:25,"Boys and Girls 24"" Mountain Bikes", like new, Nishiki/Diamondback, Pueblo/Cobra,,2,"Girls 24"" Nishiki mountain bike. Boys 24"" Diamondback Cobra mountain bike.  Barely ridden - outgrown.  Like new condition.   $125 each, cash only.", aluminum, mountain," 24""", suspension fork (hardtail), 24 in, caliper,,,,,
27188,949.0,longisland,https://longisland.craigslist.org/snd/d/arlington-new-atvs-dirt-bikes-go-karts/7464283060.html,2022-03-29 05:09,New ATVs | Dirt Bikes |Go-Karts Golf Carts Scooters & More Sale !!!!!!,,,,,18,"FREE SHIPPING! Only at 360Powersports.com  CALL NOW 469-217-7070  SHOP OUR IN-STOCK ITEMS TODAY!   https://www.360powersports.com/in-stock/  360 Powersports is your one-stop-shop Atvs, dirt bikes, go-karts, scooters, utvs, side by side.  TAKING CARE OF BUSINESS ONE CUSTOMER AT A TIME!     Use this code at check out to save $25 Buy1Save25     HUGE SALE ON ALL PRODUCTS!!  Free shipping right to you!   Fast & Financing With Flexible Monthly Payments!     WE ALSO OFFER FULLY ASSEMBLED AND TESTED SERVICE AT A ADDITIONAL COST. WE HIGHLY RECOMMEND YOU GET IT FULLY ASSEMBLED AND TESTED SO WHEN YOU RECEIVE YOUR UNIT YOU JUST GAS & GO.      ATVS 110cc Beginner ATVs - $949 125cc Kids Mid-Size ATVs - $1299 Adult ATVs - starting at $1999  Dirt Bikes Kids Dirt Bikes starting at $399.95  Mid size Dirt Bikes starting at $929 Full-Size Dirt Bikes - starting at $1309  Go-Karts & UTVs Kids Go-Kart - starting at $1379 Adult GoKarts & UTVs starting at $2649  Golf carts (Gas)  Gas Powered Golf Carts starting at $6250     Golf carts (Electric)   Electric golf Carts starting at $7950  360 Powersports is one of the nation’s largest power sports dealers across the USA. We are the HIGHEST RATED online dealer on Google and many other rating platforms! We are NOT the lowest dirt cheap price on the internet and nor do we strive to be. When purchasing a vehicle with us you will get value and customer service including our 360 Care, Tech Support, assigned Rep, fast delivery, and more! We carry all parts and all products come with industry-leading warranties! Most of our products come with speed governors, remote kill switches, factory-tested & heat-cycled engines, and much more!   **Fast 5-10 Day Shipping Right To You Free shipping!      Shop Now At www.360Powersports.com To Receive The Best Customer Service At The Lowest Prices  OR Call Us At 469-217-7070 To Place Your Order!     Keywords: MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc go-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris SCOOTER, SCOOTERS, MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc go-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris, cazador, electric golf carts , enforcer golf carts",,,,,,,,,,,
27189,65.0,longisland,https://longisland.craigslist.org/bik/d/stony-brook-kids-huffy-bikes-6535-or/7463028527.html,2022-03-25 21:54,"2 Kids Huffy Bikes $65,$35 or both for $80. 6-speed Girls MTN and BMX style", good, huffy,,,2,"As the title says, two bikes in good condition. First is a 6-speed girls bike. Gear shifters and hand brakes work great. Next is a BMX style bike, 20"" wheels, with handlebar pads, quick release seat, and coaster brakes and good condition.   Asking $55 for the six-speed girls mountain bike and $25 for the BMX bike. Take them both for $70.", alloy, kids, medium, none (rigid), 20 in, other/unknown, none, other/unknown,,,
27190,60.0,longisland,https://longisland.craigslist.org/bab/d/mineola-bikes-for-sale/7461736138.html,2022-03-22 21:18,Bikes for sale,,,,,0,Toddler bikes for sale. Pick up items.,,,,,,,,,,,
27191,1000.0,longisland,https://longisland.craigslist.org/bik/d/levittown-vintage-bikes-and-parts-for/7456868923.html,2022-03-21 21:11,Vintage Bikes and Parts For Sale,,,,,0,,,,,,,,,,,,
27192,1.0,longisland,https://longisland.craigslist.org/for/d/deer-park-harley-indian-and-other/7454521410.html,2022-03-20 07:35,"Harley, Indian and other American made bikes",,,,,2,Do you own or planning to own an American made motorcycle?  Are you active or retired law enforcement?  Then we are looking for people like yourself for a fast growing LEMC on the island  We are 100% LE and 100% American bikes  Please respond to the above for more details   Thank you  James,,,,,,,,,,,
27193,275.0,longisland,https://longisland.craigslist.org/bik/d/glen-cove-haro-series-f24-bmx-bike/7471966840.html,2022-04-18 20:42,Haro F-Series F24 BMX Bike, good, Haro, F24,,9,"Serious buyers please include your phone number and I will call you, no texting.  Inquires without a valid phone number are considered spam/scam and are politely ignored.  If you're reading this listing the bike is still available. Pickup only or meet at LIRR Glen Street Station.  Don't make the mistake of buying a neglected bike that needs ""some work"" or ""TLC"" only to find out that you need to spend $100 - $300 or more to get it roadworthy again. This one has been professionally serviced and is ready to go. Always interested in trades of quality bikes, motor scooters and motorcycles  2006 Haro F24 BMX bike, tuned, trued, tested, cleaned, polished and ready to ride.  24"" Wheels Gyro", steel, bmx," BMX 24""", none (rigid), 24 in, cantilever, none, bmx,,,
27194,20.0,longisland,https://longisland.craigslist.org/bik/d/mineola-mobile-bicycle-storage-rack/7466439615.html,2022-04-18 19:24,Mobile Bicycle Storage Rack, good,,,,2,"All metal . Holds 2 bikes . Adjustable height . Base is 30"" Square . Currently set at 66"" high . Can go lower or higher .", steel, other," 30 X30""",, other/unknown,,,,,,
27195,350.0,longisland,https://longisland.craigslist.org/clt/d/glen-cove-miyata-neon-bike-shop-sign/7467765711.html,2022-04-18 18:50,Miyata Neon Bike Shop Sign, excellent, Miyata,, 30″x 12″,0,"Yes, still available. Listing will be removed when sold. Please send phone # if interested. No phone # = no response. Sorry, too many scammers.  1985 Miyata 30″x 12″ Neon Bike Shop Sign in very nice condition. Neon is bright and solid, no flickering.  Always interested in trades of quality bikes, motor scooters and motorcycles.",,,,,,,,,,,
27196,899.0,longisland,https://longisland.craigslist.org/bik/d/glen-cove-pro-miyata-60cm-road-bike/7469478896.html,2022-04-18 18:50,Pro Miyata 60cm Road Bike, excellent, Miyata, Pro Miyata,,13,"Serious buyers please include your phone number and I will call you.  Inquires without a valid phone number are considered spam/scam and are politely ignored.  If you're reading this listing the bike is still available. Pickup only or meet at LIRR Glen Street Station.  Don't make the mistake of buying a neglected bike that needs ""some work"" or ""TLC"" only to find out that you need to spend $100 - $300 or more to get it roadworthy again. This one has been professionally serviced and is ready to go.  1986 Pro Miyata road bike, tuned, trued, tested, cleaned, polished and ready to ride. Always interested in trades of quality bikes, motor scooters and motorcycles.  Made in Japan Chromo Tubing 60cm frame size (rider height 5'11"" - 6'3"") 33.5"" Stand over 22.5"" Top tube Suntour Sprint brakes, derailleurs, shifters and cranks Turbo saddle  New 700 x 23 Michelin tires New tubes New cables New housings New cork bar tape", steel, road, 60cm, none (rigid), 700C, caliper, none, drop,,,
27197,200.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned-mens/7467201358.html,2022-04-18 17:45,MINT RECONDITIONED MENS DIAMONDBACK TRAVERSE MOUNTAIN BIKE,,,,,5,MINT RECONDITIONED MENS DIAMONDBACK TRAVERSE MOUNTAIN BIKE  LARRY 516 680-172 FOUR  I CAN SERVICE ALL THE BIKES I SELL AND ANY BIKES YOU MIGHT OWN NOW  I'M A FULL SERVICE MECHANIC  SPRING TUNE UPS  $ 60, alloy, mountain, 18,, 26 in,,,,,,
27198,175.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned/7469363287.html,2022-04-18 17:44,MINT RECONDITIONED SCHWINN VARSITY MENS ROAD BIKE,,,,,3,MINT RECONDITIONED SCHWINN VARSITY MENS ROAD BIKE  LARRY 516 680-172 FOUR  I CAN SERVICE ALL THE BIKES I SELL AND ANY BIKES YOU MIGHT OWN NOW  I'M A FULL SERVICE MECHANIC  SPRING TUNE UPS  $ 60, steel, road, 18,, 24 in,,,,,,
27199,150.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned/7470206446.html,2022-04-18 17:44,MINT RECONDITIONED GIRLS TREK MYSTIC 16 INCH BIKE,,,,,5,MINT RECONDITIONED GIRLS TREK MYSTIC 16 INCH BIKE  LARRY 516 680-172 FOUR  I CAN SERVICE ALL THE BIKES I SELL AND ANY BIKES YOU MIGHT OWN NOW  I'M A FULL SERVICE MECHANIC  SPRING TUNE UPS  $ 60, alloy, kids, SMALL,, 16 in,,,,,,
27200,250.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned/7469363464.html,2022-04-18 17:44,MINT RECONDITIONED NISHIKI CITY SPORT MENS ROAD BIKE,,,,,5,MINT RECONDITIONED NISHIKI CITY SPORT MENS ROAD BIKE  LARRY 516 680-172 FOUR  I CAN SERVICE ALL THE BIKES I SELL AND ANY BIKES YOU MIGHT OWN NOW  I'M A FULL SERVICE MECHANIC  SPRING TUNE UPS  $ 60, alloy, road, 21,, 27 in,,,,,,
27201,250.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned/7470268664.html,2022-04-18 17:44,MINT RECONDITIONED SCHWINN TRAVELER  MENS ROAD BIKE,,,,,6,MINT RECONDITIONED SCHWINN TRAVELER  MENS ROAD BIKE  LARRY 516 680-172 FOUR  I CAN SERVICE ALL THE BIKES I SELL AND ANY BIKES YOU MIGHT OWN NOW  I'M A FULL SERVICE MECHANIC  SPRING TUNE UPS  $ 60, alloy, road, 25,, 27 in,,,,,,
27202,300.0,longisland,https://longisland.craigslist.org/bik/d/massapequa-park-mint-reconditioned/7469363832.html,2022-04-18 17:44,MINT RECONDITIONED PANASONIC SPORT 1000 MENS ROAD BIKE,,,,,4,MINT RECONDITIONED PANASONIC SPORT 1000 MENS ROAD BIKE  LARRY 516 680-172 FOUR  I CAN SERVICE ALL THE BIKES I SELL AND ANY BIKES YOU MIGHT OWN NOW  I'M A FULL SERVICE MECHANIC  SPRING TUNE UPS  $ 60, alloy, road, 27,, 27 in,,,,,,
27203,9200.0,longisland,https://longisland.craigslist.org/mcy/d/east-islip-2009-harley-davidson-electra/7472902387.html,2022-04-18 16:57,2009 Harley Davidson Electra Glide Standard,,,,,0,"Vivid Black 09 FLHT 27.5K mi 96in motor w/6 speed transmission, Rinehart mufflers, two windshields ( 1 touring, 1 short smoked that looks great) ,LED headlights , 4 new fairing brackets , this is a real nice turn-key bike that is on all top 10 best all time Harley lists. please note that the FLHT does not have a radio or any electronics, bike also has a lien for about 3,600  , light kit on saddlebags Any one interested please text Don at (631) 255-6822 Thanks..................only reason for sale is I have 3 bikes and no time to tour",,,,,,,,,,,
27204,895.0,longisland,https://longisland.craigslist.org/bik/d/glen-cove-santana-sovereign-tandem-bike/7464721328.html,2022-04-18 16:38,"Santana Sovereign 23""-21"" Tandem Bike", good, Santana, Sovereign,,16,"Serious buyers please include your phone number and I will call you, no texting.  Inquires without a valid phone number are considered spam/scam and are politely ignored.  If you're reading this listing the bike is still available. Pickup only or meet at LIRR Glen Street Station.  Don't make the mistake of buying a neglected bike that needs ""some work"" or ""TLC"" only to find out that you need to spend $100 - $300 or more to get it roadworthy again. This one has been professionally serviced and is ready to go. Always interested in trades of quality bikes, motor scooters and motorcycles  Vintage Santana Sovereign tandem road bike, tuned, trued, tested, cleaned, polished and ready to ride.  Some patina on top tube from mounting and dismounting and from an extra sweaty captain.  Made in the USA Fillet brazed Columbus frame Captain 23"" frame center to top (Rider height 5'10""- 6'2"") 33"" Stand over at mid top tube Stoker 21"" frame center to top (Rider height 5'4""-5'7"") 31"" Stand over at mid top tube 21 Speed  Araya Drag drum brake Linked front and rear cantilever brakes Shimano Deore Suntour XC mix Shimano barcon shifters Clipless SPD pedals captain  48 spoke rims Includes top bag and frame pump 27 x 1.25 Continental tires  New cable housings New bar tape", steel, tandem, 21-23, none (rigid), 27 in, cantilever, none, drop,,,
27205,795.0,longisland,https://longisland.craigslist.org/bik/d/glen-cove-bridgestone-synergy-rb-56cm/7472054621.html,2022-04-18 15:39,Bridgestone Synergy RB-2 56cm Road Bike, excellent, Bridgestone, RB-2,,14,"Serious buyers please include your phone number and I will call you.  Inquires without a valid phone number are considered spam/scam and are politely ignored.  If you're reading this listing the bike is still available. Pickup only or meet at LIRR Glen Street Station.  Don't make the mistake of buying a neglected bike that needs ""some work"" or ""TLC"" only to find out that you need to spend $100 - $300 or more to get it roadworthy again. This one has been professionally serviced and is ready to go.  1992 Bridgestone Synergy RB-2 road bike, tuned, trued, tested, cleaned, polished and ready to ride. Always interested in trades of quality bikes, motor scooters and motorcycles.  Made in Japan Chromo Tubing 56cm frame size (rider height 5'9"" - 6'1"") 32"" Stand over 22"" Top tube 2x9 upgraded drive train Shimano Ultegra brakes, derailleurs, shifters and hubs  Ritchey Logic cranks Clipless pedals Selle San Marco Era saddle Cinelli stem Bontrager bars  New 700 x 23 Michelin tires New cables New tubes New Cinelli cork bar tape", steel, road, 56cm, none (rigid), 700C, caliper, none, drop,,,
27206,120.0,longisland,https://longisland.craigslist.org/bop/d/riverhead-auto-bike-carrier/7472820067.html,2022-04-18 14:25,AUTO BIKE CARRIER, new, SWAGMAN,,,3,"Brand new - still in box!  Easy assembly with upright ratchet arms that easily adjust to different bike frame sizes, will accommodate bike frames up 23.2"". Includes adapter bar to accomodate women's style bicycles. Sturdy design includes a built in anti-wobble hitch device to keep bikes in place Rack folds easily into compact mode so that you can conveniently store when done using it. Transports up to 2 bikes and is compatible with 1-1/4"" and 2"" receiver Hitch. Maximum weight capacity is 35Ibs per bike and fits 20"" to 29"" tire sizes.",,,,,,,,,," racks, fenders, bags",
