,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,serial number,suspension,wheel size,num image,text,size / dimensions,part type
889,1000.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-bike/7472397111.html,2022-04-17 08:09,E Bike, other/unknown, other,,,, ?,,,,,, 26 in,4,250 w E bike bought from amazon last year excellent condition,,
890,190.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-raleigh-city-bike-29-wheels/7472382745.html,2022-04-17 07:29,"Raleigh city bike, 29'' wheels", aluminum, hybrid/comfort,, excellent,, 14,,,,,, 29 in,7,"brakes and shifts good, suspension seat post, 14'' frame",,
891,25.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-mtn-bike-wheels-24-and-each/7460947198.html,2022-04-17 03:41,"mtn bike wheels, 24'' and 26'', $25 each",,,,,,,,,,,,,6,"25 each ........mostly front wheels but have a few rear too, got some road wheels too 700c but not many............................... also different as in higher pricing for 29'' and 27.5'' and road wheels, but very reasonable",,
892,99.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-kids-specialized-bike-20/7471492721.html,2022-04-17 03:40,"kids specialized bike, 20'' wheels", other/unknown, kids,,,, 00,,,,,, 20 in,9,"rides and brakes good, hand brake and pedel brake",,
893,35.0,anchorage,https://anchorage.craigslist.org/spo/d/anchorage-cycleops-machine-only/7465830562.html,2022-04-16 21:40,Cycleops machine only,,,,,,,,, Cycleops,,,,5,Riding your bike in the house  — you just get the machine— no bike — next if interested— no email —,,
894,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-trek/7466251501.html,2022-04-16 21:40,Trek,,,,,,,,,,,,,0,,,
895,80.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-kettler-kids-bike/7466263800.html,2022-04-16 21:40,Kettler kids bike, steel, other,,,, Small,, Kettler, Bingo,,, 12 in,3,Kettler kids bike —made in Germany— text if interested,,
896,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-barbie-bike/7466259868.html,2022-04-16 21:40,Barbie bike, steel, bmx,,,, Small medium,, Bmx, Barbie,,, 18 in,2,Barbie bmx bike — text if interested,,
897,60.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-girls-bike/7462929605.html,2022-04-16 21:40,Girls bike, steel, bmx,,,, Medium,, Dynacraft, Lip gloss,,, 18 in,2,Girls bmx bike — text if interested,,
898,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-balance-bike/7461673978.html,2022-04-16 21:40,Balance bike, steel, bmx,,,, Small,, Bicycoo, Bmx,,, 12 in,3,Bicycoo bmx — wider tires — nice in dirt — grips need replacing — text if interested,,
899,20.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-kids-bike/7461248608.html,2022-04-16 21:39,Kids bike, steel, bmx,,,, Snall,, Dynacraft, Twilight twist,,, 12 in,2,Kids bike — text if interested,,
900,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-miir-balance-bike/7465699513.html,2022-04-16 21:39,Miir  balance bike, steel, bmx,,,, Small,, Miir,,,, 10 in,0,Balance bike - text if interested,,
901,30.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-girls-bike/7464640594.html,2022-04-16 21:39,Girls bike, steel, bmx,,,, Medium,, Dynacraft, Sweet,,, 16 in,2,Dynacraft girls bmx  bike — text if interested,,
902,30.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-schwinn/7460861690.html,2022-04-16 21:39,Schwinn,,,,,,,,,,,,,0,,,
903,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-bike/7461240775.html,2022-04-16 21:38,Bike, steel, bmx,,,, Medium,, Garyfisher, Gamma ray,,, 16 in,3,Bike kids bike,,
904,200.0,anchorage,https://anchorage.craigslist.org/bik/d/wasilla-pink-24-fuji-dynamite/7472302546.html,2022-04-16 21:12,"PINK 24"" FUJI DYNAMITE",,,,,,,,,,,,,0,,,
905,4700.0,anchorage,https://anchorage.craigslist.org/mcy/d/anchorage-1150gs-2001/7472298097.html,2022-04-16 20:27,1150gs 2001,,,,,,,,,,,,,3,1150gs bike has some miles on it but it runs great. Gs adventure tank gives 300 plus miles between fill ups. Has a excellent Corbin seat as well as stock one for long rides. Nice set of Caribou hard bags. Good tires and regular maintenance. Stainless brake lines. Two aux power ports. Heated grips. Bike needs nothing. Text for more info,,
906,40.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-24-univega/7469323648.html,2022-04-16 20:16,"24"" Univega", steel, hybrid/comfort, cantilever, excellent,, 20 inches,, Univega,,, none (rigid), 24 in,0,"Great price on a great used bike! 24"" wheels, 20"" frame, 15 speeds, Shimano shifters, center-pull brakes. Extra seat included. Perfect as the first 'grown-up' bike for a youngster, or an inexpensive basic bike for an adult who's not very large. Excellent condition. You might find something like this at Play It Again Sports but it'll be priced at $99.99",,
907,120.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-pair-set-x2-nokian/7472289733.html,2022-04-16 19:28,Pair set x2 Nokian Hakkapeliitta W240 700 cm studded winter bike tires,,,,,,,,,,,,,2,excellent pair set - 700x40 (40-622) Nokian Hakkapelita Suomi W240 snow ice bicycle tire,,
908,500.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-24-specialized-fatboy/7468031964.html,2022-04-16 19:09,"24"" Specialized FATBOY", aluminum, mountain, disc (mechanical), good, none, Large Child, flat, Specialized, Fatboy,, none (rigid), 24 in,0,"24"" Specialized in very good condition.  Everything functional.  Great all-around bike for all year!",,
909,140.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-yakima-roof-top-bike-carriers/7464266437.html,2022-04-16 14:48,yakima roof top bike carriers,,,,,,,,,,,,,3,Yakima bike carriers    Both - $140  One -$75,,
910,60.0,anchorage,https://anchorage.craigslist.org/bik/d/palmer-girls-bike/7472217815.html,2022-04-16 14:35,Girls Bike, aluminum, kids,, like new,, 20 inches,,,,,, 20 in,2,For Girls Aged 8-12 approximately  Text Preferred,,
911,1000.0,anchorage,https://anchorage.craigslist.org/snw/d/wasilla-rokon-basket-case/7472207084.html,2022-04-16 14:04,Rokon Basket Case,,,,,,,,,,,,,0,,,
912,300.0,anchorage,https://anchorage.craigslist.org/spo/d/anchorage-doggyride-dog-bike-trailer/7472155592.html,2022-04-16 11:58,Doggyride Dog Bike Trailer,,,, excellent,,,, Dutch Dog Design, Large Novel,,,,3,"This dog bike trailer comes with the jogger/Stroller conversion kit, rain cover, and extra memory foam cushion. An excellent riding option for a larger dog. Let your dog smell the sweet outdoor air through the front panel opening or take in the outdoor excitement by enjoying the view from its very own sunroof!", 31.5 x 21 x 25.5 in (Interior),
913,2250.0,anchorage,https://anchorage.craigslist.org/snw/d/wasilla-2005-suzuki-drz-400price-drop/7465833638.html,2022-04-16 10:37,2005  Suzuki DRZ 400–PRICE DROP,,,,,,,,,,,,,0,,,
914,15000.0,anchorage,https://anchorage.craigslist.org/mcy/d/eagle-river-2007-harley-ultra/7472109832.html,2022-04-16 10:20,"2007 Harley D, Ultra",,,,,,,,,,,,,3,"2007 Harley Davidson, 5,400 miles. Bike is loaded with lots of extra stuff, no low ballers. 15,000 OBO call Dan at 907 24four-888three.",,
915,90.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-pair-set-x2-wtb-nano-29/7472102370.html,2022-04-16 10:09,"Pair set x2 WTB Nano 29"" mountain bike tires for 29er",,,,,,,,,,,,,4,excellent 29x2.1 bicycle tires,,
916,50.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-bontrager-xr2-29-mountain/7472102018.html,2022-04-16 10:08,"Bontrager XR2 29"" mountain bike bicycle tire",,,,,,,,,,,,,3,29x2.00 size - excellent,,
917,100.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-bob-trailer-quick-release/7472100263.html,2022-04-16 10:05,Bob trailer quick release skewer for mountain bike axle,,,,,,,,,,,,,0,for yak or ibex,,
918,20.0,anchorage,https://anchorage.craigslist.org/bop/d/anchorage-harpoon-bike-bicycle-schrader/7472100029.html,2022-04-16 10:05,Harpoon bike bicycle schrader tire pump,,,,,,,,,,,,,0,"10"" size - excellent",,
919,110.0,anchorage,https://anchorage.craigslist.org/bik/d/jber-specialized-kids-hotrock-bike/7469499795.html,2022-04-16 09:17,specialized kids hotrock bike, aluminum, kids,, excellent,, kids,,,,,, 16 in,3,"show contact info   907 440 5054   in Eagle River on Raven Drive (close to Walmart)  Step back brakes Duck tape on edge of seat saddle Tires have no wear 16"" wheels  907 440 5054 is my num,ber I don't know exact year",,
920,350.0,anchorage,https://anchorage.craigslist.org/bik/d/jber-novara-24-ponderosa-mountain-bike/7465266997.html,2022-04-16 09:17,Novara 24” Ponderosa Mountain Bike, aluminum, mountain,, excellent,," 13""",,, Ponderosa,,, 24 in,8,"Novara 24” Ponderosa 2014  907 440 5054  $350 firm  Eagle River on Raven drive  show contact info  - if texting, attach photo of bike, otherwise I won't respond  Excellent condition  13” frame 21 gears 24"" tires Grip shift  Please view remaining information online ie, size of PERSON THIS will fit as I can't tell you if it will fit you",,
921,12.0,anchorage,https://anchorage.craigslist.org/spo/d/anchorage-27-inch-bike-tire-brand-new/7467904478.html,2022-04-16 08:48,27 inch bike tire brand new never used,,,, new,,,,,,,,,3,usly for 10 speed bike. $12.  phone calls only.(301-0677).,,
922,100.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-keno-road-bike-lg-22-white-27/7462324369.html,2022-04-16 08:18,"KENO Road Bike Lg 22"" White 27"" tires, 15 Spd.", steel, road, cantilever, fair, none, 22in Lg, drop, Keno,,, none (rigid), 27 in,7,"Nice Vintage Bike! 15 Speed Lg 22"" steel frame! Classic KENO Road bike with side pull breaks 2 position Break Pulls on Stock Drop-down Handle bars with , 27"" Road Tires on Nice!true Wheels ,15spd. Good working Shifting components, Sm aluminum Factory fenders, Tuned ,cleaned and lubed All for $100 call me Steve at  show contact info  0r 529-7334 Local only! Cash only! no Emails or texts please",,
923,225.0,anchorage,https://anchorage.craigslist.org/bop/d/wasilla-bob-trailer/7471918187.html,2022-04-15 21:56,B.O.B. Trailer,,,,,,,, BOB, Yak,,,,5,"BOB Trailer with bag, shock cord with hooks, 26"" swingers, 29er swingers, skewer for rear bike wheel, and extra set of attachment pins.  The bag has black rub stains from the trailer frame but has no holes, and it is waterproof. The tail reflector is broken but taped and functional.  $225.00.",,
924,225.0,anchorage,https://anchorage.craigslist.org/bik/d/wasilla-bob-trailer/7471907234.html,2022-04-15 20:20,BOB Trailer, steel, other,, excellent,, Other,, BOB, Yak,,, 16 in,5,"BOB Trailer with bag, shock cord with hooks, 26” swing arm, 29er swing arm, rear bike wheel skewer, and extra set of attachment pins.   The bag has black rub stains from the trailer frame but has no holes, and it is waterproof. The tail reflector is broken and taped but functional.  $225.00",,
925,200.0,anchorage,https://anchorage.craigslist.org/bik/d/anchorage-pro-form-stationary-bike/7471868016.html,2022-04-15 17:08,Pro-Form stationary bike, other/unknown, other,, excellent,, 43 W  42 L,,,,,, other/unknown,0,"Purchased last year for $500, priced to sell at $200, selling because we are moving",,
926,2200.0,anchorage,https://anchorage.craigslist.org/snw/d/anchorage-2015-kids-90-atric-cat-dvx/7471836527.html,2022-04-15 15:27,2015 kids 90 atric cat DVX,,,,,,,,,,,,,4,Well taken care of 2015 attic cat dvx kids 90 fully serviced every year since had it.my kid needs a bigger bike great bike for kids also has reverse on it to,,
