,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,handlebar type,make / manufacturer,model name / number,suspension,wheel size,num image,text,serial number,part type,size / dimensions
3401,420.0,losangeles,https://losangeles.craigslist.org/lac/bik/d/glendale-bicycle-with-parts-accessories/7466290463.html,2022-04-18 09:24,Bicycle with Parts + Accessories, other/unknown, other, other/unknown, like new, none, See photo, bmx, Big Shot Bikes,, none (rigid), other/unknown,16,"Brand : Big Shot Bike   Type : this bike has a rear flip flop hub which means you can ride it fixie OR freewheel depending on how you mount the wheel   Size : 52 inch (I'm 5'7"")  Color : Dark purple with lime green grips   Brake Levers : Avid (aftermarket)  Brakes : Radius (aftermarket)  Seats : comes with original leather seat (white) and aftermarket cushioned seat (lime green)  Aftermarket Accessory : universal drink holder (white | removable)  Aftermarket Accessory : Enkrio metal rear cargo rack (white | removable)  Aftermarket Accessory : Stealth BMX Cruiser Handlebars (white)  Other Included Parts : Front + Rear Safety Headlights (removable) + (2) tire replacement tubes + (2) tube tools + white grip wrap + original owners manual",,,
3402,45.0,losangeles,https://losangeles.craigslist.org/lac/bab/d/los-angeles-balance-bikes-2/7472734908.html,2022-04-18 08:55,Balance bikes x 2,,,,,,,,,,,,0,,,,
3403,2000.0,losangeles,https://losangeles.craigslist.org/sfv/mpo/d/northridge-yamaha-1972-r5-rd350-parts/7463677875.html,2022-04-18 08:42,2-Yamaha 1972 R5/RD350 Parts Bikes,,,, fair,,,, Yamaha, R5-RD350,,,3,"Up for sale is my entire inventory of Yamaha R5 parts and 2 rolling chassis. If the ad is still up it's still available. Call me, no texts or emails will be answered. Photos are of completed bikes and are a representation of what bikes these parts will fit. These are not running bikes and will require restoration.   Included are 2-1972 R5 350 chassis. Parts and one extra engine to assemble these bikes included are extra chambers and stock exhausts.  No separation or parting out of the parts. This is sold as a complete package again no parting out so please don't ask. Price is firm as whoever ends up with them stands to make $$$ on the parts alone.",,,
3404,90.0,losangeles,https://losangeles.craigslist.org/lac/bab/d/los-angeles-girls-20-and-boys-12-bikes/7463130812.html,2022-04-18 06:37,GIRLS 20” and BOYS 12” BIKES,,,, good,,,,,,,,5,Pat  show contact info,,,
3405,1299.0,losangeles,https://losangeles.craigslist.org/sfv/snd/d/los-angeles-new-125cc-sport-atv-kids/7472585709.html,2022-04-17 19:45,New 125cc Sport Atv Kids Atvs Kids Dirt Bikes 72HR SALE,,,,,,,,,,,,24,"New 125cc Pentora Sport Atv only $1299.99 huge sale License and Bonded Dealer 982 N Batavia St Orange CA Carry parts and when you order online you save more money No hidden Fees $1299.99 tax that is it. Take it home $1450.00 with want DMV FEES $1600.00 OUT THE DOOR !!!!! We are your 1 Stop shop for Kids Atvs, Dirt Bikes, Go Karts, Scooters, UTVS, Parts, Service, Financing, 115 Colony Center Dr. Woodstock, GA 30188 Come on down and view our showroom! what better way to experience With Over 20 Years in the industry we decided to bring in our own line of Dirt Bikes and Parts. Coolster , Brands Do Not Compare to our Dirt Bikes. Come See for yourself. Brand New 110cc Kids Dirt Bikes . Affordable FUN XTR 110 MINI PIT BIKE is an awesome, fully automatic dirt bike perfect for kids and youth! With no clutch to wrestle, little ones can start building riding skills without having to shift! This Mini Pit Bike is powered by a low-maintenance, 4-stroke 110cc engine that produces over 8 horsepower and is capable of moving loads of over 132 pounds. A smaller frame and low 25 inch seat height keep this motorcycle small enough for kids to maneuver easily while the off-road knobby tires and full suspension mean it can easily handle rugged terrain on the trails. Front and rear disc brakes provide supreme control and excellent stopping power. Electric start. Choice of several colors  XTR-110CC MINI PIT CONFIGURE Colors available BLUE, RED, GREEN Decals(Y/N) YES Assembly required FRONT WHEEL,HANDLEBAR,REAR SHOCK ENGINE INFO Engine Type 110CC, Single-cylinder, 4 stroke Automatic, air-cooled Engine brand Zongshen 152FMH Horizontal Displacement 107 ml Cooling AIR COOLED Max Power 6.7 HP @ 8000 RPM Max torque 4.94 ft-lb @ 5500 RPM Compression 9.1:1 Max speed 41 mph (with adjustable speed limiter) Ignition CDI Starting system KICK AND ELECTRIC START (12v battery) Battery 12V4ah MAINTENANCE FREE LEAD ACID Carburetor brand PZ22 Jingke Engine oil 10W40 synthetic JASO MA/MA2 (motorcycle wet clutch) Spark Plug A7TC CHASSIS ETC. Clutch MANUAL Transmission Automatic Single Gear (N-D) Driveline #428 Chain (14T, 41T Sprockets) Brakes,front/rear FRONT/REAR DISC Brake operation FRONT HAND REAR FOOT Tires,front/rear F:3.00-12 | R:2.50-10 off-road knobby tires Rims F:1.85x12, R:1.4x10 Cast Front Fork Non-Adjustable Inverted 550mm, Travel 100mm, Tube 27mm Rear Shock Coil Spring 270mm, Travel 43mm Swing Arm 320mm Steel Fuel capacity/type 0.92 gal / Premium gasoline octane level 91 or greater Box Weight G.W. 126 lbs Dirt Bike Dry Weight 108 lbs Max load 140 lbs DIMENSIONS Wheelbase 39.57 inches Dirt Bike Dimensions L57 x W24 x H33 inches Height to seat 24 inches 90 day warranty. 770-924-5091 CALL ACE WE OFFER FIANCING 90 DAYS SAME AS CASH , NO CREDIT CHECK. WE OFFER 3-5 YEARS ON OUR UTVS, BUGGIES, STRET BIKES, ATVS, SEE YOU SOON.    Affordable FUN the full-size XTR 250 Dirt Bike comes with all the same great features found on more expensive Japanese bikes at less than half the price! Comparable to the Suzuki DR-Z, Kawasaki KLX, Yamaha XT or TT-R, and Honda CRF motorcycles, the XTR 250 comes standard with electric and kick start, front and rear disc brakes, and enhanced suspension. Built over a heavy-duty steel twin-spar frame, boasts big 54mm inverted forks up front and an adjustable mono shock in the rear along with a full-size 21 inch front wheel that provides excellent ground clearance and makes navigating obstacles and off-road trails a breeze. Make no mistake, with a 36.6 inch tall seat, this is a serious dirt bike! And it's got a serious 250cc 4-stroke engine and manual 5-speed tranny for a power combination best suited to experienced riders. Just feather the clutch, twist the throttle and put the power on the ground! Heavy-duty spoke rims wrapped in aggressive knobby tires are perfect for climbing over rocks and downed trees, clawing through muddy terrain and scrambling up hills. You won't find a more capable motorcycle for exciting off-road trail riding action for the price! CARB Approved. Comes in NEW colors: blue, green, red, blue and classic black.    Financing OAC programs 90 days same as cash. only $40.00 Down .  turbopowersports.com Dirt bikes and ATVs for all ages, Dirt Bikes, colors and type of dirt bikes and ATVS . Affordable Fun Need gifts for your kids? we have the 49cc 70cc 110cc  Vespa, Moped, Motorcycle, Motor Scooter, Scooter, Scooters Motorized Bicycle, Pre-Owned Scooters, Piaggio Scooters, Genuine Scooters, Vespa Scooters, moped, vespa scooter, piaggio scooter, aprilia scooter, motoguzzi, bsa, Norton, royal enfield, triumph Bonneville, triumph thruxton, genuine buddy scooter, genuine stella scooter, genuine blur scooter, kymco like scooter, kymco super 8 scooter, kymco agility scooter, kymco people scooter, sym wolf 150, sym hd 200 hd200, sym fiddle scooter lance cali classic scooter, lance Havana scooter, lance pch scooter, lance cabo scooter, Honda ruckus scooter, Honda elite scooter, Honda grom scooter, Yamaha zuma scooter, Yamaha riva scooter, Yamaha vino scooter, café racer, royal enfield, Suzuki gsxr gsx r , Honda cbr, ysr, Honda rebel 250, 50cc scooter moped, 125cc scooter moped, 250cc scooter moped, tao tao scooter, tank scooter, bms scooter, flyscooter flyscooters, znen scooter, ssr motorsports, ssr scooter, Italian scooter, electric scooter, electric moped, trike, three wheel scooter, sprint scooter, vespa p200, stella scooter, mini bike, pit bike, dirt bike, endure bike, zero motorcycle, scooter Genuine Buddy, Stella, Vespa, Honda, Yamaha, Piagio, Vino, Ruckus 50 125 SYM, Vespa, Buddy, Scooter, Scooter repair, Classic, 250, 150,Genuine Scooter service LX PX Rally, Lambretta, Motorcycle, Scooter, Training, Lessons, Classes, Course, Instruction, School, Los Angeles, M1, DMV, Honda, Rebel, Nighthawk, CB, 250, CB250, 300, CB300, 350, CB350, Suzuki, GS, GN, 125, GS250, GN125, GN250, Kawasaki, Ninja, Eliminator, Vulcan, 500, EN500, Yamaha, Star, Sym, Vespa, Piaggio, Kymco, Aprilia, Buddy, PCX, Metropolitan, Benelli, Peugeot, Hyosung, Zuma, Majesty, Ducati Honda Harley Davidson Zuma Metropolitan Scooter Vespa Kawasaki Suzuki Ruckus Panigale Yamaha YCFR1 CBR GXR 49CC 50CC 125CC 149CC 150CC ATV PIT BIKE GO KART GROM pocketbike pocketbikes pocket bike pocket bikes Super Bike Dirt Bike dirtbike superbike xr xr50 50cc 70cc 90cc 100cc 110cc 125cc 150cc Pit Bike pitbikes Honda Yamaha Go Cart GoCart GOPED ,DIRT BIKE,DIRT, MINI BIKE, POCKET BIKE, YSR, GOKART, 50, STUNT BIKE, STUNT, SICK BIKE, SDG,BBR ATV crf50 crf Chopper Min    Are you looking for a discounted Scooter in *San Diego* *Redlands* *El Cajon* *Riverside* *San Bernardino* *Moreno Valley* *Corona* *Chino* Ontario* *Rancho* *Cucamongo* *Rialto* *Fontana* *Hemet* *Palm Springs* *Morongo Valley* *Yucca Valley* *Palm Desert* *Desert Hot Springs* *Apple Valley* *Coasta Mesa* *Pomona* *Anaheim* *Irvine* *Long Beach* *Torrance* *Los Angeles* *Santa Monica* *Pasadena* *Chula Vista* *Carlsbad* *Chula Vista* *Coronado* *Del Mar* *El Cajon* *Encinitas* *Escondido* *Imperial Beach* *La Mesa* *Lemon Grove* *National City* *Oceanside* *Poway* *San Diego* *San Marcos* *Santee* *Solana Beach* *Vista* Escondido* Carlsbad* our special deals on our scooters will save you from having to drive as far to get a great deal. Susanville, Sacramento, clovis, grass valley,Stockton, Plattsburg, Pittsburgh, Overton Nevada,  SCOOTERS, DIRT BIKES, GO KARTS, STREET BIKES, BUGGIES, BMS KANDI COOLSTER  APOLLO, TGB, CFMOTO, HISUN, ODES, UTVS, ATVS, KIDS ATVS, SERVICE, PARTS, Brighton Michigan, Livingston County, Michigan, Ellen wood GA 30294 ZIP CODE 54904 Little Rock AR 72201 Stockton 95202 Fort Collins 80524 Spring field MO 65721 Order Online at turbopowersports",,,
3406,65.0,losangeles,https://losangeles.craigslist.org/sfv/art/d/north-hollywood-poster-of-cows-on-bikes/7472552098.html,2022-04-17 17:15,Poster of Cows on Bikes,,,, excellent,,,,,,,,2,"Cute and funny five cows riding on one bike. excellent for decorating kitchen or breakfast area. in great condition. Dimension: 36""w x 12""h",,,
3407,500.0,losangeles,https://losangeles.craigslist.org/wst/tag/d/calabasas-50cc-gas-dirt-bikes/7463075804.html,2022-04-17 16:57,50cc gas dirt bikes,,,, new,,,,,,,,4,We finance!! Zero Down! Some cases $50 down. Four months zero interest!!   Brand new 50cc 2 stroke gas powered dirt bikes!  Great gift for kids! Automatic bikes great for learning!  We have different sizes for the whole family,,,
3408,550.0,losangeles,https://losangeles.craigslist.org/wst/spo/d/calabasas-50cc-dirt-bikes/7463076169.html,2022-04-17 16:56,50cc dirt bikes,,,, new,,,,,,,,5,Brand new! 50cc gas powered 2 stroke dirt bikes!  Pick up or delivery available!  Brand new 50cc 2 stroke gas powered dirt bikes available!  We finance! $0 Down! 4 months Zero interest! some cases $50 down.  We have different sizes for the entire family !,,,
3409,249.0,losangeles,https://losangeles.craigslist.org/wst/bik/d/los-angeles-vintage-schwinn-road-bikes/7472472240.html,2022-04-17 12:44,2 vintage schwinn road bikes 1959 & 1979 suburban & collegiate, steel, road,,,, unknown,, schwinn,,, 27 in,8,2 vintage schwinn road bikes 1959 & 1979 suburban & collegiate ready for a restoration,,,
3410,1590.0,losangeles,https://losangeles.craigslist.org/sfv/bik/d/newhall-rad-rover-electric-bike/7472462558.html,2022-04-17 12:15,Rad Rover Electric Bike, other/unknown, mountain, disc (hydraulic),,, N/A,, Rad Power Bikes, Rad Rover, other/unknown, 26 in,6,"Selling a lightly used  Rad Rover ebike in excellent condition. I put on the front and rear racks myself, jwhich the brand new bikes don’t come with.  $1590 Will deliver for $60 Specs:  750 Watt Brushless geared hub motor  Range: 25-45 miles per charge  Max speed: 20 miles/hr 5 level pedal assist with magnet cadence sensor. 7 speed thumb shifter",,,
3411,200.0,losangeles,https://losangeles.craigslist.org/sgv/bik/d/los-angeles-beach-cruiser-bikes-his-hers/7472427101.html,2022-04-17 10:35,2 BEACH CRUISER BIKES HIS/HERS,,,,,,,,,,,,0,,,,
3412,35.0,losangeles,https://losangeles.craigslist.org/sgv/vgm/d/brea-hollywood-bike-rack-trunk-mount/7463656009.html,2022-04-17 08:27,Hollywood Bike Rack Trunk Mount Carrier 2 Bikes,,,,,,,,,,,,0,Text only please. show contact info   Pickup location is in Brea area code 92821     Tags: Super Smash Bros Ultimate Melee Brawl Nintendo Wii U Switch Mario Luigi Peach Toad Switch white,,,
3413,100.0,losangeles,https://losangeles.craigslist.org/lac/for/d/los-angeles-48v-15ah-lithium-battery/7460557099.html,2022-04-17 00:04,48v 15Ah Lithium Battery For E Scooters And E Bikes,,,, good,,,,, 48v 15Ah,,,6,"Battery Only= $100 With Charger= $130  Good used 48v 15Ah Lithium Battery. Great for e-bikes and electric scooters.  LI-BATTERY PACK XDS4815-BAK 720Wh 15Ah Model: XDA4815 BAK Cell Model: BAK HDS486550CH Nominal Voltage: 48Vdc Rated Capacity: 15Ah Limited Charging Votage 54.6Vdc Max ChargingCurrent:2.5A Manufacturer: Fuian SCUD Power Technology Co.,Ltd.  More than (10) available. Will be fully charged.",,,
3414,499.0,losangeles,https://losangeles.craigslist.org/wst/bik/d/san-juan-capistrano-nakto-emoji/7460534633.html,2022-04-16 16:41,"Nakto, emoji, discovery Electric bikes, low price free delivery!", other/unknown, other,,,, Different sizes,,,,, other/unknown,8,"Holiday sales Now until New year  !  Nakto & Emoji + other brand E- bikes ! We have a bunch of different styles in our warehouse located in San Juan Capistrano.   We Constantly have stock of our bikes , They start at 499$ and go up depending on style and watts etc. Different models / colors / sizes...   500 watt - 750 watt motor and 48 volt batteries.    The best thing to do is to make an appointment with me to come by the warehouse to see and ride them ' try them out & pick your favorite style and color  My name is Hans & my cell # is 949 254 66 four four.  THANK YOU",,,
3415,100.0,losangeles,https://losangeles.craigslist.org/lgb/spo/d/long-beach-exercise-bikes/7472232130.html,2022-04-16 16:17,Exercise Bikes,,,, like new,,,, DMASUM,,,,4,"BEST SPINNING BIKE: Like new. Compared with other exercise bikes, it has bigger flywheel weight and higher quality heavy steel which shows it will be more stable and secure. DMASUN bike weighs 95 lbs, which is 20 lbs heavier than other bikes. Has tablet or phone holder.",,,
3416,9999.0,losangeles,https://losangeles.craigslist.org/lac/bid/d/los-angeles-news-from-cocos-used-new/7472219050.html,2022-04-16 15:35,"News from Coco's: Used / New Kid's Bikes Cleary, Woom, Linus, Mountain", alloy, kids,,,, Various,, woom, 3,, 20 in,23,"Greetings from Coco's Variety Bike and Prop.   We are also buying, selling and trading all manner of quality bicycle, but we are particularly focused on the brands we carry as new bikes like Surly, Salsa, All-City, Bianchi, Linus, SE, etc.  We are a bike store, have listed in the business section and paid the Craigslist fees accordingly.  We accept trade-ins.   All of our used and new bikes are warrantied. We warranty the used bikes ourselves for 60 days against everything including flat tires. The new bikes have the full factory warranty from manufacturer as we are authorized dealers.   You can see all the kids bikes that we currently have here - https://cocosvariety.com/collections/kids-bikes  Sign up for the Bike Alert! Email. We send whenever we have fresh inventory of new or used bikes.   +++++++++++++++++++++++++  Used woom 3 - Green - $350  Well kept and fully tuned by Coco's. Some scuffs and scraps, but very presentable for a kid learning to ride.   woom 3 - 16"" wheels - Ages  4 - 6  +++++++++++++++++++++++++  Used woom 3 - Red - $350  Well kept and fully tuned by Coco's. Some scuffs and scraps, but very presentable for a kid learning to ride.   woom 3 - 16"" wheels - Ages  4 - 6  We were a woom dealer and sold 100's of woom bicycles. When the demand skyrocketed during the pandemic, woom discontinued their small dealer network. We were the only dealer in Southern California. As such, we get a fair number of woom bikes as trade-ins.   +++++++++++++++++++++++++  Used Cleary Owl 20"" - Pink    Well kept, stored inside, little scratches here and there. Cleary is one of the premoer kid's bike manufacturers.  20"" New $430 (we have new Cleary Owls too) Used $350    +++++++++++++++++++++++++  Brand New Evo 24"" and 20"" Mountain Bikes   We have brand new Evo kid's bikes in stock in 20"" and 24"" sizes. Evo is a Euro brand thus the much lower level of graphics and such.  We like them as a lot of kid's bikes like these come with suspension forks which are generally not of high quality, not needed and weigh a lot more. In this configuration, you can ride some dirt, then later, if you are mostly road riding, change to a narrower slink tire.  24"" in mint (as seen) or black 20"" in red  Nice price for quality 7 speed bikes 24"" - $349 - 7 Speed  20"" - $299 - Single speed  +++++++++++++++++++++++++  New Cleary Bikes - Many colors, spec and sizes  We have 20 Cleary bikes in stock. At this time we only have new Clearys in sizes from 16"" -  26"". We believe that the Cleary is the best all around kids bike. The internal 3 and 5 speed hubs are so superior for kids than a derailleur that always get knock out of adjustment. The standard threadless stem set-up like on nice adult bikes means you can replace with longer stem as child ages and get another year or two out of the bike before outgrowing.   You can see the bikes here - https://cocosvariety.com/collections/kids-bikes   +++++++++++++++++++++++++  Used Diamondback 20"" Mountain Bike - Orange   20"" bike, 1 x 6 gripshift, suspension fork, v-brake.  This is a little lower end than we usually sell - more of a Dick's Sporting Goods brand as opposed to a true bike store brand like Giant or Specialized. The bike is of fine quality but it is very heavy.   20"" wheel  Typically 6-9 years old, depending on the child. $100  +++++++++++++++++++++++++  Used Linus 16"" Roadster Blue with training wheels  Some scuffs and scraps but overall this bike is in nice condition. Less than half the price of new Linus 16""s which have reached an astonishing $369 for new ones.  16"" wheel Fits most riders ages 4 to 6 $160  +++++++++++++++++++++++++  Used Linus Lil Roadster in terrific condition. Blue with no training wheels  The most minor flaws distinguish it from a brand new bicycles.   20"" Wheel Typically 6-9 years old, depending on the child. $275   +++++++++++++++++++++++++  Giant Animator 16"" - Blue and White with training wheels  Clean condition! Was kept inside and it shows. Near new.  Small 16"" wheel Generally ages 4-6 $175  +++++++++++++++++++++++++  Used Fuji 20"" Performance Bike - Orange and White  Rare bike! It is a hard to find a kid's bike with the  features of an adult performance hybrid like narrow double wall rims, presta valves, threadless headset, dual pivot brakes, et al.  Ages 7 - 9 $250  +++++++++++++++++++++++++  +++++++++++++++++++++++++   After 14 years of Coco's being open 7 days a week, we have ceased having regular business hours and now people need to call to visit. We are still here 11-6 daily, closed Sundays, so just give us a call to come by and check out the scene.  Coco's buys, sells and trades new and used, vintage and modern bicycles.  Additionally, we are interested in fine art, pottery, early California, vintage automobiles, antiques, old electronics like ancient Apple Computers and vintage hi-if, 4 wheel drive adventure gear, books, records, CDs, tapes, watches and tools so we are always open to interesting trades. Our robust want list resides here - https://cocosvariety.com/pages/want-list  If you are interested in what Coco's Variety is up to, we have two newsletters.  Bike Alert! Newsletter - every bike we get, all fresh inventory, used and new, goes to the Bike Alert! first. Dispatch from the Edge's of the Coco's Variety Universe - more broad, some bikes, some cars, some garage sale reports  Subscribe to either or both here - https://cocosvariety.com/pages/newsletter-sign-up  This is not all the bikes we have. Check the website for more offerings. Cocosvariety.com  Our prices are firm and unfortunately we do need to charge sales tax. Trade-ins welcome. Credit cards ok. Would it be possible to trade a painting or a record collection for a bike? Possible!",,,
