,Price,Location,URL,Date,Title,condition,make / manufacturer,model name / number,num image,text,bicycle frame material,bicycle type,frame size,wheel size,part type,serial number,suspension,brake type,handlebar type,electric assist,size / dimensions
5602,2995.0,cosprings,https://cosprings.craigslist.org/mcd/d/colorado-springs-2017-oset-20-inch-race/7465369517.html,2022-03-31 14:40,2017 OSET 20 INCH RACE Bikes,,,,9,"Apex Sports address:    327 South Weber Street Colorado Springs CO, 80903phone:      ☎ (719) 297-4373 ext 16text:       Text 16 to (719) 297-4373 for more details  link:       https://apexsportsinc.com/dx1inventory/69a97468-819d-4283-af78-ae680170fd20  contact:    Apex Sports  2017 OSET 20 INCH RACE BIKES InfoType: Play BikesStock #: 00000DetailsCondition: UsedDrivetrainOdometer: 0 MILESDescription ELECTRIC TRIALS BIKE 20 INCH Apex Sports address:    327 South Weber Street Colorado Springs CO, 80903phone:      ☎ (719) 297-4373 ext 16text:       Text 16 to (719) 297-4373 for more details  link:       https://apexsportsinc.com/dx1inventory/69a97468-819d-4283-af78-ae680170fd20  contact:    Apex Sports",,,,,,,,,,,
5603,999.0,cosprings,https://cosprings.craigslist.org/wan/d/colorado-springs-motorcycles-and-dirt/7454565641.html,2022-03-30 12:39,Motorcycles and dirt bikes barn cleaning,,,,0,"Do you have any old motorcycles laying around collecting rust or taking up your space! Or old parts laying around? I can help you remove them from your property! I can help clean out your old barn or shed, looking for dirt bikes street bikes kids bikes scooters ect ect... Will pay cash or help you with something else you need!",,,,,,,,,,,
5604,69.0,cosprings,https://cosprings.craigslist.org/spo/d/colorado-springs-thule-tailgate-pad/7461751232.html,2022-04-18 18:48,Thule tailgate pad, good,,,0,"Thule tailgate pad for your mountain bikes.  a little dusty, but all straps and such in good shape. reduced 4/1/22",,,,,,,,,,,
5605,1199.0,cosprings,https://cosprings.craigslist.org/bik/d/monument-sant-cruz-tallboy-lt/7472976924.html,2022-04-18 17:58,Sant Cruz Tallboy LT,,,,0,,,,,,,,,,,,
5606,40.0,cosprings,https://cosprings.craigslist.org/bop/d/usaf-academy-yakima-bike-trunk-mount/7469300691.html,2022-04-18 16:59,Yakima 2 bike trunk mount rack,,,,0,,,,,,,,,,,,
5607,20000.0,cosprings,https://cosprings.craigslist.org/rvs/d/colorado-springs-2016-palomino-palomini/7472935453.html,2022-04-18 16:08,2016 Palomino PaloMini 177 ORV BH (Toy Hauler),,,,17,"This has been a great camper for our family for the last few years. It has served us well but we no longer need the Toy Hauler portion of the camper because I have sold all the toys and would like to gain more space. This thing is amazing. Off Road package, massive front platform for all the toys and extremely light so it can be towed with most any truck or large SUV. Dry weight is about 3800lbs, Has a bunk house, queen bed, full table, kitchen, bathroom with shower and tub that I can fit in(6'2""). Lots of storage, has awning with led lights, outdoor speakers and a lot more that I am missing. The person I purchased this from had custom ramps made to fit a SxS on it. Also added a hitch receiver to the rear as well so you can add more fun to it if you want. You can fit 2 ATVs on it, a SxS, and I've had 3 bikes on it as well. I'll attach photos of it all loaded up. We have taken good care of it and it has no issues. Everything is working great. It's a very unique setup and the space is utilized very well. Respond to this listing if you have any questions. Thanks for looking   Link to Specs and Layout  https://www.rvusa.com/rv-guide/2016-palomino-palomini-toy-hauler-floorplan-177-orv-bh-tr27248",,,,,,,,,,,
5608,75.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-new-in-box-bell/7472136033.html,2022-04-18 13:45,NEW IN BOX Bell LOCKING DoubleBack Two-Bike Trunk Rack,,,,6,"NEW IN BOX Bell LOCKING DoubleBack Two-Bike Trunk Rack CAR Cradle Biking Travel  A Quick and easy carrier solution for any car - No-tools installation Holds 1 or 2 bikes of all frame types with cradles Reflective Red end caps increase visibility Easy, one-step folding with hub Stable fit to most car styles Maximum 35 lbs. per bike (70 lbs. total) Holds one or two bikes of all frame types with cradles Reflective red end caps increase visibility Easiest, one step folding with new hub Stable fit to all car styles No tool assembly Locking Cable Included  Retailed New for $79.99 + $14.99 S & H Online Ebay I am only asking $75 New still in the box never opened   Please call  show contact info   Go To : ebay.com/itm/293767752804",,,,,,,,,,,
5609,55.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-vertical-bike-rack/7472834790.html,2022-04-18 12:51,Vertical Bike Rack Holds 4,,,,2,"$55 cash only Exactly as pictured. Freestanding on rolling, locking wheel casters 69"" tall x 43"" wide  Hang 4 (or maybe more) bikes vertically by the tire, in shed or garage. Takes up much less room to store", other/unknown, other, 69 x 43, other/unknown,,, other/unknown, other/unknown, other/unknown,,
5610,130.0,cosprings,https://cosprings.craigslist.org/bik/d/monument-girls-liv-24-mountain-bike/7469676324.html,2022-04-18 12:43,"Girls Liv 24"" Mountain Bike",,,,5,Great little bike. Still a little big for my daughter. We are going to stick with her smaller bike for now but don't want to hold 2 bikes for her. Asking $100. Call or text me at  show contact info, aluminum, mountain, small, 24 in,,, suspension fork (hardtail),,,,
5611,70.0,cosprings,https://cosprings.craigslist.org/spo/d/castle-rock-inter-rim-bike-trainer/7472745353.html,2022-04-18 10:13,Inter Rim Bike Trainer,,,,0,,,,,,,,,,,,
5612,300.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-custom-21-bmx-300-obo/7472737537.html,2022-04-18 10:01,Custom 21” bmx $300 obo,,,,0,,,,,,,,,,,,
5613,2500.0,cosprings,https://cosprings.craigslist.org/mcy/d/colorado-springs-2004-yamaha-wr450/7472723555.html,2022-04-18 09:31,2004 Yamaha WR450,,,,6,04 Yamaha WR450. Needs a little work but a low miles bike. We bought the bikes new from Grand Junction Dealership. If you want info let me know.,,,,,,,,,,,
5614,50.0,cosprings,https://cosprings.craigslist.org/bik/d/usaf-academy-two-20-kid-bikes/7460397606.html,2022-03-19 14:36,"Two 20"" Kid Bikes",,,,2,"Blue Performance Downforce 20"" youth bike, $75  Pink Schwinn Deelite 20"" youth bike, $50", aluminum, kids," Youth 20"" tires", 20 in,,,,,,,
5615,35.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-cocoweb-deluxe-bike/7472616448.html,2022-04-18 01:45,Cocoweb deluxe bike adapter,,,,3,"CONVENIENT: The DELUXE BAR ADAPTER installs with the push of a button. The bar also includes a user friendly quick release to remove it from the bike easily WORKS LIKE A CHARM: The frame easily attaches to your bike's seat post and handlebar stem post. This provides a horizontal bar so that it can hang on a top tube bike rack or use it to create a higher bar for ratchet arms. Maximum load capacity of 35 Ibs. when used on a Hanging Rack VERSATILE: This bike frame adapter bar is ideal to help secure kids bikes or any bike with a sloped top tube. PROTECTS YOUR BIKES: With the vinyl coated hangers, you can have peace of mind knowing your bikes finish will not be damaged STURDY: With a telescopic adjustment from 19"" to 26"" you can be sure it will stay put.  Retails New For $48.53 Compares to this one : amazon.com/Swagman-64005-Deluxe-Bar-Adapter/dp/B000YZG8JS/ref=sr_1_8?dchild=1&gclid=Cj0KCQjwna2FBhDPARIsACAEc_UeWV76Al2L-7YWETdyyzfVKyUgAanNHOVKIM95LzMzOmKNZSwEqGgaAg6BEALw_wcB&hvadid=410063425892&hvdev=c&hvlocphy=1014471&hvnetw=g&hvqmt=b&hvrand=5635789199925327761&hvtargid=kwd-20083874231&hydadcr=9406_11542751&keywords=bike+rack+adapter+bar&qid=1621909795&sr=8-8  I am only Asking $35 Like New Reduced to : $30  Please call  show contact info",,,,,,,,,,,
5616,80.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-yakima-hangout-trunk/7472616156.html,2022-04-18 01:40,YAKIMA HANGOUT TRUNK MOUNTED CARRIER RACK - 2 BIKE(Reduced),,,,4,YAKIMA HANGOUT TRUNK MOUNTED CARRIER RACK - 2 BIKE  Holds up to two bikes. Quick Trigger™ hub system makes install easy and fast Integrated Stable Cradles™ hold bikes firmly in place Padded feet and coated metal buckles protect your vehicle Arms fold for compact storage  Retails New For $149 I am only Asking $100 Like New Reduced to $80  Please call  show contact info   For more info. & pics. Go To : cambriabike.com/products/yakima-hangout-trunk-mounted-carrier-rack-2-bike?variant=13158532546672&utm_source=googleshopping&utm_medium=cse&utm_source=google&utm_medium=cpc&adpos=&scid=scplp101828&sc_intid=101828&gclid=CjwKCAjwm7mEBhBsEiwA_of-TN1XHAMItlDmm291ECBpGsjsyauw0wQpnKb5P6grvQ3kElssZnJQAxoCw-YQAvD_BwE,,,,,,,,,,,
5617,31900.0,cosprings,https://cosprings.craigslist.org/for/d/model-land-for-sale-4086-acres-pinon/7472579924.html,2022-04-17 20:47,"LAND FOR SALE, 40.86 ACRES, PINON PINE TREES, JUNIPERS, ELECTRIC",,,,0,,,,,,,,,,,,
5618,170.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-trek-mystic-16-loaded/7460893816.html,2022-04-17 12:21,"Trek Mystic 16"" Loaded Metallic Pink", like new, Trek, Mystic Loaded,10,"Ok it's time your little Princess had a bike, well your little girl deserves a quality bike! Why not get her a Sweeeeeet ride for the cost of a cheaply made Walmart bike. A very gently used Trek Mystic 16"" single speed Bike with all the bells and whistles. A Beautiful Metallic Pink with a Trek basket and all the safety pads. A near new Bike kept in excellent condition.    2017 Trek Mystic 16"" Girl's Kids' Bicycle w/ Pads, & Basket / Metallic Pink.  Specifications: Brand: Trek, Model: Mystic 16, Size: Kids, Year: 2017. Frame Material/Construction: 16"" Dialed frame size, high-tensile steel, Fork: High-tensile steel, Weight: 25lbs.  This bike has a weight load of 90lbs. Components: Headset: 1"" Adjustable ball bearing, Brakes: Coster, Handlebar: Dialed 16"" size, steel, Stem: Alloy and steel, two bolt. Seatpost: Steel, Saddle: Dialed 16"" size, padded. Front Hub: Bolt-On 28h, front & Rear Hub: Bolt-On 28h Rims: Chrome over Steel 16"", Front Tire: Knobby 16x2.125 Rear Tire: Knobby 16x2.125. Drivetrain: Crankset: Dialed 3.5"" length, 26T, Chain: KMC. Accessories - Padded handelbar & Stem, and a Trek basket included. Instructions for buying - Please Do Not Approach Me with Scams (why waste both of our time), No Sending for the bike, no codes, ect. - You will need to see it! No scams - can you send me a code - No!!, I don't do business with thieves!! Cash is the payment! I am trust worthy and expect you to be. Email or texts only (if it looks suspicious I report it and only respond if the authorities want me to). ***I'm happy to take Reasonable offers,*** I price these where you can ride a couple of years and sell for the same, I go through all aspects of the bikes operations. Come Enjoy the outdoors, the beauty of our area and get some exercise. Have a Great Day and Blessings unto you!!", steel, kids, Kids Girls step - thru, 16 in,,, none (rigid), coaster, riser, none,
5619,35.0,cosprings,https://cosprings.craigslist.org/bop/d/bicycle-tune-up-and-repair/7465464559.html,2022-04-17 11:39,Bicycle tune up and repair,,,,2,"24 hour turn around or less. Drop off or mobile bicycle repair. Professional service,  full tune ups, 40 point inspection includes, cleaning, brake/shifter, headset, bottom  bracket adjustments, front; rear wheel truing plus overall safety check for - $65.  Single speed, BMX and cruiser style bikes $35 -$45. Complete overhauls tune up plus new cable housing and inner wire, re grease or replace  sealed bearings in hubs, headset, crankset $100 plus parts needed. Wheel truing - $10-$15. wheel builds - $65. Front or rear suspension fluid and seals $50 plus parts. Full suspension frame bearing replacement $75, you provide bearings. New bike in a box assembly includes full tune $75 $15 pre purchase inspection before you buy a used bike.  In business since 1988, former bike shop owner/mechanic.  All work is guaranteed.  show contact info",,,,,,,,,,,
5620,3400.0,cosprings,https://cosprings.craigslist.org/mcy/d/colorado-springs-2003-yamaha-road-star/7472420961.html,2022-04-17 11:13,2003 Yamaha road star 1600 Silver edition,,,,6,"I’m selling my 2003 Yamaha road star 1600 silver edition. It has a little over 14,100 miles on it. I’m selling it because my back is messed up and I haven’t been able to ride it around without being in a lot of pain so it’s been sitting for awhile.  The bike itself runs great. It needs to be lubed up in one area for a small squeak  but besides that it is mechanically in good shape. It spent most of its time in a barn so it’s a bit dusty but she starts right up and the tires have alot of life left in them. The body is in good shape with the exception of one small dent on the tank and the floor board on the left side is missing one bolt but that bolt will be in the mail in the next few days.  The bike comes with two seats the original Silverado seat and the stinger seat. If you know anything about bikes you know seats are not cheap and you get two with this one. The stinger is great for around town but the Silverado seat is big and wide for those long rides which is what is on it right now. I’d hate to sell it because it’s a great bike but I hate seeing it just sit. This bike is comparable to a road king in size  it is not small by any means.  Asking $3400 or Best offer takes her. Shoot me a txt if your interested.",,,,,,,,,,,
5621,200.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-bike-travel-case/7472389313.html,2022-04-17 09:47,Bike Travel Case, excellent, Trico,,3,"Trico Iron Case that is a top of the line hard shell plastic case to transport your bike. Excellent condition for less than half the cost of a new one.  see pics and Google ""Trico Iron Case"" for more details. Will fit most bikes and the case weighs 30 pounds.",,,,,,,,,,,
5622,215.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-fuji-dynamite-xs/7472315355.html,2022-04-17 02:43,"Fuji Dynamite 2.0 13"" XS-S", excellent, Fuji, Dynamite 2.0,10,"Hey the riding season is here - so you are looking for a smaller size Mountain Bike with all the attributes of a larger bike here is your chance to get just what you need. Or maybe to treat your youth, or shorter adult, to a super nice Fuji Dynamite 2.0 13"" A great Bike for those of shorter statue, or teens. A well made bike with all the features and functions, of Quality adult bikes just smaller for those that need a smaller bike. All tuned and ready to go, this is a quality Bike by a well loved Japanese Manufacturer.  Don't waste your money on a disposable bike from Walmart etc. no - get a quality bike that will last many years - a sturdy, well made bike to handle the rough trails and the street. Specs: Frame- TIG-welded, Fuji Altair 1 AL. Fork- Fuji Power Shock, 50mm travel, Aluminum/steel, single crown Multi surface Mix: ProMax aluminum linear-pull brakes, Promax aluminum levers, Shimano Tourney RS-31 Shimano Tourney CO-50, bottom-pull/clamp-on 28.6mm, Shimano Tourney TX-50, ProWheel MAP-100 ATB, 24/34/42 teeth, Wellgo resin Sealed cartridge,  7-speed, 13 - 28 teeth, Chain- KMC UG-51, Seat & post-Alloy,  Fuji MTB Jr., Stem- Fuji MTB Riser, Fuji ATB, 1 1/8"" Fuji ATB.  24"" wheels, Hub ATB Oversized Steel, Wheel Jalco VP-20, 36-hole, 24 x 2.00"" Multi-Purpose ATB. Spokes - UCP, 14ga. (2.0mm).      Please Do Not Approach Me with Scams (why waste both of our time), No Sending for the bike, no codes, ect. - You will need to see it! No scam- can you send me a code - No!!, I don't do business with thieves!! Cash is the payment! I am trust worthy and expect you to be. Email or texts only (if it looks suspicious I report it and only respond if the authorities want me to). ***I'm happy to take Reasonable offers,*** I price these where you can ride a couple of years and sell for the same, I go through them all. Enjoy the outdoors, the beauty of our area and get some exercise. Have a Great Day and Blessings unto you!!", aluminum, mountain," 13"" XS-S Frame", 24 in,,, suspension fork (hardtail), v-brakes, cruiser, none,
5623,50.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-indoor-exercise/7472309626.html,2022-04-17 00:38,Indoor Exercise Bicycle trainer Magnetic Flywheel Stand (Reduced),,,,8,"Sportneer Bike Trainer Stand for Indoor Exercise Bicycle Magnetic Flywheel Stand  STABILITY ON ANY SURFACE: Built with a wide base and low stance for unshakable balance. Features 5 adjustable anti-slip rubber feet to even out any uneven flooring SPIN IN SILENCE: Smooth, seamless design and noise reduction resistance wheel mean you there’s no need to amp up the volume when you build up the burn (Note: The noise is mainly related to the materials and tread of bike tires. We highly suggest you to use road bikes because the noise will be louder if MTB is used.) 6 RESISTANCE SETTINGS: Train to your standards with bar-mounted remote and wide range resistance curve to simulate all cycling conditions EASY BIKE RELEASE: Ready to head outside? Just hit the press-down lever clamp to easily release and remove your ride. Front wheel riser block and rear quick release lever are included for quick installation. GREAT COMPABILITY: The Indoor Bike Trainer Stand fits any road or mountain bike with a 26-28"" or 700c wheel and with rear wheel axel between 4.92'-6.57""  Come with front wheel stabilizer  New (not pictured)  Retails New for $191.40 on ebay I am only asking $110 Like new Reduced to $50  Go To : sportrhino.com/products/sportneer-bike-trainer-stand-steel-bicycle-exercise-magnetic-stand-with-noise-reduction-wheel-for-road-bike?gclid=Cj0KCQjwnueFBhChARIsAPu3YkT7KannA_HkfgCIaAaWPPKNih1f02q1GUq3QGFUzlDXrrx3bAaEzzUaAosDEALw_wcB",,,,,,,,,,,
5624,50.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-bell-cantilever-bike/7472309017.html,2022-04-17 00:30,2 - Bell Cantilever 300 3-Bike Trunk Rack/Carrier (Reduced),,,,5,"Bell Cantilever 300 3-Bike Trunk Rack, one Step Folding With Hub  Patented, adjustable hubs for a custom fit Rugged steel construction Stable, 6-strap design holds 3 bikes securely Minibike blocks with integrated tie-downs add stability Folds flat for easy storage Ideal for coupes, hatchbacks, minivans and sport utility vehicles Bell bike carrier is useful for long trips Fully assembled and can be installed quickly  Retails New for $92.59 I am only asking $60 Like New Reduced to $50 each   One Looks like this one , but it is a 3-bike & the other one the cradles are Black  For info. & pics. Go To : walmart.com/ip/Bell-Sports-Cantilever-300-3-Bike-Trunk-Rack/3919",,,,,,,,,,,
5625,8.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-rubbermaid-fasttrack/7471074588.html,2022-04-16 23:50,Rubbermaid FastTrack Steel Vertical Bike Rack,,,,2,"Rubbermaid FastTrack  Steel Vertical  Bike Rack  Bicycle hook provides space-saving vertical storage for one bicycle Store bikes up off the floor to protect against accidents and reclaim precious floor space Quickly snaps into place on mounting rail SoftGrip dipped to protect bikes from nicks and scratches Ideal for most 12"" to 26"" bikes Holds up to 50 lbs. Satin Nickel finish 12.26""H x 5.11""W x 3.87""L Retails New at Ace For $13.99 I am only asking $8 Almost like New each Have 2  For more info. Go to : acehardware.com/departments/storage-and-organization/shelving-and-shelving-units/bike-storage/5366356?x429=true&utm_source=google&utm_medium=cpc&gclsrc=aw.ds&&gclid=Cj0KCQiAxfzvBRCZARIsAGA7YMysUKptwGRYlh-Cnf2zKSHtRCFsuMCV3j6g0azuulGdTdkfSb9FMe4aAlhiEALw_wcB",,,,,,,,,,,
5626,100.0,cosprings,https://cosprings.craigslist.org/bop/d/colorado-springs-yakima-kingjoe-pro/7472305254.html,2022-04-16 23:43,Yakima 8002625 Kingjoe Pro 3 (Reduced),,,,9,"Yakima 8002625 Kingjoe Pro 3  Durable construction Easy to use Ultra-sturdy, trunk-mounted 3-bike rack with sturdy steel construction; ideal for hatchbacks, minivans, and SUVs Integrated StableCradles hold bikes securely; arms fold away for easy storage QuickTrigger hub system for fast/easy installation One-piece premium padded feet and labeled padded metal buckles protect your car's paint job  Retailed New for $329 I am only asking $165 Almost like new Reduced to $100  Please call  show contact info   For more pics. & info. Go To : yakima.com.au/kingjoe-pro-3",,,,,,,,,,,
5627,495.0,cosprings,https://cosprings.craigslist.org/bik/d/colorado-springs-antique-vintage-1960/7460105853.html,2022-04-16 20:26,Antique / Vintage 1960 AMF Roadmaster Courier 3, excellent, AMF Roadmaster, Courier 3,12,"Here is a chance of a lifetime - Antique (62 1/2 year old bike in amazing shape) 1960 AMF Roadmaster Courier 3, time capsule bicycle.   Sit back and imagine this story -  in the fall of 1959 a young man who has had a paper route and graduated from high school in the previous May/June. Requests his step-father go with him and help him buy the best bike for his planned career.  He wants to be a Courier, and wants the best bike they can find.  At a local hardware store in Colorado Springs they find it. It's a gold colored AMF Roadmaster Courier 3. The perfect bike for the position of a Courier a - 3 speed bicycle. The young man's plan is to be a courier until he finds a college that he will go to. He is hired as a courier and his dream starts for the next 2 years he rides his licensed Courier 3 bicycle. The odometer says a total of  179.9 miles.  After 2 years he decides to enlist in the Service, He is sent to Vietnam. He does not come home.  His mother and stepfather, decide to place his things in his bedroom and wait for his return. Fast forward to 2019 His stepfather passes away, followed by within 6 months of his mother's passing. The stepdaughter comes to get everything in order and situated with the home, finds the room. The room untouched for all these years with the bike sitting in it. She puts the bike up for sale and I buy it. What a collector piece of Americana, Of a historic time in America. This bike is set up exactly as it was left in fact it still has the original thread protectors on the front and rear of the bike. It has a basket and a rack as well as a bag.  It also still has the original courier license plate from Colorado Springs, Colorado.      Being in a dry climate it is rust free.  Yes this bike runs well -  shifts, brakes and is all polished up with new grease packed in original bearings. This is great for a collection, or is great for someone who wants to ride and enjoy it.  **And it can be yours if the price is right.** All original with the exception of tires, and tubes, (though I put on period correct that I searched out and found).  It has an odometer of that time period, as well as the caliper brakes, and buckhorn handle bars that came on it. And even a 1960 bicycle tire pump perfect for display (HITE Automotive Manufacturing Air Pump).     Instructions for buying - Please Do Not Approach Me with Scams (why waste both of our time), No Sending for the bike, no codes, ect. - You will need to see it! No scams - can you send me a code - No!!, I don't do business with thieves!!     Cash is the payment! I am trust worthy and expect you to be. Email or texts only (if it looks suspicious I report it and only respond if the authorities want me to). ***I'm happy to consider Reasonable offers,***  Bikes like this one increase in value yearly as they age if taken care of. I do go through them all. Come Enjoy the outdoors, the beauty of our area and get some exercise. Have a Great Day and Blessings to you!!", steel, other, 22 inches Large, 26 in,,, none (rigid), caliper, other/unknown, none,
