,Price,Location,URL,Date,Title,bicycle frame material,bicycle type,frame size,wheel size,num image,text,condition,make / manufacturer,model name / number,part type,size / dimensions,brake type,electric assist,handlebar type,suspension,serial number
17585,65.0,boston,https://boston.craigslist.org/nos/bik/d/beverly-schwinn-16-kids-bikes/7462359505.html,2022-04-17 15:59,"(2) Schwinn 16"" Kids Bikes", steel, kids," 16""", 16 in,17,"Pair of boys Bikes Schwinn Duro 16"" BMX Bike [silver] Schwinn Safari 16"" BMX Bike [maroon] [includes two helmets]  Both have hand and coaster brakes  Ready to Ride $65- ea or $100- for the pair",, Schwinn,,,,,,,,
17586,99.0,boston,https://boston.craigslist.org/nwb/for/d/south-boston-haro-bikesbacktrail-z16/7466831921.html,2022-04-17 13:01,"HARO BIKES,backtrail Z16",,,,,3,"Like new,wheels 16"".", like new,,,,,,,,,
17587,200.0,boston,https://boston.craigslist.org/nwb/bop/d/dracut-saris-hitch-mount-bike-rack-or/7470251133.html,2022-04-17 05:23,"Saris Hitch Mount Bike Rack. 1, 2, 3 or 4 Bikes",,,,,8,"Saris Hitch Mount Bike rack, holds 1, 2, 3 or 4 bikes securely, upright by the wheels. Only works with 2 inch receiver hitches. First pic show it configured for three or four bikes. Second pic for one or two bikes -saves space and weight when only carrying one or two bikes.   In good used condition. Missing one support arm-under current configuration it is positioned for the fourth or last bike on the rack so if you’re carrying less than four bikes it’s not a concern. When carrying a fourth bike, we used a ratchet strap.    Cash only. Daylight  pick up local to me.  Yes it’s available.  Price is firm.  Craigslist email relay only.    I cannot call or text you.",,,,,,,,,,
17588,123.0,boston,https://boston.craigslist.org/gbs/bik/d/cohasset-vintage-banana-seat-bike/7472257111.html,2022-04-16 20:46,Vintage Banana seat bike Prewar Bicycle wanted old BMX bikes Wanted, steel, other, 26”, 26 in,6,"Hello, I am a vintage bicycle collector looking for old vintage bikes I like prewar 1930's balloon tire to 1950s tank bikes and others . I’m also looking for 1960-70's banana seat bikes. I buy them in any condition. Here are some brands that interest me. Schwinn, JC Higgins, Columbia Westfield,  Elgin,  Iverson, Sears, Murray, Huffy, ROSS, Rollfast , Raleigh , Colson, Western flyer , Monark , Hawthorne, GT , Redline , Race inc , Skyway ,  PK Ripper , Hutch, Rampar. And vintage light weight 10 speed bikes.  Please note: I'm only look for old vintage bikes from the 1970's OR OLDER with the noteable exception of BMX bikes up to the late 1980s .  I'll pay well for any vintage bicycles that I like for my collection.   I will buy one to a garage full . I'm willing to travel to the for the right bike.  Ive been collecting for many years.  Please contact me before getting rid of your cool old bike. I look forward to hearing from you. Thank you .",,,,,,,,,,
17589,500.0,boston,https://boston.craigslist.org/gbs/bik/d/brighton-searching-for-80s-90s-bmx/7469059288.html,2022-04-16 16:26,"Searching for 80s 90s BMX Bikes - Mongoose, Hutch, Redline DiamondBack", steel, bmx, 18, 20 in,2,"Looking to purchase any 1980s and 1990s BMX bikes, any condition, rusted or broken, I collect and restore BMX. Please email pictures and details and I'll respond immediately.     Supergoose Patterson Expert Pro Class Hutch Redline Diamond Back GT SkyWay Webco Moto mags Team Decades Californian  Anything you got, email me pictures and I will respond immediately with a quote, thanks!",, mongoose, redline hutch gt,,,,,,,
17590,20.0,boston,https://boston.craigslist.org/nos/for/d/melrose-bike-rack-for-bikes/7460194920.html,2022-04-16 15:06,Bike rack for 2 bikes,,,,,2,"Fully functional and ready to go. Folds down for easy storage.  The rack is available if you see the post. I have more racks you can see by pressing ""more ads by this user"" button.  Local pick up and cash/Venmo only!", good,,,,,,,,,
17591,500.0,boston,https://boston.craigslist.org/nwb/bop/d/lunenburg-bikes-parts-lots-and-lots/7469762399.html,2022-04-16 11:36,Bikes Parts - lots and lots,,,,,15,"Hi,  I have been rebuilding bikes as a retirement hobby, but the supply of used bikes is slow and I have decided to give up the business. If you do this as a hobby, or of thinking of picking up some money on the side, my preference is to sell everything as one lot for $500. That includes all that I have cables, tires, brakes, tubes, lots and lots of parts.  If you do not want the whole lot, I am willing to sell off indivudual pieces. I have lots of parts for sale all at great rates. Here is a list of some of the things available:  Tires: $3 to $20 - hard to find sizes, most used some new (including a Continental 28 inch) Tubes: Used $3.00, New $5 Rims: $5 to $20 Fenders: $2 - $20 Accessories $1-$20 Pedals $1-$10 (pair) Derailleurs $1-$20 Cable Housings $.25-$10 Computers $3 Handlebars $2-$20 Gear Shifts $1-$20 Brakes $1-$10 Brake Pads $.50-$5  I also have more things that are not listed by price, axle skewers, banana seat, cranks, training wheels, handlebars and rims. The pictures shown are a resentative sample.  Send me an email or text with what you are looking for and I will get back to you.  Thanks, John",, various,,,,,,,,
17592,150.0,boston,https://boston.craigslist.org/nwb/bop/d/haverhill-blue-bikes/7470449377.html,2022-04-16 09:20,"2 26/27"" blue bikes",,,,,2,"Bike 1: Sharper image ebike. For parts or repair. Has Nimh battery tank & charger. Rear wheel/motor needs new. No E controls. Needs new tires.  Chrome fenders rusty I will include 30 unused PTC Lithium batteries (batteries were part of a manufactured battery pack that was never used, I have extracted these batteries, 30 individual cells will be provided)   Bike 2 Shwinn Delmar. Both wheels bad. Frame and fenders could be used on the ebike.  $150 for the pair.  Call or email only  Texts will be ignored.   FIY:  PTC batteries  PTC thermistor is a small disc that is found at the top of the battery.    When the temperature rises, the resistance increases.   If there is a surge current and the battery heats up significantly, the PTC will increase its resistance to limit the current.   And then the temperature will drop normal, which prevents your battery from becoming burned out.", salvage,,, other,,,,,,
17593,50.0,boston,https://boston.craigslist.org/nos/bik/d/wakefield-kids-bikes-for-sale/7471963482.html,2022-04-16 09:09,Kids Bikes for Sale, aluminum, kids, Kids, 20 in,7,"20” TREK Alpha Aluminum Frame Kid’s Bike - $40 Single speed bike with coaster brakes AND rear hand brake, featuring Trek’s Dialed Fit.  Working condition with some spots of corrosion, but overall in good shape. Brake pads could use a replacement.  Tires still have plenty of tread left for rolling around the block. Bike has seen some miles but has many more miles in it.  12” DIAMONDBACK RM12 Kid’s Bike - $15 Single speed bike with coaster brakes.  Working condition. Scratches and scuff marks on the front end from using the bike with a tow-bar system, but does not affect the function of the bike.  This is a great bike for a 2-4 year old transitioning from a scoot-style bike like a Strider to learning to pedal around. Bike has been cleaned up and is ready for its next new rider.  Buy bikes individually, or get them both for $50! Both bikes have plenty of miles left in them for excursions around the neighborhood or along the local rail trail, and have been great for our kids as they learned to ride.  Bikes have been cleaned up and are ready to go for the Spring/Summer season!",, Trek, Alpha,,,,,,,
17594,25.0,boston,https://boston.craigslist.org/gbs/bik/d/brighton-kids-bikes-25-tricycle-10/7463895841.html,2022-04-16 09:05,KIDS Bikes $25--Tricycle $10, steel, kids, small, 24 in,2,Telephone  show contact info,,,,,,,,,,
17595,150.0,boston,https://boston.craigslist.org/bmw/bik/d/waltham-stationary-exersise-bikes/7461805240.html,2022-04-16 06:37,STATIONARY EXERSISE BIKES, steel, other, STEEL, 20 in,0,SCHWIN STATIONARY EXCERSICE BIKE  GYM TYPE ORG COST OVER $600  $150  ALSO WIND MILL TYPE EXERCISE BIKE  $125 B/O BY APPOINTMENT ONLY   show contact info,, schwa,,,,,,,,
17596,150.0,boston,https://boston.craigslist.org/sob/bik/d/east-weymouth-bikes/7471673481.html,2022-04-15 13:34,Bikes, steel, other, 52 cm, 14 in,9,"Used bikes , Murray-City Star, Univega-Activa Action, Honda Trail Pilot,",,,,,,,,,,
17597,25.0,boston,https://boston.craigslist.org/sob/bab/d/quincy-kent-18-mischief-girls-bikes/7471644367.html,2022-04-15 12:40,"Kent 18"" Mischief Girl's Bikes",,,,,5,"Kent Mischief Girl's Bikes - 18'': $29 - 12"": $20", excellent,,,,,,,,,
17598,750.0,boston,https://boston.craigslist.org/gbs/bik/d/boston-fuji-52cm-gravel-cyclocross/7471500167.html,2022-04-15 03:27,Fuji 52cm gravel cyclocross bikes - like new, carbon fiber, gravel, 52, 700C,0,These are high quality cyclocross (off road capable) solid smooth riding bikes with some sweet upgrades  1x bike - $850 2x bikes - $1500 (750 each) Pristine condition  2x10 speed Shimano Tiagra  52cm Aluminum frame  Carbon fiber fork  205mm massive front disc and hydraulic brake upgrade Hybrid clip in + pedestal pedals  Aluminum phone mount  High quality wheels with high quality 28x700c road tires You can mount up to 45x700c knobby tires on this frame  Please save your time and mine as I won't respond to lowballers.  Can deliver within greater Boston area for additional $20, like new, Fuji,,,, disc (hydraulic),,,,
17599,59.0,boston,https://boston.craigslist.org/gbs/bik/d/methuen-womens-bikes-for-sale-must-sell/7471398374.html,2022-04-14 18:52,4 womens bikes for sale must sell, other/unknown, cruiser, 26 inch, 26 in,0,"I have 4 bikes for sale all in good condition ,must sell asking $59 each or all 4 for $ 200 . for more info please call me at  show contact info  ,no emails.",,,,,,,,,,
17600,40.0,boston,https://boston.craigslist.org/nos/bik/d/wakefield-two-bikes-26in-speeds/7471178028.html,2022-04-14 11:24,Two bikes 26in 6 speeds,,,,,0,,,,,,,,,,,
17601,59.0,boston,https://boston.craigslist.org/bmw/bop/d/natick-sportrack-rear-mount-bike-rack/7458842582.html,2022-04-14 10:01,SportRack rear mount bike rack for 2 bikes,,,,,3,"Gently used universal bike rack by SportRack, price: $59 It is for 2 bikes up to 70lbs, has 6 rubber straps. Just received the missing 2 straps. The ones to the Cradle Pivots are missing.",,,,,,,,,,
17602,59.0,boston,https://boston.craigslist.org/nos/bik/d/methuen-bikes-for-sale-cheap/7470964522.html,2022-04-13 18:31,Bikes for sale cheap, other/unknown, road, 26 inch, 26 in,0,"bikes for sale must clean out my garage  $59 each ,all in good condition ,My number is  show contact info",,,,,,,,,,
17603,100.0,boston,https://boston.craigslist.org/sob/bik/d/south-dennis-road-street-bikes/7470794350.html,2022-04-13 12:52,ROAD & STREET BIKES, other/unknown, other, assorted, other/unknown,9,"CYCLE RECYCLE works for charities. We have 50+ bikes:Motobecane, Specalized, Trek, Raleigh, Univega, Miata, Peugeot, Schwinn, Bianchi etc. These are all street, road or hybrids. Many are priced from $100 to about $250. I have a number of almost brand new looking bikes that, obviously, may be slightly more pricey but well below market value.   Also a garage full of kid sized bikes ( 12"" to 20"" ) priced from $20 to about $40 for most offerings. Prob have about 180+ bikes if you include the mountain, cruisers etc. All run well. Some are brand new and beautiful looking and others not so. Many antique and classic collector items.            Welcome to test ride anything.  Prices are based on cosmetics, brand, accessories, etc. Slight discount on multi purchases.  The bikes here are all sizes and styles (12"" to 28""). Beautiful kid's bikes to antique cruisers. Single speed to 24 speeds. Hybrid, road, mountain, BMX, freestyle, street, cruiser, etc, etc.  Please come and look (yes, its on Cape. Make a fun day-trip and see the beaches as well as save a lot of money). Trade-ins are always welcome.  I do bikes as a hobby to raise funds for local charities.   (sorry for poor pix) Please note that these photos are older and just a representative of inventory. This inventory constantly changes and bike(s) shown may no longer be available. Will gladly send individual pics as requested.      Please call or text   show contact info  for appointment and directions      Paul at Cycle Recycle  (NOTE: Matt from nearby Dennis Cycle Center is upset that people stop there looking for me, asking for used bikes or even asking for directions! [I am only 1.5mi away] His words, ""I don't want people stopping here looking for cheap bikes from you!"") I just don't understand his anger, I'm here to help charities. He is interested in his bottom line. I do not have new bikes and I don't rent bikes as a courtesy for the 2 bike shops in Dennis, one of which, Barb's Cycle, SENDS customers to me.",,,,,,,,,,
17604,5800.0,boston,https://boston.craigslist.org/sob/mcy/d/plymouth-bikes-package-deal/7470723550.html,2022-04-13 10:35,"3 bikes - $5,800 package deal",,,,,5,"3 bikes available - $5800 buys all 3 2021 250cc Motorcycle RTB20 Retro Bike, 5 speed manual transmission – white 2021 250cc Pro-Hawk Enduro Bike with 5-speed manual transmission, electric/kick start, street legal – red 2021 Phatmoto Rover – 79cc motorized bicycle with Hilliard clutch - red All are in new condition",,,,,,,,,,
17605,5500.0,boston,https://boston.craigslist.org/sob/bid/d/plymouth-giant-momentum-pakyak-cargo/7470671592.html,2022-04-13 08:08,Giant Momentum PAKYAK Cargo E-Bikes Electric Pedal Assist, aluminum, cargo/pedicab, All, 26 in,11,Giant PAKYAK-E+ Pedal Assits Cargo E-Bike $5500  Fuel $5.00 per gallon    Ride your E-Bike and Save $$$  Drive your car 50 miles at 25 MPG fuel cost $10  Drive your SUV 50 miles at  15 MPG fuel cost $16.50     Ebike 500 watt battery full charge uses 11 cent of electricity  Ride an E-Bike 50 miles will cost you only 18 cents or .0036 cents per mile   We are New England's largest stocking E-Bike Only Dealer with 250 Plus bikes in stock  Proudly Selling Premium Brands from Bulls Cannondale Diamondback Intense Fantic Giant Haibike IZIP Raleigh   Stacyc Yamaha  Serial One  and ORBEA  Financing Available with zero down to qualified buyers  Demo's bikes available for test rides and free local delivery  Trades always welcome Motorcycles Jet Ski's ATV's Dirt Bikes  Free local delivery including Cape and the Islands, new, Giant, Cargo Pakyak,,, disc (hydraulic), pedal assist, cruiser, none (rigid),
17606,1.0,boston,https://boston.craigslist.org/sob/bid/d/plymouth-yamaha-bikes-ydx-moro-cross/7470279268.html,2022-04-12 10:32,Yamaha E-Bikes YDX Moro Cross Connect Pedal Assist Bicycles, aluminum, other, Small Medium Large, 26 in,17,"Yamaha E-Bikes  Shipped to your door  Fuel $5.00 per gallon    Ride your E-Bike and Save $$$  Drive your car 50 miles at 25 MPG fuel cost $10  Drive your SUV 50 miles at  15 MPG fuel cost $16.50     Ebike 500 watt battery full charge uses 11 cent of electricity  Ride an E-Bike 50 miles will cost you only 18 cents or .0036 cents per mile   Civante $3,399 Now $3,199  Cross Core $2,399 Sale $2,199  Cross Conect $2,999 Sale $2,799  Urban Rush $3,299 Sale $2,999  Wabash $3,499 Sale $3,299  YDX $3,499 $3,299  YDX Moro Torc $4.499  YDX Moro Pro $5,499  We are New England's largest stocking E-Bike Only Dealer with 300 E -bikes in stock  Proudly Selling Only Premium Brands from Specialized,   Haibike  Bulls,  Yamaha,  Giant,   LIV,    Momentum,   Raleigh and IZIP  Financing Available with zero down to qualified buyers  Demo's bikes available for test rides and trades always welcome  Electric bikes work by using an electric motor and battery to help you power your bike.  On pedal assist e-bikes, you control the amount of power the drive system provides and  the assist only kicks in when you pedal. The motor amplifies the power behind each of  your pedal strokes providing a natural riding feeling that makes it seem like your legs are supercharged!", new, Yamaha, Trekking,,, disc (hydraulic), pedal assist,, suspension fork (hardtail),
17607,50.0,boston,https://boston.craigslist.org/bmw/bop/d/waltham-m-style-bikes-16-to-21-inch/7459308981.html,2022-04-12 05:31,B M X STYLE BIKES  16 TO 21 INCH,,,,,3,BIKE STORE OUT OF BUISNESS  MOST BMX STYLE SOME CUSTOM FRAMES  GARY FISHER AND FUJI DISCOUNT FOR MULTIPLE PURCHASE SOME NEED TLC SPOME READY TO GO PRICES START AT $50  BY APPOINTMENT ONLY    show contact info,,,,,,,,,,
17608,400.0,boston,https://boston.craigslist.org/gbs/bik/d/arlington-trek-1200-neon-yellow-bikes/7470060042.html,2022-04-11 17:47,"Trek 1200 Neon yellow bikes, 54cm", aluminum, road, 54, 700C,2,"I have two very Trek 1200 neon yellow nineties-era bikes that have been sitting in the basement for eons. Both 54cm., in very good condition, probably in need to tuning and cleaning up but totally sound, all parts in great shape except perhaps saddles. I may have saddles that can be substituted. Great commuters for nighttime visibility. Price is for each. Thanks, and stay safe.",,,,,,,,,,
17609,95.0,boston,https://boston.craigslist.org/nos/bik/d/byfield-giant-motr-kids-bikes-bmx-style/7470052307.html,2022-04-11 17:31,"GIANT Motr 20"" (2017) Kids Bikes, BMX-style, Buy both or Just One", aluminum, bmx, One Size, 20 in,11,"I have two GIANT Motr 20"" (2017) kids bikes, BMX-style, for sale.  Buy both for $175 or buy just 1 for $95.  I have twins that have grown out of them.  Stored in my garage when not being used.  Purchased in 2017.  If they are listed they are still available.  Cross Posted", good, Giant, Motr,,,,,,, See Photos
17610,1.0,boston,https://boston.craigslist.org/gbs/wan/d/burlington-bikes/7468549080.html,2022-04-11 11:36,Bikes,,,,,0,"Have an old bike that you no longer ride? or kids no longer use?  Let me take them off your hands to clear some space in your garage/shed or basement.    Looking for anything, bmx, mountain bikes, road bikes etc.  Redline, GT, Dyno, Giant, Trek, Pinarello, Skyway",,,,,,,,,,
17611,50.0,boston,https://boston.craigslist.org/nos/bop/d/manchester-roadracer-mk2-superlight-mud/7469729904.html,2022-04-11 02:02,Roadracer mk2 superlight mud guards for race bikes with minimal cleara,,,,,0,Bought with good intentions but never installed. As pictured. New in box  Made in Yorkshire England, new, Crud, Crd200," racks, fenders, bags",,,,,,
17612,20.0,boston,https://boston.craigslist.org/nos/bik/d/malden-antiquated-pair-of-toddlers-bikes/7469645225.html,2022-04-10 19:22,Antiquated pair of toddler's bikes, steel, kids, small, 10 in,2,"Antiquated pair of toddler's bikes, restoration would bring these back to good condition for Antiquated value.",,,,,,,,,,
17613,25.0,boston,https://boston.craigslist.org/gbs/spo/d/somerville-racor-pbs-2r-bike-stand/7469480293.html,2022-04-10 12:53,"Racor - PBS-2R, Bike Stand Garage, 2 Bikes",,,,,0,"Racor - PBS-2R, Bike Stand Garage, 2 Bikes, available for pickup in Union Square, Somerville. Still in the box/needs to be assembled. Payment via venmo.", like new,,,,,,,,,
17614,50.0,boston,https://boston.craigslist.org/gbs/bik/d/tewksbury-two-huffy-rock-creek-bikes/7469432907.html,2022-04-10 11:05,Two huffy rock creek bikes, aluminum, mountain, 26 inch, 26 in,0,"Two Walmart specials here. Both need cleaning, red one needs rear breaks. Take them both as is for 40",, Huffy, Rock creek,,,,,,,
17615,5000.0,boston,https://boston.craigslist.org/gbs/wan/d/north-billerica-wanted-motorcycles-dirt/7458583741.html,2022-04-10 10:34,WANTED Motorcycles dirt bikes atv CASH PAID SAME DAY any condition,,,,,8,"WANTED Motorcycles dirt bikes atv CASH PAID SAME DAY any condition. If you have any motorcycle, ATV atc small watercraft, that is running or not running, older or newer has paperwork or does not and you are looking to part ways with it and don't want to deal with all hassle of craigslist buyers, no-shows, and people that have nothing better to do than just waste your time. Cash on the spot and same day pick up Give me a call  show contact info  Larry.",,,,,,,,,,
17616,3000.0,boston,https://boston.craigslist.org/bmw/bik/d/framingham-ill-pay-large-cash-reward/7456848510.html,2022-04-09 14:22,I'll pay a Large $ CASH $ reward for old vintage bikes, steel, cruiser,,,15,"Hi, I'm a big time bicycle collector willing to pay a large cash reward $$$ for old vintage bikes from prewar 1930's balloon tire tank bikes threw and up to the 1960-70's banana seat bikes. I buy them in any condition. Here are some brands that interest me. Schwinn, JC Higgins, Columbia, Elgin, , Wolff America, Iverson, Sears, Murray, Huffy, ROSS, Role Fast, Raleigh, Colson, Western flyer Hawthorne, GT Redline race inc skyway PK Ripper Hutch Rampar. Italian light weight 10 speed bikes. Please note: I'm only look for old vintage bikes from the 1970's OR OLDER... I'll pay a Large $ CASH $ reward for any vintage bicycles that I like.  Ill buy one or a garage full . I'm willing to travel to the moon for the right bike Ive been collecting for many years, its my addiction. I'm always looking for that next vintage bike to add to my collection. Please call me before getting rid of your cool old bike. Thanks. I look forward to hearing from you. Call Mike  show contact info",,,,,,,,,,
17617,120.0,boston,https://boston.craigslist.org/nos/for/d/melrose-new-allen-sports-bikes-bike/7457256197.html,2022-04-09 11:45,"""NEW"" Allen Sports 4 Bikes Bike Rack for 2 inch Hitch",,,,,8,"New in sealed box!  -Quick install hitch secures and tightens rack inside of receiver hitch; Includes 2 keys -Arms fold out of the way when not in use and rack tilts back when needed -Individual tie downs secure and protect bicycles -Accommodates a wide range of bicycle frame designs  The rack is available if you see the post. I have more racks you can see by pressing ""more ads by this user"" button.  Local pick up and cash/Venmo only!", new, ALLEN,,,,,,,,
17618,125.0,boston,https://boston.craigslist.org/bmw/bik/d/needham-heights-used-bikes/7463305445.html,2022-04-09 10:43,Used Bikes, other/unknown, road, Ned-large, 27.5 in,8,"I have 4 used bikes all about 26-28” wheels tires are good lite rust , work good no issues call or text  show contact info  pu in Needham nite yellow bike is sold", good,,,,,,,,,
17619,50.0,boston,https://boston.craigslist.org/sob/bik/d/scituate-bca-20-crossfire-boys-mountain/7468695204.html,2022-04-08 14:17,"BCA 20"" Crossfire Boy's Mountain Bikes", steel, mountain,,,2,"2 BCA 20"" Crossfire Boy's Mountain Bikes - Blue in Excellent condition.  $50.00 each or $100.00 for both bikes, Cash or Venmo   Our boys grew out of these bikes. Both bikes are in excellent working condition and have only a few minor scrapes. Two of the gears are known to be a bit difficult to engage on this 6 speed model, although 4 of the speeds work smoothly. These bikes are currently $118.00 at Walmart, although out of stock.", excellent,,,,,,,,,
17620,700.0,boston,https://boston.craigslist.org/gbs/bik/d/south-portland-worksman-bikes-for-sale/7468640199.html,2022-04-08 12:43,Worksman Bikes for Sale, steel, cruiser, 54 cm, 26 in,2,Who says they don't make them like they used to! MADE IN THE USA. We are featuring heavy duty Worksman 3-speed and 7-speed bicycles. Come by and test drive one today.,,,,,,,,,,
17621,50.0,boston,https://boston.craigslist.org/gbs/bik/d/malden-bikes/7468432457.html,2022-04-07 21:40,Bikes, other/unknown, mountain, see picture, other/unknown,2,Moving sale. Giving offer then pickup. Thanks.,,,,,,,,,,
