,Price,Location,URL,Date,Title,num image,bicycle frame material,bicycle type,frame size,wheel size,text,brake type,condition,electric assist,handlebar type,make / manufacturer,model name / number,suspension,serial number,size / dimensions,year manufactured,paint color
3869,120.0,monterey,https://monterey.craigslist.org/spo/d/salinas-lot-of-mini-fitness-bikes/7462919014.html,2022-03-25 13:54,Lot Of 3 Mini Fitness Bikes,12,,,,,Stamina 55-1610 InMotion  ativafit mini bike  sunny health & fitness mini fitness bike,,,,,,,,,,,
3870,800.0,monterey,https://monterey.craigslist.org/bik/d/monterey-se-dblocks-big-ripper/7461787475.html,2022-03-22 23:13,Se dblocks Big Ripper,13, alloy, bmx, 29in, 29 in,Odi grips Se big honking bars Se bozack tires  Magura hydraulic brakes  Used it for couple of months and got bored of it￼. Rides Great and brakes are amazing.￼, gyro/bmx, new, none, cruiser, Se Bikes, DBLOCKS, none (rigid),,,,
3871,200.0,monterey,https://monterey.craigslist.org/bop/d/carmel-saris-traps-triple-track-47-with/7472605470.html,2022-04-17 22:13,"Saris Traps Triple Track 47"" with 3 Saris Traps Fork Mounts",4,,,,,SKU: TRK33  Transport bikes inside a vehicle. Fits standard truck beds as well as the rear of most vans and SUVs. Stagger or angle Trap mounts for maximum carrying capacity. Does not include hardware to mount track to truck bed liners.  Can be configured to hold up to 4 bikes. Powder-coated 6061-T6 aluminum. Includes 3 sets of mounting hardware for either fork or wheel mounts.  https://www.saris.com/product/traps-triple   SKU: TR1BLK  Includes standard 9mm skewer.  https://www.saris.com/product/traps-fork,, excellent,,,,,,,,,
3872,1.0,monterey,https://monterey.craigslist.org/art/d/seaside-art-books/7460472047.html,2022-04-17 21:49,art books,2,,,,,"23 How to Draw art books   for  $20  --(1 Gex, 2 Crash, 1 How to Draw Planes, 4 Draw Super Bikes, 2 How to draw Cats, 13 How to Draw Bean Bag Buddies) Cash only/Firm price  Easel, paintings, water color, books, children's books. art. drawing, presents",,,,,,,,,,,
3873,110.0,monterey,https://monterey.craigslist.org/tls/d/carmel-brand-new-original-box-feedback/7465848330.html,2022-04-17 21:35,BRAND NEW - ORIGINAL BOX Feedback Sports RIDE PREP [PORTABLE] TOOL KIT,13,,,,,"Part #17149  The best mechanic’s tool collection starts somewhere, and that’s the purpose of our Ride Prep Portable Tool Kit – an awesome introduction for those looking to start a high-quality bike-specific tool collection. Developed with input from leading tech professionals, it’s ultralight, compact, and offers 16 of the most common bicycle repair and maintenance features – from 12 bicycle-specific tools. Housed in a TPU-coated case, your beautiful tool collection is protected from water, grease and abrasion. And it’s compact design means you’ll always bring it with you, wherever you’re riding today. The Ride Prep Tool Kit is the beginning of a beautiful relationship with your bikes.  https://www.feedbacksports.com/product/ride-prep-tool-kit",, new,,,,,,,,,
3874,600.0,monterey,https://monterey.craigslist.org/atq/d/carmel-by-the-sea-trek-domane-al-58cm/7472596405.html,2022-04-17 20:57,Trek Domane Al 2 58cm,0,,,,,"Domane AL 2 Trek size Large (58) (I'm about 6 foot and it's a perfect size). Clipless pedals, new brakes and a recent tune-up.   Bike is in great condition, just have too many bikes!  Asking $600 OBO  tags: bike, bicycle, road bike",, excellent,,,,,,,,,
3875,200.0,monterey,https://monterey.craigslist.org/bik/d/salinas-yakima-hitch-bicycle-rack-5bikes/7472594289.html,2022-04-17 20:42,Yakima Hitch Bicycle Rack 5Bikes,4, steel, other, L, other/unknown,Yakima 2” hitch can hold 5 bikes.no key,,,,,,,,,,,
3876,70.0,monterey,https://monterey.craigslist.org/spo/d/pebble-beach-topeak-dual-indoor-bike/7472566515.html,2022-04-17 18:16,ToPeak dual Indoor Bike Stand,0,,,,,,,,,,,,,,,,
3877,10.0,monterey,https://monterey.craigslist.org/bop/d/salinas-13-tooth-sprocket-electric/7470428256.html,2022-04-17 15:49,13 Tooth Sprocket Electric Scooter Bike Motor Pinion Gear,2,,,,,"I have a brand new 13 Tooth Sprocket that fits currie MY1016Z and 1018 reducer motors for just $10. These motors are very common in older ezip e-bikes, scooters and other motorized toys. If your current Motor Pinion Gear has less than 13 teeth like 9 in the 2nd picture, this upgrade to 13 will increase the top end speed.  Note: Inside diameter is 11 mm. The 9 Teeth Sprocket is also for sale for $10.",,,,,,,,,,,
3878,50.0,monterey,https://monterey.craigslist.org/bik/d/salinas-bicycles/7463578015.html,2022-04-17 08:09,Bicycles,2, steel, cruiser, Medium, 26 in,2 bikes. $50 each,,,,,,,,,,,
3879,10500.0,monterey,https://monterey.craigslist.org/mcy/d/carmel-moto-guzzi-le-mans-ii/7472242385.html,2022-04-16 16:47,Moto Guzzi Le Mans II,14,,,,,"A restored 78-81 Le Mans sells for over 20K. (CHECK OUT EBAY)  This Guzzi runs great! My nephew and his wife took it for a ride a few weeks ago.   I've owned this bike since 1987. It was originally sold by Harry's in Denver. (the oldest dealer in the nation) and I'm the second owner.   The only mods are ""Bub"" exhaust since 1981, Corben Seat, Electronic Ignition and Progressive shocks in 1993.     I went through the bike a few years ago to replace the clutch and any worn bearings and components.  I have a second '81 Le Mans II (no title) that has been a parts bike for the last 20 years. I want $2,500 for the parts bike. Both bikes have the original seats and ferrying(s) (which need some cosmetic repair). These bikes were very popular and parts are readily accessible.  Factory Motor Manual and Parts Book included.  Talk to me! We can talk about a deal for both bikes!",,,,,,,,,,,
3880,4300.0,monterey,https://monterey.craigslist.org/cto/d/spreckels-gmc-sonoma-4x4/7472224855.html,2022-04-16 15:52,GMC sonoma 4x4,0,,,,,,,,,,,,,,,,
3881,8000.0,monterey,https://monterey.craigslist.org/tro/d/carmel-fleetwood-e1-offroad-tent-trailer/7470279084.html,2022-04-16 14:25,Fleetwood E1 Offroad Tent Trailer,0,,,,,,,,,,,,,,,,
3882,20099.0,monterey,https://monterey.craigslist.org/snd/d/paso-robles-2022-honda-pioneer-1000/7472155073.html,2022-04-16 12:53,2022 Honda Pioneer 1000 Trail SxS: Pioneer 1000,11,,,,,"calcustompaso.comcalcustompaso.com2022 Honda Pioneer 1000 Trail SxS: Pioneer 1000 - $20,099 + FeesCOMFORT3-PERSON CONTOURED BENCH SEAT: Tough, durable and built to enhance every driving experience — yes, we’re talking about the seat. Contoured for three passengers, the center seat is positioned up and forward to maximize space and comfort, and the covering is designed to resist both the elements and heavy use.LCD INSTRUMENT DISPLAY: Completely redesigned for 2022, the instrument display is much easier to read, with big, bright new graphics. The display now includes a clutch indicator and a battery-voltage readout too, in addition to speed, fuel level, RPM, transmission mode, water temperature, trip information and more.REAR-VIEW MIRROR: All our new 2022 Pioneer 1000 models feature an integral rear-view mirror mounting bracket on the rollover protection structure. The mirror itself is standard equipment on the Pioneer 1000 Trail, and an available accessory on all other trims.SOPHISTICATED CHASSIS: Some of the most impressive Pioneer 1000 features are those you’ll never see. In addition to the suspension and ground clearance, we rubber-mounted the engine and exhaust system to insulate the cabin against excessive vibration. So while you may not see this feature, it’s one you will definitely notice.TILT WHEEL: With a tilt steering wheel redesigned for 2022 to make getting in and out easier than ever, you’re ensured an even more comfortable driving experience. We’ve given the wheel a wide range of adjustments for optimum customization and a new spring-loaded damper that makes tilting it a snap.COOLER CABIN: Our engineers have given the whole Pioneer 1000 lineup some big improvements when it comes to managing cabin heat. You’ll ride cooler and be more comfortable in warm-weather conditions.ENGINEERINGi-4WD: The Pioneer 1000 Trail showcase our exclusive i-4WD system. Think “I” for “Intelligent,” because that’s exactly what it is. An industry-first brake-traction control system for side-by-sides, it simplifies operation, increases drivability and optimizes traction. Using proven, advanced technology from the Honda automotive division, you get the benefits associated with a locked front differential with none of the downsides. That means it maintains front-wheel traction even if one wheel wants to spin on ice or mud or if it’s in a hole. But at the same time, you get the lighter steering, better tracking at high speeds, tighter turning radius, and reduced kickback associated with unlocked front differentials.ADVANCED TRANSMISSION LOGIC: The brain of the DCT, Advanced Transmission Logic, senses how you drive and adapts. Relaxed drivers get earlier shifts for a quieter ride at lower engine speeds. Sportier drivers will hold each gear longer for higher RPM shifts. And when going downhill, you get true engine braking. Now that’s a smart transmission.REDESIGNED PARKING INTERLOCK: Even something like the parking brake is better on the 2022 Pioneer 1000. We’ve taken the old three-cable design and replaced it with one push/pull cable that makes adjusting easier and cuts down on servicing.HANDLINGCHASSIS AND SUSPENSION: Prepare to go further than ever before. Our refined chassis enables you to tackle terrain others would shy away from, with larger tires, long-travel independent front and rear suspension and huge ground clearance. The rubber mounted engine and exhaust system insulates against excessive vibration.OTR DIRT MASTER: All our Pioneer 1000 models for 2022 feature high-performance OTR Dirt Master tires for excellent off-road traction and superior wear.THREE DIFFERENT WHEEL CHOICES: Our four Pioneer 1000 models come with three different wheel choices. The Pioneer 1000 Trail Edition gets 14-inch black aluminum wheels with contrast-cut highlights.EPS SYSTEM: This is something we’re really proud of. Honda pioneered (no pun intended) electric power steering on our side by sides, and now we’re making it better. Every 222 Pioneer 1000 gets a new EPS system with a new, brushless motor integrated with the ECU. The return-to-center function makes it more intuitive on straight trails, and the whole system feels more linear.INDEPENDENT FRONT AND REAR SUSPENSION: Dual A-arm suspension gives you 10.5 inches of travel in the front, and 10-inches of travel in the rear. Pair that with stellar ground clearance, and you maximize available traction and superior comfort maneuvering over terrain other side-by-sides would shy away from.PADDLE SHIFTING: Steering column-mounted paddle shifters add a serious dose of performance in every drive. In Manual mode, they let you shift without ever taking your hands off the wheel, and in Automatic mode, they let you override the current gear with a quick up or downshift, holding that gear for several seconds before returning to Automatic mode.TURF/2WD/4WD/DIFF LOCK: Don’t tear up sensitive surfaces. Select Turf Mode. Want to access as much traction as possible? Put it in 4WD. Need maximum power at all four wheels? Lock the front and rear differentials. And the best part is, you can do it all with a shift of a single lever.PERFORMANCEMORE POWERFUL 999cc TWIN-CYLINDER ENGINE: We’ve boosted the engine power in our entire Pioneer 1000 lineup, especially in the midrange and top end. The improved acceleration and overall performance is noticeable, magnified by this year’s new lower gear ratios. Using the same Unicam® cylinder head design found in our motocross bikes, the class-leading 999cc liquid-cooled inline twin is more compact, and it still delivers the kind of horsepower and torque you’d expect from a flagship model.2500-POUND TOWING CAPACITY: Have a big load to haul? Great news for 2022—we've increased the Pioneer 1000's towing capacity to 2500 pounds. So now instead of hopping on the tractor or taking out the truck, you can stay right in your side-by-side and tackle those bigger jobs with relative ease.BUILT IN THE U.S.A.: The Pioneer 1000 is purpose-built for the American market, right in America. Domestically and globally sourced parts are all assembled at our plant in Timmonsville, South Carolina, and once these side-by-sides roll off the line, they’re ready to explore every corner of the country.FULLY-AUTOMATIC SIX-SPEED DCT TRANSMISSION: Drive the way you want, with the industry’s first and only all gear six-speed Dual Clutch Transmission. Choose between manual mode or fully automatic. Plus, the addition of Sport Mode increases the fun, shifting at higher RPM for a spirited, full-performance driving experience.HIGH/LOW SUBTRANSMISSION: With a full 42-percent gear reduction between High and Low, you get the torque you need in all six gears. It comes in handy when driving over difficult terrain, scaling steep hills or towing heavy loads.GEAR RATIOS: For 2022, all Pioneer 1000 models get new gear ratios in the transmission, subtransmission, and final drive. They help improve your Pioneer’s versatility under all driving conditions.SAFETYSAFETY NETS: We’ve upgraded the safety nets on all our Pioneer 1000 models to connect and disconnect more easily, just like on our Talon sport SxS models. We’ve changed the mesh pattern too.DRIVER/PASSENGER PROTECTION: The Occupant Protection Structure uses large-diameter tubing, and meets ISO’s rollover protection standard. The hard doors and roll-up side nets help keep debris from entering the cabin, and auto-style three-point seatbelts are equipped with an emergency locking retractor mechanism, to help optimize passenger security. When you put this much safety first, fun is sure to follow.FOUR-WHEEL DISC BRAKES: The Pioneer’s uncompromising power helps take you further than ever before. The reliable disc brakes help you stop on a dime. Built to the same standard as you’d find in our autos, the four-wheel disc brakes minimize debris from building up, ensuring consistent performance, and giving you confidence on the trail.VERSATILITYNEW FOREST AND TRAIL MODELS: New for 2022, we’re happy to announce two new Pioneer 1000 models: our Trail and Forest versions. They’re loaded with factory-installed accessories and extras, like Warn winches, special wheels, cabin lighting, special paint and graphics, and much more.1000-POUND-CAPACITY TILT BED: There are a ton of reasons to buy a Pioneer 1000. Among them: the half-ton hauling capacity*. And when it comes to dumping, we’ve made it easier than ever, with a hydraulic assist tilt bed lever that can be accessed from outside the vehicle, or right from the driver’s seat. *600-pound bed capacity for CA modelsMORE UNDERSEAT STORAGE: The Pioneer 1000’s underseat storage area is much improved for 2022. We’ve made the opening larger, which makes getting objects in and out a lot easier.BIGGER CUPHOLDERS: You asked, we listened. The primary dash-mounted cupholders in our 2022 Pioneer 1000 models are upsized this year, and big enough to hold the most popular insulated tumblers. Plus, all Pioneer 1000 models also feature cup holders in every door. Designed to hold your water bottles securely, it’s a convenient touch everyone will appreciate.UNDER-DASH STORAGE: Standard equipment on the Pioneer 1000 Trail, and as an available accessory on the Pioneer 1000, this practical under-dash shelf keeps frequently used items right up front in the cab.WARN VRX 45 WINCH: This is a huge upgrade and standard equipment on our Pioneer 1000 Trail models. The winch is installed at the factory, and is built right into the Pioneer’s chassis, not added on as an accessory. With a 4500-pound capacity and spooled with steel cable, you’ll be ready to pull your buddy out when he gets stuck!ACCESSORY SWITCH PANEL: Standard equipment on the 2022 Pioneer 1000 Trail, the switch panel has room for seven switches, letting you control things like a winch, accessory lights, and more. A fully integrated design, it sits in the center of the dashboard, underneath the other switches and controls.12-VOLT ACCESSORY SOCKET: The Pioneer 1000 Trail all feature a standard 12-volt power socket in the bed. Using a common “cigarette-lighter” style of outlet, it’s perfect for powering things like a spotlight, work light, sprayer, air compressor, 110-volt inverter and more.INTERIOR LIGHT: Our new 2022 Pioneer 1000 Trail come with an interior light that lights up the floor area of the cabin., It’s convenient, and a big help illuminating the under-dash storage area so you can find your items in low-light conditions.ENGINE AIR INTAKE: To get the most out of your engine, you need the best air going into it. That’s why we positioned the air intake up high under the hood. It helps ensure a clean air supply, even at deeper fording depths, and with a viscous air filter element, you get increased performance and longer service intervals.Call California Custom Trailers & Powersports at (805) 227-46652340 PROSPECT AVE, STE 105, PASO ROBLES, CA 93446  Or online at www.calcustompaso.com (MSRP = Manufacture Suggested Retail Price and does not Include Factory Freight, Documentation, DMV, Ca Tire Recycling, and Sales Tax)Current Financing available with little to no down payment OAC.  Honda Pioneer, pioneer, 4x4, sxs, side by side, utility",,,,,,,,,,,
3883,8299.0,monterey,https://monterey.craigslist.org/mcd/d/salinas-2022-kawasaki-z650-50th/7472106959.html,2022-04-16 11:14,2022 KAWASAKI Z650 50TH ANNIVERSARY,13,,,,,"2022 KAWASAKI Z650 50TH ANNIVERSARY EDITION  ENERGIZE Aggressive meets supernaked with this ideal blend of sporty performance and everyday versatility. Featuring next-level technology and a strong 649cc engine, the Z650 naked sportbike is a compact middleweight without equal  Great Financing Available / Trade Ins Wanted / We Buy Used Bikes - ATVs - UTVs  Local Pick Up And Purchase Only Please. No Phone Sales or Deliveries  Offered By  Salinas Motorcycle Center 1286 N Main St Salinas  Ca  93906 831-442-3511  For more information on this or any other of our used or new  Vehicles / PLEASE CALL FOR A APPOINTMENT/ 831-442-3511 / Because of the covid-19 AND TO INSURE THE SAFTEY OF BOTH OUR STAFF AND CUSTOMERS we are not accepting walk in customers. Appointment only and only one customer at a time. This is for the safety of all involved.",,,,,,,,,,,
3884,120.0,monterey,https://monterey.craigslist.org/bop/d/marina-graber-bike-roof-mounting-for/7468297259.html,2022-04-16 08:41,Graber bike roof mounting for two bike,2,,,,,Graber a bike a rack.Roof mounting for two bikes.,, excellent,,, Graber,,,,,,
3885,200.0,monterey,https://monterey.craigslist.org/bop/d/monterey-thule-bike-hitch-rack/7472013107.html,2022-04-16 08:14,Thule 2-Bike Hitch Rack,6,,,,,Thule Doubletrack 2-Bike Hitch Rack  This bike rack fits 1.25” and 2” hitch receivers with included adapter. It securely holds two bikes of any style with adjustable arms that snug down over the top tube (not intended for the added weight of e-bikes). It also folds and tilts for a low-profile solution when not carrying a bike. I have used this rack to transport road bikes and mountain bikes on the back of a Subaru and a truck.   Lock rack to vehicle with locking Snug Tight hitch pin (included) Lock bicycles to rack with locking arms (included),, good,,, Thule, Doubletrack,,,,,
