,Price,Location,URL,Date,Title,part type,num image,text,bicycle frame material,bicycle type,frame size,wheel size,condition,make / manufacturer,brake type,model name / number,size / dimensions,electric assist,handlebar type,serial number,suspension
37245,20.0,austin,https://austin.craigslist.org/bik/d/cedar-park-mountain-bikes-and-parts/7468484723.html,2022-04-14 16:55,Mountain bikes and parts bikes,,6,Few different bikes  Maxim Mountain bike has broken brake line and needs new tire tubes. $20 (for parts)  Magna Mountain bike has rusty chain might need more $20 (for parts), aluminum, mountain, Medium, 24 in,,,,,,,,,
37246,970.0,austin,https://austin.craigslist.org/bik/d/round-rock-cervelo-the-apple-of-road/7460757007.html,2022-04-14 13:37,"CERVELO, the Apple of road bikes",,4,CERVELO in new condition. This is the Apple of road bikes. Enjoy and respond to the ad.   Size 52 cm   $970 cash only OBO, aluminum, road, 52, 26 in,,,,,,,,,
37247,100.0,austin,https://austin.craigslist.org/bik/d/austin-bikes-for-rent-assorted-drop-off/7471162733.html,2022-04-14 09:54,Bikes for Rent - Assorted - drop off /pick up included,,0,"Rent my bikes for a weekend or a whole week!  Weekend Rate - $100 - Drop off Friday AM / Pick up Sunday evening  Week Rate $200 - Drop off Sunday evening, Pick up next Sunday evening   Special Times and Rates available as well. Just message  Locks provided on a first come first serve basis. I have 4 on hand   Some bikes even have baskets or bags on them!  How it works: Deposit for each bike is $200 cash which gets sealed in an envelope. Deposit must also include half of the rental period cost. Upon receiving the bike(s) back in good condition, deposit is given back and remainder of rental period is due.   Example: weekend rental $200 cash in the envelope + $50 (which is 1/2 of the weekend rental rate) =$250 in the envelope  Upon receiving the bike back in good condition, $200 is given back and the other half of the rental period is due ($50 cash)   If you pick up from me and drop off there’s also a small discount I’ll give you!  Weekend Rate - $100 - Drop off Friday AM / Pick up Sunday evening  Week Rate $200 - Drop off Sunday evening, Pick up next Sunday evening   Drop off and pickup is included Locks are provided free on first come first serve basis. I only have 4 in inventory.  Again, some bikes have bags or basket on them All bikes have multiple gears and ride well  Inventory: Gt cruiser bike size M. Mens. 3 speed. Has bags and rack Gt cruiser bike size M. Womens. 3 speed. Has basket  Jamis commuter bike. Large. Has bags and rack. 7 speeds Electra 3 speed hawaii cruiser. One size fits all Trek XL Dual Sport hybrid. For taller person. 18+ speeds  Specialized Globe S/M hybrid bike. 18+ speeds  Specialized globe vienna S/M hybrid bike. 18+ speeds  Specialized Rockhopper M/L Mountain bike w hybrid tires. 18+ speeds  Giant Cypress Hybrid bike . Large. 18+ speeds  Specialized Crossroads Hybrid bike. Womens. Small frame. 18+ speeds    If you're interested in renting a bike, message me and reply!  Happy riding!", other/unknown, other, various, other/unknown,, various,, various,,,,,
37248,40.0,austin,https://austin.craigslist.org/bop/d/austin-vertical-bike-rack-stores-bikes/7470967855.html,2022-04-13 17:40,Vertical Bike Rack (Stores 2 Bikes),,5,"Recently got a shed with bike hooks so no longer need my vertical bike rack.  Great for storage, particularly to use vertical space. A lifesaver for apartments, condos or when you don't have a big garage.   Stands up by itself well but also has ability to be secured against surface.  I used it for my bike (5'10"") and a children's bike but can fit two fairly large bikes - arms adjust easily (out/in, up/down) to fit things as you need to. (See Amazon listing below for full details)  Purchased brand new from Amazon ~1.5 years ago - goes for nearly $100 brand new, currently selling for $60+ https://www.amazon.com/Delta-Michelangelo-Two-Bike-Gravity-Stand/dp/B000ACAM38  Given near-perfect condition, selling for $40 - save $20-60 + tax!  Price firm. Unable to deliver - you must be able to pick up in Crestview/Brentwood area (central/north Austin area).  If interested, please text Aaron at SevenOneFour - NineThreeOne - OneNineFourSix",,,,, like new,,,,,,,,
37249,100.0,austin,https://austin.craigslist.org/bik/d/austin-yakima-bikes-rack/7470950680.html,2022-04-13 16:58,YAKIMA 2 bikes rack,,6,Used Yakima two bike rack $100 Text please, aluminum, mountain, 16, 16 in,,,,,,,,,
37250,20.0,austin,https://austin.craigslist.org/tag/d/hutto-brand-new-finger-bikes/7470692968.html,2022-04-13 08:26,Brand New! 2 Finger Bikes,,3,"2 Brand New in a Box ""Finger Mountain Bikes""  Schwinn and GT Brand Bikes  By the way, I know all the scams, no alternate emails, no codes, no BS, just a simple Cash transaction for someone local.   BMX finger Bike",,,,, new, Jakks Pacific,,,,,,,
37251,175.0,austin,https://austin.craigslist.org/bop/d/austin-thule-hitch-back-bike-rack-holds/7470583429.html,2022-04-12 20:06,"Thule 2” Hitch Back, Bike Rack (holds 4 bikes)",,4,"Thule bike rack-- fits 2 inch hitch  Hanging hitch-mount bike carrier for 4 bikes Compact design fits a wide variety of bike sizes/frame styles Quickly attach and secure bikes with ratcheting straps Superior bike stability and fit Load capacity -- 150 pounds  Distance between bikes 7”  POMS Pick up at HWY 290 and Trautwein  Border of Dripping Springs/Austin  Not sure on exact model Selling for 175 Venmo, PayPal, cash",,,,,, Thule,,,,,,,
37252,699.0,austin,https://austin.craigslist.org/mcd/d/san-marcos-kids-bikes-on-ale/7470393237.html,2022-04-12 12:55,KIDS BIKES ON $ALE!!!!!!,,24,"SAN MARCOS POWER SPORTS ------> 512.618.6641  www.sanmarcospowersportsllc.com Hundreds of vehicles in stock!!!!!!   DIRT BIKES, PIT BIKES, MINI BIKES, ELECTRIC BICYCLES.... All SIZES, MAKES, MODELS Available. HUGE Inventory of Kids Bikes!!!  YOUTH price range: $699-$1699 110cc-125cc   ADULT price range: $999-$2299 125cc-300cc  WE CARRY A FULL LINE OF: -Dirt Bikes -Mini Bikes -Electric Bikes -Golf Carts -Golf Scooters -ATV's/QUADS -UTV's -4X4's -Go Karts -Buggy's  -Side By Side's  -JEEP WILLY's -Street Legal Bikes ................ WE PRETTY MUCH HAVE EVERYTHING!!!!!!! All COLORS, SIZES, STYLES, MAKES & MODELS AVAILABLE!!!!  CALL US! 512.618.6641 (se habla espanol!)  ...Or better yet, stop by in person:  San Marcos Power Sports, LLC. 4554 S Interstate 35 San Marcos TX 78666 OPEN 7 DAYS A WEEK! 10a-6p   Keywords: SCOOTER, SCOOTERS, MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc 300cc, 400cc 500cc 600cc 700cc 800cc 900ccs 1000cc Dune buggy race utilitygo-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris, bmw Arlington, Grand Prairie los Colinas Irving hurst Fort Worth Crowley Plano Frisco McKinney coppell garland Dallas oak cliff pleasant grove.austin san antonio marcos shertz cibolo canyon lake New braunfels kyle buda lockhart lulling bastrop manor pflugerville georgetown waco belton killeen smithville elgin college station houston schertz west lake westlake horse shoe bay",,,,,,,,,,,,,
37253,225.0,austin,https://austin.craigslist.org/bop/d/pipe-creek-bike-rack-carries-bikes/7470057124.html,2022-04-11 16:41,bike rack- carrie’s 4 bikes,,15,"this bike carrier is in very good condition, it comes with keys for locking up to four bikes.  The carrier is heavy duty and has a locking pin which allows the carrier to swing open so that you may access the back of your vehicle  The carrier easily adapts from 2 to 4 by attaching the adapter  It is heavy duty and fits a 2 inch trailer hitch, making this ideal for RVs.  Please note that this is heavy duty steel which allows for carrying heavier bikes  Located between Boerne and Bandera in Pipe Creek just northwest of San Antonio",,,,,,,,,,,,,
37254,15.0,austin,https://austin.craigslist.org/bik/d/austin-schwinn-girls-bikes-inch/7470013763.html,2022-04-11 15:13,Schwinn Girl's Bikes 16 & 20 inch,,3,"Girl's cycles for sale. Both the bikes are in very good condition. It is $15 each. If you are interested, please contact me.", alloy, kids, 20, 16 in,, Schwinn,,,,,,,
37255,100.0,austin,https://austin.craigslist.org/bik/d/austin-saris-bones-bike-rack-for-bikes/7469995462.html,2022-04-11 14:39,Saris Bones bike rack for 3 bikes,,3,"Saris Bones bike rack for 3 bikes.  Everything is in great shape. The hooks are still rubberized so that it will keep your car safe.  REI sells these new for $260. I am asking $100. I used to have one, so I'll also be more than happy to show you how to mount it.  From Amazon's description:  MORE THAN JUST ANOTHER RACK: Awarded 4.5 out of 5 stars from Bicycling Magazine, it's a tested statement of style, design, convenience and durability (3 bikes, 35 lbs each)  ARC-BASED DESIGN: Fits over most spoilers and separates bikes on different levels  STRONG: Injection-molded arms and legs are the strongest on the market  FEATURES: Spring buckle straps with vinyl-coated hook, ratcheting anti-sway straps for a secure hold, and articulated rubber feet to protect paint  COMPATIBILITY: Compatible with most vehicles", other/unknown, other, Large, other/unknown,,,,,,,,,
37256,400.0,austin,https://austin.craigslist.org/sgd/d/austin-commercial-star-trac-spinner-nxt/7469893268.html,2022-04-11 11:39,Commercial Star Trac Spinner NXT Bikes - SPIN BIKES,,24,"Commercial Star Trac Spinner NXT Bikes   In Excellent Condition Fully Serviced / Cleaned READY TO USE TODAY Garage Delivery Available in Austin for $75   Features:   The Saddle has a high degree of adjustability. Non Slip Handle Bars 43 Pound Flywheel with chain drive Sleek frame made of heavy duty aluminum Water Bottle Holder Unique braking system that brings the flywheel to a quick stop 34 total bikes, selling both individually and as groups    Description:  We received these bikes from a commercial gym that is moving, and needs to reduce the amount of equipment that they have. All are used, but in excellent condition! All of the bikes are the same brand with slight differences.  Some with different seats, etc. But I do have plenty of photos if you’d like to take a look, or just come and check out all the bikes in person. They are $400 individually, but if you are interested in taking most of them, we can negotiate a price.  Just message me for more information.    The Spinner® NXT by Star Trac is a high performance indoor upright bike built for comfort. The saddle is padded with high density material that keeps you comfortable as you ride on the bike. The handlebars are non slip, and you do not have to worry about slipping no matter how much your hands sweat.   The drive chain mechanism is designed to simulate the feel of a real outdoor bike. It has a flywheel that weighs 43 pounds. The resistance can be switched through an infinite number of continuous levels. It has a unique push break system, so that the flywheel comes to an abrupt stop without applying too much effort.    Item #1082  Spin Bike  Local Gym Liquidation    Hi there! We do gym liquidation here in Austin. If you are wanting to see more inventory, go to craigslist.com, search under all for sale, and then type in Local Gym Liquidation.  There you will find all of our current inventory.",,,,, like new,,,,,,,,
37257,500.0,austin,https://austin.craigslist.org/wan/d/austin-buying-70s-80s-90s-bmx-bikes-gt/7460621787.html,2022-04-11 07:52,Buying 70s/80s/90s BMX bikes GT/Hutch/Mongoose/Dyno/Haro/Redline/etc,,2,"I collect GT, Hutch, Redline, Haro, Dyno and all other race and freestyle BMX bicycles/scooters/ skateboards/memorabilia/ magazines from the late 70s, 80s and 90s. Working, broken or just parts! Rusty, dirty or dusty. Send me a couple of pics and I will give you a price and drive to you.  I also buy other BMX bikes and scooters and such as Hutch Haro Kuwahara Mongoose CW JMC Huffy Redline zoot scoot detour compe dtour schwinn SE Racing PK Ripper Diamond Back Diamondback Supergoose Skyway T/A ta Californian pro star racer raider pro freestyle tour team hutch trickstar trick star Wind styler rl 20ii quadangle pro series master performer Torker Patterson Pro Profile Champ Pro race inc elf Auburn s&m haro freestyler holmes Gary Littlejohn glj Hollywood judge Hawk fueler BMX action BMX plus! Freestyle America American freestyler freestyle spectacular freestylin’ nomura   I also buy other BMX bikes and scooters such as Hutch Haro Kuwahara Mongoose CW JMC Huffy Redline zoot scoot detour compe dtour schwinn SE Racing PK Ripper Diamond Back Diamondback Supergoose Skyway T/A ta Californian pro star racer raider pro freestyle tour team hutch trickstar trick star Wind styler rl 20ii quadangle pro series master performer Torker Patterson Pro Profile Champ Pro race inc. auburn s&mj haro freestyler",,,,,,,,,,,,,
37258,2650.0,austin,https://austin.craigslist.org/bik/d/round-rock-lectric-xl-20-bikes/7469477221.html,2022-04-10 11:47,Lectric XL 2.0 e-Bikes,,0,,,,,,,,,,,,,,
37259,45.0,austin,https://austin.craigslist.org/hsh/d/austin-tfd-spintray-desk-tray-for/7469223142.html,2022-04-09 16:11,"TFD spintray desk tray for peloton bikes,new",,7,"TFD The Tray | Compatible with Peloton Bikes, Made in USA | Spintray Desk Tray - Premium Acrylic Holder for Laptop, Tablet, Phone, Books & More - The Ultimate Peloton Accessories",,,,, new, TFD,, The Tray, 14x18x1,,,,
37260,35.0,austin,https://austin.craigslist.org/bik/d/austin-12-kids-bmx-bikes/7468986403.html,2022-04-09 08:20,12” Kids BMX bikes,,3,"12” Diamond Back children’s BMX bikes.  $35 each, 2 available.  Note: Training wheels not included.", steel, bmx," 12"" Wheel", 12 in,,,,,,,,,
37261,40.0,austin,https://austin.craigslist.org/bik/d/georgetown-bikes/7468910564.html,2022-04-08 22:15,"Bikes -18""-20""-26""",,2,"$90  - 26"" schwin aluminum, 21 speed, silver/blue $xx - 24""   - SOLD- $60 - 20"" ozone , 7 speed, silver/purple, rear spring $40 - 18"" ozone, red, hand brakes with coaster brake $xx - 18""  -SOLD-  -  Three bikes remain-  call or text - Roger at (512)9four7 63one4,  between 9am to 8pm", other/unknown, mountain," Wheels-18,20,26""", 26 in,,,,,,,,,
37262,100.0,austin,https://austin.craigslist.org/bop/d/pflugerville-solvit-dog-trailer-for/7468383986.html,2022-04-07 18:12,Solvit Dog trailer for bikes, other,3,Barely used dog trailer for any bike. Missing adapter for rear wheel hub which can easily be purchased online.,,,,, like new, Solvit,,,,,,,
37263,999.0,austin,https://austin.craigslist.org/mcd/d/san-marcos-2022-bikes-on-sale-gearing/7468381087.html,2022-04-07 18:01,***2022 Bikes ON SALE! Gearing Up For Spring Riding Season***,,22,"SAN MARCOS POWER SPORTS, LLC. www.sanmarcospowersportsllc.com @sanmarcospowersports 512.618.6641 4554 South IH 35 San Marcos TX 78666 OPEN EVERYDAY!!! 10A-6P   Our Massive Inventory of Bikes Are:  BRAND NEW, never driven, come with GAS & BATTERY...AND they are available in an assortment of MAKES/MODELS/STYLES/SIZES & COLORS!!!!!!   YOUTH BIKES-----> 110cc to 125cc $799-$1399  ADULT BIKES---> 125cc to 300cc $999-$3299  What We offer: LAYAWAY!!! FINANCING!!! DELIVERY!!! WARRANTY!!! PARTS/SERVICE!!! KNOWLEGABLE EXPRETS!!! BEAT OR MATCH ANY ADVERTISED DEALER PRICING!!! LARGEST SELECTION IN CENTRAL TEXAS!!! HUNDREDS OF VEHICLES IN STOCK!!! WE CARRY A FULL LINE OF: -Go Karts -ATV's -Golf Carts -UTV's -Side By Sides -Mini Bikes -Dirt Bikes -Scooters -Mopeds -Pocket Rockets -Street Legal Bikes -Golf Scooters -Electric Bikes -Jeep Willy's -4x4's ............We Pretty Much Have EVERYTHING!!!!!!!  SAN MARCOS POWER SPORTS LLC. 512.618.6641 Located at: 4554 S Interstate 35 San Marcos, TX 78666 CALL FOR MORE INFO!   Keywords: SCOOTER, SCOOTERS, MOTORCYCLE, MOTORCYCLES, HONDA, YAMAHA, KAWASAKI, DIRT BIKE, DIRT BIKES, ATV, ATVS, GO-KART, GO-KARTS, POLARIS. atv, atvs, kids atv, 4 wheeler, 4-wheeler, 4-wheelers, quad, kid quad, mini quad, quads, go-kart, go-karts, gokart, gokarts, go kart, go karts, gocart, go cart, dune buggy, dune buggie, dune buggies, sand rail, dirt bike, pit bike, moped, scooter, enduro, motorcycle, mini bike, monkey bike, doodle bug, dirtbike, pitbike, coolster, roketa, honda clone, gy6, taotao, bashan, kandi, kinroad, dongfang, chinese, china, parts, repairs, clearance, budget, wholesale, sale, 49cc, 50cc, 70cc, 80cc, 90cc, 110cc, 125cc, 150cc, 170cc, 180cc, 200cc, 250cc 300cc, 400cc 500cc 600cc 700cc 800cc 900ccs 1000cc Dune buggy race utilitygo-kart, batman, jaguar, recon, hunter, rancher, shark, rapidity, viper, t-rex, cazador utv, utvs, polaris copy, crazor, avenger, sxs, ninja bike, Kawasaki, Polaris, bmw Arlington, Grand Prairie los Colinas Irving hurst Fort Worth Crowley Plano Frisco McKinney coppell garland Dallas oak cliff pleasant grove.austin san antonio marcos shertz cibolo canyon lake New braunfels kyle buda lockhart lulling bastrop manor pflugerville georgetown waco belton killeen smithville elgin college station houston schertz west lake westlake horse shoe ba",,,,,,,,,,,,,
37264,2295.0,austin,https://austin.craigslist.org/sgd/d/electric-the-mid-drive-ebike-that/7468080907.html,2022-04-07 07:39,ELECTRIC! The Mid-drive eBike that Shreds! CyberBike eMountain Bikes!,,15,"Introducing the New 2022 Cyberbike Electric Mountain Bikes   Riders agree: Nothing comes close to Cyberbike's combination of performance, value, style, and quality.  See the Cyberbike Mullet Pro in action HERE! (and here, by popular demand, is last year's intro featuring Division 1 Collegiate Mountain Racer Corey Jackson on the first edition Cyberbike) Order online for fast delivery at www.Cyberbike.com All 2022 Cyberbikes are in stock and ready to shred, Order yours before they're sold out!  More mid-drive power than ever Awesome new color graphic display Easier to ride, lower standover frame, the lowest of any mid-drive eMTB New, structurally superior, mountain ready rear suspension linkage The best brakes in the business, even Quad-piston brakes on some models! Massive brake rotors up to 220mm 34mm gold tube forks on some models up to 140mm travel Wider range of models  A proper e-Mountain bike needs to be mid-drive and have full suspension, it's as simple as that. Until now, if you wanted an electric mountain bike to tackle rugged trails, your choices have been heavy, low-quality, fat tire, hub-motor beach bikes, or legacy brands charging $4000 or more for low-power eBikes without full suspension.   Whether your knees are tired or you just want to shred, there is simply no better choice for performance and value than Cyberbike. An American company with great customer support: Cyberbike, USA. The mountains are calling. Will you answer?  Cyberbike eBikes come all with the quietest and most powerful motor in its class, with a long range (65 miles and more) battery, and powerful e-spec hydraulic disk brakes that will be there when you need them. A lightweight package with 500 watts of power, top-of-the-line battery range, and quality components, all for the price of an inexpensive yet stellar bike! You'll get so much more than other eBikes with the CyberBike, it's the real e-MTB experience for the adventurous rider. Performance, specs, and quality components throughout, and the best warranty in the industry, from an American company with experienced American mechanics on call for all your tech support needs.  54 volt/500 watt climbing power with 13Amp hour Li-Ion battery and only 52 lbs means you'll get power and tons of battery range. Now with available throttle! Now from only $2495 Note: Owning and riding comes with risks. Wear proper protection, properly maintain and check your bike, and ride within your limits. By purchasing our products you agree to take full responsibility for the ownership of your bike, including the above and all other reasonable precautions for yourself or anyone you allow to ride your bike.",,,,, new, Cyberbike,,,,,,,
37265,20.0,austin,https://austin.craigslist.org/bik/d/weir-bikes-and-tricycle-girls-pink-bike/7467119165.html,2022-04-04 20:56,BIKES and TRICYCLE - Girls Pink Bike,,5,"Girls bicycles and a metal tricycle for sale.  Magna 'Splash' 16"" girls bicycles (2 available) are in good condition, seats intact and not torn. - $20 each  Roadmaster tricycle is metal, good wheels, good condition - $20  Will sell or, two, or all three. Prices are OBO", steel, kids," 16""", 16 in,, Magna,, Splash,,,,,
37266,150.0,austin,https://austin.craigslist.org/bik/d/round-rock-bikes/7466799579.html,2022-04-04 09:43,2 bikes.,,4,"2 bikes. Cruiser needs a chain. Purple one needs a tube maybe, but other than that everything works fine. Upgrading to bigger bikes.", alloy, bmx, 20 in, 26.5 in,,,,,,,,,
37267,50.0,austin,https://austin.craigslist.org/for/d/cedar-park-bikes-for-sale/7466442777.html,2022-04-03 11:02,Bikes for sale,,0,I have a couple of bikes for sale. I do not have measurements but they are mens bikes and I can take a picture and send if interested. You’ll have to pick up in Cedar Park. They’ve been stored in a garage without use. $50each cash. One is a black mountain bike and the other is a Huffy.,,,,,,,,, Picture,,,,
37268,200.0,austin,https://austin.craigslist.org/bik/d/austin-se-bikes-jr-ripper-20-bmx-bike/7466063645.html,2022-04-02 11:05,SE Bikes Jr Ripper 20” BMX Bike,,5,Selling this garage kept 20” SE Bikes Jr Ripper BMX bike. This bike was purchased new a couple years ago from Performance Bicycle., aluminum, bmx, not sure, 20 in,,,,,,,,,
37269,275.0,austin,https://austin.craigslist.org/bik/d/austin-ecocross-hybrid-bamboo-bike/7454242012.html,2022-04-01 17:13,EcoCross Hybrid Bamboo Bike Frameset,,11,"We have one in each size, 16"", 18"", and 20"". This is a brand new bike frameset still in the manufacturer's original, unopened box. Fork is included!  The Greenstar Bikes EcoCross Hybrid Bamboo Frame is a multi-purpose frame that can be used for any number of bike builds: mountain bike, hybrid bike, comfort bike, even a road bike. Perfect for streets, trails and off-roading. The bamboo and recycled 6061 aluminum lugged frame delivers an ultra smooth ride by absorbing micro vibrations. This frame weighs only about 5 pounds. See more details and specs at GreenstarBikes.com", composite, hybrid/comfort,,, new,,,,,,,,
37270,1111.0,austin,https://austin.craigslist.org/mpo/d/austin-project-bikes-parts-parts-parts/7465252526.html,2022-03-31 11:51,"project bikes, parts parts parts!",,14,Would really love to pull some bikes into my shop to work downsized shop and having a fire sale! Holler if you see something you like.,,,,, excellent, all,,,,,,,
37271,400.0,austin,https://austin.craigslist.org/mat/d/cedar-park-pay-cash-for-wrecked-sport/7465240697.html,2022-03-31 11:29,I PAY CASH FOR WRECKED SPORT BIKES!,,4,"I'll pay YOU cash for your wrecked sportbike. Running or not I'll buy it. Looking for bikes 2006 and up. My number is  show contact info , Steve. Call or text anytime, I'll even pick it up from the auto impound or storage lot.  Insurance offer you money for your wrecked bike that's in pieces? Sell it to me for some extra cash!  Thanks, Steve  Key works: Yamaha, Suzuki, Honda, Kawasaki, R1, R6, YZF,  show contact info , GSXR, GIXXER, F4, F4i, 600RR, 1000RR, CBR, Ninja, ZX6, ZX6R, ZX7, ZX7R, ZX9, ZX9R, ZX10, ZX10R, Hayabusa, Busa, 1300, ZX14, ZX14R, wrecked, salvage, salvaged, motor, transmission, bad, damaged, wreck, damage, parts, police, impound, accident, laid, over, high, low, side, highside, lowside,",,,,, salvage,,,,,,,,
