,Price,Location,URL,Date,Title,make / manufacturer,model name / number,num image,text,bicycle frame material,bicycle type,brake type,condition,electric assist,frame size,wheel size,handlebar type,suspension,part type,size / dimensions,serial number
4200,1.0,sacramento,https://sacramento.craigslist.org/bik/d/north-highlands-two-20-girls-haro-bikes/7469800172.html,2022-04-16 18:19,"Two 20"" Girls Haro Bikes  Age 6-9-", Haro,,2,2 bikes for one price $150..  Or $75 for one. In all orig cond. Cost $259 each. No damage at all still like new. 6061 Alloy Frame. All stock parts..Any questions please let me know. 916-four-nine-four-nine-four-zero-six., aluminum, bmx, coaster, like new,, Medium, 20 in, bmx, none (rigid),,,
4201,1700.0,sacramento,https://sacramento.craigslist.org/bik/d/elk-grove-fast-ripper-new-in-the-box/7472238033.html,2022-04-16 16:36,"29"" 2021 Fast Ripper New In The Box", Se bikes, FAST RIPPER,3,"29"" 2021 Fast Ripper New In The Box $1700 Call Or Text Gary show contact info ... . . . GT BMX THRONE Ride Bmx SE PERFORMER GTPerformer RideOut Sebikelife bikelifestyle bikefamily bikefam sebicycles sebikes Retro retrostyle SeBikeForSale fastripper bigflyer bigripper  Sebike Bigripper Blocksflyer Bigflyer Omflyer  Omduro Blocks Ripper Citygrounds Mike Buff Beastmode", aluminum, bmx, disc (mechanical), new, none, 23, 29 in, bmx, none (rigid),,,
4202,150.0,sacramento,https://sacramento.craigslist.org/bik/d/folsom-bikes/7465050415.html,2022-04-16 15:25,bikes,,,12,Selling 3 bikes  Raleigh  Diamond back  Schwinn (kids)  Asking $100 or best offer, other/unknown, other,,,, 20, other/unknown,,,,,
4203,1500.0,sacramento,https://sacramento.craigslist.org/bik/d/elk-grove-se-29-boston-ripper-for-sale/7468936233.html,2022-04-16 13:12,"Se 29"" Boston Ripper For Sale", Se bikes, Boston Ripper,4,"Se 29"" Boston Ripper New Never Ridden $1500📞Or 📲Text Gary9162o88o99............... . .     Se bikelife bikelifestyle bikefamily bikefam sebicycles sebikes Retro retrostyle SeBikeForSale fastripper bigflyer bigripper Sebike Bigripper Blocksflyer Bigflyer Omflyer Omduro Blocks ripper Citygrounds Mike Buff beastmode", aluminum, bmx, disc (hydraulic), new, none, 23, 29 in, bmx, none (rigid),,,
4204,900.0,sacramento,https://sacramento.craigslist.org/spo/d/elk-grove-schwinn-pro-assault-bikes/7472142750.html,2022-04-16 12:30,Schwinn Pro Assault bikes,,,0,,,,,,,,,,,,,
4205,1700.0,sacramento,https://sacramento.craigslist.org/bik/d/represa-quadangle-looptail-se-bikes/7468630516.html,2022-04-16 11:51,QUADANGLE LOOPTAIL SE BIKES 2010 20inch OLD BMX, SE Racing, Quadangle,4,"Excellent condition, bike has been stored and not ridden frequently…", other/unknown, bmx,, like new, none, 2.0 in, 20 in, bmx, none (rigid),,,
4206,350.0,sacramento,https://sacramento.craigslist.org/bik/d/roseville-diamondback-adult-men-and/7470440189.html,2022-04-16 11:43,Diamondback Adult Men and Women's Bikes, Diamondback, Wildwood/Serene,2,"Lightly used Wildwood Deluxe adult bike with frame labeled as small (5'4"" to 5'7"").  Includes a Schwinn helmet, an upgraded seat and peddles, water bottle holder, owner's manuals, and removable basket.  In excellent condition.  Very comfortable to ride on the street or bike paths.  Both seat and handlebars are easily adjusted with quick adjustment features.    Over $500 invested.   $200 Cash only, price is firm.  Local only. No shipping or delivery.", aluminum, hybrid/comfort, caliper, excellent, none, small, 26 in, cruiser, suspension fork (hardtail),,,
4207,15.0,sacramento,https://sacramento.craigslist.org/bop/d/represa-state-bicycle-co-short/7472047691.html,2022-04-16 09:23,"State Bicycle Co., short handlebar, for use on fixie or city bikes !",,,0,,,,,,,,,,,,,
4208,300.0,sacramento,https://sacramento.craigslist.org/bik/d/loomis-rans-recumbent-bikes/7460275355.html,2022-04-16 07:09,Rans Recumbent Bikes, Rans,,5,Rans Builder Bike for $150.    Call me @ 9one6-7five9-two7one7.  Thanks for looking., aluminum, recumbent/trike,,,, unknown, other/unknown,,,,,
4209,285.0,sacramento,https://sacramento.craigslist.org/bik/d/citrus-heights-mens-mountain-bikes/7460874474.html,2022-04-15 21:04,Mens Mountain Bikes  ASAHI  fast,,,3,"ASAHI INLINE EX VINTAGE MOUNTAIN BIKE BICYCLE FRAME 19” ARAYA WHEELS  12 speed all terrain Men's   very fast   Ride great , good tires, full size bike mens  .....ON EBAY $446 PLUS $85 SHIPPING.......", aluminum, mountain,,,, 17.5, 26 in,, frame and fork (full suspension),,,
4210,400.0,sacramento,https://sacramento.craigslist.org/for/d/elk-grove-goped-scooter-general/7461881704.html,2022-04-15 17:47,"GOPED, SCOOTER, GENERAL, MOTORCYCLE, ALL, BIKES, SPORTING", GOPED,,2,"origional goped, bought for the kid when he was young, has sat on shelf for last 10 years, fires right up, like new, please leave name and number, i will return your call, i will not respond to any personal emails period , dont ask",,,, like new,,,,,,,,
4211,35.0,sacramento,https://sacramento.craigslist.org/bop/d/represa-starbk-tt-tri-athlon-or-road/7471851325.html,2022-04-15 17:11,"StarBK TT, Tri Athlon or road bikes, Fully vented, BRAND NEW",,,0,,,,,,,,,,,,,
4212,145.0,sacramento,https://sacramento.craigslist.org/bik/d/beautiful-kids-electra-beach-cruiser/7471410417.html,2022-04-14 16:25,Beautiful Kids Electra Beach Cruiser bikes for Girls - 20 Inch Frame, Electra beach cruiser, girls,20,"Girls Electra Beach Cruiser bikes.   We have 2 available.   Excellent condition.  Perfect gift for girls between 6 and 9 years old.  Asking $145 each.   Very rare since Electra is no longer making these bikes.  Cost over $300 each.  Ride very smooth and comfortable.  Let’s ride in style.  She will loves it.  show contact info   Keywords:  Specialized, Trek, Electra, bike, fun, outdoors, camping....", aluminum, cruiser,,,, kids, 20 in,,,,,
4213,7999.0,sacramento,https://sacramento.craigslist.org/mcd/d/rancho-cordova-2014-triumph-street/7471400583.html,2022-04-14 15:54,2014 Triumph Street Triple R ___HOME DELIVERY + 300 BIKES IN STOCK!!!,,,0,,,,,,,,,,,,,
4214,25999.0,sacramento,https://sacramento.craigslist.org/snd/d/rancho-cordova-2019-polaris-rzr-xp/7471387265.html,2022-04-14 15:18,2019 Polaris RZR XP Turbo S ___HOME DELIVERY + 300 BIKES IN STOCK!!!,,,14,"Superbike ShowroomAsk for: Sales☎ (916) 345-311511135 Trade Center Dr Suite 110 Rancho Cordova, CA 95670Enter this link to see more images plus all other inventory we have available: http://lyv.cc/9NU6B2019 Polaris RZR XP Turbo S 925 ccPrice: $26,995.00Basic Information:Year: 2019Make: PolarisModel: RZR XP TurboTrim: SStock Number: 2573VIN: 3NSVEE92XKG811987Condition: UsedType: Sport UtilityMileage: 444Chassis / Suspension:Frame: SteelFront Adjustable Fork Pre-LoadFront Stabilizer BarFront Suspension Brand Name: DYNAMIXFront Travel (in): 19Front Travel (mm): 482.6Number Rear Shock Absorbers: 2Rear Adjustable Shock / Spring Pre-LoadRear Stabilizer BarRear Suspension Brand Name: DYNAMIXRear Suspension Material: SteelRear Travel (in): 21Rear Travel (mm): 533.4Steering Control: Steering WheelSteering Type: PowerSuspension - Front: Independent Double A-ArmSuspension - Rear: Independent A-ArmComfort:ClockCompassDigital InstrumentationHour MeterSeat Material: VinylSeat Type: BucketGPSDrivetrain:Transmission Type: Continuously Variable (CVT)Driveline Brand: On-DemandDriveline Type: Selectable 4X2 / AWDNumber Of Driveline Modes: 2Hi / Low RangePrimary Drive (Front Wheel): ShaftPrimary Drive (Rear Wheel): ShaftReverseTransmission Brand: Polaris Variable Transmission (PVT)Limited Slip DifferentialLimited Slip Differential Location: CenterPrimary Drive (Engine / Transmission): BeltEngine:Bore (in): 3.66Bore (mm): 93Carburetion Type: Fuel InjectedCylinders: 2Displacement (ci): 56.4Engine Brand Name: ProStarEngine Cooling: LiquidEngine Size (cc): 925Engine Stroke: 4-StrokeFuel Capacity (gal): 9.5Fuel InjectorFuel Requirements: RegularHorsepower (kW): 125.4Starter Type: ElectricStroke (in): 2.68Stroke (mm): 68Torque (Ft Lbs): 114Torque (Nm): 154.6Valve Configuration: DOHCValves: 8Valves Per Cylinder: 4Other Information:Cab / Bed DividerCab CageCab CanopyCab Canopy Material: MetalCab DoorsCab Doors Material: HardCab RollbarCargo Bed Integral Tie-Down HooksFront Fender FlairsRear Fender FlairsPower OutletSafety:Brakes - Front: Hydraulic DiscBrakes - Rear: Hydraulic DiscSeat BeltsHeadlight(s)Specifications:Bash Plate (Front)Bed Capacity (kgs.): 136.1Bed Capacity (lbs.): 300Bed Volume (ft3): 2.6Bed Volume (m3): 0.1Body Material: PlasticCargo Bed Bed Height (in): 7Cargo Bed Bed Height (mm): 178Cargo Bed Bed Length (in): 28Cargo Bed Bed Length (mm): 720Cargo Bed Bed Width (in): 22Cargo Bed Bed Width (mm): 570Dry Weight (lbs): 1718Dry Weight (kg): 779Front Tire Diameter (in): 32Front Tire Width: 10Ground Clearance (in): 16Ground Clearance (mm): 406Height (Inches): 75Height (mm): 1905Length (Inches): 122Length (mm): 3099Payload Capacity (kgs): 336Rear Tire Diameter (in): 32Rear Tire Width: 10Wheelbase (in): 90Wheelbase (mm): 2286Wheels Composition: AluminumWidth (Inches): 72Width (mm): 1828Description:*MUST BOOK APPOINTMENT TO SEE THIS* UTV 925cc Liquid-cooled, Fuel Injected, ProStar Turbo H.O.; 4-Stroke DOHC Twin Cylinder Turbocharged CVT Automatic P/R/N/L/H 168-horsepower EPS (Electronic Power Steering) 90 in Wheel Base 9.5 gallon tank On-Demand 2/4WD system 2.5 Front and 3.0 rear Walker Evans piggyback needle shocks Polaris RIDECOMMAND Touchscreen Front/Back-Up Camera, Radio, Bluetooth Connectivity, Navigation MG Quart Polaris Speakers G2V LED Fog Lights 32 x 10-15; ITP COYOTE Off-Road Tires Safety Inspection Completed Clean Title Extended Warranty Available for Eligible ModelsSuperbike Showroom11135 Trade Center Dr Suite 110Rancho Cordova, CA 95670Ask for: SalesSales: (916) 345-3115A27FBAFAEA464DBBB650D168074EE06C 33528703 10215721",,,,,,,,,,,,
4215,80.0,sacramento,https://sacramento.craigslist.org/bop/d/sacramento-15-total-seats-oldschool/7459188863.html,2022-04-14 15:08,15 total seats oldschool rebuild bikes,,,4,All seats are in good condition a few have a couple of small tears nothing bad. Call or text,,,, good,,,,,,,,
4216,3999.0,sacramento,https://sacramento.craigslist.org/mcd/d/rancho-cordova-2009-yamaha-star-650/7471279557.html,2022-04-14 11:26,2009 Yamaha V-Star 650 Classic __OPEN 7 DAYS + 300 BIKES IN STOCK!!@@,,,12,"Superbike ShowroomAsk for: Sales☎ (916) 345-311511135 Trade Center Dr Suite 110 Rancho Cordova, CA 95670Enter this link to see more images plus all other inventory we have available: http://lyv.cc/Y58Q92009 Yamaha V Star 650 ClassicPrice: $3,999.00Basic Information:Year: 2009Make: YamahaModel: V Star 650 ClassicStock Number: 3767VIN: JYAVM01E49A132315Condition: UsedType: CruiserTitle: CleanMileage: 26,625Engine:Carburetion Type: CarburetorCarburetorEngine Size (cc): 0Engine Stroke: 4-StrokeFuel Requirements: RegularValve Configuration: SOHCFuel Type: GasolineChassis & Suspension:Frame: SteelFront Suspension Type: Telescopic ForkNumber Rear Shock Absorbers: 1Rear Suspension Type: Twin Sided Swing ArmSafety:HeadlightHeadlight Type: HalogenRearview MirrorsComfort:Trip OdometerSpecifications:Front Tire Aspect Ratio: 90Wheels Composition: AluminumSpeedometerOther Information:Exhaust GuardExterior CoversExterior GuardsFloor BoardsFront FenderHand GripsLockable StorageRear FenderStandDescription:Superbike Showroom11135 Trade Center Dr Suite 110Rancho Cordova, CA 95670Ask for: SalesSales: (916) 345-3115A27FBAFAEA464DBBB650D168074EE06C 34302659 10408900",,,,,,,,,,,,
4217,21999.0,sacramento,https://sacramento.craigslist.org/mcd/d/rancho-cordova-2020-harley-davidson-low/7471276454.html,2022-04-14 11:20,2020 Harley-Davidson Low Rider S ___HOME DELIVERY + 300 BIKES!!@@@,,,0,,,,,,,,,,,,,
4218,4499.0,sacramento,https://sacramento.craigslist.org/mcd/d/rancho-cordova-2004-honda-crf-250r-home/7471268482.html,2022-04-14 11:04,2004 Honda CRF 250R __HOME DELIVERY + 300 BIKES IN STOCK!!!@@@,,,10,"Superbike ShowroomAsk for: Sales☎ (916) 345-311511135 Trade Center Dr Suite 110 Rancho Cordova, CA 95670Enter this link to see more images plus all other inventory we have available: http://lyv.cc/ZMAK42004 Honda CRF 250R Single-Cylinder 249 ccPrice: $4,499.00Basic Information:Year: 2004Make: HondaModel: CRFTrim: 250RStock Number: 3758VIN: JH2ME10394M003021Condition: UsedType: OtherTitle: CleanBrakes:Front Brake: DiscFront Brake Diameter (in): 9.5Front Brake Diameter (mm): 240Rear Brake: DiscRear Brake Diameter (in): 9.5Rear Brake Diameter (mm): 240Chassis & Suspension:Frame: AluminumFront Adjustable Rebound DampingFront Suspension Size (in): 1.9Front Suspension Size (mm): 47Front Suspension Type: Inverted ForkFront Travel (in): 12.4Front Travel (mm): 315Number Rear Shock Absorbers: 1Rear Adjustable Rebound DampingRear Adjustable Shock / Spring Pre-LoadRear Suspension Type: Twin Sided Swing ArmRear Travel (in): 12.4Rear Travel (mm): 315Comfort:Adjustable HandlebarsAdjustable LeversDrivetrain:Number Of Speeds: 5Primary Drive (Rear Wheel): ChainTransmission: ManualEngine:Bore (in): 3.07Bore (mm): 78Carburetor Size (mm): 37Carburetion Brand: KeihinCarburetion Type: CarburetorCarburetorCompression Ratio: 12.9Cooling System: LiquidCylinders: 1Engine Disp. to Weight (cc): 1.2Engine Size (cc): 249Engine Size (ci): 15.2Engine Stroke: 4-StrokeEngine Type: Single-CylinderFuel Capacity (gal): 2Fuel Requirements: RegularNumber Of Carburetors: 1Starter: KickStroke (in): 2.06Stroke (mm): 52.2Valve Configuration: OHVValves: 4Valves Per Cylinder: 4Other Information:Exterior CoversExterior GuardsFoot PegsFoot Peg Location: DriverFork GuardsFront FenderHand GripsSide CoverRear FenderStandStand Type: KickSpecifications:Body Material: PlasticDry Weight (kg): 94.3Dry Weight (lbs): 208Front Tire (Full Spec): 80/100 R21Front Tire (Inches): 21Front Tire Aspect Ratio: 100Front Tire Width: 80Fuel Capacity (liters): 7Ground Clearance (in): 14.2Ground Clearance (mm): 360.7Rear Tire (Full Spec): 100/90 R19Rear Tire (Inches): 19Rear Tire Aspect Ratio: 90Rear Tire Width: 100Seat Height (inches): 37Tube / Tubeless: TubedWheelbase (in): 58.2Wheelbase (mm): 1478.3Description:Superbike Showroom11135 Trade Center Dr Suite 110Rancho Cordova, CA 95670Ask for: SalesSales: (916) 345-3115A27FBAFAEA464DBBB650D168074EE06C 34279537 10408674",,,,,,,,,,,,
4219,10499.0,sacramento,https://sacramento.craigslist.org/mcd/d/rancho-cordova-2017-ducati-supersport/7471249968.html,2022-04-14 10:30,2017 Ducati Supersport ___HOME DELIVERY + 300 BIKES IN STOCK!!@@@,,,11,"Superbike ShowroomAsk for: Sales☎ (916) 345-311511135 Trade Center Dr Suite 110 Rancho Cordova, CA 95670Enter this link to see more images plus all other inventory we have available: http://lyv.cc/MZLU52017 Ducati Supersport Red Longitudinal Twin 937 ccPrice: $10,499.00Basic Information:Year: 2017Make: DucatiModel: SupersportTrim: RedStock Number: 3765VIN: ZDMVABDS8HB001184Condition: UsedType: Sport BikeTitle: CleanMileage: 13,749Color: RedAccessories:SpoilerEngine:Bore (in): 3.7Bore (mm): 94Carburetion Brand: MikuniCarburetion Type: Fuel InjectedCompression Ratio: 12.6Cooling System: LiquidCylinders: 2Engine Brand Name: Testastretta 11Engine Disp. To Weight (cc): 2.31Engine Size (cc): 937Engine Size (ci): 57.2Engine Stroke: 4-StrokeEngine Type: Longitudinal TwinFuel Capacity (gal): 4.2Fuel InjectorFuel Injector Size (mm): 53Fuel Requirements: PremiumHorsepower: 113Horsepower (kW): 83.1Horsepower RPM: 9000Starter: ElectricStroke (in): 2.66Stroke (mm): 67.5Torque (Ft Lbs): 71.3Torque (Nm): 96.7Torque RPM: 6500US Miles Per Gallon (Combined): 39Valve Configuration: DOHCValves: 8Valves Per Cylinder: 4Fuel Type: GasolineDrivetrain:Number Of Speeds: 6Primary Drive (Rear Wheel): ChainTransmission: ManualPrimary Drive (Engine / Transmission): GearTransmission Final Drive Ratio: 2.87Transmission Gear Ratio (1): 2.47Transmission Gear Ratio (2): 1.76Transmission Gear Ratio (3): 1.4Transmission Gear Ratio (4): 1.18Transmission Gear Ratio (5): 1.04Transmission Gear Ratio (6): 0.96Chassis & Suspension:Frame: SteelFront Adjustable Fork Pre-LoadFront Adjustable Rebound DampingFront Suspension Brand Name: MarzocchiFront Suspension Size (in): 1.7Front Suspension Size (mm): 43Front Suspension Type: Inverted ForkFront Travel (in): 5.1Front Travel (mm): 130Number Rear Shock Absorbers: 1Rear Adjustable Rebound DampingRear Adjustable Shock / Spring Pre-LoadRear Suspension Brand Name: SachsRear Suspension Material: AluminumRear Suspension Type: Single Sided Swing ArmRear Travel (in): 5.7Rear Travel (mm): 144Brakes:ABS BrakesBrake Brand Name: Brembo MonoblocFront Brake: Dual Hydraulic DiscFront Brake Diameter (in): 12.6Front Brake Diameter (mm): 320Linked Brake System Front To RearRear Brake: Hydraulic DiscRear Brake Diameter (in): 9.6Rear Brake Diameter (mm): 245Safety:HeadlightHeadlight Type: HalogenFuel Level WarningRearview MirrorsTemperature WarningTemperature Warning Type: GaugeComfort:Digital InstrumentationTrip ComputerTrip OdometerSpecifications:Body Material: PlasticDry Weight (kg): 184Dry Weight (lbs): 406Front Tire (Full Spec): Pirelli Diablo Rosso III 120/70 ZR17Front Tire (Inches): 17Front Tire Aspect Ratio: 70Front Tire Speed Rating: ZFront Tire Width: 120Front Wheel Width (in): 3.5Fuel Capacity (liters): 16Ground Clearance (in): 5.3Ground Clearance (mm): 135Height (Inches): 45Height (mm): 1151Length (Inches): 83Length (mm): 2126Rear Tire (Full Spec): Pirelli Diablo Rosso III 180/55 ZR17Rear Tire (Inches): 17Rear Tire Aspect Ratio: 55Rear Tire Speed Rating: ZRear Tire Width: 180Rear Wheel Width (in): 5.5Seat Height (Inches): 31Tube / Tubeless: TubelessWet Weight (kg): 210Wet Weight (lbs): 463Wheelbase (in): 58.2Wheelbase (mm): 1478Wheels Composition: AluminumWidth (Inches): 29Width (mm): 743SpeedometerTachometerOther Information:Chain GuardExhaust GuardExterior CoversExterior GuardsFoot PegsFoot Peg Location: Driver And PassengerFork GuardsFront FenderHand GripsLower FairingRear FenderTank GuardStandStand Type: KickUpper FairingWindshieldWindshield MountsDescription:2017 Ducati SuperSport RedSport, made lightEye-catching, fun and versatile, the SuperSport is a sport-road bike that, wherever its ridden, channels the energy and excitement of sport riding. From weekend roads to everyday roads, from city streets to twisting country highways. With a comfortable riding position, a dry weight of just 184 kg and the impressive performance of the Testastretta 11° engine, every ride becomes an opportunity to indulge your sporting instinct. Wherever, whenever, the SuperSport makes every motorcyclist a real rider: whichever road you take, get ready to experience it as never before.DesignThe Ducati Design Center has come up with a dynamic, polished, visually compact, light machine that is Ducati to the core.A front-on look shows it has a distinct 'family feel' with the Panigale superbike. In addition to the highly distinctive LED Daytime Running Light (DRL), the headlight's low and high beam parabolas are positioned in the shadows of the assembly, almost hiding them from direct frontal view: just like those mounted on the top Ducati sports models.Low-set, streamlined and assertive, the SuperSport nose fairing flows naturally into the steel fuel tank structure, carrying the colour scheme all the way into the well-designed cockpit that houses the LCD instrument panel. A sports-style Plexiglas screen with two different height settings ensures aerodynamically efficient airflow protection.Seen side-on, the lines, proportions and volumes are typical of Ducati sports bikes, with the streamlined tail and sculpted tank playing a pivotal role. The latter is coupled to both the main and nose fairings by beefy buttresses that enclose the Trellis frame. Cut to reveal exhaust manifold and engine, the lower fairing is designed to be easy on the eye, a must on a Ducati SuperSport.Ducati's conscientious attention to technical components is also seen in the compact, sports-style stacked dual-pipe side muffler. Shaping and low-slung design bring out the dynamism of the tail, leaving the rear wheel Y-spokes in clear view and providing plenty of room for side panniers (available as accessories).Testastretta 11°The SuperSport is powered by a specially adapted version of the already renowned and appreciated 937 cm3 twin-cylinder Ducati Testastretta 11°. Euro 4-rated, it has four valves per cylinder, a secondary air system, liquid cooling, a 12.6:1 compression ratio and bore and stroke measurements of 94 and 67.5 mm respectively. Engine output amounts to a huge 113 hp at 9, 000 rpm and a maximum torque of 96.7 Nm at 6,500 rpm.On the SuperSport, the Testastretta 11° engine features crankcase and cylinder heads that have been redesigned to make the power unit an integral part of the frame; further modifications include re-routing of the water through the heads and a specifically designed alternator cover to allow installation of the new gear sensor. Large 53 mm throttle bodies - smoothly controlled by the full Ride-by-Wire system - allow the engine to gulp in the air-fuel mix. Moreover, this engine also features unprecedented control and injection systems. ""Superbike Showroom11135 Trade Center Dr Suite 110Rancho Cordova, CA 95670Ask for: SalesSales: (916) 345-3115A27FBAFAEA464DBBB650D168074EE06C 34302657 10408443",,,,,,,,,,,,
4220,25.0,sacramento,https://sacramento.craigslist.org/bop/d/sacramento-bikes/7470973343.html,2022-04-13 15:54,bikes,,,0,All for $25. As is.,,,,,,,,,,,,
